GeneID	LUAD_14N
A1BG	193778309
A2M	230630241
AARS	3124928
ABCC1	1987875
ABCD3	16391487
ABCF1	2238289
ABHD10	19070712
ABHD11	2568445
ABHD14B	9511360
ABHD16A	13156012
ABI1	20940202
ACAA1	84347040
ACAA2	238150322
ACAD8	6830408
ACAD9	17518456
ACADM	28903077
ACADS	17911489
ACADSB	22332879
ACADVL	110590497
ACAT1	419572174
ACAT2	718657
ACE	129129834
ACIN1	15647957
ACLY	11688396
ACO1	1117319
ACO2	145706265
ACOT1	14737471
ACOT13	7773588
ACOT9	65363172
ACOX1	32090147
ACP1	2051792
ACSF2	23116367
ACSL1	36431747
ACSL3	37605846
ACSL4	8456323
ACSL5	33268907
ACSS1	4449837
ACTB	NA
ACTC1	NA
ACTG1	454482756
ACTL6A	8437201
ACTN1	497292747
ACTN4	1295316104
ACTR1A	66570044
ACTR1B	21203138
ACTR2	156737817
ACTR3	151191906
ADAM10	46948749
ADAR	14026006
ADCK3	3327615
ADD1	62887485
ADD3	80833004
ADH5	20412772
ADPGK	17269563
AEBP1	49047667
AFG3L2	12353032
AGFG1	7244154
AGK	13084179
AGL	2721501
AGO2	4773450
AGPS	23086985
AGR2	138656190
AGRN	373195609
AGT	8281506
AHCY	18454191
AIF1	109025217
AIFM1	62246959
AIMP1	48086587
AIMP2	22782309
AIP	14914463
AK1	57769715
AK2	61781053
AK3	57342954
AKAP12	40858972
AKAP2	213754421
AKAP9	612101
AKR1A1	25423588
AKR7A2	7672877
ALB	NA
ALCAM	44899968
ALDH16A1	26620652
ALDH18A1	3971583
ALDH1A1	129486741
ALDH1B1	35046676
ALDH2	1137409226
ALDH3A2	172511057
ALDH4A1	12253718
ALDH5A1	10882056
ALDH6A1	67901956
ALDH7A1	56662065
ALDH9A1	35458796
ALDOA	182341403
ALDOC	27984706
ALG2	14364460
ALG5	18901134
ALOX5	52850866
AMBP	284945150
AMPD3	1310795
ANK1	44531480
ANKFY1	2979388
ANKRD44	3648399
ANO10	7383587
ANO6	23527598
ANP32A	27464759
ANPEP	14584569
ANXA1	1538591068
ANXA11	316915029
ANXA2	NA
ANXA3	500438743
ANXA4	804455286
ANXA5	1020536795
ANXA6	966204570
ANXA7	240344439
AOC3	1083653451
AP1B1	14066226
AP1G1	16213939
AP1M1	20599898
AP2A1	53409774
AP2A2	48319674
AP2B1	107762715
AP2M1	84173060
AP2S1	107526313
AP3B1	9864221
AP3D1	5796225
AP3M1	10199673
APCS	1273801923
APEH	1717696
APEX1	5422883
API5	4505253
APMAP	149234999
APOA1	690922534
APOA2	328705518
APOA4	163847822
APOB	38282815
APOC1	310294167
APOC3	104987650
APOD	74335334
APOE	125397523
APOH	507483926
APOOL	43967164
APP	8840670
APPL1	8722072
APRT	10437507
AQR	2521275
ARAP1	373480
ARCN1	22597439
ARF1	246311107
ARF4	43627967
ARF6	43732386
ARHGAP1	26392995
ARHGAP18	3843408
ARHGDIA	146464898
ARHGDIB	55702197
ARHGEF1	3615561
ARHGEF17	1834854
ARL6IP5	794969327
ARL8A	88280876
ARL8B	40530218
ARMC10	12170989
ARPC1A	19761529
ARPC1B	104516038
ARPC2	168272333
ARPC3	165317031
ARPC4	192613678
ARPC5	49625399
ARPC5L	19833769
ARRB1	24874753
ASAH1	414790574
ASPH	39908357
ASPN	111122005
ATAD3A	14432957
ATIC	4472212
ATL2	3827404
ATL3	134117936
ATP13A1	9062888
ATP1A1	358247578
ATP1B1	205691881
ATP1B3	94311337
ATP2A2	128179130
ATP2A3	9500518
ATP2B1	9054355
ATP2B4	117488632
ATP2C1	4870152
ATP5A1	772068873
ATP5B	1100965107
ATP5C1	337769481
ATP5D	529391034
ATP5F1	109788810
ATP5H	318332098
ATP5J	395319816
ATP5J2	180743365
ATP5L	336297525
ATP5O	238893711
ATP6V0A1	17038025
ATP6V0D1	50799603
ATP6V1A	38879480
ATP6V1B2	36972690
ATP6V1C1	4788470
ATP6V1E1	46581180
ATP6V1F	7005581
ATP6V1H	6608989
B2M	919293273
BAG3	12022150
BAG5	5355927
BAG6	6056194
BANF1	490885867
BASP1	73171080
BAX	11907250
BAZ1B	3320752
BCAM	756669470
BCAP31	227467526
BCAT2	45204196
BCKDHA	11712937
BCKDHB	13383005
BCKDK	4879883
BCL2L13	6330530
BCLAF1	20653771
BCS1L	6919722
BGN	NA
BLVRA	3351308
BLVRB	104088904
BRK1	30586310
BSG	47288684
BST1	27424030
BUB3	34219421
C14orf159	15759938
C14orf166	43495768
C16orf58	7706253
C1QB	42947399
