GeneID	LUAD_09T
A1BG	38847596
A2M	124108818
AARS	84463011
ABCC1	5349058
ABCD3	33248627
ABCF1	21213483
ABHD10	21562379
ABHD11	53815206
ABHD14B	61993958
ABHD16A	16730957
ABI1	23276824
ACAA1	88735261
ACAA2	123616686
ACAD8	98165713
ACAD9	14673910
ACADM	65868402
ACADS	13634663
ACADSB	17386475
ACADVL	164965498
ACAT1	169228623
ACAT2	13372466
ACE	4709639
ACIN1	14125969
ACLY	44532788
ACO1	49266508
ACO2	266191122
ACOT1	24278596
ACOT13	124600286
ACOT9	36806304
ACOX1	15796169
ACP1	71266515
ACSF2	56323174
ACSL1	50575479
ACSL3	13730184
ACSL4	9799871
ACSL5	33911447
ACSS1	13794853
ACTG1	288851126
ACTL6A	25347791
ACTN1	386910792
ACTR1A	65205478
ACTR1B	8018756
ACTR2	570165483
ACTR3	353960712
ADAM10	7366626
ADAR	24255919
ADCK3	4454264
ADD1	33639984
ADD3	41822077
ADH5	119299014
ADPGK	16572973
AEBP1	24764179
AFG3L2	15765601
AGFG1	17994233
AGK	30934826
AGL	9142979
AGO2	12015691
AGPS	18973695
AGRN	40478519
AGT	12004474
AHCY	403175874
AIF1	67246525
AIFM1	76365107
AIMP1	61631582
AIMP2	21988958
AIP	29366582
AK1	141227342
AK2	251838826
AK3	55866925
AKAP12	9545624
AKAP2	16895383
AKAP9	2062068
AKR1A1	472986813
AKR7A2	126373263
ALCAM	43712023
ALDH16A1	23530348
ALDH18A1	110337553
ALDH1A1	208811697
ALDH1B1	22892672
ALDH2	161813303
ALDH3A2	47728275
ALDH4A1	29924105
ALDH5A1	20202827
ALDH6A1	72406845
ALDH7A1	165658602
ALDH9A1	104941387
ALDOC	80322578
ALG2	19731160
ALG5	21429686
ALOX5	17643088
AMBP	22538909
AMPD3	3258776
ANK1	3136876
ANKFY1	10045275
ANKRD44	8287262
ANO10	2628767
ANO6	4143602
ANP32A	234422851
ANPEP	17270825
ANXA11	291615487
ANXA3	192103640
ANXA4	346412297
ANXA5	1575350171
ANXA6	566403078
ANXA7	185505091
AOC3	251144681
AP1B1	35955794
AP1G1	34153267
AP1M1	39642007
AP2A1	62176657
AP2A2	38514424
AP2B1	137225476
AP2M1	89642641
AP2S1	83220270
