GeneID	LUAD_22N
A1BG	198230046
A2M	201773820
AARS	4303167
ABCC1	6376044
ABCD3	6415701
ABCF1	1397306
ABHD10	100196803
ABHD11	7988524
ABHD14B	3081900
ABHD16A	15537647
ABI1	12482626
ACAA1	42474112
ACAA2	400069659
ACAD8	3147319
ACAD9	17613973
ACADM	18956763
ACADS	58649746
ACADSB	14783993
ACADVL	161386297
ACAT1	276066849
ACAT2	1219744
ACE	130426337
ACIN1	38425331
ACLY	20965230
ACO1	508023
ACO2	247814543
ACOT1	24555426
ACOT13	44153036
ACOT9	57523469
ACOX1	20103413
ACP1	6401950
ACSF2	18599445
ACSL1	28920612
ACSL3	61290241
ACSL4	13828710
ACSL5	26664056
ACSS1	14714346
ACTB	NA
ACTC1	NA
ACTG1	213913493
ACTL6A	25782995
ACTN1	1018372037
ACTN4	1840182891
ACTR1A	46101918
ACTR1B	25436017
ACTR2	285608610
ACTR3	141473211
ADAM10	59458999
ADAR	5482448
ADCK3	6528660
ADD1	151541673
ADD3	143248047
ADH5	64624428
ADPGK	15387625
AEBP1	42959378
AFG3L2	9069929
AGFG1	14801652
AGK	26770653
AGL	7781935
AGO2	5693184
AGPS	19499370
AGR2	12343473
AGRN	289006306
AGT	7934436
AHCY	33717077
AIF1	129067893
AIFM1	60658401
AIMP1	31512718
AIMP2	18552732
AIP	17362576
AK1	51978402
AK2	79385833
AK3	83437924
AKAP12	46025607
AKAP2	292384738
AKAP9	3888702
AKR1A1	4242285
AKR7A2	21116116
ALB	NA
ALCAM	97040281
ALDH16A1	37312768
ALDH18A1	9803802
ALDH1A1	200555156
ALDH1B1	51550559
ALDH2	976609512
ALDH3A2	99564017
ALDH4A1	13444809
ALDH5A1	8452882
ALDH6A1	103049910
ALDH7A1	62058537
ALDH9A1	62752163
ALDOA	84614567
ALDOC	13060177
ALG2	21954063
ALG5	15189959
ALOX5	57034553
AMBP	241991386
AMPD3	1356328
ANK1	127267902
ANKFY1	3667551
ANKRD44	3657045
ANO10	10794116
ANO6	30594820
ANP32A	2983377
ANPEP	17383862
ANXA1	1302979883
ANXA11	264345938
ANXA2	NA
ANXA3	954755441
ANXA4	647599946
ANXA5	816587437
ANXA6	1572038074
ANXA7	109765210
AOC3	1326526180
AP1B1	18075213
AP1G1	9988754
AP1M1	44294063
AP2A1	61723765
AP2A2	64739405
AP2B1	99985117
AP2M1	64982851
AP2S1	110792557
AP3B1	9382672
AP3D1	7890068
AP3M1	18767280
APCS	554872427
APEH	2063384
APEX1	15331486
API5	4652280
APMAP	197120033
APOA1	293457666
APOA2	57226956
APOA4	109516910
APOB	39520613
APOC1	89014660
APOC3	390285736
APOD	15759037
APOE	60453410
APOH	358211105
APOOL	69036841
APP	8592060
APPL1	8856236
APRT	9760808
AQR	3762994
ARAP1	1189148
ARCN1	19524068
ARF1	261593703
ARF4	22990617
ARF6	14870114
ARHGAP1	4942582
ARHGAP18	7852005
ARHGDIA	378524307
ARHGDIB	86462972
ARHGEF1	4753378
ARHGEF17	2613131
ARL6IP5	637250190
ARL8A	160168291
ARL8B	3195406
ARMC10	22928579
ARPC1A	26024028
ARPC1B	27515881
