GeneID	LUAD_16T
A1BG	48513603
A2M	57702802
AARS	22682197
ABCC1	5843229
ABCD3	62564818
ABCF1	22287025
ABHD10	49888349
ABHD11	21586212
ABHD14B	50712077
ABHD16A	43640539
ABI1	27099369
ACAA1	177868468
ACAA2	52001047
ACAD8	26494790
ACAD9	10273558
ACADM	56220428
ACADS	61658288
ACADSB	95204005
ACADVL	113562621
ACAT1	331499186
ACAT2	18586963
ACE	3003128
ACIN1	41103156
ACLY	33757720
ACO1	25749460
ACO2	237152967
ACOT1	85282311
ACOT13	86823740
ACOT9	49703311
ACOX1	50189625
ACP1	70809249
ACSF2	72234847
ACSL1	78516251
ACSL3	48651266
ACSL4	7604373
ACSL5	187579711
ACSS1	47052209
ACTB	NA
ACTC1	NA
ACTG1	83982101
ACTL6A	102517179
ACTN1	1142441429
ACTN4	1882752839
ACTR1A	38889627
ACTR1B	17671120
ACTR2	351938324
ACTR3	261947992
ADAM10	18848683
ADAR	48363267
ADCK3	7529188
ADD1	56769296
ADD3	53194594
ADH5	62106249
ADPGK	28683822
AEBP1	295315304
AFG3L2	34191775
AGFG1	14202043
AGK	31448801
AGL	5450275
AGO2	18711807
AGPS	62968371
AGR2	1669450699
AGRN	19686281
AGT	1829645
AHCY	109454296
AIF1	78180456
AIFM1	255604578
AIMP1	32888912
AIMP2	27790260
AIP	31142077
AK1	107318581
AK2	425678027
AK3	87731962
AKAP12	5609320
AKAP2	6909201
AKAP9	2104024
AKR1A1	201070606
AKR7A2	61102704
ALB	NA
ALCAM	78733982
ALDH16A1	7787364
ALDH18A1	52853161
ALDH1A1	21634776
ALDH1B1	51672320
ALDH2	1043111375
ALDH3A2	88137183
ALDH4A1	45321773
ALDH5A1	29288094
ALDH6A1	183253058
ALDH7A1	108912725
ALDH9A1	144696375
ALDOA	687280813
ALDOC	95678594
ALG2	31082770
ALG5	17225693
ALOX5	36428372
AMBP	27873086
AMPD3	1736316
ANK1	890603
ANKFY1	13700560
ANKRD44	2646274
ANO10	4118030
ANO6	5496116
ANP32A	149403595
ANPEP	16570979
ANXA1	798056893
ANXA11	259314724
ANXA2	NA
ANXA3	7070705
ANXA4	383887664
ANXA5	1103148117
ANXA6	470232080
ANXA7	79067747
AOC3	94406350
AP1B1	64440719
AP1G1	42484230
AP1M1	43179407
AP2A1	61336505
AP2A2	93171246
AP2B1	196880131
AP2M1	92867855
AP2S1	117019842
AP3B1	20092112
AP3D1	26675686
AP3M1	8742471
APCS	63228762
APEH	7862293
APEX1	110382759
API5	58276714
APMAP	231309737
APOA1	315968438
APOA2	57042674
