GeneID	LUAD_07N
A1BG	296701741
A2M	208370423
AARS	4986502
ABCC1	3511881
ABCD3	14143650
ABCF1	6743836
ABHD10	20655767
ABHD11	4836342
ABHD14B	24669715
ABHD16A	12116265
ABI1	28364505
ACAA1	90031265
ACAA2	193887397
ACAD8	6286508
ACAD9	13385012
ACADM	36056952
ACADS	32723126
ACADSB	24065452
ACADVL	93419747
ACAT1	419136149
ACAT2	9893808
ACE	71486049
ACIN1	17362619
ACLY	20886060
ACO1	3632452
ACO2	141124741
ACOT1	20840194
ACOT13	124792643
ACOT9	56022498
ACOX1	9077535
ACP1	17574025
ACSF2	35439771
ACSL1	55771366
ACSL3	28047817
ACSL4	22680579
ACSL5	25416974
ACSS1	10464728
ACTG1	312355090
ACTL6A	23863800
ACTN1	441278058
ACTR1A	83276951
ACTR1B	28218320
ACTR2	210787154
ACTR3	165749429
ADAM10	40270302
ADAR	14158415
ADCK3	6816430
ADD1	105045592
ADD3	89523992
ADH5	59621144
ADPGK	36494325
AEBP1	68339504
AFG3L2	27574118
AGFG1	12078384
AGK	19148387
AGL	3376780
AGO2	11735838
AGPS	15150198
AGRN	184348106
AGT	12014138
AHCY	44838687
AIF1	103600175
AIFM1	75126419
AIMP1	46798846
AIMP2	15096869
AIP	15219175
AK1	85708934
AK2	138853354
AK3	53402231
AKAP12	31694102
AKAP2	206705871
AKAP9	1431390
AKR1A1	34164638
AKR7A2	25021401
ALCAM	74721759
ALDH16A1	17154269
ALDH18A1	12716922
ALDH1A1	239374035
ALDH1B1	30330477
ALDH2	315928454
ALDH3A2	123958086
ALDH4A1	21048926
ALDH5A1	8970698
ALDH6A1	94989940
ALDH7A1	76444338
ALDH9A1	55592396
ALDOC	13863199
ALG2	20326532
ALG5	15081203
ALOX5	42995289
AMBP	266670130
AMPD3	6335657
ANK1	72244063
ANKFY1	5292483
ANKRD44	5310928
ANO10	9354206
ANO6	50042959
ANP32A	50847753
ANPEP	11027434
ANXA11	320903187
ANXA3	741775014
ANXA4	957057553
ANXA5	1472406499
ANXA6	1288563045
ANXA7	81811627
AOC3	1612090895
AP1B1	15739598
AP1G1	17978456
AP1M1	15483883
AP2A1	65203788
AP2A2	56539539
AP2B1	137889540
AP2M1	117048142
AP2S1	45852112
AP3B1	7522314
AP3D1	6649740
AP3M1	14086097
APEH	5819840
APEX1	41481438
API5	15940614
APMAP	135693065
APOA1	1084569759
APOA2	1866341928
APOA4	184863039
APOB	26143977
APOC1	690559480
APOC3	148147744
APOD	52824995
APOE	204280824
APOH	564728915
APOOL	52985417
APP	9334951
APPL1	24725499
APRT	26084130
AQR	4696755
ARAP1	1036789
ARCN1	44273487
ARF1	264098185
ARF4	33407187
ARF6	36680283
ARHGAP1	26111659
ARHGAP18	9934573
ARHGDIA	106438961
ARHGDIB	41141496
ARHGEF1	7651745
ARHGEF17	1702708
ARL8A	152882083
ARL8B	110197533
ARMC10	15673296
ARPC1A	16276260
ARPC1B	97451128
ARPC2	106233130
ARPC3	112127348
ARPC4	132739727
ARPC5	77882118
ARPC5L	40377499
ARRB1	57780717
ASAH1	202185793
ASPH	62746513
ASPN	59799960
ATAD3A	16013646
ATIC	6990128
ATL2	7851546
ATL3	108612897
ATP13A1	10241613
ATP1A1	263190148
ATP1B1	235976140
ATP1B3	115735229
ATP2A2	119077104
ATP2A3	8234333
ATP2B1	5628851
ATP2B4	132021936
ATP2C1	5271856
ATP5A1	1027273139
ATP5C1	249895567
ATP5D	206101031
ATP5F1	292574849
ATP5H	245130180
ATP5J	290540715
ATP5J2	267509955
ATP5L	287397044
ATP5O	298822968
ATP6V0A1	33234162
ATP6V0D1	40435318
ATP6V1A	38145944
ATP6V1B2	31974986
ATP6V1C1	4945126
ATP6V1E1	39079906
ATP6V1F	24812927
ATP6V1H	10052711
BAG3	29374255
BAG5	8257199
BAG6	7032427
BANF1	796198007
BASP1	109069460
BAX	18054031
BAZ1B	4169837
BCAM	427791203
BCAP31	354473117
BCAT2	30037025
BCKDHA	32352450
BCKDHB	25767006
BCKDK	6600599
BCL2L13	8619874
BCLAF1	26764942
BCS1L	7783887
BLVRA	22762973
BLVRB	233329603
BRK1	60445680
BSG	39027713
BST1	49071824
BUB3	83518988
C14orf159	30216824
C14orf166	78447266
C16orf58	7914103
C1QB	36011783
C1QBP	37690520
C1QC	103388068
C1S	12816419
C3	190848875
C4A	7067548
C4B	92846740
C4BPA	98986433
C5	18282010
C7	11425521
C8A	20608104
C9	92296239
CA1	884704240
CA2	116484713
CACYBP	18919992
CAD	3364233
CALD1	277513490
CALU	77044458
CAMK2D	68902367
CAMK2G	48141103
CAND1	15416193
CANX	207797978
CAP1	115483229
CAPG	209013068
CAPN1	53958012
CAPN2	50921796
CAPNS1	121107804
CAPRIN1	8743402
CAPZA1	118817950
CAPZA2	203795704
CAPZB	171388625
CARKD	11688764
CASK	9400243
CAST	49292424
CAT	414906694
CBR1	50699549
CBX1	78645205
CBX3	72901399
CBX5	21756605
CCAR1	17250754
CCAR2	16810766
CCDC22	6537859
CCDC47	55423468
CCDC6	11061481
CCT2	220844507
CCT3	138537663
CCT4	110687175
CCT5	171778754
CCT6A	178895469
CCT7	158832959
CCT8	117298817
CD14	68793920
CD151	172610103
CD163	52743178
CD2AP	13465757
CD44	161092458
CD47	271959639
CD55	105770094
CD59	1552163596
CD74	140762104
CD81	417090924
CD9	967018722
CD97	17812999
CDC37	46865185
CDC42	532865193
CDC42BPA	2430493
CDC42BPB	11604935
CDC5L	16401513
CDH1	68570410
CDH13	89870117
CES1	386555782
CFH	114492422
CHCHD2	47706999
CHCHD3	194398556
CHD4	8688038
CHERP	9373409
CHID1	33016936
CHMP4B	75564288
CHMP6	19936234
CHP1	90886732
CIB1	9530897
CISD1	123147874
CISD2	20004175
CKAP4	182220507
CKAP5	2556641
CKB	89339445
CLCC1	15449239
CLEC3B	23633219
CLIC1	41199614
CLIC4	42860522
CLINT1	65736282
CLIP1	3905982
CLPB	8311413
CLTB	186313012
CLTC	331451964
CNDP2	50402556
CNN2	57867965
CNN3	43296228
CNOT1	3098595
CNP	44211244
CNPY2	57140177
CNPY3	17751173
COL12A1	97078376
COL14A1	445697241
COL15A1	39345254
COL18A1	151679415
COL3A1	88517096
COL4A1	236700059
COL4A2	242135010
COL6A3	1676193141
COLGALT1	21628199
COMT	194906755
COPA	38817043
COPB1	23164805
COPB2	27450434
COPE	33061805
COPG1	25136971
COPS2	7351830
COPS3	13149174
COPS4	16349272
COQ5	9944666
COQ9	15789012
CORO1A	84361000
CORO1B	40784239
CORO1C	178465381
COTL1	36925222
COX4I1	158111131
COX5A	328819094
COX5B	461640759
COX6B1	243566224
COX7A2	166741319
CP	130710770
CPM	25577250
CPNE1	46121871
CPNE2	20026628
CPNE3	154403057
CPOX	8369312
CPSF1	3234629
CPSF3	5904866
CPT1A	19307122
CPT2	35076767
CRAT	6494435
CRELD1	9473834
CRIP2	270191915
CRKL	16171098
CROCC	22626830
CRYAB	168446547
CRYZ	31455331
CS	128630363
CSDE1	5679258
CSE1L	4217049
CSK	7458097
CSNK1A1	13425823
CSNK2A1	63580028
CSNK2A2	37075550
CSNK2B	34207539
CSPG4	25798256
CSRP1	526103543
CSRP2	54625946
CTBP1	33492170
CTNNB1	169706069
CTNND1	143393104
CTSA	6051202
CTSB	51294469
CTSC	9548709
CTSD	281400414
CTSH	75274390
CTSS	7761292
CTSZ	42248325
CTTN	55848385
CUL3	2335292
CUX1	2090530
CYB5B	81392077
CYB5R1	139465098
CYB5R3	539312011
CYBB	16473217
CYC1	66913972
CYFIP1	38095995
CYP20A1	16190116
CYP27A1	24931024
DAD1	80473582
DAG1	34512151
DARS	43536800
DARS2	5356151
DAZAP1	56867996
DBI	188830951
DBN1	45176240
DBNL	47067420
DBT	46253437
DCTN1	53635119
DCTN2	114729791
DCTN4	20350119
DCXR	78645205
DDAH1	94778476
DDAH2	108845010
DDB1	22088407
DDOST	114978885
DDRGK1	17631441
DDX1	51075795
DDX17	74592269
DDX18	4108576
DDX23	13653835
DDX39B	99962304
DDX3X	39553114
DDX5	69524320
DDX6	25200900
DECR1	121868344
DEK	18073228
DERA	12413609
DHRS7	82590091
DHRS7B	12743041
DHX15	30955316
DHX30	1803514
DHX9	105508952
DIABLO	23892087
DIAPH1	4049539
DKC1	18395483
DLAT	63693785
DLD	111654771
DLST	130145813
DNM1L	7277467
DNM2	37180270
DNPEP	72648269
DOCK1	1317523
DOCK11	2729860
DOCK2	2476929
DOCK4	6699273
DOCK6	3962662
DOCK9	5841778
DPM1	41888137
DPYSL2	495064253
DPYSL3	169313130
DST	2630311
DSTN	214464207
DTX3L	4840809
DTYMK	12861769
DUT	27871664
DYNC1H1	74187743
DYNC1I2	39659638
DYNC1LI1	12609560
DYNC1LI2	49147181
DYNLL1	167575707
DYNLRB1	142376350
DYSF	40729495
ECE1	9993936
ECH1	135392758
ECHDC1	24901894
ECHS1	209646271
ECI1	58514424
ECI2	25542963
ECM1	12040352
EDC4	5565141
EEA1	25511294
EEF1B2	54447822
EEF1D	118043640
EEF1E1	16736059
EEF1G	87987359
EEF2	86666869
EEFSEC	6464784
EFEMP1	185357288
EFEMP2	56788697
EFHD2	37585828
EFR3A	6069499
EFTUD2	45309138
EGFR	22266344
EHD1	173468836
EHD2	715767756
EHD3	53712608
EHD4	92472661
EHHADH	5543917
EIF1	104825199
EIF2AK2	11546729
EIF2S1	74308271
EIF2S2	33365397
EIF2S3	27603887
EIF3A	38869294
EIF3B	44142640
EIF3C	31264424
EIF3D	24378138
EIF3E	25643291
EIF3F	12505774
EIF3G	18239392
EIF3H	31815493
EIF3I	61702391
EIF3L	34652938
EIF3M	20278843
EIF4A1	62111746
EIF4A2	51151126
EIF4A3	145772839
EIF5	12327389
EIF5A	217015825
EIF6	54190624
ELAVL1	28115145
ELMO1	13121372
ELMO2	4413159
ELMOD2	23365309
EMC1	12466191
EMC2	33935584
EMD	95765445
EMILIN1	516461493
EMILIN2	16663361
EML4	8172474
ENDOD1	28603628
ENG	15605019
ENPP4	13966401
ENTPD1	82928715
EPB41	42000937
EPB41L1	8765576
EPB41L2	128908174
EPB41L3	21460462
EPCAM	53322768
EPN1	39132701
EPPK1	13162786
EPRS	32679242
EPS15	12453834
EPS15L1	12428921
EPS8L2	23476493
ERAP1	19811924
ERBB2IP	2184590
ERGIC1	197800364
ERGIC2	1007164
ERH	192859461
ERLEC1	6907689
ERLIN1	14419766
ERLIN2	137263946
ERMP1	31935204
ERO1L	28779618
ERP29	130435541
ERP44	88685722
ESD	55504027
ESYT1	136328022
ESYT2	83107871
ETFA	132998016
ETFB	133873858
ETFDH	12888011
ETHE1	51924298
EVL	18985696
EVPL	96883019
EWSR1	84965918
EXOC1	8221910
EXOC2	6975152
EXOC3	11293177
EXOC4	6120137
EXOC7	9382037
EXOC8	6311717
EZR	237390439
F11R	93034558
F13A1	100567882
F2	76761372
F9	41019452
FABP5	203353519
FAF2	30874959
FAHD1	26441032
FAHD2A	12301639
FAM120A	17499946
FAM129A	20211688
FAM129B	42484971
FAM21C	2928410
FAM3C	7665283
FAM49B	8561968
FAM98B	21404814
FARP1	22927796
FARSA	29695695
FARSB	20191960
FASN	17307775
FBL	70839537
FBLN1	454479970
FBLN2	148481525
FBLN5	265868754
FBN1	509934965
FBP1	62326122
FCGRT	13191616
FCHO2	7024967
FDPS	10337044
FDXR	15201059
FECH	18660008
FERMT2	91940908
FERMT3	8696011
FH	45564123
FHL2	20535661
FHOD1	16225780
FKBP15	4289040
FKBP2	65952205
FKBP3	44716217
FKBP8	15706154
FKBP9	13357250
FLII	25228060
FLNB	125066255
FLNC	30690991
FLOT1	122124305
FLOT2	128084245
FMNL1	3970167
FMNL2	3809524
FMR1	7566064
FNDC3A	1078268
FSCN1	29194669
FUBP1	43953277
FUBP3	13848738
FUS	172168255
FXR1	10191647
FYCO1	6488363
G3BP1	24870054
G6PD	37534535
GALNT2	13246510
GARS	4827243
GATD3A	108394932
GBA	3817050
GBAS	79693852
GBF1	4154090
GBP1	9043608
GC	119583652
GCA	53555843
GCN1L1	8213930
GDI1	7822983
GDI2	65622907
GFM1	6040193
