GeneID	LUAD_08N
A1BG	276342197
A2M	302811955
AARS	1725379
ABCC1	4627158
ABCD3	15147975
ABCF1	3629539
ABHD10	39186912
ABHD11	6166727
ABHD14B	17609828
ABHD16A	17296957
ABI1	54985155
ACAA1	87963409
ACAA2	300418119
ACAD8	11253893
ACAD9	16934095
ACADM	37069224
ACADS	69162497
ACADSB	22748111
ACADVL	126739984
ACAT1	374307655
ACAT2	4734905
ACE	94770723
ACIN1	18378499
ACLY	17571204
ACO1	1235873
ACO2	144340820
ACOT1	21204779
ACOT13	116457196
ACOT9	59205640
ACOX1	8943749
ACP1	10568812
ACSF2	30305268
ACSL1	33660857
ACSL3	39745525
ACSL4	10338767
ACSL5	29581544
ACSS1	13503233
ACTB	NA
ACTC1	NA
ACTG1	199107460
ACTL6A	15824766
ACTN1	529177649
ACTN4	1103458008
ACTR1A	62124476
ACTR1B	24383019
ACTR2	157630050
ACTR3	149993367
ADAM10	57663216
ADAR	11634416
ADCK3	4614343
ADD1	132346363
ADD3	89899118
ADH5	35301240
ADPGK	34919505
AEBP1	97530798
AFG3L2	15806351
AGFG1	10220238
AGK	22365521
AGL	1086774
AGO2	12964857
AGPS	15788537
AGR2	166959922
AGRN	204155171
AGT	11770172
AHCY	29770129
AIF1	92221923
AIFM1	64883385
AIMP1	39461464
AIMP2	13749089
AIP	7427238
AK1	56743578
AK2	129620260
AK3	103892394
AKAP12	21168590
AKAP2	168255655
AKAP9	967055
AKR1A1	21354461
AKR7A2	27907252
ALB	NA
ALCAM	46576281
ALDH16A1	19183073
ALDH18A1	8577249
ALDH1A1	206630016
ALDH1B1	31036081
ALDH2	236132651
ALDH3A2	96734095
ALDH4A1	17278113
ALDH5A1	4471273
ALDH6A1	122257952
ALDH7A1	59748272
ALDH9A1	111483401
ALDOA	214621950
ALDOC	13192317
ALG2	22482240
ALG5	16182401
ALOX5	16020059
AMBP	255248812
AMPD3	10448758
ANK1	208345532
ANKFY1	3370068
ANKRD44	2183015
ANO10	19492242
ANO6	38216311
ANP32A	15562199
ANPEP	11242129
ANXA1	1299258282
ANXA11	288491880
ANXA2	NA
ANXA3	350948866
ANXA4	709710337
ANXA5	807824474
ANXA6	1028209064
ANXA7	102606217
AOC3	1712712926
AP1B1	12717275
AP1G1	10188805
AP1M1	19421775
AP2A1	57272294
AP2A2	36567512
AP2B1	120468536
AP2M1	256002115
AP2S1	42926218
AP3B1	6599080
AP3D1	7653747
AP3M1	9413767
APCS	912888302
APEH	2779526
APEX1	13777463
API5	12499682
APMAP	185699223
APOA1	1520511046
APOA2	422771483
APOA4	334474022
APOB	35155870
APOC1	1548236928
APOC3	331617899
APOD	123591618
APOE	370504763
APOH	862381166
APOOL	45386157
APP	8507143
APPL1	16917031
APRT	18486269
AQR	3815862
ARAP1	1064141
ARCN1	28357752
ARF1	136641443
ARF4	24985515
ARF6	15367124
ARHGAP1	17217570
ARHGAP18	6087326
ARHGDIA	77301243
ARHGDIB	28643131
ARHGEF1	3498346
ARHGEF17	2981749
ARL6IP5	650093643
ARL8A	113895683
ARL8B	40602712
ARMC10	3210131
ARPC1A	19070571
ARPC1B	81918250
ARPC2	86443297
ARPC3	69418402
ARPC4	262569931
ARPC5	36521274
ARPC5L	37382074
ARRB1	22721781
ASAH1	114656326
ASPH	55165192
ASPN	343828831
ATAD3A	31425250
ATIC	10706983
ATL2	5347577
ATL3	114159145
ATP13A1	9346724
ATP1A1	294884263
ATP1B1	225078531
ATP1B3	92403312
ATP2A2	123330573
ATP2A3	13517269
ATP2B1	9995376
ATP2B4	103208526
ATP2C1	3867703
