GeneID	LUAD_15N
A1BG	205624225
A2M	248594513
AARS	1899256
ABCC1	1031831
ABCD3	2506247
ABCF1	296007
ABHD10	5053959
ABHD11	707215
ABHD14B	36805429
ABHD16A	5930945
ABI1	12523222
ACAA1	33005717
ACAA2	106112926
ACAD8	982962
ACAD9	8324001
ACADM	18196164
ACADS	13311407
ACADSB	4697977
ACADVL	77352631
ACAT1	208952296
ACAT2	4743214
ACE	51159995
ACIN1	6923837
ACLY	8453780
ACO1	2436580
ACO2	38867053
ACOT1	8166007
ACOT13	1558171
ACOT9	20210326
ACOX1	5841497
ACP1	25683952
ACSF2	8087972
ACSL1	12487905
ACSL3	10419211
ACSL4	2239609
ACSL5	7330321
ACSS1	1659245
ACTB	NA
ACTC1	NA
ACTG1	244128901
ACTL6A	5310880
ACTN1	460972811
ACTN4	895918980
ACTR1A	67073092
ACTR1B	19721325
ACTR2	137072313
ACTR3	131996369
ADAM10	14092798
ADAR	5525997
ADCK3	572066
ADD1	100477784
ADD3	49471031
ADH5	18639944
ADPGK	9056632
AEBP1	36233564
AFG3L2	8370979
AGFG1	7852008
AGK	6190904
AGL	241896
AGO2	9157862
AGPS	6710407
AGR2	129484441
AGRN	63421149
AGT	11648696
AHCY	43428023
AIF1	45977082
AIFM1	31217689
AIMP1	19879105
AIMP2	7439913
AIP	6765677
AK1	249733898
AK2	59147090
AK3	37915260
AKAP12	22667595
AKAP2	164634174
AKAP9	203837
AKR1A1	15831867
AKR7A2	19529310
ALB	NA
ALCAM	23596122
ALDH16A1	17709032
ALDH18A1	3939723
ALDH1A1	143467295
ALDH1B1	5243147
ALDH2	609389120
ALDH3A2	48252597
ALDH4A1	5402210
ALDH5A1	3209764
ALDH6A1	36504938
ALDH7A1	25990698
ALDH9A1	29816620
ALDOA	139299647
ALDOC	4107980
ALG2	2941597
ALG5	9031346
ALOX5	9250889
AMBP	134039016
AMPD3	1632510
ANK1	276957343
ANKFY1	1797183
ANKRD44	777242
ANO10	2044040
ANO6	13920483
ANP32A	13543860
ANPEP	2472323
ANXA1	1169073977
ANXA11	213106629
ANXA2	NA
ANXA3	377357462
ANXA4	353744987
ANXA5	756046359
ANXA6	784411055
ANXA7	161350207
AOC3	1038217580
AP1B1	5200893
AP1G1	8347124
AP1M1	13817735
AP2A1	32529378
AP2A2	26821378
AP2B1	91583309
AP2M1	31488468
AP2S1	38709296
AP3B1	6499454
AP3D1	3584697
AP3M1	4910070
APCS	447964165
APEH	5788308
APEX1	22263737
API5	5615848
APMAP	65552396
APOA1	1147601478
APOA2	718608191
APOA4	88412398
APOB	11616246
APOC1	387164796
APOC3	170148142
APOD	21973363
APOE	85842152
APOH	237259931
APOOL	15566853
APP	2083044
APPL1	6123403
APRT	3970319
AQR	643875
ARAP1	152887
ARCN1	21263953
ARF1	327140939
ARF4	63889659
ARF6	30231612
ARHGAP1	12997532
ARHGAP18	1532145
ARHGDIA	163474713
ARHGDIB	72483996
ARHGEF1	2385482
ARHGEF17	1969206
ARL6IP5	630852242
ARL8A	65703801
ARL8B	25899151
ARMC10	12254393
ARPC1A	2186951
ARPC1B	54720211
ARPC2	105412073
ARPC3	70844050
ARPC4	122125265
ARPC5	104228842
ARPC5L	8536875
ARRB1	10539829
ASAH1	111872457
ASPH	32592359
ASPN	110162196
ATAD3A	8839806
ATIC	4883367
ATL2	2207108
ATL3	95313506
ATP13A1	3819075
ATP1A1	243032917
ATP1B1	53434203
ATP1B3	14822158
ATP2A2	59272323
ATP2A3	9044430
ATP2B1	4326792
ATP2B4	73208631
ATP2C1	1025633
ATP5A1	623076799
ATP5B	794352223
ATP5C1	274339743
ATP5D	214092816
ATP5F1	100775622
ATP5H	155658088
ATP5J	362765878
ATP5J2	197847166
ATP5L	77151679
ATP5O	99625466
ATP6V0A1	3354884
ATP6V0D1	14539459
ATP6V1A	18608387
ATP6V1B2	6082571
ATP6V1C1	1809623
ATP6V1E1	28934287
ATP6V1F	17853275
ATP6V1H	4102046
B2M	316130920
BAG3	6326801
BAG5	2172666
BAG6	3673440
BANF1	536804254
BASP1	30482975
BAX	20404432
BAZ1B	689317
BCAM	296906910
BCAP31	195795020
BCAT2	13943310
BCKDHA	1920027
BCKDHB	4619633
BCKDK	1650542
BCL2L13	2308919
BCLAF1	8891384
BCS1L	1612019
BGN	1617898423
BLVRA	21033488
BLVRB	615969493
BRK1	23089375
BSG	44930996
BST1	6701730
BUB3	33376470
C14orf159	8655444
C14orf166	30178962
C16orf58	4420537
C1QB	41622268
C1QBP	63108149
C1QC	49056849
C1S	4002588
C3	179520510
C4A	5865693
C4B	76953687
C4BPA	15494467
C5	29923828
C7	2224757
C8A	2626752
C9	10947216
CA1	2009588697
CA2	480309745
CACYBP	1688691
CAD	1732685
CALD1	288127332
CALM3	1422963058
CALR	260796903
CALU	131147376
CAMK2D	27641626
CAMK2G	18825359
CAND1	14306128
CANX	181558525
CAP1	103625361
CAPG	250785163
CAPN1	50115609
CAPN2	35230350
CAPNS1	139738077
CAPRIN1	7582182
CAPZA1	114902118
CAPZA2	191452516
CAPZB	171330290
CARKD	5914764
CASK	1581127
CAST	30834123
CAT	590491318
CAV1	1020764007
CBR1	42038498
CBX1	58325054
CBX3	123578251
CBX5	19342279
CCAR1	4096961
CCAR2	8631428
CCDC22	4569435
CCDC47	7906784
CCDC6	4431785
CCT2	168997731
CCT3	151791127
CCT4	71398299
CCT5	121769116
CCT6A	167724711
CCT7	94455077
CCT8	146354814
CD14	24650573
CD151	54406191
CD163	3678273
CD2AP	4320677
CD44	72298643
CD47	101051668
CD55	10510230
CD59	408181049
CD74	97444099
CD81	298379705
CD9	241017114
CD97	8513586
CDC37	26124091
CDC42	112215093
CDC42BPA	392503
CDC42BPB	2462792
CDC5L	5459257
CDH1	12149054
CDH13	46930984
CES1	347674097
CFH	37128247
CFL1	496410639
CHCHD2	18339000
CHCHD3	68484411
CHD4	3416383
CHERP	773799
CHID1	9074289
CHMP4B	19372607
CHMP6	15372081
CHP1	13270755
CIB1	1737648
CISD1	45683963
CISD2	27980489
CKAP4	149804112
CKAP5	1361525
CKB	69144621
CLCC1	2021828
CLEC3B	25230841
CLIC1	84763314
CLIC4	24980767
CLINT1	42302700
CLIP1	1699976
CLPB	847533
CLTB	76101049
CLTC	235299158
CLU	527435847
CNDP2	21862626
CNN2	36981139
CNN3	15163089
CNOT1	471185
CNP	10617374
CNPY2	39537331
CNPY3	1217524
COL12A1	155127271
COL14A1	332734645
COL15A1	34058360
COL18A1	99907612
COL1A1	488304440
COL1A2	659976294
COL3A1	162403332
COL4A1	133165255
COL4A2	210648262
COL6A1	1534298693
COL6A2	1243781792
COL6A3	1358789663
