GeneID	LUAD_17N
A1BG	134314276
A2M	311314377
AARS	6865387
ABCC1	2939889
ABCD3	19408041
ABCF1	13106011
ABHD10	39222755
ABHD11	10911257
ABHD14B	14999982
ABHD16A	22352539
ABI1	43341443
ACAA1	77323748
ACAA2	227994163
ACAD8	11494958
ACAD9	25688230
ACADM	67614561
ACADS	42583712
ACADSB	29216145
ACADVL	184364622
ACAT1	404159027
ACAT2	5222761
ACE	20376341
ACIN1	20457217
ACLY	34660628
ACO1	4349542
ACO2	143362344
ACOT1	42914058
ACOT13	86157031
ACOT9	79130943
ACOX1	16210725
ACP1	11187313
ACSF2	13419091
ACSL1	68412196
ACSL3	43757035
ACSL4	10873670
ACSL5	24282927
ACSS1	7495713
ACTB	NA
ACTC1	NA
ACTG1	238485236
ACTL6A	28843444
ACTN1	1079761217
ACTN4	1529948419
ACTR1A	69658097
ACTR1B	27932090
ACTR2	229805128
ACTR3	262223323
ADAM10	50382360
ADAR	20235364
ADCK3	8909098
ADD1	104517468
ADD3	132036226
ADH5	60719041
ADPGK	44181257
AEBP1	55652730
AFG3L2	25793871
AGFG1	15014001
AGK	25219482
AGL	4431002
AGO2	10624480
AGPS	46179193
AGR2	88898204
AGRN	180882065
AGT	14443973
AHCY	50958376
AIF1	67434267
AIFM1	117515486
AIMP1	54207643
AIMP2	19170891
AIP	19241965
AK1	32650885
AK2	146573268
AK3	115925079
AKAP12	57845404
AKAP2	48171139
AKAP9	1368195
AKR1A1	57135433
AKR7A2	23962019
ALB	NA
ALCAM	17285271
ALDH16A1	23049240
ALDH18A1	18945265
ALDH1A1	195639390
ALDH1B1	170824935
ALDH2	240158678
ALDH3A2	115066273
ALDH4A1	39588970
ALDH5A1	13680268
ALDH6A1	66795743
ALDH7A1	52609586
ALDH9A1	104698298
ALDOA	344714103
ALDOC	14559631
ALG2	51618080
ALG5	27635921
ALOX5	72790001
AMBP	175245743
AMPD3	6580469
ANK1	243229694
ANKFY1	14153966
ANKRD44	11146347
ANO10	15477733
ANO6	32433324
ANP32A	21391273
ANPEP	33619120
ANXA1	1358621219
ANXA11	362841414
ANXA2	NA
ANXA3	150196739
ANXA4	583217393
ANXA5	776871973
ANXA6	1399390025
ANXA7	250702198
AOC3	1134232241
AP1B1	20395428
AP1G1	16268389
AP1M1	21204844
AP2A1	105690840
AP2A2	61301225
AP2B1	158276827
AP2M1	96964371
AP2S1	150488692
AP3B1	18908450
AP3D1	17880215
AP3M1	22791241
APCS	1379809019
APEH	5072185
APEX1	32539919
API5	19831116
APMAP	232709223
APOA1	540574807
APOA2	573052172
APOA4	229240204
APOB	51488851
APOC1	282657292
APOC3	354511964
APOD	192098915
APOE	328798318
APOH	1204115014
APOOL	57517596
APP	2283622
