GeneID	LUAD_18N
A1BG	173638915
A2M	304777429
AARS	1889009
ABCC1	6355971
ABCD3	3272902
ABCF1	4965213
ABHD10	42153939
ABHD11	8723911
ABHD14B	25220728
ABHD16A	20797632
ABI1	81856415
ACAA1	34538911
ACAA2	222451949
ACAD8	2850360
ACAD9	19964725
ACADM	22507353
ACADS	92477335
ACADSB	48056905
ACADVL	138538423
ACAT1	216449337
ACAT2	3003953
ACE	76009112
ACIN1	16498060
ACLY	40548608
ACO1	1457519
ACO2	110713915
ACOT1	11812983
ACOT13	37709664
ACOT9	63943386
ACOX1	5629104
ACP1	23597608
ACSF2	8331755
ACSL1	24748903
ACSL3	41045111
ACSL4	11254886
ACSL5	12849026
ACSS1	7142769
ACTB	NA
ACTC1	NA
ACTG1	56789333
ACTL6A	20678519
ACTN1	554243105
ACTN4	900252333
ACTR1A	60575528
ACTR1B	31578325
ACTR2	109479383
ACTR3	106444496
ADAM10	107124395
ADAR	10415049
ADCK3	9740598
ADD1	113445706
ADD3	152624289
ADH5	44710618
ADPGK	51081096
AEBP1	112247001
AFG3L2	11561224
AGFG1	11070113
AGK	13518506
AGL	1293923
AGO2	9699571
AGPS	10181917
AGR2	71764232
AGRN	329377028
AGT	13893753
AHCY	8079296
AIF1	23245137
AIFM1	69299536
AIMP1	20501796
AIMP2	13488886
AIP	12072215
AK1	34614791
AK2	52933416
AK3	59790211
AKAP12	38319441
AKAP2	174500712
AKAP9	335675
AKR1A1	14774659
AKR7A2	11749512
ALB	NA
ALCAM	66782496
ALDH16A1	14438323
ALDH18A1	8323470
ALDH1A1	196395760
ALDH1B1	120470690
ALDH2	513855340
ALDH3A2	170566335
ALDH4A1	7693602
ALDH5A1	2736158
ALDH6A1	72732720
ALDH7A1	73774568
ALDH9A1	57839936
ALDOA	104746384
ALDOC	5594814
ALG2	19503618
ALG5	11698110
ALOX5	58221903
AMBP	672521764
AMPD3	2417868
ANK1	448443030
ANKFY1	5550802
ANKRD44	1567308
ANO10	11646850
ANO6	65819084
ANP32A	10312366
ANPEP	8030142
ANXA1	922142353
ANXA11	250595277
ANXA2	NA
ANXA3	339181746
ANXA4	463424011
ANXA5	1175642123
ANXA6	1159299240
ANXA7	84397471
AOC3	1676132001
AP1B1	30838623
AP1G1	20278805
AP1M1	16236165
AP2A1	62254938
AP2A2	70577727
AP2B1	143708047
AP2M1	153879028
AP2S1	125766187
AP3B1	9463433
AP3D1	13801767
AP3M1	14792500
APCS	NA
APEH	3756227
APEX1	7633519
API5	4387247
APMAP	170989603
APOA1	483776174
APOA2	225893993
APOA4	99600209
APOB	61816340
APOC1	717233768
APOC3	431906257
APOD	2050689
APOE	152175827
APOH	744964238
APOOL	27135598
APP	7375668
APPL1	11279689
APRT	9918917
AQR	6153062
ARAP1	1690284
ARCN1	15558364
ARF1	291084094
ARF4	52353853
ARF6	18232571
ARHGAP1	28075123
ARHGAP18	5066741
ARHGDIA	219715256
ARHGDIB	45341207
ARHGEF1	3311790
ARHGEF17	2282151
ARL6IP5	1386076624
ARL8A	136518429
ARL8B	87214166
ARMC10	14858929
ARPC1A	10077697
ARPC1B	11033131
ARPC2	84708821
ARPC3	8553860
ARPC4	126077330
ARPC5	54783168
ARPC5L	40139725
ARRB1	16534911
ASAH1	253002227
ASPH	68150934
ASPN	890098727
ATAD3A	21661248
ATIC	7390230
ATL2	6592211
ATL3	176945879
ATP13A1	11396013
ATP1A1	347585727
ATP1B1	194850309
ATP1B3	233038816
ATP2A2	122587395
ATP2A3	26473089
ATP2B1	5231327
ATP2B4	53456003
ATP2C1	805150
ATP5A1	878714972
ATP5B	1312184199
ATP5C1	397357303
ATP5D	119920269
ATP5F1	113973222
ATP5H	298769949
ATP5J	263053827
ATP5J2	566718989
ATP5L	217692673
ATP5O	225161959
ATP6V0A1	13741041
ATP6V0D1	18300214
ATP6V1A	23708008
ATP6V1B2	12624463
ATP6V1C1	4835065
ATP6V1E1	19408574
ATP6V1F	26784189
ATP6V1H	1097511
B2M	588254035
BAG3	18678923
BAG5	10109495
BAG6	4091447
BANF1	649164871
BASP1	21634904
BAX	10550111
BAZ1B	4131961
BCAM	638946107
BCAP31	141290702
BCAT2	43274399
BCKDHA	22283737
BCKDHB	10681065
BCKDK	893900
BCL2L13	17030409
BCLAF1	10151191
BCS1L	17696687
BGN	NA
BLVRA	5095601
BLVRB	148370733
BRK1	30386398
BSG	25790758
BST1	128353724
BUB3	53124486
C14orf159	32230751
C14orf166	83244893
C16orf58	14197899
C1QB	171429078
C1QBP	88079904
C1QC	66664853
C1S	21743761
C3	268648614
C4A	6393533
C4B	144433753
C4BPA	325081479
C5	31207711
C7	19296922
C8A	13050766
C9	84559627
CA1	453130557
CA2	71624050
CACYBP	7821861
CAD	2681359
CALD1	228800610
CALM3	2089419741
CALR	505330275
CALU	89730961
CAMK2D	38485544
CAMK2G	39105126
CAND1	25420200
CANX	286631953
CAP1	153474560
CAPG	98979170
CAPN1	66198770
CAPN2	23484560
CAPNS1	127793671
CAPRIN1	8826079
CAPZA1	195883898
CAPZA2	383960637
CAPZB	81084158
CARKD	12113198
CASK	9433826
CAST	50598620
CAT	191541824
CAV1	1878419112
CBR1	55166600
CBX1	48579152
CBX3	45267841
CBX5	17996772
CCAR1	15005828
CCAR2	5923462
CCDC22	3093275
CCDC47	29441867
CCDC6	7207415
