GeneID	LUAD_06N
A1BG	273083297
A2M	749624326
AARS	1840786
ABCC1	5325664
ABCD3	2487533
ABCF1	282673
ABHD10	17283172
ABHD11	1992218
ABHD14B	25398274
ABHD16A	4206604
ABI1	19339751
ACAA1	52411210
ACAA2	218996911
ACAD8	2632034
ACAD9	6928503
ACADM	36616571
ACADS	33384302
ACADSB	22563431
ACADVL	51835403
ACAT1	281975024
ACAT2	12736629
ACE	16451477
ACIN1	6873247
ACLY	14032408
ACO1	883570
ACO2	108476287
ACOT1	17834576
ACOT13	45252395
ACOT9	35652704
ACOX1	1759968
ACP1	49005517
ACSF2	23255287
ACSL1	17057057
ACSL3	16498811
ACSL4	6228277
ACSL5	5017078
ACSS1	4818671
ACTB	NA
ACTC1	1767205133
ACTG1	173416207
ACTL6A	10389968
ACTN1	309193227
ACTN4	518343148
ACTR1A	36943969
ACTR1B	27703184
ACTR2	151039949
ACTR3	135376164
ADAM10	11751507
ADAR	5851060
ADCK3	1787143
ADD1	88221473
ADD3	39374199
ADH5	16910244
ADPGK	33322025
AEBP1	29525750
AFG3L2	9925846
AGFG1	4514042
AGK	6582812
AGL	1037585
AGO2	23484741
AGPS	5566616
AGR2	185612946
AGRN	171171955
AGT	11623211
AHCY	38449068
AIF1	107288470
AIFM1	61297534
AIMP1	8302067
AIMP2	4037930
AIP	6532187
AK1	74222459
AK2	133725091
AK3	51416700
AKAP12	10953691
AKAP2	30429736
AKAP9	242887
AKR1A1	13907661
AKR7A2	23108778
ALB	NA
ALCAM	45701861
ALDH16A1	10442263
ALDH18A1	5961472
ALDH1A1	141800380
ALDH1B1	12030177
ALDH2	412319052
ALDH3A2	62680151
ALDH4A1	14233287
ALDH5A1	6414279
ALDH6A1	43624008
ALDH7A1	67296846
ALDH9A1	59900034
ALDOA	266994203
ALDOC	4315008
ALG2	9713040
ALG5	6882118
ALOX5	14398486
AMBP	254934927
AMPD3	6515378
ANK1	493589518
ANKFY1	1366104
ANKRD44	1030101
ANO10	1342022
ANO6	22316579
ANP32A	17590501
ANPEP	4474543
ANXA1	1511822736
ANXA11	312284517
ANXA2	NA
ANXA3	470707510
ANXA4	474568956
ANXA5	975021850
ANXA6	758672996
ANXA7	121352178
AOC3	714336339
AP1B1	13648372
AP1G1	3763167
AP1M1	11559858
AP2A1	42975856
AP2A2	26342254
AP2B1	59537245
AP2M1	223343007
AP2S1	19965223
AP3B1	3870400
AP3D1	3917873
AP3M1	3209995
APCS	497368413
APEH	9365499
APEX1	17203931
API5	5503617
APMAP	85693331
APOA1	2077419937
APOA2	1264455226
APOA4	206714263
APOB	38306590
APOC1	1439733271
APOC3	306169512
APOD	126069415
APOE	209056479
APOH	644342592
APOOL	18671059
APP	2056337
APPL1	5054808
APRT	8850322
AQR	1677949
ARAP1	1120699
ARCN1	29620831
ARF1	162610101
ARF4	19815471
ARF6	19847834
ARHGAP1	11075755
ARHGAP18	1613061
ARHGDIA	37008613
ARHGDIB	43545591
ARHGEF1	1755570
ARHGEF17	289852
ARL6IP5	404344314
ARL8A	86007441
ARL8B	20950937
ARMC10	3806906
ARPC1A	7791477
ARPC1B	132203191
ARPC2	93963875
ARPC3	59775055
ARPC4	85362218
ARPC5	49109008
ARPC5L	33153937
ARRB1	15514523
ASAH1	142674233
ASPH	44118620
ASPN	336695764
ATAD3A	10608985
ATIC	7750355
ATL2	2994034
ATL3	39967720
ATP13A1	5531077
ATP1A1	149628846
ATP1B1	137459510
ATP1B3	34341362
ATP2A2	50601204
ATP2A3	6077270
ATP2B1	5664702
ATP2B4	67716518
