GeneID	LUAD_20N
A1BG	184643755
A2M	149122802
AARS	1606250
ABCC1	4197658
ABCD3	16306779
ABCF1	6278166
ABHD10	42681972
ABHD11	12158531
ABHD14B	22079178
ABHD16A	38525854
ABI1	51378444
ACAA1	39070641
ACAA2	216957700
ACAD8	4964093
ACAD9	17000331
ACADM	28375833
ACADS	49621095
ACADSB	31266604
ACADVL	122292485
ACAT1	342079832
ACAT2	2935631
ACE	97709341
ACIN1	12374162
ACLY	33999724
ACO1	976625
ACO2	150518809
ACOT1	22390707
ACOT13	69941607
ACOT9	60861494
ACOX1	14935677
ACP1	27406171
ACSF2	23386548
ACSL1	53526080
ACSL3	28660067
ACSL4	7455496
ACSL5	26009207
ACSS1	8354974
ACTB	NA
ACTC1	NA
ACTG1	36083927
ACTL6A	12614001
ACTN1	581354730
ACTN4	1267291912
ACTR1A	57271888
ACTR1B	36574100
ACTR2	78548528
ACTR3	104043382
ADAM10	79116792
ADAR	11148251
ADCK3	7151352
ADD1	75317497
ADD3	94560088
ADH5	35400855
ADPGK	31342090
AEBP1	96720897
AFG3L2	16703875
AGFG1	8877489
AGK	35598075
AGL	2093669
AGO2	5894105
AGPS	15634330
AGR2	205774803
AGRN	322894956
AGT	4507251
AHCY	7660542
AIF1	40699231
AIFM1	68212083
AIMP1	32255530
AIMP2	15564696
AIP	7682211
AK1	64820440
AK2	85076135
AK3	113726523
AKAP12	44579155
AKAP2	175810348
AKAP9	1084758
AKR1A1	14466524
AKR7A2	31539173
ALB	NA
ALCAM	117369075
ALDH16A1	10435482
ALDH18A1	11020841
ALDH1A1	92617646
ALDH1B1	106495587
ALDH2	676991040
ALDH3A2	116251940
ALDH4A1	17058555
ALDH5A1	10178141
ALDH6A1	75462773
ALDH7A1	60484214
ALDH9A1	51856434
ALDOA	88893454
ALDOC	9884474
ALG2	16874672
ALG5	17207229
ALOX5	25557317
AMBP	726735311
AMPD3	4678826
ANK1	175320254
ANKFY1	2104783
ANKRD44	2551986
ANO10	20254853
ANO6	39896716
ANP32A	8689275
ANPEP	16980392
ANXA1	1033990055
ANXA11	402599336
ANXA2	NA
ANXA3	350275916
ANXA4	665761804
ANXA5	1094332155
ANXA6	1286404771
ANXA7	162714650
AOC3	1755758907
AP1B1	24133768
AP1G1	6082554
AP1M1	15223715
AP2A1	56914552
AP2A2	43690193
AP2B1	125613329
AP2M1	83679924
AP2S1	100283070
AP3B1	7529685
AP3D1	7990200
AP3M1	8560342
APCS	1975881052
APEH	3333300
APEX1	8085671
API5	3525262
APMAP	270599395
APOA1	389621448
APOA2	291578893
APOA4	165608593
APOB	29372284
APOC1	617448955
APOC3	260211830
APOD	30013250
APOE	303718213
APOH	821302250
APOOL	43508896
APP	13123886
APPL1	15722078
APRT	23839443
AQR	6732752
ARAP1	688469
ARCN1	13251321
ARF1	224052197
ARF4	35173386
ARF6	56308242
ARHGAP1	14775402
ARHGAP18	5447527
ARHGDIA	148011902
ARHGDIB	48222056
ARHGEF1	2594448
ARHGEF17	2019330
ARL6IP5	1305883254
ARL8A	143149872
ARL8B	75021228
ARMC10	15825478
ARPC1A	8714941
ARPC1B	30993824
ARPC2	105298358
ARPC3	67216739
ARPC4	82330510
ARPC5	49861633
ARPC5L	27372140
ARRB1	24364307
ASAH1	148347376
ASPH	56575530
ASPN	488089889
ATAD3A	22027019
ATIC	4406595
ATL2	10680992
ATL3	159650748
ATP13A1	9783743
ATP1A1	457654110
ATP1B1	332519310
ATP1B3	234983681
ATP2A2	128399514
ATP2A3	23792471
ATP2B1	7297992
ATP2B4	122556669
ATP2C1	3379465
ATP5A1	1144025807
ATP5B	1446247910
ATP5C1	315396788
ATP5D	714246071
ATP5F1	125318332
ATP5H	347335535
ATP5J	368015196
ATP5J2	287307663
ATP5L	167054743
ATP5O	308231564
ATP6V0A1	24691492
ATP6V0D1	18737138
ATP6V1A	16541858
ATP6V1B2	13053301
ATP6V1C1	2811725
ATP6V1E1	15188169
ATP6V1F	17597425
ATP6V1H	5659719
B2M	173492760
BAG3	26578200
BAG5	6421388
BAG6	6187706
BANF1	406484648
BASP1	15873762
BAX	25722424
BAZ1B	5040631
BCAM	754478867
BCAP31	314103967
BCAT2	29408511
BCKDHA	21308347
BCKDHB	9996365
BCKDK	6230835
BCL2L13	8006528
BCLAF1	9894196
BCS1L	9043984
BGN	NA
BLVRA	1515731
BLVRB	165228634
BRK1	36383675
BSG	50241363
BST1	48948853
BUB3	22881759
C14orf159	25037080
C14orf166	49021527
C16orf58	12710489
C1QB	104638673
C1QBP	135012804
C1QC	160863325
C1S	10576675
C3	203041515
C4A	7376367
C4B	100919507
C4BPA	152002169
C5	50989337
C7	17113398
C8A	26370440
C9	154399331
CA1	292602938
CA2	61463791
CACYBP	7931487
CAD	2806858
CALD1	340693225
CALM3	1500678452
CALR	552952175
CALU	119994557
CAMK2D	29518143
CAMK2G	29554740
CAND1	11009022
CANX	269813891
CAP1	74612780
CAPG	82008156
CAPN1	65795415
CAPN2	37019696
CAPNS1	82826247
CAPRIN1	8840884
CAPZA1	139475938
CAPZA2	230991271
CAPZB	199550159
CARKD	10523180
CASK	11489396
CAST	30392127
CAT	274417890
CAV1	1683948002
CBR1	55260076
CBX1	35549264
CBX3	29037032
CBX5	20070251
CCAR1	12871508
CCAR2	9924691
CCDC22	2317329
CCDC47	32296757
CCDC6	6441729
CCT2	209423881
CCT3	189793835
CCT4	99082880
CCT5	134410591
CCT6A	153262198
CCT7	108961101
CCT8	163131590
CD14	266203722
CD151	72759544
CD163	19902338
CD2AP	7257135
CD44	76206774
CD47	452799778
CD55	119720133
CD59	1528046913
