GeneID	LUAD_11N
A1BG	214657830
A2M	348935854
AARS	6075409
ABCC1	1848931
ABCD3	7414988
ABCF1	2436615
ABHD10	24826828
ABHD11	7889308
ABHD14B	13911032
ABHD16A	14323139
ABI1	14517107
ACAA1	71399263
ACAA2	330044880
ACAD8	3909709
ACAD9	24623636
ACADM	28390595
ACADS	52914913
ACADSB	42842669
ACADVL	136363022
ACAT1	314839537
ACAT2	9143851
ACE	47329506
ACIN1	7879352
ACLY	16920014
ACO1	7852653
ACO2	199547197
ACOT1	23115394
ACOT13	60515222
ACOT9	55503578
ACOX1	7754919
ACP1	16745578
ACSF2	37159543
ACSL1	59228377
ACSL3	22634373
ACSL4	11018688
ACSL5	14864704
ACSS1	12185820
ACTB	NA
ACTC1	NA
ACTG1	301319608
ACTL6A	12638588
ACTN1	482187807
ACTN4	1022742607
ACTR1A	39045139
ACTR1B	11031546
ACTR2	233180445
ACTR3	176835877
ADAM10	21461287
ADAR	5630857
ADCK3	5205012
ADD1	58213223
ADD3	87799160
ADH5	71241258
ADPGK	23731901
AEBP1	48087415
AFG3L2	13509546
AGFG1	9154104
AGK	19764857
AGL	1774230
AGO2	4306634
AGPS	11806253
AGR2	325257375
AGRN	118274142
AGT	24587481
AHCY	36520885
AIF1	150128086
AIFM1	73495388
AIMP1	23023848
AIMP2	10030188
AIP	7249898
AK1	135611275
AK2	135993008
AK3	70656160
AKAP12	16349381
AKAP2	61306198
AKAP9	158338
AKR1A1	31911668
AKR7A2	30334984
ALB	NA
ALCAM	35385651
ALDH16A1	15385898
ALDH18A1	7961570
ALDH1A1	185832976
ALDH1B1	46437925
ALDH2	779936207
ALDH3A2	91280196
ALDH4A1	19169012
ALDH5A1	11692331
ALDH6A1	74452430
ALDH7A1	46019357
ALDH9A1	73063003
ALDOA	259384554
ALDOC	31035770
ALG2	14213841
ALG5	14553392
ALOX5	36408895
AMBP	144427681
AMPD3	1221296
ANK1	174962537
ANKFY1	5438926
ANKRD44	2839689
ANO10	8126771
ANO6	14305595
ANP32A	30199754
ANPEP	25629860
ANXA1	1582498458
ANXA11	261386953
ANXA2	NA
ANXA3	478985054
ANXA4	562694727
ANXA5	1423696317
ANXA6	748291595
ANXA7	230879070
AOC3	965812350
AP1B1	46900750
AP1G1	9937191
AP1M1	26541333
AP2A1	67832312
AP2A2	43287254
AP2B1	129324388
AP2M1	309260372
AP2S1	68919213
AP3B1	4053854
AP3D1	8520630
AP3M1	8910422
APCS	928437714
APEH	10066402
APEX1	42264607
API5	14714346
APMAP	165340794
APOA1	1516876304
APOA2	724452111
APOA4	53781923
APOB	52543918
APOC1	772426942
APOC3	274879107
APOD	124385436
APOE	188771351
APOH	606972249
APOOL	36464071
APP	1523247
APPL1	7727208
APRT	15325316
AQR	496709
ARAP1	997279
ARCN1	17199949
ARF1	367386376
ARF4	54897344
ARF6	50074941
ARHGAP1	17357157
ARHGAP18	4579541
ARHGDIA	339410443
ARHGDIB	66301357
ARHGEF1	5612744
ARHGEF17	308469
ARL6IP5	709829771
ARL8A	114369952
ARL8B	11991570
ARMC10	9790897
ARPC1A	14250073
ARPC1B	157210629
ARPC2	156382487
ARPC3	140474007
ARPC4	243704828
ARPC5	77014509
ARPC5L	13183657
ARRB1	26039583
ASAH1	113484739
ASPH	50330161
ASPN	159803706
ATAD3A	15610088
ATIC	12812934
ATL2	4385602
ATL3	143214075
ATP13A1	10520664
ATP1A1	260433664
ATP1B1	97506643
ATP1B3	49444667
ATP2A2	99103071
ATP2A3	11330782
ATP2B1	4370568
ATP2B4	64027980
ATP2C1	3389283
ATP5A1	796965856
ATP5B	1008027309
ATP5C1	371194921
ATP5D	405579587
