GeneID	LUAD_15T
A1BG	98727566
A2M	277078607
AARS	54353653
ABCC1	1840863
ABCD3	35198823
ABCF1	19089665
ABHD10	21545179
ABHD11	27071595
ABHD14B	101476607
ABHD16A	7989810
ABI1	16871689
ACAA1	92851784
ACAA2	188360796
ACAD8	5554327
ACAD9	15269565
ACADM	63220896
ACADS	18309191
ACADSB	12879196
ACADVL	89907193
ACAT1	401862352
ACAT2	26322287
ACE	5290155
ACIN1	9447404
ACLY	43816487
ACO1	41433556
ACO2	249009689
ACOT1	8664143
ACOT13	103464530
ACOT9	42308654
ACOX1	12042151
ACP1	48841590
ACSF2	17437578
ACSL1	49196126
ACSL3	14194480
ACSL4	4168755
ACSL5	24442375
ACSS1	40132614
ACTB	NA
ACTC1	NA
ACTG1	145920158
ACTL6A	20632323
ACTN1	328733165
ACTN4	812675170
ACTR1A	67458042
ACTR1B	14162185
ACTR2	291915207
ACTR3	323358806
ADAM10	3766360
ADAR	21136827
ADCK3	2303695
ADD1	32613300
ADD3	8934111
ADH5	56498942
ADPGK	29063083
AEBP1	27451987
AFG3L2	24615902
AGFG1	6733342
AGK	28763605
AGL	5606605
AGO2	8681330
AGPS	26385062
AGR2	NA
AGRN	28245690
AGT	31838383
AHCY	208185445
AIF1	106690039
AIFM1	91953814
AIMP1	52750173
AIMP2	20283647
AIP	17250264
AK1	119201791
AK2	215479271
AK3	47769750
AKAP12	8607237
AKAP2	11765334
AKAP9	2055718
AKR1A1	264731328
AKR7A2	62607479
ALB	NA
ALCAM	22980264
ALDH16A1	30151137
ALDH18A1	51860186
ALDH1A1	242831165
ALDH1B1	9801953
ALDH2	701353254
ALDH3A2	84462331
ALDH4A1	60632449
ALDH5A1	10820622
ALDH6A1	79147871
ALDH7A1	137183004
ALDH9A1	125131176
ALDOA	838312611
ALDOC	76339879
ALG2	10940835
ALG5	9283468
ALOX5	32569637
AMBP	26352936
AMPD3	4028630
ANK1	55064062
ANKFY1	7326540
ANKRD44	4782862
ANO10	2665247
ANO6	2951171
ANP32A	187841782
ANPEP	12827337
ANXA1	1225801587
ANXA11	161757560
ANXA2	NA
ANXA3	101827423
ANXA4	277961193
ANXA5	1174252664
ANXA6	472464269
ANXA7	174488374
AOC3	191804183
AP1B1	38139763
AP1G1	16533127
AP1M1	28880751
AP2A1	39478748
AP2A2	23730444
AP2B1	94374490
AP2M1	37641036
AP2S1	43519259
AP3B1	8897849
AP3D1	10546804
AP3M1	5333071
APCS	250579215
APEH	28007846
APEX1	49267897
API5	17987937
APMAP	256614967
APOA1	1797981194
APOA2	331337108
APOA4	163978703
APOB	14729711
APOC1	285767182
APOC3	207631868
APOD	79697660
APOE	181466228
APOH	319631077
APOOL	29933474
APP	1936348
APPL1	14915862
APRT	48554947
AQR	1719429
ARAP1	2413112
ARCN1	100270627
ARF1	987008843
ARF4	318355407
ARF6	104476551
ARHGAP1	54027873
ARHGAP18	8414400
ARHGDIA	525307064
ARHGDIB	500230573
ARHGEF1	11801757
ARHGEF17	490382
ARL6IP5	155616214
ARL8A	114195118
ARL8B	30115282
ARMC10	27734649
ARPC1A	11130360
ARPC1B	275266924
ARPC2	368483000
ARPC3	170823673
ARPC4	287793858
ARPC5	149339929
ARPC5L	8066965
ARRB1	46266558
ASAH1	267193050
ASPH	35336068
ASPN	26907913
ATAD3A	54266037
ATIC	44744462
ATL2	1189470
ATL3	54179806
ATP13A1	19739985
ATP1A1	221099384
ATP1B1	117447809
ATP1B3	53167742
ATP2A2	122453658
ATP2A3	5358012
ATP2B1	3630942
ATP2B4	20514487
ATP2C1	5367248
ATP5A1	884419482
ATP5B	1263068132
ATP5C1	245973588
ATP5D	856608913
ATP5F1	265592259
ATP5H	219763590
ATP5J	214805747
ATP5J2	246689103
ATP5L	327481520
ATP5O	336726850
ATP6V0A1	16287827
ATP6V0D1	80468645
ATP6V1A	130439975
ATP6V1B2	57257560
ATP6V1C1	8175836
ATP6V1E1	96096272
ATP6V1F	60346696
ATP6V1H	15657964
B2M	692277022
BAG3	4273411
BAG5	2135083
BAG6	13911009
BANF1	464388998
BASP1	135045610
BAX	89754692
BAZ1B	5503130
BCAM	63438855
BCAP31	320915295
BCAT2	92307597
BCKDHA	15141402
BCKDHB	20397412
BCKDK	11324402
BCL2L13	8440362
BCLAF1	10917858
BCS1L	3928610
BGN	821010340
BLVRA	160678971
BLVRB	628561162
BRK1	62091260
BSG	47996081
BST1	5493103
BUB3	79424436
C14orf159	13233715
C14orf166	59286673
C16orf58	7765368
C1QB	127305092
C1QBP	123488396
C1QC	103240134
C1S	17191907
C3	210584642
C4A	3510282
C4B	135627574
C4BPA	126776251
C5	26740511
C7	3424833
C8A	21917975
C9	25020766
CA1	1411295531
CA2	326160687
CACYBP	69519634
CAD	15225718
CALD1	168767352
CALM3	1881108691
CALR	1626010778
CALU	595442334
CAMK2D	25942332
CAMK2G	9100314
CAND1	51103227
CANX	370053644
CAP1	317102779
CAPG	643349700
CAPN1	84746208
CAPN2	106274263
CAPNS1	195365415
CAPRIN1	37689740
CAPZA1	210019594
CAPZA2	198298920
CAPZB	396433335
CARKD	10232746
CASK	5317970
CAST	34640875
CAT	284812932
CAV1	305735025
CBR1	145557146
CBX1	18382598
CBX3	147915488
CBX5	23905134
CCAR1	6683044
CCAR2	11063578
CCDC22	11715768
CCDC47	35706068
CCDC6	9456510
CCT2	180026833
CCT3	139355327
CCT4	162480789
CCT5	136862920
CCT6A	146257421
CCT7	149676942
