GeneID	LUAD_07T
A1BG	142355693
A2M	303649674
AARS	49368694
ABCC1	3525893
ABCD3	24358458
ABCF1	19766634
ABHD10	25385904
ABHD11	64190838
ABHD14B	91900672
ABHD16A	11389218
ABI1	19565759
ACAA1	80408836
ACAA2	386362415
ACAD8	35821169
ACAD9	9543642
ACADM	53087877
ACADS	5361012
ACADSB	35074435
ACADVL	67054090
ACAT1	290283202
ACAT2	62116716
ACE	4004540
ACIN1	18049141
ACLY	35860557
ACO1	81999983
ACO2	342568892
ACOT1	44206154
ACOT13	343608635
ACOT9	72003075
ACOX1	11769384
ACP1	86598713
ACSF2	53831272
ACSL1	43977654
ACSL3	20015250
ACSL4	7914191
ACSL5	42128187
ACSS1	39686286
ACTB	NA
ACTC1	1258925971
ACTG1	105309722
ACTL6A	48255830
ACTN1	328375316
ACTN4	724287631
ACTR1A	36584372
ACTR1B	24902717
ACTR2	487190010
ACTR3	336745355
ADAM10	9264252
ADAR	28225025
ADCK3	14130195
ADD1	37790955
ADD3	22150260
ADH5	156334895
ADPGK	19888900
AEBP1	12783225
AFG3L2	14290272
AGFG1	10599834
AGK	32479389
AGL	25084887
AGO2	14387922
AGPS	8593546
AGR2	1893119368
AGRN	21649065
AGT	19607714
AHCY	234668421
AIF1	148379982
AIFM1	158262104
AIMP1	66957040
AIMP2	31192209
AIP	27483427
AK1	134258147
AK2	656308829
AK3	74066898
AKAP12	8651720
AKAP2	13749068
AKAP9	1756260
AKR1A1	760125228
AKR7A2	166626296
ALB	NA
ALCAM	75805888
ALDH16A1	20593124
ALDH18A1	72291245
ALDH1A1	510766518
ALDH1B1	21849925
ALDH2	224535146
ALDH3A2	91453632
ALDH4A1	41946571
ALDH5A1	25034985
ALDH6A1	222283457
ALDH7A1	120008539
ALDH9A1	297601731
ALDOA	NA
ALDOC	221727489
ALG2	9075362
ALG5	19104160
ALOX5	31160787
AMBP	52750769
AMPD3	5602980
ANK1	26556874
ANKFY1	12050955
ANKRD44	11672779
ANO10	2283886
ANO6	2773686
ANP32A	165405045
ANPEP	5512945
ANXA1	1067135953
ANXA11	247276765
ANXA2	2123657554
ANXA3	114328611
ANXA4	754143927
ANXA5	1292322060
ANXA6	528142953
ANXA7	74417776
AOC3	360522312
AP1B1	30651681
AP1G1	39311782
AP1M1	29572648
AP2A1	55744964
AP2A2	34093794
AP2B1	131921585
AP2M1	182407139
AP2S1	76725177
AP3B1	12770173
AP3D1	11398997
AP3M1	13068833
APCS	388006010
APEH	27589329
APEX1	176157432
API5	29317232
APMAP	256981048
APOA1	1430294372
APOA2	2020583644
APOA4	145669887
APOB	15701042
APOC1	369334372
APOC3	117489087
APOD	576447134
APOE	175776996
APOH	275354503
APOOL	79847242
APP	3178209
APPL1	12392293
APRT	174095194
AQR	5320664
ARAP1	3745511
ARCN1	199483651
ARF1	623841463
ARF4	210111515
ARF6	72818543
ARHGAP1	159866841
ARHGAP18	7622196
ARHGDIA	309505456
ARHGDIB	545732296
ARHGEF1	8964399
ARHGEF17	495121
ARL6IP5	460293688
ARL8A	115422938
ARL8B	56869482
ARMC10	22799589
ARPC1A	15503351
ARPC1B	314750584
ARPC2	223979662
ARPC3	380195207
ARPC4	246676491
ARPC5	197563426
ARPC5L	39027320
ARRB1	61576326
ASAH1	211098323
ASPH	117945043
ASPN	36929337
ATAD3A	41357426
ATIC	79348136
ATL2	7858155
ATL3	86314007
ATP13A1	14804422
ATP1A1	340153005
ATP1B1	311519420
ATP1B3	19528092
ATP2A2	80135941
ATP2A3	2192434
ATP2B1	2250659
ATP2B4	32117275
ATP2C1	11261405
ATP5A1	628850478
ATP5B	1080694343
ATP5C1	307560104
ATP5D	222886513
ATP5F1	268927258
ATP5H	228790028
ATP5J	100405788
ATP5J2	139479320
ATP5L	254981017
ATP5O	288403279
ATP6V0A1	44712056
ATP6V0D1	91296459
ATP6V1A	53546416
ATP6V1B2	70916628
ATP6V1C1	20841582
ATP6V1E1	54180992
ATP6V1F	46975522
ATP6V1H	21047760
B2M	1329378974
BAG3	12687729
BAG5	6951170
BAG6	16380523
BANF1	707744838
BASP1	141791838
BAX	33043866
BAZ1B	5217126
BCAM	29089207
BCAP31	400977783
BCAT2	60370306
BCKDHA	60711329
BCKDHB	36668503
BCKDK	34337476
BCL2L13	12195511
BCLAF1	70457250
BCS1L	13179075
BGN	394524344
BLVRA	207931892
BLVRB	937673764
BRK1	64001144
BSG	79218202
BST1	13626620
BUB3	83317620
C14orf159	54729175
C14orf166	87919193
C16orf58	23064507
C1QB	7474591
C1QBP	66005453
C1QC	107123556
C1S	13735035
C3	199984539
C4A	4466511
C4B	130119071
C4BPA	33199513
C5	6977881
C7	15380951
C8A	7533971
C9	50585740
CA1	1453495610
CA2	206968360
CACYBP	126375529
CAD	8689411
CALD1	116549488
CALM3	1628553287
CALR	1054540969
CALU	194112923
CAMK2D	46257525
CAMK2G	21152103
CAND1	42505047
CANX	243171813
CAP1	573067382
CAPG	789834099
CAPN1	86023559
CAPN2	44656849
CAPNS1	185628546
CAPRIN1	25470772
CAPZA1	206456020
CAPZA2	175350025
CAPZB	391482064
CARKD	14305779
CASK	28569807
CAST	103066376
CAT	213845504
CAV1	172986821
CBR1	249485251
CBX1	46861757
CBX3	55815109
CBX5	21718008
CCAR1	17265442
CCAR2	17946956
CCDC22	12844590
CCDC47	78091431
CCDC6	14572251
CCT2	144474095
CCT3	109492917
CCT4	102898562
CCT5	130626624
CCT6A	133147774
CCT7	128034119
CCT8	110314552
CD14	23383732
CD151	38885935
CD163	26669868
CD2AP	23256120
CD44	61845212
CD47	22081228
CD55	23205934
CD59	356267083
CD74	367826964
CD81	146562958
CD9	350950476
CD97	9779990
CDC37	112643651
CDC42	675690433
CDC42BPA	1702573
CDC42BPB	5276993
CDC5L	19911557
CDH1	67150336
CDH13	3228116
CES1	64970686
CFH	72584761
CFL1	1977870076
CHCHD2	110534243
CHCHD3	169304755
CHD4	13693360
CHERP	6880845
CHID1	99871261
CHMP4B	129559018
CHMP6	11085377
CHP1	50920363
CIB1	22450457
CISD1	397751082
CISD2	23231981
CKAP4	170025808
CKAP5	7546865
CKB	20903376
CLCC1	22677304
CLEC3B	16301408
CLIC1	256288996
CLIC4	44316299
CLINT1	168954379
CLIP1	2719574
CLPB	5235013
CLTB	192746821
CLTC	489704804
CLU	638092062
CNDP2	170797910
CNN2	48001930
CNN3	65526250
CNOT1	3157427
CNP	21804686
CNPY2	111600322
CNPY3	30884409
COL12A1	1215488
COL14A1	63912528
COL15A1	9197962
COL18A1	26208992
COL1A1	10894890
COL1A2	12486285
COL3A1	3919914
COL4A1	15985171
COL4A2	15321073
COL6A1	155685472
COL6A2	180711348
COL6A3	173367537
COLGALT1	18339540
COMT	154310110
COPA	95470896
COPB1	89203092
COPB2	78955507
COPE	69040517
COPG1	72926786
COPS2	11525146
COPS3	14914791
COPS4	26787395
COQ5	9354096
COQ9	35359464
CORO1A	205352420
CORO1B	81229502
CORO1C	100214364
COTL1	354801189
COX4I1	665971706
COX5A	257608163
COX5B	396112061
COX6B1	432281688
COX7A2	344714714
CP	280350500
CPM	9965684
CPNE1	128764082
CPNE2	4285178
CPNE3	70033921
CPOX	7929059
CPSF1	6410257
CPSF3	10446861
CPT1A	8175938
CPT2	87032171
CRAT	12958359
CRELD1	3863529
CRIP2	204794480
CRKL	21254209
CROCC	11580406
CRYAB	19145051
CRYZ	235854029
CS	177809641
CSDE1	13560519
CSE1L	13316502
CSK	15953971
CSNK1A1	4540033
CSNK2A1	85320416
CSNK2A2	25673643
CSNK2B	28787246
CSPG4	1185551
CSRP1	184293115
CSRP2	54898517
CSTB	928229511
CTBP1	32408364
CTNNB1	165045444
CTNND1	90313960
CTSA	23771886
CTSB	361925137
CTSC	30036909
CTSD	735822226
CTSH	121564788
CTSS	66458759
CTSZ	170424147
CTTN	95637698
CUL3	11780302
CUX1	5135696
CYB5A	213213654
CYB5B	76051681
CYB5R1	112236149
CYB5R3	304601999
CYBB	13291620
CYC1	104372326
CYFIP1	24107102
CYP20A1	21430438
CYP27A1	17744902
DAD1	141530886
DAG1	8734732
DARS	94560061
DARS2	28043002
DAZAP1	78359640
DBI	965630503
DBN1	16741134
DBNL	43078027
DBT	62774642
DCN	196745063
DCTN1	29842318
DCTN2	84278192
DCTN4	13721111
DCXR	127548621
DDAH1	497321113
DDAH2	56652311
DDB1	48947301
DDOST	88692991
DDRGK1	20882246
DDX1	67701980
DDX17	88542300
DDX18	6795940
DDX23	16412064
DDX39B	322391206
DDX3X	58935336
DDX5	94397332
DDX6	18015502
DECR1	120676840
DEK	43655443
DERA	10294952
DHRS7	118386571
DHRS7B	25137903
DHX15	45474843
DHX30	1865506
DHX9	132922037
DIABLO	60056759
DIAPH1	29805411
DKC1	28726051
DLAT	37873079
DLD	58319055
DLST	135848847
DNM1L	11156151
DNM2	29156423
DNPEP	86750962
DOCK1	1577507
DOCK11	941225
DOCK2	2708682
DOCK4	736054
DOCK6	953420
DOCK9	1281446
DPM1	37967348
DPT	28074237
DPYSL2	293896765
DPYSL3	261994481
DST	717698
DSTN	444338992
DTX3L	5107469
DTYMK	17780558
DUT	18932166
DYNC1H1	70135256
DYNC1I2	37289224
DYNC1LI1	10532322
DYNC1LI2	59803007
DYNLL1	121325895
DYNLRB1	135306459
DYSF	3003405
ECE1	1469202
ECH1	191348662
ECHDC1	46627657
ECHS1	492321509
ECI1	195435769
ECI2	19669051
ECM1	1442657
EDC4	10280999
EEA1	26844947
EEF1A1	1193232821
EEF1B2	195023035
EEF1D	326035258
EEF1E1	27678028
EEF1G	389774096
EEF2	472295884
EEFSEC	5787343
EFEMP1	101990962
EFEMP2	28417861
EFHD2	40182070
EFR3A	1268972
EFTUD2	56268876
EGFR	7059842
EHD1	34298996
EHD2	97465649
EHD3	4442374
EHD4	38640902
EHHADH	628794
EIF1	152212592
EIF2AK2	20279853
EIF2S1	84417818
EIF2S2	50006153
EIF2S3	77234291
EIF3A	34218830
EIF3B	51056241
EIF3C	32742828
EIF3D	37608572
EIF3E	32595526
EIF3F	25274900
EIF3G	21130809
EIF3H	39635594
EIF3I	75410103
EIF3L	35483413
EIF3M	31895188
EIF4A1	208446037
EIF4A2	56042326
EIF4A3	174898174
EIF5	32965063
EIF5A	680902338
EIF6	119769148
ELAVL1	97130912
ELMO1	9911222
ELMO2	3230913
ELMOD2	25644577
EMC1	16020312
EMC2	22194496
EMD	137244575
EMILIN1	143562750
EMILIN2	7597545
EML4	110090333
ENDOD1	16491451
ENG	11641191
ENO1	NA
ENPP4	14064278
ENTPD1	6736716
EPB41	30832332
EPB41L1	12996087
EPB41L2	32153814
EPB41L3	5299863
EPCAM	23306663
EPHX1	449983697
EPN1	20698386
EPPK1	23852119
EPRS	84951817
EPS15	11054370
EPS15L1	6674249
EPS8L2	3492779
ERAP1	32444751
ERBB2IP	2285776
ERGIC1	274527919
ERGIC2	6378143
ERH	313663200
ERLEC1	8814304
