GeneID	RNA.seq_LADC57
DDX11L1	0
WASH7P	823
MIR6859-1	30
LOC100996442	58
LOC729737	1567
DDX11L17	0
WASH9P	837
MIR6859-2	17
LOC112268260	9
LOC100132287	623
LOC105378947	1
MIR12136	907
OR4F16	4
100133331	535
107984841	63
107984847	88
107984849	29
LOC100288069	61
LINC01409	42
FAM87B	20
LINC00115	54
LINC01128	340
FAM41C	9
LOC284600	3
LINC02593	20
LOC107985728	9
SAMD11	175
NOC2L	1670
KLHL17	222
PLEKHN1	87
PERM1	13
HES4	24
ISG15	329
AGRN	5479
LOC100288175	11
112267874	7
LOC105378948	54
RNF223	0
C1orf159	228
LINC01342	10
MIR200B	3
MIR200A	2
MIR429	16
TTLL10-AS1	9
TTLL10	34
TNFRSF18	65
TNFRSF4	158
SDF4	3320
B3GALT6	391
C1QTNF12	6
UBE2J2	940
LINC01786	75
SCNN1D	164
ACAP3	697
SNORD167	8
PUSL1	297
INTS11	1755
MIR6727	7
CPTP	783
TAS1R3	32
DVL1	1955
MIR6808	5
MXRA8	838
AURKAIP1	1422
CCNL2	5660
MRPL20-AS1	641
MRPL20	1649
107984868	53
ANKRD65	1426
LOC105378585	51
TMEM88B	13
LINC01770	449
LOC107985729	266
VWA1	4163
ATAD3C	383
ATAD3B	1097
ATAD3A	608
TMEM240	10
SSU72	2572
FNDC10	598
LOC105378586	33
MIB2	1401
MMP23B	95
CDK11B	1588
SLC35E2B	2495
MMP23A	65
CDK11A	1110
SLC35E2A	1144
LOC112268218	223
NADK	2565
GNB1	6750
LOC105378949	5
CALML6	42
TMEM52	22
CFAP74	15
LOC107984872	1
LOC105378589	5
GABRD	27
LOC105378590	0
LOC105378591	4
PRKCZ	1869
PRKCZ-AS1	194
FAAP20	1693
LOC112268219	237
LOC105378593	30
SKI	3255
MORN1	115
LOC100129534	48
RER1	3556
PEX10	772
PLCH2	315
PANK4	515
HES5	3
TNFRSF14-AS1	608
TNFRSF14	2110
LOC100996583	7
PRXL2B	565
MMEL1	110
MMEL1-AS1	4
TTC34	58
LOC105378598	1
LOC107984904	0
PRDM16-DT	336
PRDM16	924
LOC105378606	6
LOC107984909	5
LOC105378604	21
ARHGEF16	1047
MEGF6	3186
LOC105378608	10
105378607	0
TPRG1L	2075
WRAP73	550
TP73	68
TP73-AS3	2
TP73-AS1	1056
CCDC27	12
SMIM1	117
LRRC47	1670
CEP104	1338
DFFB	252
107984910	5
C1orf174	445
LINC01134	4
AJAP1	5
LOC107984911	0
NPHP4	445
KCNAB2	897
CHD5	1
RPL22	11904
107985733	186
RNF207-AS1	10
RNF207	317
ICMT	2317
LINC00337	1
GPR153	148
ACOT7	308
HES2	33
ESPN	63
TNFRSF25	225
PLEKHG5	325
NOL9	707
TAS1R1	11
LOC107984912	2
ZBTB48	663
KLHL21	1254
LOC107984913	15
PHF13	520
THAP3	558
DNAJC11	833
CAMTA1-DT	9
CAMTA1	677
LOC105376689	107
VAMP3	3756
PER3	385
UTS2	43
TNFRSF9	49
PARK7	4794
ERRFI1	3740
LOC107984915	0
LINC01714	2
SLC45A1	9
RERE	3459
RERE-AS1	9
ENO1	24927
MIR6728	2
ENO1-AS1	10
CA6	2
SLC2A5	44
GPR157	480
MIR34AHG	648
MIR34A	4
LNCTAM34A	50
H6PD	2430
SPSB1	709
LINC02606	18
SLC25A33	388
TMEM201	205
107985734	11
PIK3CD	538
PIK3CD-AS1	0
PIK3CD-AS2	47
CLSTN1	3388
CTNNBIP1	1393
LOC105376717	103
LZIC	853
NMNAT1	263
RBP7	103
UBE4B	1497
KIF1B	1530
105376725	11
PGD	4244
CENPS-CORT	297
CENPS	304
CORT	9
DFFA	1280
PEX14	578
CASZ1	593
LOC105376733	41
C1orf127	198
TARDBP	4646
MASP2	117
SRM	530
EXOSC10	1444
EXOSC10-AS1	49
MTOR	1262
MTOR-AS1	22
ANGPTL7	1
UBIAD1	388
LOC105376739	0
LOC105376740	1
DISP3	0
112268221	0
FBXO2	125
FBXO44	587
FBXO6	421
MAD2L2	245
DRAXIN	6
AGTRAP	1173
C1orf167	327
MTHFR	1400
CLCN6	966
NPPA-AS1	158
NPPA	14
KIAA2013	1728
PLOD1	2051
MFN2	2459
MIIP	756
MIR6729	8
TNFRSF8	14
MIR7846	0
TNFRSF1B	1421
107984917	3
VPS13D	1919
SNORA59A	15
LINC02766	4
DHRS3	1367
MIR6730	3
AADACL4	0
C1orf158	6
LRRC38	1
PDPN	336
PRDM2	1514
KAZN	336
LOC107985467	7
LOC105376759	1
LOC107985469	1
TMEM51-AS1	52
TMEM51	618
TMEM51-AS2	3
FHAD1	66
FHAD1-AS1	15
LOC101927441	5
EFHD2	1604
CTRC	1
CELA2A	1
CELA2B	15
CASP9	424
DNAJC16	625
AGMAT	24
DDI2	1656
RSC1A1	153
PLEKHM2	1871
SLC25A34	32
SLC25A34-AS1	2
TMEM82	1
FBLIM1	395
UQCRHL	46
FLJ37453	181
SPEN	1747
ZBTB17	786
SRARP	7
HSPB7	54
CLCNKA	15
CLCNKB	13
FAM131C	0
EPHA2	2407
LOC101927479	76
ARHGEF19	1094
ANO7L1	216
CPLANE2	157
FBXO42	922
SZRD1	2225
SPATA21	1366
NECAP2	2005
LINC01772	45
CROCCP3	229
RNU1-1	0
LINC01783	11
NBPF1	617
105376794	429
CROCCP2	255
MST1P2	680
LOC107985736	180
RNU1-3	0
ESPNP	27
MST1L	3245
LOC112267871	48
LOC105376805	201
CROCC	743
MFAP2	109
LOC105376806	42
ATP13A2	1269
SDHB	1485
PADI2	389
LINC02783	0
PADI1	0
PADI3	0
PADI4	8
PADI6	1
RCC2	1812
ARHGEF10L	554
ACTL8	0
IGSF21	35
KLHDC7A	271
PAX7	156
ALDH4A1	636
IFFO2	1058
UBR4	3478
EMC1-AS1	40
EMC1	1020
MRTO4	525
AKR7L	13
AKR7A3	39
LOC100506730	96
AKR7A2	1235
SLC66A1	605
CAPZB	3892
MICOS10	660
MICOS10-NBL1	1132
RPS14P3	34
NBL1	866
HTR6	1
TMCO4	1258
RNF186	0
OTUD3	1825
PLA2G2A	89
PLA2G5	20
PLA2G2D	136
PLA2G2F	0
PLA2G2C	1
UBXN10	175
101928017	19
LOC105376825	8
VWA5B1	1
LINC01141	2
CAMK2N1	185
MUL1	828
FAM43B	8
CDA	38
PINK1	1509
MIR6084	50
PINK1-AS	1440
DDOST	5392
KIF17	51
SH2D5	1
112268222	1377
HP1BP3	4105
EIF4G3	1726
LOC105376830	5
LOC105376829	4
ECE1	1401
ECE1-AS1	9
NBPF3	506
ALPL	6049
LINC02596	2
RAP1GAP	13013
USP48	2536
LDLRAD2	1349
HSPG2	5442
LINC01635	17
LINC00339	753
CDC42-AS1	45
CDC42	7870
WNT4	177
LOC105376845	29
LOC105376850	1
LOC107985377	23
ZBTB40	1248
EPHA8	0
C1QA	5997
C1QC	6177
C1QB	7763
EPHB2	96
MIR4253	3
KDM1A	1871
LUZP1	513
HTR1D	0
LINC01355	206
HNRNPR	3685
ZNF436	343
ZNF436-AS1	44
TCEA3	2628
ASAP3	1285
E2F2	21
LOC101928163	0
LOC105376859	9
ID3	1252
MDS2	5
RPL11	18622
ELOA	2942
ELOA-AS1	480
PITHD1	1355
LOC105376860	331
LYPLA2	1794
GALE	2432
HMGCL	2116
LOC105376861	18
FUCA1	3763
CNR2	8
PNRC2	3435
SRSF10	4048
LOC105376863	9
LOC107984931	3
MYOM3	3
IL22RA1	7
IFNLR1	693
LINC02800	0
GRHL3-AS1	13
GRHL3	27
STPG1	261
NIPAL3	1278
RCAN3AS	6
RCAN3	721
NCMAP-DT	84
NCMAP	910
SRRM1	3295
CLIC4	4558
RUNX3	297
107984932	0
RUNX3-AS1	19
SYF2	1713
RSRP1	3241
LOC105376882	1
RHD	34
TMEM50A	2043
RHCE	1214
MACO1	850
LDLRAP1	1036
MAN1C1	283
SELENON	3700
MTFR1L	1201
LOC646471	312
AUNIP	279
PAQR7	453
STMN1	1234
MIR3917	114
PAFAH2	797
101928216	4
EXTL1	2
SLC30A2	0
TRIM63	9
PDIK1L	890
FAM110D	64
ZNF593	485
CNKSR1	1154
CATSPER4	0
ZPLD2P	4
CEP85	529
SH3BGRL3	1879
UBXN11	864
CD52	398
CRYBG2	12
ZNF683	49
DHDDS	681
DHDDS-AS1	25
HMGN2	7704
RPS6KA1	2029
LOC101928728	41
ARID1A	2939
PIGV	890
ZDHHC18	804
SFN	2145
GPN2	1070
GPATCH3	339
NUDC	2355
NR0B2	96
KDF1	509
TRNP1	86
TENT5B	23
LOC101928391	4
SLC9A1	1889
WDTC1	2518
TMEM222	1040
ACTG1P20	28
SYTL1	899
MAP3K6	1111
FCN3	77
CD164L2	32
GPR3	10
WASF2	2331
LOC105376892	1
AHDC1	693
FGR	401
LINC02574	2
IFI6	2597
FAM76A	350
STX12	2663
PPP1R8	1042
THEMIS2	1147
RPA2	1322
SMPDL3B	817
XKR8	218
EYA3	546
PTAFR	535
DNAJC8	2856
ATP5IF1	2002
SESN2	702
MED18	202
PHACTR4	1136
RCC1	866
SNHG3	458
SNORA73A	13
SNORA73B	3
TRNAU1AP	610
SNHG12	654
SNORD99	19
SNORA61	82
SNORA44	23
SNORA16A	25
RAB42	172
TAF12	686
LINC01715	13
RNU11	1
GMEB1	358
YTHDF2	1930
OPRD1	30
EPB41	2490
TMEM200B	343
SRSF4	2937
MECR	330
PTPRU	2515
LOC105378617	12
MATN1	40
MATN1-AS1	71
LAPTM5	7356
MIR4420	2
LOC105378620	5
LINC01778	23
SDC3	2391
PUM1	2977
SNORD103A	10
SNORD103B	4
LOC107984935	0
NKAIN1	0
SNRNP40	704
ZCCHC17	666
FABP3	220
SERINC2	2271
LOC105378625	0
LOC105379772	1
LDC1P	0
LINC01226	1
LOC105378626	26
TINAGL1	747
HCRTR1	222
PEF1	1887
PEF1-AS1	74
105378628	4
COL16A1	890
LOC101929444	37
ADGRB2	30
SPOCD1	23
PTP4A2	6037
KHDRBS1	3233
TMEM39B	447
KPNA6	2437
TXLNA	2224
CCDC28B	68
TMEM234	283
IQCC	64
DCDC2B	64
EIF3I	2498
MTMR9LP	250
FAM167B	96
LCK	269
HDAC1	2282
MARCKSL1	965
LOC105378629	1
TSSK3	202
FAM229A	28
BSDC1	2733
ZBTB8B	0
ZBTB8A	264
LOC102723870	5
ZBTB8OS	443
RBBP4	3267
SYNC	1093
KIAA1522	4432
YARS1	2314
S100PBP	863
FNDC5	123
HPCA	36
TMEM54	1199
LOC105378632	10
RNF19B	1591
AK2	3815
AZIN2	137
112268224	1
TRIM62	196
ZNF362	969
A3GALT2	3
PHC2	3734
MIR3605	134
PHC2-AS1	4
ZSCAN20	98
CSMD2	8
105378640	0
LOC105378641	0
LOC105378642	1
GJB5	0
GJB4	0
GJB3	0
GJA4	232
SMIM12	653
DLGAP3	11
GPR199P	85
TMEM35B	1002
ZMYM6	686
ZMYM1	355
LOC105378644	126
SFPQ	6689
ZMYM4	1667
ZMYM4-AS1	27
KIAA0319L	6220
NCDN	896
TFAP2E	267
TFAP2E-AS1	35
PSMB2	1922
C1orf216	103
CLSPN	36
AGO4	1511
AGO1	1076
AGO3	840
TEKT2	122
ADPRS	1088
COL8A2	382
TRAPPC3	1525
MAP7D1	1630
THRAP3	4390
SH3D21	297
EVA1B	187
STK40	2538
LSM10	608
OSCP1	297
MRPS15	1214
CSF3R	4458
GRIK3	1
LINC01137	272
ZC3H12A	663
MIR6732	16
MEAF6	2762
MIR5581	8
LOC105378649	43
SNIP1	482
DNALI1	1223
GNL2	1521
RSPO1	3
C1orf109	649
CDCA8	56
EPHA10	108
MANEAL	340
YRDC	383
C1orf122	675
MTF1	552
INPP5B	553
LOC105378651	7
SF3A3	2332
FHL3	333
UTP11	920
POU3F1	4
MIR3659HG	3
LOC105378657	0
RRAGC	1388
GJA9-MYCBP	422
MYCBP	397
LOC105378663	7
GJA9	20
RHBDL2	208
LOC105378662	44
AKIRIN1	1625
NDUFS5	2022
MACF1	8467
643314	44
105378950	1
BMP8A	97
OXCT2P1	6
PPIEL	161
PABPC4	2725
PABPC4-AS1	533
SNORA55	4
HEYL	367
NT5C1A	41
HPCAL4	37
PPIE	1209
BMP8B	79
OXCT2	9
LOC101929536	2
105378951	4
LINC02811	2
105378665	3
TRIT1	524
MYCL	176
MYCL-AS1	10
MFSD2A	12256
CAP1	5968
PPT1	8311
RLF	724
TMCO2	0
ZMPSTE24	1756
COL9A2	178
107984945	9
SMAP2	1809
ZFP69B	31
ZFP69	87
LOC105378672	9
EXO5	138
ZNF684	83
RIMS3	88
LOC105378675	0
NFYC-AS1	259
NFYC	1678
KCNQ4	58
CITED4	24
CTPS1	1472
SLFNL1-AS1	250
SLFNL1	146
SCMH1	1162
FOXO6	46
FOXO6-AS1	23
LOC105378678	3
EDN2	32
HIVEP3	399
GUCA2B	0
GUCA2A	4
FOXJ3	1845
RIMKLA	144
ZMYND12	293
CCDC30	532
PPCS	2094
PPIH	507
YBX1	7479
CLDN19	0
P3H1	594
C1orf50	270
TMEM269-DT	5
TMEM269	5
LOC107984946	0
SVBP	190
ERMAP	544
ZNF691	332
LOC339539	1
SLC2A1	591
SLC2A1-AS1	5
FAM183A	12
EBNA1BP2	1039
CFAP57	76
LOC105378685	12
TMEM125	5684
C1orf210	1389
TIE1	462
MPL	27
LOC105378687	30
CDC20	49
ELOVL1	3148
MIR6734	10
LOC112268225	17
MED8	1149
MED8-AS1	192
SZT2	2245
SZT2-AS1	137
HYI	953
PTPRF	6967
KDM4A	1053
KDM4A-AS1	175
ST3GAL3	542
ARTN	26
LOC105378688	17
LOC101929609	70
IPO13	761
DPH2	407
ATP6V0B	2886
B4GALT2	526
CCDC24	550
SLC6A9	202
LOC107984948	13
KLF17	0
DMAP1	701
ERI3	978
ERI3-IT1	40
RNF220	1238
LOC107984950	323
TMEM53	233
ARMH1	77
LOC105378690	16
RNU5F-1	1
RNU5D-1	2
KIF2C	74
RPS8	20957
SNORD55	23
SNORD46	3
SNORD38A	24
SNORD38B	22
BEST4	13
PLK3	471
DYNLT4	30
BTBD19	64
LOC107984952	7
PTCH2	26
EIF2B3	524
HECTD3	1173
UROD	1390
ZSWIM5	675
LOC105378691	16
LINC01144	16
HPDL	3
MUTYH	363
TOE1	228
TESK2	255
CCDC163	115
MMACHC	1499
PRDX1	6095
AKR1A1	2999
NASP	2780
CCDC17	37
GPBP1L1	3539
RPS15AP10	11
TMEM69	702
IPP	350
MAST2	968
P3R3URF-PIK3R3	272
PIK3R3	311
LOC101929626	15
TSPAN1	261
POMGNT1	2013
LURAP1	42
RAD54L	60
LRRC41	2602
UQCRH	1823
NSUN4	1077
FAAH	1191
FAAHP1	16
LINC01398	2
DMBX1	0
MKNK1-AS1	166
MKNK1	1147
MOB3C	742
ATPAF1	1456
EFCAB14-AS1	188
EFCAB14	8350
LOC105378698	25
LOC105378699	14
CYP4B1	2828
CYP4Z2P	32
CYP4A11	2
CYP4X1	563
CYP4Z1	46
CYP4A22	5
LOC105378701	11
LINC00853	35
PDZK1IP1	2169
TAL1	64
STIL	75
CMPK1	6275
LINC01389	21
FOXE3	0
FOXD2-AS1	95
FOXD2	14
LINC01738	0
TRABD2B	29
LINC02794	0
SKINT1L	0
SLC5A9	61
SPATA6	631
AGBL4	5
BEND5	83
ELAVL4	27
DMRTA2	1
LOC105378714	0
FAF1	1007
FAF1-AS1	1
CDKN2C	339
LINC01562	2
RNF11	3237
TTC39A	1554
TTC39A-AS1	28
EPS15	2952
EPS15-AS1	5
CALR4P	2
OSBPL9	3279
NRDC	3517
105378721	357
MIR761	35
RAB3B	7
TXNDC12	3076
KTI12	137
BTF3L4	1578
ZFYVE9	597
CC2D1B	2321
ORC1	36
PRPF38A	1291
TUT4	1231
GPX7	204
SHISAL2A	12
COA7	350
ZYG11B	1209
ZYG11A	5
ECHDC2	2497
SCP2	6698
PODN	1518
SLC1A7	50
CPT2	1507
CZIB	978
MAGOH	594
LOC100507564	45
LRP8	155
LOC105378728	6
LOC105378726	3
LOC105378731	0
105378730	1
LINC02812	3
GLIS1	0
NDC1	413
YIPF1	835
DIO1	2
HSPB11	494
LRRC42	500
LDLRAD1	25
TMEM59	9868
TCEANC2	337
CDCP2	1
CYB5RL	366
MRPL37	1028
SSBP3	1094
SSBP3-AS1	13
ACOT11	68
FAM151A	21
MROH7-TTC4	273
MROH7	14
TTC4	261
PARS2	124
TTC22	374
LEXM	11
DHCR24	31520
DHCR24-DT	25
TMEM61	16
BSND	0
PCSK9	1621
USP24	2246
LOC100507634	10
LINC01767	15
PLPP3	1769
PRKAA2	62
FYB2	18
C8A	61
C8B	63
105378745	0
LOC112267900	4
DAB1	4
LOC107984960	6
OMA1	867
TACSTD2	4311
MYSM1	1255
LOC112268263	9
LOC105378751	15
JUN	3860
LINC01135	34
LOC101926907	144
LINC02777	201
LINC01358	0
FGGY-DT	15
FGGY	732
LOC101926944	39
LOC105378758	4
HOOK1	1605
CYP2J2	121
C1orf87	11
LINC01748	1
LOC101926964	1
LOC105378764	4
NFIA-AS2	1
NFIA	838
NFIA-AS1	1
LOC107984964	1
MGC34796	0
TM2D1	831
PATJ	2673
LOC107984965	2
L1TD1	34
KANK4	350
USP1	1329
DOCK7	903
ANGPTL3	5
ATG4C	639
LINC00466	0
FOXD3-AS1	2
FOXD3	0
ALG6	535
ITGB3BP	214
LOC102724319	1
EFCAB7	230
DLEU2L	14
PGM1	2271
ROR1	397
ROR1-AS1	7
LOC105378773	1
UBE2U	3
LOC107984966	3
CACHD1	579
RAVER2	933
JAK1	4631
LINC01359	11
MIR3671	3
AK4	51
DNAJC6	45
LOC102724416	0
LEPR	584
LEPROT	3089
PDE4B	868
LOC105378776	1
SGIP1	118
DYNLT5	17
DNAI4	124
MIER1	1202
SLC35D1	421
C1orf141	6
IL23R	7
IL12RB2	22
105378779	1
SERBP1	7452
GADD45A	403
GNG12	3103
LOC105378781	1
GNG12-AS1	85
DIRAS3	379
WLS	2523
RPE65	0
DEPDC1	39
LRRC7	6
LRRC40	576
SRSF11	6254
ANKRD13C	978
HHLA3	209
HHLA3-AS1	12
CTH	275
PTGER3	31
ZRANB2-AS1	384
ZRANB2	4071
MIR186	50
ZRANB2-AS2	34
LOC105378795	50
NEGR1	137
LOC105378797	4
LOC105378798	1
LRRIQ3	18
FPGT-TNNI3K	69
FPGT	676
TNNI3K	24
105378805	0
ERICH3	35
ERICH3-AS1	1
CRYZ	3253
TYW3	775
LHX8	0
SLC44A5	31
ACADM	2949
DLSTP1	46
RABGGTB	1567
SNORD45C	28
SNORD45A	18
SNORD45B	22
MSH4	1
ST6GALNAC3	34
LOC105378807	1
ST6GALNAC5	37
PIGK	1080
LOC105378808	2
AK5	3
ZZZ3	1239
USP33	1777
MIGA1	707
NEXN-AS1	17
NEXN	1165
FUBP1	2875
DNAJB4	449
GIPC2	77
LOC107984997	124
MGC27382	224
PTGFR	436
IFI44L	330
IFI44	872
ADGRL4	439
LOC107984998	0
LOC105378810	0
LINC01781	0
ADGRL2	1265
LOC101927434	0
LINC01361	0
107985037	1
LOC105378816	0
LINC01725	5
LOC101927560	6
107985041	15
TTLL7	64
PRKACB	1031
107985046	4
SAMD13	55
UOX	3
DNASE2B	48
RPF1	1035
GNG5	3290
SPATA1	165
CTBS	1212
LOC105378819	14
LINC01461	0
SSX2IP	357
LOC102724892	0
LPAR3	182
MCOLN2	213
MCOLN3	114
DNAI3	16
SYDE2	309
C1orf52	1084
BCL10	459
LOC646626	33
DDAH1	5538
107985054	12
CCN1	1331
LOC107985057	12
LOC112268231	9
ZNHIT6	520
COL24A1	38
LINC02795	36
LOC105378825	33
ODF2L	1134
MIR7856	4
CLCA2	7
CLCA1	3
LOC105378827	11
CLCA4	0
CLCA4-AS1	32
CLCA3P	1
SH3GLB1	2973
SELENOF	6316
