GeneID	RNA.seq_LADC55
GBE1	1039
LOC101927439	0
LOC105377188	11
CADM2	84
VGLL3	487
LINC00506	6
CHMP2B	2204
POU1F1	1
LOC105377198	0
HTR1F	29
CGGBP1	3252
ZNF654	730
C3orf38	609
EPHA3	106
LOC101930420	19
PROS1	3359
ARL13B	702
STX19	268
DHFR2	467
NSUN3	654
LOC105373992	29
MTHFD2P1	0
EPHA6	15
ARL6	301
LOC101929298	8
CRYBG3	1713
LOC105373994	8
RIOX2	1303
LOC105373999	16
OR5K2	4
CLDND1	3283
GPR15	17
CPOX	1537
ST3GAL6-AS1	26
ST3GAL6	651
DCBLD2	4551
LOC105374002	0
LOC105374003	33
LOC105374007	5
COL8A1	7861
HP09053	60
CMSS1	340
FILIP1L	4035
112268455	9
LOC105374010	3
TBC1D23	2298
NIT2	1247
TOMM70	3307
LNP1	104
TMEM45A	365
TFG	3703
ABI3BP	993
IMPG2	6
SENP7	1161
FAM172BP	67
TRMT10C	703
PCNP	5685
ZBTB11	1480
ZBTB11-AS1	200
RPL24	5301
105374013	289
PDCL3P4	54
CEP97	489
NXPE3	559
NFKBIZ	2283
LINC02085	37
ZPLD1	13
105374019	0
LOC105374020	0
LOC105374021	0
ALCAM	14099
CBLB	991
LOC105374024	12
LOC105374027	36
LOC107986110	2
LOC101929485	1
LOC105374029	1
LOC101929534	5
LINC00882	3
DUBR	71
CCDC54	1
LOC101929579	1
BBX	3061
LINC00636	1
CD47	10459
LOC105374031	0
LINC01215	22
IFT57	3319
HHLA2	3240
MYH15	89
CIP2A	387
DZIP3	681
LOC105374034	0
TRAT1	73
DPPA4	1
LOC151760	2
NECTIN3-AS1	12
NECTIN3	1034
CD96	312
ZBED2	70
PLCXD2	11
PHLDB2	788
LOC105374040	0
ABHD10	973
TAGLN3	4
TMPRSS7	4
C3orf52	441
GCSAM	121
TBILA	40
SLC9C1	79
LOC105374042	3
CD200	191
LOC105374041	3
112268446	3
BTLA	75
ATG3	1338
SLC35A5	1624
112268447	225
100506621	214
CCDC80	1676
CD200R1L-AS1	8
CD200R1L	1
CD200R1	108
GTPBP8	311
NEPRO	1171
LOC107986114	49
107986113	18
LINC02044	0
BOC	96
CFAP44	773
CFAP44-AS1	23
SPICE1	898
SIDT1	483
USF3	986
NAA50	4335
ATP6V1A	2908
GRAMD1C	360
ZDHHC23	439
CCDC191	502
LOC105374048	4
QTRT2	840
107986115	5
ZNF80	30
TIGIT	920
ZBTB20	860
MIR568	28
ZBTB20-AS1	2
ZBTB20-AS4	2
GAP43	10
LSAMP	276
LSAMP-AS1	1
LOC105374056	0
107986022	5
IGSF11	2
TEX55	0
UPK1B	0
B4GALT4	599
B4GALT4-AS1	53
ARHGAP31	1862
ARHGAP31-AS1	27
TMEM39A	1815
POGLUT1	525
TIMMDC1	1820
CD80	272
LOC107986118	0
ADPRH	560
PLA1A	189
105374062	1
POPDC2	42
LOC105374063	14
COX17	462
CFAP91	93
NR1I2	3
GSK3B	2219
LOC107986119	45
GPR156	22
LRRC58	2128
LOC100130701	172
FSTL1	5681
MIR198	375
NDUFB4	1259
HGD	81
RABL3	1002
GTF2E1	404
STXBP5L	2
POLQ	257
FBXO40	2
HCLS1	1824
GOLGB1	7563
IQCB1	807
EAF2	155
SLC15A2	1542
ILDR1	600
LOC101927010	33
CD86	1643
CASR	6
CSTA	131
MIX23	283
FAM162A	677
WDR5B	521
WDR5B-DT	15
KPNA1	2308
LOC105374071	262
PARP9	5426
DTX3L	5944
PARP15	225
PARP14	7671
HSPBAP1	224
SLC49A4	683
LINC02035	130
SEMA5B	12
PDIA5	846
MIR7110	6
SEC22A	642
ADCY5	109
HACD2	3889
MYLK-AS1	123
MYLK	3187
MYLK-AS2	5
LOC105369194	62
CCDC14	1907
ROPN1	4
KALRN	364
UMPS	836
ITGB5	2070
MUC13	99
HEG1	1996
SLC12A8	347
ZNF148	2272
SNX4	2013
OSBPL11	1126
LINC02614	20
LOC102723696	14
FAM86JP	100
ALG1L	236
ROPN1B	62
SLC41A3	716
LOC105374085	52
SLC41A3-AS1	1
ALDH1L1	178
ALDH1L1-AS1	7
ALDH1L1-AS2	7
LOC107986124	8
KLF15	321
CFAP100	33
ZXDC	977
UROC1	33
CHST13	17
C3orf22	1
LOC105374090	1
TXNRD3	336
CHCHD6	174
PLXNA1	1625
LINC02016	8
LOC105374094	16
LINC02034	2
TPRA1	734
MIR6825	2
MCM2	744
LOC107986126	175
PODXL2	1438
ABTB1	632
MGLL	4647
LOC107986127	40
LOC107986129	2
KBTBD12	5
LOC102723759	4
SEC61A1	10927
RUVBL1	2269
EEFSEC	429
GATA2	377
GATA2-AS1	334
LOC90246	133
RPN1	10338
RAB7A	7531
LOC653712	10
ACAD9	809
CFAP92	461
EFCC1	134
GP9	2
ISY1-RAB43	1139
RAB43	767
ISY1	646
CNBP	8181
LOC105374101	9
LOC105374102	5
COPG1	7804
HMCES	973
H1-10	822
H1-10-AS1	67
RPL32P3	116
SNORA7B	1
EFCAB12	30
MBD4	1705
IFT122	515
H1-8	0
PLXND1	3312
TMCC1	1192
TMCC1-DT	47
TRH	0
ALG1L2	69
LINC02014	110
FAM86HP	90
LINC02021	44
105374103	12
LOC107986131	4
COL6A4P2	9
COL6A5	136
COL6A6	316
PIK3R4	1310
LOC107986023	3
LOC105374107	1
ATP2C1	3804
ASTE1	380
NEK11	441
NUDT16-DT	40
NUDT16L2P	440
NUDT16	2548
LOC107986025	6
MRPL3	3083
LOC105374114	285
CPNE4	730
ACP3	246
DNAJC13	2230
NPHP3-ACAD11	531
ACAD11	267
ACKR4	38
UBA5	1469
NPHP3	445
NPHP3-AS1	4
TMEM108	882
TMEM108-AS1	3
LOC101927432	28
BFSP2	2
BFSP2-AS1	9
CDV3	4824
TOPBP1	1915
TF	20
SRPRB	1759
RAB6B	376
C3orf36	11
SLCO2A1	1221
LOC105374117	3
RYK	1586
LINC02004	9
LOC105374118	11
AMOTL2	1289
ANAPC13	1247
CEP63	756
EPHB1	16
KY	3
LOC102724019	0
LOC105374122	0
PPP2R3A	1563
MSL2	873
PCCB	808
STAG1	1740
SLC35G2	133
NCK1-DT	130
NCK1	1026
IL20RB-AS1	276
IL20RB	22
SOX14	0
LINC01210	0
CLDN18	1211
LOC105374127	6
LOC105374128	9
DZIP1L	150
A4GNT	0
DBR1	485
ARMC8	1263
NME9	158
MRAS	452
105374129	0
ESYT3	1119
CEP70	1762
FAIM	432
PIK3CB	2090
LINC01391	0
FOXL2	1
FOXL2NB	0
MRPS22	771
COPB2	9206
LOC100507291	29
RBP2	5
RBP1	196
NMNAT3	103
CLSTN2	103
LOC102724068	3
SLC25A36	3991
SPSB4	2
PXYLP1	323
ZBTB38	4278
RASA2	1444
LINC02618	13
RNF7	1068
GRK7	0
ATP1B3	1796
TFDP2	1098
GK5	1350
XRN1	1732
ATR	1438
PLS1	2727
TRPC1	234
PCOLCE2	253
PAQR9	0
PAQR9-AS1	15
LOC100289361	18
U2SURP	4132
CHST2	208
LOC105374137	3
SLC9A9	352
LOC102724120	6
DIPK2A	737
LOC105374140	4
LNCSRLR	3
PLOD2	1815
LOC105374145	5
PLSCR4	966
PLSCR2	59
PLSCR1	4059
ZIC4	0
ZIC1	2
LOC440982	0
AGTR1	131
CPB1	2
CPA3	2604
GYG1	1162
HLTF	2244
HLTF-AS1	37
HPS3	5697
CP	27183
LOC101927942	9
LOC107986140	0
TM4SF18	299
TM4SF1	5567
TM4SF1-AS1	11
LOC105374151	12
TM4SF4	20
WWTR1	2135
WWTR1-AS1	3
COMMD2	1096
ANKUB1	15
RNF13	2979
105374152	35
PFN2	1528
LOC646903	11
TMEM183BP	239
LOC105374153	0
LINC01213	1
LINC01214	1
LOC107986141	13
LOC107986142	0
TSC22D2	936
SERP1	6009
EIF2A	3265
SELENOT	4122
ERICH6	6
ERICH6-AS1	27
SIAH2	521
LOC105374155	5
MED12L	61
GPR171	362
P2RY14	210
GPR87	328
P2RY13	307
P2RY12	49
IGSF10	390
LINC02066	0
AADACL2	5
AADACL2-AS1	3
AADACP1	8
105374160	0
AADAC	60
SUCNR1	434
MBNL1	6559
MBNL1-AS1	189
105374162	34
TMEM14EP	1
P2RY1	609
RAP2B	2232
LOC105374164	2
LOC105374166	6
LINC02006	36
LINC02877	0
ARHGEF26-AS1	397
ARHGEF26	538
LOC105374167	10
DHX36	1853
GPR149	0
MME	575
STRIT1	2
PLCH1	1761
PLCH1-AS2	4
C3orf33	208
SLC33A1	2006
LOC105374174	2
GMPS	2392
KCNAB1	1816
SSR3	3866
TIPARP-AS1	132
TIPARP	3066
107986148	45
LINC00886	168
PA2G4P4	54
LEKR1	51
LINC00880	54
LINC02029	38
LINC00881	26
CCNL1	4104
LOC101928236	118
LOC105374179	22
VEPH1	1427
PTX3	172
SLC66A1L	42
SHOX2	5
RSRC1	569
LOC100996447	17
MLF1	528
GFM1	1757
LXN	591
RARRES1	276
112268457	5
LOC100287290	34
MFSD1	4357
LOC105374181	25
IQCJ-SCHIP1	173
SCHIP1	175
IQCJ-SCHIP1-AS1	1
LOC101928351	6
IL12A-AS1	5
IL12A	22
C3orf80	44
TRIM59-IFT80	1244
IFT80	1189
SMC4	7164
TRIM59	217
KPNA4	2767
ARL14	0
PPM1L	264
B3GALNT1	604
LOC105374186	0
NMD3	1838
LOC105374187	16
LOC112268450	11
SPTSSB	55
LINC02067	592
LOC107986049	3
LOC105374191	0
SLITRK3	11
LINC01322	0
BCHE	247
LOC105374196	1
ZBBX	112
SERPINI2	19
LOC105374197	2
WDR49	56
PDCD10	1505
SERPINI1	130
LRRC77P	5
107986152	152
GOLIM4	1910
EGFEM1P	5
LINC02082	0
MECOM	2504
LOC105374206	4
MECOM-AS1	5
TERC	4
ACTRT3	66
MYNN	736
LRRC34	130
LRRIQ4	19
LRRC31	225
LOC100128164	12
SEC62	7582
GPR160	2058
PHC3	2301
LOC105374209	8
PRKCI	2083
SKIL	1857
CLDN11	29
SLC7A14	2
SLC7A14-AS1	0
RPL22L1	265
EIF5A2	112
TNIK	1479
LOC105374216	23
LOC102724479	58
PLD1	1148
TMEM212	25
LOC105374217	1
FNDC3B	5018
107986153	92
TNFSF10	6100
NCEH1	2768
ECT2	1321
NLGN1	16
NAALADL2	1969
NAALADL2-AS2	3
LINC01208	9
TBL1XR1	4460
LINC00501	0
LINC00578	331
101928711	181
LINC02015	13
LOC107986154	2
LOC105374234	1
LOC105374235	2
LINC01014	0
KCNMB2-AS1	4
KCNMB2	16
ZMAT3	627
PIK3CA	1926
KCNMB3	320
ZNF639	891
MFN1	1672
GNB4	2192
ACTL6A	1568
MRPL47	679
NDUFB5	2179
USP13	1292
PEX5L	23
LOC101928856	0
TTC14	1643
CCDC39	203
LOC101928882	4
LOC105374240	1
FXR1	3328
DNAJC19	707
SOX2-OT	38
SOX2	299
LINC01206	0
LINC01994	1
LINC01995	3
LINC02031	28
ATP11B	3293
DCUN1D1	1901
LOC105374246	2
MCCC1	1862
LOC105374247	10
LAMP3	9769
MCF2L2	359
B3GNT5	2120
LOC107986160	51
107986161	7
LINC00888	197
KLHL6	581
LOC105374248	7
LOC107986162	31
KLHL24	2453
YEATS2	1048
YEATS2-AS1	51
MAP6D1	30
PARL	958
ABCC5	2082
HTR3C	1
EIF2B5-DT	19
EIF2B5	1361
DVL3	2167
AP2M1	6826
ABCF3	1177
VWA5B2	19
ALG3	1203
EEF1AKMT4	106
EEF1AKMT4-ECE2	80
CAMK2N2	7
PSMD2	6776
EIF4G1	11433
FAM131A	713
CLCN2	206
POLR2H	743
THPO	11
CHRD	116
LINC01839	3
EPHB3	317
MAGEF1	1444
LOC107986163	86
LOC105374253	1
VPS8	1356
C3orf70	53
EHHADH-AS1	50
EHHADH	503
MAP3K13	2286
LOC101929018	33
TMEM41A	923
LOC105374254	9
LIPH	2276
107986055	11
SENP2	1276
IGF2BP2	146
IGF2BP2-AS1	0
TRA2B	3518
NMRAL2P	11
ETV5	1285
LOC105374257	14
DGKG	252
CRYGS	24
TBCCD1	355
DNAJB11	2729
AHSG	3
HRG	1
KNG1	1
EIF4A2	10172
SNORD2	50
SNORA63B	56
MIR1248	25
SNORA81	39
SNORA63	77
SNORA4	75
RFC4	418
LINC02043	1
ADIPOQ	0
ADIPOQ-AS1	0
ST6GAL1	3155
RPL39L	146
RTP1	1
MASP1	95
LOC105374260	0
LOC101929130	2
RTP4	403
LINC02041	0
SST	0
LOC100131635	5
BCL6	2762
LOC105374263	3
LOC105374264	3
LPP-AS2	106
LPP	7772
FLJ42393	5
TPRG1-AS1	56
107986168	20
LOC107986167	11
TPRG1	251
TPRG1-AS2	8
TP63	111
P3H2	421
P3H2-AS1	1
107986170	82
CLDN1	2543
CLDN16	40
IL1RAP	2992
GMNC	0
OSTN	2
UTS2B	2
CCDC50	1608
FGF12	112
FGF12-AS2	8
LOC107986056	0
MB21D2	154
PLAAT1	36
MGC2889	3
ATP13A5	77
ATP13A5-AS1	7
ATP13A4	10555
ATP13A4-AS1	392
OPA1	2940
OPA1-AS1	83
LOC102724808	35
LOC105374284	1
LINC02038	72
LOC105374287	52
LOC105374286	5
LINC02026	8
LINC02028	23
LOC102724877	4
HES1	743
LINC02036	34
LINC02037	0
LINC02048	0
LINC00887	0
CPN2	0
LRRC15	59
GP5	3
ATP13A3	5414
LINC00884	74
TMEM44-AS1	132
TMEM44	341
LOC105374291	2
LSG1	1316
FAM43A	87
XXYLT1	243
XXYLT1-AS1	8
XXYLT1-AS2	0
LOC105374296	2
ACAP2	2062
PPP1R2	2550
APOD	4254
107986029	158
LOC105374298	94
LOC105374297	11
SDHAP2	362
MIR570HG	140
MIR570	47
MUC20	4074
MUC4	3544
105374299	8
LINC01983	4
LOC107984010	12
TNK2	804
TNK2-AS1	38
727978	17
SDHAP1	439
105374301	10
TFRC	3337
LINC00885	31
ZDHHC19	3
LOC105374304	14
SLC51A	54
PCYT1A	1790
DYNLT2B	88
TM4SF19-DYNLT2B	121
LOC107986031	16
TM4SF19-AS1	57
TM4SF19	60
UBXN7	1656
UBXN7-AS1	24
RNF168	520
LOC105374306	5
WDR53	296
FBXO45	629
LINC01063	0
NRROS	247
CEP19	84
PIGX	512
PAK2	3618
SENP5	811
NCBP2	2584
NCBP2-AS1	176
NCBP2AS2	125
PIGZ	106
MELTF	376
MELTF-AS1	42
DLG1	2428
DLG1-AS1	14
LOC105374308	5
LINC02012	8
BDH1	630
LOC220729	358
107986175	12
LOC112268458	107
RUBCN	712
MIR922	29
FYTTD1	2831
LRCH3	930
LOC105374310	5
IQCG	402
RPL35A	3689
LMLN	717
LMLN-AS1	77
ANKRD18DP	0
FAM157A	134
LOC105379426	44
LOC101928669	51
101059949	15
107987361	30
ZNF595	267
ZNF718	388
ZNF876P	31
ZNF732	34
LOC105374336	6
ZNF141	707
ABCA11P	309
ZNF721	657
PIGG	1397
PDE6B	35
PDE6B-AS1	0
ATP5ME	73
MYL5	193
SLC49A3	392
107986245	0
PCGF3	1457
LOC107986246	17
107986211	210
LOC100129917	53
CPLX1	100
LOC105374339	11
LOC105374340	2
GAK	2878
LOC105374341	7
TMEM175	633
DGKQ	511
SLC26A1	127
IDUA	301
FGFRL1	927
LOC105374343	1
RNF212	350
TMED11P	2
SPON2	1038
LOC100130872	43
101928548	6
CTBP1-AS	1109
CTBP1	2652
CTBP1-DT	207
LOC105374347	2
LOC105374346	4
MAEA	1233
UVSSA	319
FAM53A	65
LOC105374349	0
SLBP	1742
TMEM129	976
TACC3	743
LOC112268460	156
FGFR3	304
LETM1	719
NSD2	2210
SCARNA22	5
NELFA	615
MIR943	58
C4orf48	5
NAT8L	9
POLN	110
HAUS3	592
MXD4	1587
MIR4800	66
ZFYVE28	219
LOC105374352	7
LOC107986249	0
CFAP99	14
LOC105374353	8
LOC107986250	12
RNF4	2178
FAM193A	863
TNIP2	703
SH3BP2	941
ADD1	4431
MFSD10	1792
NOP14-AS1	371
NOP14	949
GRK4	15
HTT	2893
MSANTD1	147
RGS12	707
HGFAC	15
105374354	0
DOK7	29
LOC105374355	1
LRPAP1	3675
LINC02600	9
ADRA2C	15
FAM86EP	80
LOC101928217	4
LOC107986252	4
TMEM128	757
LYAR	538
ZBTB49	129
NSG1	29
STX18	884
STX18-AS1	30
LOC101928237	4
LOC101928279	4
MSX1	12
CYTL1	61
LOC107986256	7
STK32B	81
LINC01587	3
EVC2	244
EVC	769
CRMP1	161
C4orf50	3
JAKMIP1	11
JAKMIP1-DT	3
WFS1	1181
107986257	73
PPP2R2C	63
MAN2B2	2544
MRFAP1	7045
LINC02482	40
LOC93622	290
LINC02481	73
S100P	42
MRFAP1L1	2417
BLOC1S4	179
LOC105374367	0
KIAA0232	2121
TBC1D14	1197
LOC100129931	560
CCDC96	77
TADA2B	778
GRPEL1	883
LOC105374368	3
LOC105374370	7
LINC02447	11
SORCS2	391
LOC105374371	1
PSAPL1	14
AFAP1-AS1	2643
AFAP1	1326
LOC389199	8
ABLIM2	60
SH3TC1	639
LOC105374373	2
HTRA3	562
112268463	73
LINC02517	0
ACOX3	368
105374376	12
TRMT44	332
GPR78	0
CPZ	197
LOC105369250	10
SLC2A9	302
DRD5	2
SLC2A9-AS1	33
WDR1	8016
ZNF518B	1105
CLNK	54
LOC105374482	2
HS3ST1	1825
LOC107986178	83
LINC02360	3
105374483	18
LOC105374493	12
RAB28	667
NKX3-2	6
LINC01096	0
BOD1L1	2092
LINC01085	0
LINC00504	15
CPEB2	820
C1QTNF7-AS1	3
C1QTNF7	180
LOC107986185	5
CC2D2A	516
FBXL5	4171
FAM200B	565
BST1	292
CD38	244
FGFBP1	30
FGFBP2	28
PROM1	217
LOC107986261	0
LOC105374502	0
TAPT1	1224
LOC107986187	6
TAPT1-AS1	98
LOC105374505	0
LDB2	922
LOC107986188	6
QDPR	606
LAP3	6821
MED28	1535
FAM184B	176
DCAF16	647
NCAPG	586
LCORL	621
LOC105374510	0
LINC02438	0
LOC105374511	2
SLIT2	667
PACRGL	361
KCNIP4	42
LOC100505912	15
ADGRA3	814
GBA3	14
107986265	57
105374525	0
LOC105374528	0
LOC105374527	3
PPARGC1A	65
MIR573	2
DHX15	4794
LINC02473	9
SOD3	342
CCDC149	820
LOC102723675	84
LGI2	75
LOC105374534	1
SEPSECS	717
SEPSECS-AS1	29
LOC105374535	15
PI4K2B	2095
ZCCHC4	328
ANAPC4	1123
LOC105374536	131
LOC101929161	149
SLC34A2	109493
SEL1L3	6180
LOC102723733	12
LOC105374538	5
SMIM20	554
LOC105374541	7
RBPJ	4617
LOC105374545	2
LOC105374542	2
TBC1D19	353
STIM2-AS1	4
STIM2	1548
LOC105374557	0
LOC105374559	0
LOC107986221	0
PCDH7	428
LOC107986222	0
LINC02506	0
LOC105377651	0
LOC102723846	0
LOC105374396	1
ARAP2	1303
LOC439933	8
DTHD1	139
LOC105374399	1
LINC02616	0
C4orf19	273
RELL1	324
PGM2	1069
TBC1D1	1279
105374407	12
PTTG2	1
LINC02278	3
102723415	58
KLF3-AS1	58
KLF3	2836
LOC105374413	7
105374412	39
TLR10	45
TLR1	1034
TLR6	338
FAM114A1	2802
TMEM156	143
KLHL5	3386
LOC105374418	15
WDR19	770
RFC1	2120
KLB	35
RPL9	3823
LIAS	222
LOC401127	5
UGDH	1882
UGDH-AS1	86
SMIM14	5224
SMIM14-DT	7
UBE2K	2951
PDS5A	5964
LOC344967	4
N4BP2	1036
RHOH	286
LINC02265	1
CHRNA9	10
RBM47	6419
NSUN7	882
APBB2	513
107986273	0
UCHL1	190
LIMCH1	5391
LOC105374423	3
LOC105374421	36
LOC105374426	10
TMEM33	3066
DCAF4L1	37
SLC30A9	3332
BEND4	8
SHISA3	5669
ATP8A1	3167
LOC105374430	2
LOC105374438	2
LINC02475	0
KCTD8	9
GUF1	920
GNPDA2	529
GABRG1	0
GABRA2	2
COX7B2	0
GABRA4	3
GABRB1	3
COMMD8	661
ATP10D	829
CORIN	81
LOC105374444	3
105374443	1
LOC101927179	64
NFXL1	356
LOC101927157	25
CNGA1	116
NIPAL1	277
TXK	107
TEC	325
LOC105374445	23
SLAIN2	2389
SLC10A4	9
ZAR1	331
FRYL	1743
OCIAD1	3441
OCIAD1-AS1	36
OCIAD2	1884
CWH43	13
LOC101927209	1
DCUN1D4	1469
LRRC66	7
SGCB	649
SPATA18	236
USP46	483
USP46-DT	49
DANCR	487
SNORA26	10
ERVMER34-1	62
LOC107986281	10
RASL11B	90
SCFD2	550
FIP1L1	979
LNX1	473
LNX1-AS2	2
RPL21P44	1
CHIC2	417
PDGFRA	1847
KIT	1652
KDR	1391
SRD5A3	5331
SRD5A3-AS1	57
LOC105377659	287
TMEM165	5198
CLOCK	1759
NMU	45
EXOC1	1825
LOC105377663	30
CEP135	396
CRACD	84
AASDH	679
PPAT	904
100506514	12
PAICS	3360
SRP72	4000
ARL9	8
LOC105377665	0
THEGL	9
HOPX	10897
LOC105377666	13
CHAER1	45
LOC105377668	18
SPINK2	86
REST	1529
NOA1	737
POLR2B	4267
IGFBP7	3669
IGFBP7-AS1	847
ADGRL3	158
ADGRL3-AS1	5
LOC105377253	0
LINC02232	0
LINC02835	0
EPHA5	2
LOC101927237	1
CENPC	878
STAP1	71
UBA6	2200
UBA6-AS1	231
GNRHR	14
LOC102724780	6
TMPRSS11D	7
TMPRSS11A	1
YTHDC1	2740
TMPRSS11E	1455
UGT2B17	2
UGT2B15	155
UGT2B10	7
LOC105377265	13
UGT2B7	1
LOC105377267	3
UGT2B11	3
UGT2B28	0
UGT2B4	3
UGT2A1	1
UGT2A2	1
SULT1B1	236
SULT1E1	53
CSN1S1	0
STATH	0
ODAM	6
FDCSP	11
SMR3A	0
SMR3B	0
MUC7	0
AMTN	3
ENAM	8
JCHAIN	7732
LOC101927297	1
UTP3	857
RUFY3	1636
GRSF1	2914
MOB1B	1767
DCK	1346
SLC4A4	1808
LOC107986285	0
LOC105377271	0
GC	0
NPFFR2	4
ADAMTS3	303
COX18	639
LOC112268467	4
ANKRD17	3733
ANKRD17-DT	9
ALB	13
AFP	0
RASSF6	216
CXCL8	1312
CXCL6	18
PF4V1	2
CXCL1	207
PF4	9
PPBP	56
CXCL5	435
CXCL3	82
LOC105377275	8
CXCL2	765
MTHFD2L	466
LOC105377276	3
EPGN	5
EREG	104
AREG	798
LOC107986229	3
BTC	303
PARM1	5872
PARM1-AS1	7
LOC107986289	52
LINC02562	37
LOC100506253	2
RCHY1	577
THAP6	593
ODAPH	0
CDKL2	1168
G3BP2	6714
USO1	5897
PPEF2	1
NAAA	867
SDAD1	1481
CXCL9	695
ART3	8
CXCL10	418
CXCL11	77
NUP54	1289
SCARB2	9558
FAM47E	50
LOC105377286	49
FAM47E-STBD1	356
STBD1	347
CCDC158	29
SHROOM3	1666
LOC105377290	20
SHROOM3-AS1	7
SOWAHB	412
107986291	17
LOC105377294	25
SEPTIN11	2922
LOC105377291	69
107986290	8
CCNI	8294
LOC101928864	21
CCNG2	1993
CXCL13	70
LOC105377296	7
LOC105377297	0
CNOT6L	2209
MRPL1	513
LOC102724916	61
FRAS1	285
LOC107986293	1
ANXA3	1221
LINC01094	550
LOC101928893	2
BMP2K	1132
PAQR3	1254
LINC01088	4
NAA11	3
LINC00989	0
LOC107986294	4
LOC105377302	25
ANTXR2	2430
LOC105377303	17
PRDM8	100
FGF5	5
CFAP299	19
BMP3	1201
PRKG2	105
RASGEF1B	1331
107986215	1
LOC105377308	6
HNRNPD	4647
HNRNPD-DT	8
HNRNPDL	6580
ENOPH1	1576
LOC105377310	4
TMEM150C	466
SCD5	488
SEC31A	8700
THAP9-AS1	647
SNORD143	35
SNORD144	11
THAP9	298
LIN54	560
COPS4	1127
PLAC8	260
COQ2	554
HPSE	701
HELQ	390
MRPS18C	278
ABRAXAS1	475
GPAT3	217
LOC101928978	0
NKX6-1	13
LOC102723338	196
CDS1	2134
WDFY3	2224
WDFY3-AS2	99
ARHGAP24	543
LOC105377319	3
MAPK10	531
PTPN13	4747
107986189	6
SLC10A6	7
C4orf36	57
AFF1-AS1	67
AFF1	3567
LOC105377320	2
KLHL8	856
HSD17B13	10
HSD17B11	3256
NUDT9	857
LOC105377321	7
SPARCL1	12687
DMP1	4
LOC105377323	23
LOC105377324	58
IBSP	156
MEPE	19
SPP1	83076
PKD2	1512
ABCG2	425
PPM1K	3082
PPM1K-DT	42
LOC105377326	21
HERC6	3455
LOC102723458	615
HERC5	1112
PIGY	780
PYURF	780
HERC3	1320
NAP1L5	172
FAM13A-AS1	871
FAM13A	4265
LOC105377327	2
TIGD2	711
GPRIN3	1527
LOC105377329	1
SNCA	135
MMRN1	773
CCSER1	446
GRID2	1
SMARCAD1	1574
HPGDS	316
PDLIM5	2884
BMPR1B-DT	1
BMPR1B	131
UNC5C	256
UNC5C-AS1	7
STPG2	16
RAP1GDS1	1198
TSPAN5	1166
LOC112267901	27
TSPAN5-DT	39
EIF4E	1826
METAP1	1701
ADH5	2796
LOC100507053	111
ADH4	1
ADH6	23
ADH1A	6
ADH1B	3089
ADH1C	228
LOC102723576	9
ADH7	13
TRMT10A	369
MTTP	16
C4orf54	338
DAPP1	1147
LAMTOR3	1530
DNAJB14	2323
H2AZ1	3319
H2AZ1-DT	1
DDIT4L	255
EMCN	509
PPP3CA	2240
FLJ20021	93
BANK1	453
SLC39A8	5177
LOC105377621	14
NFKB1	2491
LOC105377347	37
MANBA	3593
LOC102723704	1104
UBE2D3	7544
UBE2D3-AS1	27
CISD2	1456
SLC9B1	298
SLC9B2	262
BDH2	814
CENPE	586
TACR3	0
CXXC4	251
CXXC4-AS1	13
TET2	1589
TET2-AS1	1
PPA2	1874
LOC105377352	62
ARHGEF38	1825
ARHGEF38-IT1	16
INTS12	764
GSTCD	457
NPNT	2732
LOC101929577	2
TBCK	1025
AIMP1	1822
DKK2	242
PAPSS1	2047
SGMS2	2742
CYP2U1-AS1	11
LOC107986298	191
CYP2U1	408
LOC107986299	8
HADH	1560
LEF1	169
LEF1-AS1	12
RPL34-DT	1
RPL34	4578
OSTC	2585
105377359	14
ETNPPL	0
COL25A1	1
SEC24B-AS1	49
SEC24B	1720
MCUB	612
107986302	9
CASP6	696
PLA2G12A	1251
CFI	3832
GAR1	261
RRH	5
LRIT3	4
EGF	108
ELOVL6	233
107986303	16
LOC105377362	2
ENPEP	115
LOC105377363	2
PITX2	16
FAM241A	403
AP1AR	980
TIFA	657
ALPK1	956
107986304	20
ZGRF1	141
LARP7	1434
MIR302CHG	395
ANK2	229
CAMK2D	3286
LOC105377375	3
ARSJ	750
LOC107986305	6
LOC105377378	0
UGT8	917
LOC105377382	8
LOC105377388	1
TRAM1L1	68
LINC02262	0
LINC02263	0
NDST3	10
LOC105377392	17
SNHG8	488
SNORA24	40
PRSS12	414
CEP170P1	33
LOC729218	419
METTL14-DT	2
METTL14	952
SEC24D	4224
SYNPO2	741
LOC105377395	6
MYOZ2	1
LOC105379404	1
LOC101929762	1
USP53	2472
C4orf3	2602
LOC107986193	2
LINC01061	277
107983979	57
GTF2IP12	16
SEPTIN7P14	191
PDE5A	1032
105377396	0
MAD2L1	548
PRDM5	156
LOC105377399	5
NDNF	4913
NDNF-AS1	30
TNIP3	88
QRFPR	2
LOC105377402	7
ANXA5	9759
SMIM43	30
PP12613	2
EXOSC9	668
CCNA2	720
BBS7	460
TRPC3	20
LOC112268469	8
KIAA1109	3847
IL2	3
IL21	6
IL21-AS1	5
BBS12	176
CETN4P	2
FGF2	118
NUDT6	41
SPATA5	288
LOC105377404	0
SPRY1	1077
LINC02435	20
LOC105377405	9
LINC01091	30
LOC105377406	0
LINC02516	51
ANKRD50	4716
FAT4	656
LOC105377409	1
LOC102724210	4
LOC107986312	2
105377413	4
INTU	248
HSPA4L	276
PLK4	373
