GeneID	RNA.seq_LADC40
DDX11L1	3
WASH7P	889
MIR6859-1	61
LOC100996442	39
LOC729737	1836
DDX11L17	2
WASH9P	1228
MIR6859-2	27
LOC112268260	16
LOC100132287	627
LOC105378947	3
MIR12136	1496
OR4F16	10
100133331	465
107984841	58
107984847	79
107984849	39
LOC100288069	41
LINC01409	19
FAM87B	4
LINC00115	50
LINC01128	299
FAM41C	1
LOC284600	0
LINC02593	10
LOC107985728	1
SAMD11	175
NOC2L	1650
KLHL17	394
PLEKHN1	196
PERM1	60
HES4	54
ISG15	951
AGRN	6362
LOC100288175	34
112267874	17
LOC105378948	111
RNF223	21
C1orf159	319
LINC01342	11
MIR200B	8
MIR200A	10
MIR429	49
TTLL10-AS1	3
TTLL10	5
TNFRSF18	110
TNFRSF4	193
SDF4	3125
B3GALT6	480
C1QTNF12	8
UBE2J2	985
LINC01786	45
SCNN1D	233
ACAP3	891
SNORD167	2
PUSL1	439
INTS11	1857
MIR6727	19
CPTP	928
TAS1R3	90
DVL1	1895
MIR6808	7
MXRA8	590
AURKAIP1	1828
CCNL2	5450
MRPL20-AS1	612
MRPL20	1775
107984868	38
ANKRD65	2464
LOC105378585	65
TMEM88B	3
LINC01770	194
LOC107985729	142
VWA1	7410
ATAD3C	999
ATAD3B	931
ATAD3A	751
TMEM240	10
SSU72	2447
FNDC10	1131
LOC105378586	80
MIB2	1919
MMP23B	106
CDK11B	1548
SLC35E2B	2434
MMP23A	36
CDK11A	682
SLC35E2A	672
LOC112268218	205
NADK	1844
GNB1	5958
LOC105378949	8
CALML6	22
TMEM52	22
CFAP74	1
LOC107984872	1
LOC105378589	3
GABRD	31
LOC105378590	0
LOC105378591	0
PRKCZ	1121
PRKCZ-AS1	54
FAAP20	1998
LOC112268219	150
LOC105378593	17
SKI	2238
MORN1	99
LOC100129534	56
RER1	3911
PEX10	812
PLCH2	180
PANK4	545
HES5	0
TNFRSF14-AS1	731
TNFRSF14	2678
LOC100996583	3
PRXL2B	644
MMEL1	125
MMEL1-AS1	2
TTC34	27
LOC105378598	0
LOC107984904	0
PRDM16-DT	167
PRDM16	594
LOC105378606	1
LOC107984909	1
LOC105378604	22
ARHGEF16	1279
MEGF6	2575
LOC105378608	16
105378607	0
TPRG1L	2067
WRAP73	760
TP73	77
TP73-AS3	23
TP73-AS1	683
CCDC27	5
SMIM1	259
LRRC47	1459
CEP104	993
DFFB	275
107984910	6
C1orf174	612
LINC01134	7
AJAP1	2
LOC107984911	0
NPHP4	602
KCNAB2	895
CHD5	2
RPL22	11227
107985733	129
RNF207-AS1	27
RNF207	433
ICMT	2332
LINC00337	3
GPR153	211
ACOT7	344
HES2	6
ESPN	107
TNFRSF25	275
PLEKHG5	344
NOL9	511
TAS1R1	11
LOC107984912	2
ZBTB48	623
KLHL21	1190
LOC107984913	3
PHF13	304
THAP3	777
DNAJC11	770
CAMTA1-DT	8
CAMTA1	790
LOC105376689	68
VAMP3	2997
PER3	2267
UTS2	26
TNFRSF9	74
PARK7	4615
ERRFI1	4234
LOC107984915	0
LINC01714	3
SLC45A1	11
RERE	3070
RERE-AS1	7
ENO1	44895
MIR6728	6
ENO1-AS1	13
CA6	0
SLC2A5	99
GPR157	362
MIR34AHG	448
MIR34A	1
LNCTAM34A	44
H6PD	1993
SPSB1	770
LINC02606	13
SLC25A33	298
