GeneID	RNA-seq_normal_lung20
DDX11L1	3
WASH7P	1149
MIR6859-1	35
LOC100996442	45
LOC729737	929
DDX11L17	1
WASH9P	1170
MIR6859-2	28
LOC112268260	15
LOC100132287	728
LOC105378947	5
MIR12136	1416
OR4F16	3
100133331	603
107984841	99
107984847	110
107984849	53
LOC100288069	49
LINC01409	18
FAM87B	30
LINC00115	35
LINC01128	783
FAM41C	0
LOC284600	1
LINC02593	60
LOC107985728	44
SAMD11	348
NOC2L	1742
KLHL17	435
PLEKHN1	88
PERM1	22
HES4	1719
ISG15	1997
AGRN	6239
LOC100288175	25
112267874	40
LOC105378948	66
RNF223	26
C1orf159	515
LINC01342	8
MIR200B	8
MIR200A	2
MIR429	25
TTLL10-AS1	60
TTLL10	174
TNFRSF18	264
TNFRSF4	360
SDF4	5251
B3GALT6	636
C1QTNF12	45
UBE2J2	1518
LINC01786	102
SCNN1D	293
ACAP3	2378
SNORD167	19
PUSL1	310
INTS11	2729
MIR6727	15
CPTP	727
TAS1R3	89
DVL1	2917
MIR6808	8
MXRA8	3310
AURKAIP1	2041
CCNL2	8650
MRPL20-AS1	700
MRPL20	1797
107984868	22
ANKRD65	662
LOC105378585	44
TMEM88B	13
LINC01770	105
LOC107985729	39
VWA1	2625
ATAD3C	322
ATAD3B	1435
ATAD3A	629
TMEM240	84
SSU72	3007
FNDC10	117
LOC105378586	19
MIB2	3926
MMP23B	630
CDK11B	2410
SLC35E2B	2794
MMP23A	338
CDK11A	2082
SLC35E2A	930
LOC112268218	244
NADK	2348
GNB1	10196
LOC105378949	39
CALML6	10
TMEM52	26
CFAP74	158
LOC107984872	7
LOC105378589	5
GABRD	61
LOC105378590	7
LOC105378591	1
PRKCZ	2489
PRKCZ-AS1	248
FAAP20	1749
LOC112268219	244
LOC105378593	23
SKI	4931
MORN1	256
LOC100129534	47
RER1	3292
PEX10	719
PLCH2	317
PANK4	839
HES5	8
TNFRSF14-AS1	1109
TNFRSF14	5919
LOC100996583	32
PRXL2B	973
MMEL1	303
MMEL1-AS1	3
TTC34	94
LOC105378598	12
LOC107984904	0
PRDM16-DT	202
PRDM16	526
LOC105378606	4
LOC107984909	7
LOC105378604	32
ARHGEF16	458
MEGF6	4406
LOC105378608	7
105378607	4
TPRG1L	2064
WRAP73	678
TP73	146
TP73-AS3	1
TP73-AS1	1421
CCDC27	4
SMIM1	182
LRRC47	1667
CEP104	950
DFFB	277
107984910	11
C1orf174	601
LINC01134	5
AJAP1	176
LOC107984911	0
NPHP4	715
KCNAB2	2913
CHD5	31
RPL22	13134
107985733	64
RNF207-AS1	9
RNF207	404
ICMT	1845
LINC00337	0
GPR153	887
ACOT7	721
HES2	56
ESPN	219
TNFRSF25	765
PLEKHG5	912
NOL9	855
TAS1R1	12
LOC107984912	1
ZBTB48	972
KLHL21	1180
LOC107984913	16
PHF13	693
THAP3	732
DNAJC11	897
CAMTA1-DT	6
CAMTA1	1299
LOC105376689	133
VAMP3	4933
PER3	538
UTS2	58
TNFRSF9	119
PARK7	4380
ERRFI1	6062
LOC107984915	0
LINC01714	2
SLC45A1	65
RERE	4405
RERE-AS1	19
ENO1	16034
MIR6728	6
ENO1-AS1	16
CA6	0
SLC2A5	69
GPR157	968
MIR34AHG	363
MIR34A	2
LNCTAM34A	20
H6PD	4069
SPSB1	993
LINC02606	29
SLC25A33	524
TMEM201	387
107985734	26
PIK3CD	1738
PIK3CD-AS1	10
PIK3CD-AS2	31
CLSTN1	3596
CTNNBIP1	1861
LOC105376717	139
LZIC	941
NMNAT1	339
RBP7	81
UBE4B	1347
KIF1B	1804
105376725	7
PGD	2931
CENPS-CORT	133
CENPS	146
CORT	16
DFFA	1298
PEX14	888
CASZ1	2540
LOC105376733	7
C1orf127	56
TARDBP	4691
MASP2	133
SRM	780
EXOSC10	2160
EXOSC10-AS1	45
MTOR	1450
MTOR-AS1	13
ANGPTL7	69
UBIAD1	485
LOC105376739	5
LOC105376740	3
DISP3	11
112268221	3
FBXO2	229
FBXO44	900
FBXO6	727
MAD2L2	794
DRAXIN	40
AGTRAP	1499
C1orf167	725
MTHFR	2904
CLCN6	1137
NPPA-AS1	185
NPPA	79
KIAA2013	2347
PLOD1	2245
MFN2	3538
MIIP	874
MIR6729	3
TNFRSF8	104
MIR7846	48
TNFRSF1B	4763
107984917	27
VPS13D	2172
SNORA59A	14
LINC02766	18
DHRS3	2551
MIR6730	9
AADACL4	2
C1orf158	51
LRRC38	0
PDPN	1204
PRDM2	1681
KAZN	1022
LOC107985467	0
LOC105376759	6
LOC107985469	2
TMEM51-AS1	258
TMEM51	833
TMEM51-AS2	16
FHAD1	175
FHAD1-AS1	20
LOC101927441	45
EFHD2	5233
CTRC	22
CELA2A	12
CELA2B	73
CASP9	872
DNAJC16	543
AGMAT	37
DDI2	1094
RSC1A1	101
PLEKHM2	3706
SLC25A34	167
SLC25A34-AS1	17
TMEM82	0
FBLIM1	1553
UQCRHL	89
FLJ37453	248
SPEN	2240
ZBTB17	1550
SRARP	0
HSPB7	339
CLCNKA	26
CLCNKB	17
FAM131C	1
EPHA2	2094
LOC101927479	71
ARHGEF19	441
ANO7L1	97
CPLANE2	112
FBXO42	957
SZRD1	2580
SPATA21	1621
NECAP2	3444
LINC01772	53
CROCCP3	259
RNU1-1	4
LINC01783	7
NBPF1	540
105376794	738
CROCCP2	465
MST1P2	334
LOC107985736	13
RNU1-3	3
ESPNP	2
MST1L	339
LOC112267871	12
LOC105376805	205
CROCC	2220
MFAP2	270
LOC105376806	79
ATP13A2	1671
SDHB	1547
PADI2	205
LINC02783	0
PADI1	0
PADI3	0
PADI4	226
PADI6	10
RCC2	2257
ARHGEF10L	1508
ACTL8	0
IGSF21	72
KLHDC7A	101
PAX7	0
ALDH4A1	438
IFFO2	1244
UBR4	3703
EMC1-AS1	36
EMC1	1053
MRTO4	772
AKR7L	28
AKR7A3	54
LOC100506730	107
AKR7A2	1185
SLC66A1	581
CAPZB	6183
MICOS10	1642
MICOS10-NBL1	8103
RPS14P3	74
NBL1	7728
HTR6	8
TMCO4	912
RNF186	0
OTUD3	667
PLA2G2A	1084
PLA2G5	380
PLA2G2D	135
PLA2G2F	0
PLA2G2C	3
UBXN10	489
101928017	11
LOC105376825	37
VWA5B1	49
LINC01141	0
CAMK2N1	3227
MUL1	949
FAM43B	22
CDA	207
PINK1	1898
MIR6084	163
PINK1-AS	1843
DDOST	4515
KIF17	427
SH2D5	7
112268222	1648
HP1BP3	3822
EIF4G3	1678
LOC105376830	10
LOC105376829	7
ECE1	5688
ECE1-AS1	26
NBPF3	243
ALPL	5120
LINC02596	11
RAP1GAP	1405
USP48	1852
LDLRAD2	2072
HSPG2	7096
LINC01635	16
LINC00339	418
CDC42-AS1	32
CDC42	9355
WNT4	130
LOC105376845	30
LOC105376850	0
LOC107985377	9
ZBTB40	1610
EPHA8	2
C1QA	14705
C1QC	11459
C1QB	14997
EPHB2	162
MIR4253	3
KDM1A	1381
LUZP1	1326
HTR1D	39
LINC01355	174
HNRNPR	3763
ZNF436	470
ZNF436-AS1	49
TCEA3	1218
ASAP3	1522
E2F2	44
LOC101928163	1
LOC105376859	10
ID3	5475
MDS2	10
RPL11	27763
ELOA	1488
ELOA-AS1	185
PITHD1	1503
LOC105376860	156
LYPLA2	1370
GALE	1015
HMGCL	1057
LOC105376861	5
FUCA1	1669
CNR2	22
PNRC2	4303
SRSF10	3447
LOC105376863	8
LOC107984931	2
MYOM3	24
IL22RA1	82
IFNLR1	257
LINC02800	0
GRHL3-AS1	0
GRHL3	2
STPG1	302
NIPAL3	1305
RCAN3AS	5
RCAN3	702
NCMAP-DT	63
NCMAP	256
SRRM1	3015
CLIC4	7598
RUNX3	1604
107984932	7
RUNX3-AS1	25
SYF2	2007
RSRP1	3440
LOC105376882	6
RHD	80
TMEM50A	2200
RHCE	1161
MACO1	990
LDLRAP1	1473
MAN1C1	1015
SELENON	4386
MTFR1L	1072
LOC646471	250
AUNIP	210
PAQR7	499
STMN1	1690
MIR3917	99
PAFAH2	568
101928216	5
EXTL1	44
SLC30A2	5
TRIM63	4
PDIK1L	322
FAM110D	821
ZNF593	461
CNKSR1	558
CATSPER4	2
ZPLD2P	14
CEP85	355
SH3BGRL3	4633
UBXN11	2876
CD52	2703
CRYBG2	130
ZNF683	111
DHDDS	678
DHDDS-AS1	21
HMGN2	8327
RPS6KA1	2924
LOC101928728	21
ARID1A	2571
PIGV	414
ZDHHC18	1210
SFN	565
GPN2	1049
GPATCH3	376
NUDC	2742
NR0B2	120
KDF1	185
TRNP1	398
TENT5B	841
LOC101928391	30
SLC9A1	1529
WDTC1	2639
TMEM222	1161
ACTG1P20	45
SYTL1	1739
MAP3K6	3719
FCN3	9370
CD164L2	96
GPR3	61
WASF2	5298
LOC105376892	18
AHDC1	1147
FGR	2641
LINC02574	2
IFI6	5794
FAM76A	539
STX12	3563
PPP1R8	1094
THEMIS2	2834
RPA2	1206
SMPDL3B	328
XKR8	345
EYA3	788
PTAFR	1660
