GeneID	RNA-seq_LADC24
DDX11L1	2
WASH7P	583
MIR6859-1	19
LOC100996442	24
LOC729737	1229
DDX11L17	6
WASH9P	722
MIR6859-2	10
LOC112268260	15
LOC100132287	558
LOC105378947	3
MIR12136	1605
OR4F16	1
100133331	504
107984841	59
107984847	67
107984849	20
LOC100288069	49
LINC01409	16
FAM87B	13
LINC00115	39
LINC01128	482
FAM41C	2
LOC284600	5
LINC02593	56
LOC107985728	50
SAMD11	264
NOC2L	1826
KLHL17	438
PLEKHN1	171
PERM1	28
HES4	798
ISG15	1396
AGRN	8996
LOC100288175	32
112267874	27
LOC105378948	81
RNF223	53
C1orf159	588
LINC01342	2
MIR200B	10
MIR200A	4
MIR429	25
TTLL10-AS1	239
TTLL10	738
TNFRSF18	255
TNFRSF4	227
SDF4	4912
B3GALT6	687
C1QTNF12	26
UBE2J2	1547
LINC01786	62
SCNN1D	200
ACAP3	1862
SNORD167	8
PUSL1	549
INTS11	2317
MIR6727	11
CPTP	1108
TAS1R3	49
DVL1	2513
MIR6808	8
MXRA8	1493
AURKAIP1	2261
CCNL2	5720
MRPL20-AS1	510
MRPL20	1286
107984868	39
ANKRD65	1247
LOC105378585	28
TMEM88B	6
LINC01770	144
LOC107985729	70
VWA1	4004
ATAD3C	361
ATAD3B	1213
ATAD3A	996
TMEM240	48
SSU72	2733
FNDC10	353
LOC105378586	48
MIB2	2341
MMP23B	262
CDK11B	1848
SLC35E2B	1970
MMP23A	181
CDK11A	1215
SLC35E2A	660
LOC112268218	326
NADK	2837
GNB1	7863
LOC105378949	7
CALML6	21
TMEM52	39
CFAP74	721
LOC107984872	26
LOC105378589	1
GABRD	20
LOC105378590	1
LOC105378591	1
PRKCZ	2488
PRKCZ-AS1	112
FAAP20	1825
LOC112268219	142
LOC105378593	8
SKI	3731
MORN1	558
LOC100129534	95
RER1	3023
PEX10	622
PLCH2	1121
PANK4	735
HES5	0
TNFRSF14-AS1	895
TNFRSF14	3371
LOC100996583	24
PRXL2B	889
MMEL1	199
MMEL1-AS1	2
TTC34	127
LOC105378598	76
LOC107984904	11
PRDM16-DT	235
PRDM16	590
LOC105378606	2
LOC107984909	6
LOC105378604	15
ARHGEF16	839
MEGF6	3074
LOC105378608	5
105378607	0
TPRG1L	1707
WRAP73	736
TP73	1015
TP73-AS3	3
TP73-AS1	726
CCDC27	0
