GeneID,Intensity.LUAD_phos_02T
RBM47,0
E2F8,113129424
UBA6,0
ESYT2,1254066801
ESYT3,0
MED19,241145189
UHRF1BP1L,246017489
KIAA1598,116330644
LNP1,0
ARHGAP10,0
CCDC64B,120276544
MEX3A,0
C1orf226,245218689
PLEKHG3,700326287
SH3PXD2B,0
FRMD3,0
CXorf23,116685344
NBAS,274695489
TESPA1,228781689
KIAA1467,0
DENND3,0
SBNO1,0
KLRG2,0
RAB19;RAB43,0
SH3D21,0
XIRP2,0
POTEF;POTEI;POTEJ;ACTB;ACTG1;POTEE;POTEKP,114663244
POTEF;POTEI;ACTB;ACTA2;ACTG2;ACTG1;ACTC1;ACTA1;POTEE,116098044
POTEF;ACTB;ACTA2;ACTG2;ACTG1;ACTC1;ACTA1;ACTBL2;POTEE;POTEKP,139359244
CCDC151,0
CNOT1,0
ARHGEF35,0
ARHGEF35;ARHGEF5,0
BDP1,135794244
CCDC88B,248558889
FAM83G,0
PALM3,0
SOWAHB,0
ZNF316,298856489
TLCD2,114402544
CCDC69,112785334
WTIP,114231844
PCNXL2,166441244
CCDC85C,0
PCP4L1,0
TRIM64C,0
BTBD11,0
ZSWIM8,0
ARHGAP32,0
DISP2,0
TBKBP1,0
POM121C,115066144
POM121C;POM121B;POM121,0
POM121C;POM121,344591133
EFCAB7,113560444
NEURL1B,114703644
NCF1C;NCF1;NCF1B,119112644
FAM171A2,117158944
WASH4P;WASH1;WASH3P;WASH2P,0
WASH4P;WASH1;WASH3P;WASH2P;WASH6P,0
COL6A5,0
MYO1G,115738644
MYO9A,114452444
SMIM1,118360144
TMEM229A,0
PPP1R3G,117983744
TMEM238,0
FAM195B,118307044
NACA,279464489
CNKSR3,0
CNKSR3;IPCEF1,233457589
AGPS,230386649
KIF2A,122277244
DDX39A;DDX39B,0
PDLIM1,228464089
MYO1C,118473744
SNAP23,476807728
FXYD1,0
GTPBP1,131752244
STXBP3,113667944
ARVCF,613856923
SMAP,227475244
RAB27B;RAB27A,0
AP3B1,307589839
SULT2B1,0
NFKBIE,0
PSMD11,123650244
MEN1,125130244
CBX4,120793044
SUPT5H,241403189
DFFA,0
RFXAP,0
HIP1,113737744
CLIC1,0
EIF3F,0
WWP2,112974264
ARNTL,0
PIK3CD,0
PDHX,0
QSOX1,0
FOXN3,244826189
IPO5,0
EEF2K,0
EML1,0
DNM1L,129957244
PIK3C2A,348321633
LST1,0
GOLIM4,137112244
MEIS1,126525244
ELL2,0
BTN3A1,0
BIN1,351364433
CLDN5,0
KPNA3,151732244
STK25;STK26;STK24,0
BCL9,232355589
LAD1,341197833
EBAG9,597545244
SDCBP,0
PITPNM1,347710333
MPHOSPH10,397341733
NOP56,617506643
PEX12,0
KPNA4,0
NFIB,261283489
ACACB,0
SCD,131361244
PPAP2A,0
PPAP2B,114914544
ARID1A,478727178
BHLHE40,0
C2CD2L,0
FCHO1,0
TRAFD1,561144878
HSPB6,114592744
CIT,0
COPE,237590489
CDC42EP2,0
AP3D1,261117489
ENPP3,0
ABLIM1,1046221757
DVL1,0
DVL1;DVL1P1,0
CHD1,114553344
CHD2,340105913
STX16,112541324
EI24,120108944
TP53I11,363525244
KMT2D,1542813920
RGPD8;RGPD5,0
RGPD8;RGPD5;RGPD1;RGPD2,123509244
