GeneID,Intensity.LUAD_phos_05T
RBM47,122808288
E2F8,0
UBA6,0
ESYT2,1154142394
ESYT3,116466088
MED19,247263376
UHRF1BP1L,253567576
KIAA1598,504994152
LNP1,0
ARHGAP10,0
CCDC64B,548459252
MEX3A,0
C1orf226,379914664
PLEKHG3,964311605
SH3PXD2B,0
FRMD3,0
CXorf23,227712486
NBAS,129994288
TESPA1,0
KIAA1467,121878288
DENND3,112679988
SBNO1,118268688
KLRG2,0
RAB19;RAB43,0
SH3D21,0
XIRP2,0
POTEF;POTEI;POTEJ;ACTB;ACTG1;POTEE;POTEKP,112252088
POTEF;POTEI;ACTB;ACTA2;ACTG2;ACTG1;ACTC1;ACTA1;POTEE,112747088
POTEF;ACTB;ACTA2;ACTG2;ACTG1;ACTC1;ACTA1;ACTBL2;POTEE;POTEKP,144154288
CCDC151,0
CNOT1,0
ARHGEF35,225632976
ARHGEF35;ARHGEF5,0
BDP1,134014288
CCDC88B,0
FAM83G,0
PALM3,1860356358
SOWAHB,570518841
ZNF316,159963288
TLCD2,0
CCDC69,0
WTIP,0
PCNXL2,0
CCDC85C,112711788
PCP4L1,0
TRIM64C,0
BTBD11,121013288
ZSWIM8,119528088
ARHGAP32,226398376
DISP2,0
TBKBP1,0
POM121C,114159388
POM121C;POM121B;POM121,0
POM121C;POM121,234412176
EFCAB7,0
NEURL1B,0
NCF1C;NCF1;NCF1B,0
FAM171A2,0
WASH4P;WASH1;WASH3P;WASH2P,0
WASH4P;WASH1;WASH3P;WASH2P;WASH6P,0
COL6A5,110770608
MYO1G,226707676
MYO9A,113192788
SMIM1,531851652
TMEM229A,0
PPP1R3G,111059668
TMEM238,118383788
FAM195B,0
NACA,133278288
CNKSR3,0
CNKSR3;IPCEF1,112319988
AGPS,114560588
KIF2A,0
DDX39A;DDX39B,115815088
PDLIM1,347863364
MYO1C,123466288
SNAP23,124737288
FXYD1,0
GTPBP1,0
STXBP3,0
ARVCF,582927941
SMAP,807777288
RAB27B;RAB27A,0
AP3B1,205346288
SULT2B1,0
NFKBIE,233627076
PSMD11,118500388
MEN1,141112288
CBX4,112676788
SUPT5H,469871752
DFFA,0
RFXAP,0
HIP1,133591288
CLIC1,0
EIF3F,0
WWP2,117948388
ARNTL,0
PIK3CD,0
PDHX,0
QSOX1,115190088
FOXN3,0
IPO5,0
EEF2K,395921564
EML1,0
DNM1L,149053288
PIK3C2A,248286976
LST1,120172088
GOLIM4,167795288
MEIS1,0
ELL2,0
BTN3A1,0
BIN1,467118452
CLDN5,0
KPNA3,245887266
STK25;STK26;STK24,0
BCL9,346336904
LAD1,877325617
EBAG9,547177288
SDCBP,0
PITPNM1,228468276
MPHOSPH10,484254652
NOP56,779987841
PEX12,0
KPNA4,0
NFIB,357938464
ACACB,0
SCD,0
PPAP2A,0
PPAP2B,118106088
ARID1A,715664829
BHLHE40,0
C2CD2L,111245188
FCHO1,0
TRAFD1,755724259
HSPB6,0
CIT,542871152
COPE,243009576
CDC42EP2,113944888
AP3D1,273104576
ENPP3,0
ABLIM1,1714506837
DVL1,112876588
DVL1;DVL1P1,111509088
CHD1,0
CHD2,615504641
STX16,114853988
EI24,459062452
TP53I11,986937288
KMT2D,1769979223
RGPD8;RGPD5,0
RGPD8;RGPD5;RGPD1;RGPD2,0
RGPD8;RGPD5;RGPD1;RGPD2;RANBP2;RGPD4;RGPD3,119505388
RGPD8;RGPD5;RANBP2;RGPD4;RGPD3,351108364
PDCD5,0
SLC9A3R1,687298241
NRP1,0
TNPO2,115241388
APOL1,237784576
UNC13B,353299564
RASGRF2,112431088
SCAMP3,492738364
BACH1,243070476
BCKDK,971082941
IRF6,139206288
GIPC1,113750388
IKBKB,114309288
RGS12,237869576
CASK,0
PPP1R12A,1172094494
GAK,346201864
ZNF263,0
HNRNPDL,128516288
XPO1,132153288
ARHGEF10,341412364
ZNF609,466697452
ZNF646,117670788
PDZD2,489798352
SPTBN2,0
MAST4,820213617
SEC16A,1425207482
PLXNB2,113994888
AREL1,0
KHNYN,228567276
U2SURP,572437352
SETD1A,1027023006
SYNJ2,0
SYNM,463786352
KIAA0355,0
MCF2L,343195764
DCLK1,498438652
ARHGEF11,2046715299
FYB,111333788
TBX3,0
SCAMP2,439687288
ARPC1B,0
BET1,116167888
TRIM24,386904864
PGRMC2,1408977153
CTDSPL,0
SMAD9;SMAD1,0
RGL2,113833988
NKRF,0
ZNF185,369521864
CASC3,234444076
RER1,348940576
ATXN7,0
MID1,0
MID1;MID2,112515688
INPPL1,235992676
SLC16A4,0
HDAC3,123653288
SIGLEC5,0
STX7,112977788
TOX3,115481988
FOXP2,0
TNRC18,711089229
SLC16A3,126125288
SLC31A2,0
ABCC3,395689764
ABCC4,395714264
ABCC5,0
CD3EAP,0
MSH4,0
PER1,232657276
RNF113A,231102276
KDM6A,117426988
CLDN3,417593264
FFAR2,0
ZZEF1,0
ASAP2,0
RRP8,241836576
PJA2,239938176
SIPA1L1,1175224962
ARHGAP6,112483388
PHF1,0
GPR39,111144458
SEPTIN4,157396288
DYNC1LI2,281242576
PSMD3,0
SART1,454106376
SPINT2,131411288
HSPA12A,0
CCP110,114504188
ADCY6,231429576
CTIF,122114288
PPIP5K2,117234588
MAP3K7,240067976
RIPK2,222186546
RASA4;RASA4B,0
WDR62,0
PRPF3,314766576
TXNL1,0
TPD52L2,807796829
SYNJ1,0
EIF4G3,240795476
CBFA2T2,227581476
AKR7A2,113740488
EPB41L2,706293029
TGOLN2,771256441
WIPF1,0
ATP8B1,0
FOXO3,0
SMAD6,0
SGCE,0
LAT,111846188
RGS14,121863288
RNF13,0
AKAP10,0
SYT7,0
DENR,128240288
SPRY2,0
