GeneID	LUAD_03N
A1BG	273913341
A2M	629830169
AARS	10529101
ABCC1	15229623
ABCD3	123413455
ABCF1	5501393
ABHD10	61318594
ABHD11	31275324
ABHD14B	18671770
ABHD16A	56264219
ABI1	8666693
ACAA1	134812984
ACAA2	333460479
ACAD8	7826657
ACAD9	41208672
ACADM	59035373
ACADS	53509254
ACADSB	127095736
ACADVL	233101556
ACAT1	394890351
ACAT2	11449026
ACE	28034099
ACIN1	23810351
ACLY	18459940
ACO1	4410598
ACO2	338478299
ACOT1	25723077
ACOT13	18982241
ACOT9	72677720
ACOX1	77130656
ACP1	8610867
ACSF2	80836777
ACSL1	223255636
ACSL3	61606286
ACSL4	49435072
ACSL5	100533243
ACSS1	39334909
ACTG1	407308837
ACTL6A	50086744
ACTN1	516716404
ACTR1A	51716272
ACTR1B	27035697
ACTR2	313797221
ACTR3	256072532
ADAM10	59375384
ADAR	13379233
ADCK3	3085986
ADD1	132591711
ADD3	76280971
ADH5	50013722
ADPGK	104587753
AEBP1	65952862
AFG3L2	39177888
AGFG1	3598730
AGK	48747716
AGL	2627002
AGO2	5947342
AGPS	75035047
AGRN	234973124
AGT	16637922
AHCY	50711462
AIF1	181343159
AIFM1	133944351
AIMP1	8650440
AIMP2	31876516
AIP	3976542
AK1	22047353
AK2	138092966
AK3	70050311
AKAP12	35698683
AKAP2	106929352
AKAP9	2004490
AKR1A1	40215567
AKR7A2	27466196
ALCAM	93705403
ALDH16A1	22686018
ALDH18A1	33858786
ALDH1A1	173017453
ALDH1B1	11517191
ALDH2	513758017
ALDH3A2	195242929
ALDH4A1	56021768
ALDH5A1	29466864
ALDH6A1	163676931
ALDH7A1	121944494
ALDH9A1	129498916
ALDOC	28763620
ALG2	50853064
ALG5	40114565
ALOX5	44010507
AMBP	65434375
AMPD3	1858075
ANK1	170258927
ANKFY1	8385624
ANKRD44	2833109
ANO10	20435022
ANO6	25826003
ANP32A	15933542
ANPEP	22266399
ANXA11	301983890
ANXA3	233713684
ANXA4	1884423757
ANXA5	2071649808
ANXA6	1423827968
ANXA7	325846942
AOC3	778256942
AP1B1	51429297
AP1G1	21328403
AP1M1	41529580
AP2A1	119781767
AP2A2	86904649
AP2B1	208106769
AP2M1	244218040
AP2S1	129784575
AP3B1	6383323
AP3D1	12070210
AP3M1	14900209
APEH	11803210
APEX1	23255287
API5	14547626
APMAP	435823793
APOA1	941713750
APOA2	108603620
APOA4	135670140
APOB	62291410
APOC1	1056693939
APOC3	230610915
APOD	248732059
APOE	228654246
APOH	1160350080
APOOL	78853292
APP	4594712
APPL1	4912660
APRT	8330924
AQR	4486877
ARAP1	2260646
ARCN1	22359488
ARF1	329633705
ARF4	156950870
ARF6	54113718
ARHGAP1	30170553
ARHGAP18	5146611
ARHGDIA	90766738
ARHGDIB	88836716
ARHGEF1	7073058
ARHGEF17	872559
ARL8A	250919674
ARL8B	37171597
ARMC10	48609121
ARPC1A	3124787
ARPC1B	53971250
ARPC2	166101505
ARPC3	84546663
ARPC4	141741821
ARPC5	65638165
ARPC5L	26252716
ARRB1	17304959
ASAH1	327153268
ASPH	124187191
ASPN	235608251
ATAD3A	27158246
ATIC	12441684
ATL2	15350966
ATL3	332137161
ATP13A1	29821800
ATP1A1	614896371
ATP1B1	328370715
ATP1B3	210950660
ATP2A2	344636959
ATP2A3	17905736
ATP2B1	15433217
ATP2B4	120037393
ATP2C1	23124414
ATP5A1	752950606
ATP5C1	259027328
ATP5D	1498415900
ATP5F1	204215933
ATP5H	132840858
ATP5J	69109080
ATP5J2	522860075
ATP5L	109686501
