GeneID	LUAD_06T
A1BG	101533638
A2M	194607603
AARS	52133925
ABCC1	1266695
ABCD3	6763678
ABCF1	12047945
ABHD10	26257033
ABHD11	41013848
ABHD14B	38878798
ABHD16A	10332555
ABI1	26038977
ACAA1	55512890
ACAA2	125734735
ACAD8	9770211
ACAD9	7422798
ACADM	79002960
ACADS	10602886
ACADSB	20430110
ACADVL	83143914
ACAT1	150879136
ACAT2	33071776
ACE	1165750
ACIN1	13822322
ACLY	26479088
ACO1	30028575
ACO2	175583270
ACOT1	35831615
ACOT13	242684678
ACOT9	38265271
ACOX1	7725379
ACP1	29890107
ACSF2	52384773
ACSL1	18092880
ACSL3	18977015
ACSL4	8389046
ACSL5	11343827
ACSS1	3799598
ACTG1	269966598
ACTL6A	22414300
ACTN1	723761647
ACTR1A	41408724
ACTR1B	12569730
ACTR2	304064488
ACTR3	321016598
ADAM10	3003714
ADAR	32180669
ADCK3	1548447
ADD1	16852208
ADD3	9183197
ADH5	78478129
ADPGK	19716941
AEBP1	211568549
AFG3L2	8931111
AGFG1	19498566
AGK	13793557
AGL	2204662
AGO2	4792100
AGPS	14182136
AGRN	21382613
AGT	8292991
AHCY	157409366
AIF1	98449076
AIFM1	59503306
AIMP1	48918846
AIMP2	14904628
AIP	27515017
AK1	156402755
AK2	295506867
AK3	112169996
AKAP12	5704840
AKAP2	21361057
AKAP9	1608537
AKR1A1	232291060
AKR7A2	148470441
ALCAM	35291146
ALDH16A1	13779317
ALDH18A1	78605991
ALDH1A1	119633335
ALDH1B1	45933826
ALDH2	200007980
ALDH3A2	36344175
ALDH4A1	18747285
ALDH5A1	22959130
ALDH6A1	79547700
ALDH7A1	170807510
ALDH9A1	98081707
ALDOC	146192994
ALG2	3291458
ALG5	8439128
ALOX5	6882228
AMBP	47668263
AMPD3	2115356
ANK1	929421
ANKFY1	7965698
ANKRD44	4503553
ANO10	1615855
ANO6	6283495
ANP32A	161360924
ANPEP	19649898
ANXA11	197399348
ANXA3	149209056
ANXA4	423421175
ANXA5	1282227216
ANXA6	565876427
ANXA7	74671996
AOC3	70405467
AP1B1	18405306
AP1G1	8455439
AP1M1	11280099
AP2A1	46066897
AP2A2	16418069
AP2B1	88694919
AP2M1	239355856
AP2S1	22067169
AP3B1	10144342
AP3D1	7953015
AP3M1	11311263
APEH	14375352
APEX1	172147302
API5	28742494
APMAP	118635239
APOA1	1114598390
APOA2	775595748
APOA4	92893988
APOB	4551164
APOC1	343958349
APOC3	53466299
APOD	33620497
APOE	107890719
APOH	185843509
APOOL	10425823
APP	7524552
APPL1	13699435
APRT	250944634
AQR	1274761
ARAP1	2282342
ARCN1	181861858
ARF1	231002086
ARF4	82803951
ARF6	35023936
ARHGAP1	65272054
ARHGAP18	9655893
ARHGDIA	346561061
ARHGDIB	291519547
ARHGEF1	12741042
ARHGEF17	342894
ARL8A	86269818
ARL8B	30953576
ARMC10	9511327
ARPC1A	16725497
ARPC1B	308332889
ARPC2	254739270
ARPC3	283624297
ARPC4	156037274
ARPC5	167699950
ARPC5L	41570608
ARRB1	18662283
ASAH1	38370743
ASPH	51807380
ASPN	80442098
ATAD3A	37928893
ATIC	93077298
ATL2	15346753
ATL3	74090797
ATP13A1	11396816
ATP1A1	111711020
ATP1B1	75980859
ATP1B3	29524301
ATP2A2	56260651
ATP2A3	676490
ATP2B1	1238856
ATP2B4	19289449
ATP2C1	5599693
ATP5A1	717847010
ATP5C1	176024039
ATP5D	166450672
ATP5F1	95548415
ATP5H	119369288
ATP5J	213995208
ATP5J2	112619728
ATP5L	145855789
ATP5O	300727415
ATP6V0A1	8119135
ATP6V0D1	21314025
ATP6V1A	62798300
ATP6V1B2	57713439
ATP6V1C1	13388924
ATP6V1E1	32344328
ATP6V1F	18851718
ATP6V1H	11593496
BAG3	30310508
BAG5	6244054
BAG6	15025355
BANF1	470545468
BASP1	105090889
BAX	58320595
BAZ1B	6664025
BCAM	6365762
BCAP31	311554697
BCAT2	21242029
BCKDHA	18998526
BCKDHB	8057502
BCKDK	19541202
BCL2L13	6412559
BCLAF1	34933419
BCS1L	1536139
BLVRA	184387981
BLVRB	389582114
BRK1	53397444
BSG	62083153
BST1	12181955
BUB3	99779812
C14orf159	13053662
C14orf166	97345901
C16orf58	7636196
C1QB	33743623
C1QBP	34350740
C1QC	107270550
C1S	43175192
C3	147144817
C4A	1687053
C4B	76986756
C4BPA	46914087
C5	7083771
C7	5478995
C8A	12227766
C9	47881496
CA1	130110264
CA2	47604385
CACYBP	141927354
CAD	6238555
CALD1	836053891
CALU	347890270
CAMK2D	46853078
CAMK2G	33198730
CAND1	29316225
CANX	177803528
CAP1	453449910
CAPG	630682567
CAPN1	44034871
CAPN2	104296285
CAPNS1	212645610
CAPRIN1	44095137
CAPZA1	249505463
CAPZA2	223789663
CAPZB	252445359
CARKD	13079233
CASK	18894572
CAST	137290576
CAT	61016217
CBR1	207064212
CBX1	107486889
CBX3	124656014
CBX5	34087075
CCAR1	10047898
CCAR2	9362647
CCDC22	12727800
CCDC47	66005131
CCDC6	13296004
CCT2	193113947
CCT3	134615457
CCT4	93629781
CCT5	162794805
CCT6A	153117230
CCT7	129790355
CCT8	85084397
CD14	49698124
CD151	33873522
CD163	24389903
CD2AP	25330449
CD44	106241197
CD47	42261420
CD55	46261530
CD59	465402397
CD74	56177370
CD81	68859899
CD9	224406136
CD97	15578506
CDC37	118891948
CDC42	384293640
CDC42BPA	1115040
CDC42BPB	7621780
CDC5L	16604174
CDH1	26795317
CDH13	20294641
CES1	97811099
CFH	125453761
CHCHD2	117174347
CHCHD3	115886796
CHD4	8069376
CHERP	11705996
CHID1	15496241
CHMP4B	122089478
CHMP6	6538710
CHP1	72346628
CIB1	7733696
CISD1	66196339
CISD2	18956031
CKAP4	455682425
CKAP5	6688657
CKB	267311454
CLCC1	8358279
CLEC3B	65800589
CLIC1	415195467
CLIC4	217068103
CLINT1	44455415
CLIP1	7090150
CLPB	3870088
CLTB	152713095
CLTC	263145066
CNDP2	132637646
CNN2	374123031
CNN3	255472019
CNOT1	3174439
CNP	18512272
CNPY2	138526746
CNPY3	17094869
COL12A1	287480528
COL14A1	38315984
COL15A1	15330551
COL18A1	22216400
COL3A1	28373676
COL4A1	19040373
COL4A2	7662803
COL6A3	329986903
COLGALT1	30995113
COMT	106440366
COPA	49921211
COPB1	58986583
COPB2	50988839
COPE	81182179
COPG1	69519835
COPS2	7166875
COPS3	14706983
COPS4	37335525
COQ5	2153810
COQ9	9120101
CORO1A	278783805
CORO1B	74476331
CORO1C	264913949
COTL1	206514207
COX4I1	296484971
COX5A	160668285
COX5B	327450366
COX6B1	159900663
COX7A2	145166825
CP	124114775
CPM	2196663
CPNE1	57966665
CPNE2	3214604
CPNE3	36802059
CPOX	24615957
CPSF1	3748328
CPSF3	7432539
CPT1A	3446537
CPT2	22613761
CRAT	9487353
CRELD1	6203564
CRIP2	226995947
CRKL	16401314
CROCC	3433475
CRYAB	23749697
CRYZ	169002449
CS	187683811
CSDE1	13995907
CSE1L	15694885
CSK	10291924
CSNK1A1	3778371
CSNK2A1	36059360
CSNK2A2	12611849
CSNK2B	42080037
CSPG4	4350032
CSRP1	550901310
CSRP2	231634313
CTBP1	39643679
CTNNB1	52304437
CTNND1	54241163
CTSA	32581710
CTSB	370534160
CTSC	46789269
CTSD	910254345
CTSH	108766608
CTSS	63081097
CTSZ	258418132
CTTN	83762836
CUL3	5352056
CUX1	3044217
CYB5B	44279626
CYB5R1	48782412
CYB5R3	306119758
CYBB	12132769
CYC1	41854032
CYFIP1	17385838
CYP20A1	5831481
CYP27A1	2774330
DAD1	70059634
DAG1	9052711
DARS	59162617
DARS2	7608773
DAZAP1	41799244
DBI	481339347
DBN1	91187075
DBNL	79419524
DBT	24472925
DCTN1	22799065
DCTN2	112401484
DCTN4	11452535
DCXR	33531997
DDAH1	151224795
DDAH2	80292682
DDB1	19226071
DDOST	48431935
DDRGK1	23919193
DDX1	69519835
DDX17	92358610
DDX18	6342975
DDX23	11547057
DDX39B	176416863
DDX3X	81031554
DDX5	131204050
DDX6	25644212
DECR1	85955943
DEK	43111858
DERA	4266918
DHRS7	47336939
DHRS7B	8955980
DHX15	24143245
DHX30	2617418
DHX9	78740536
DIABLO	18195270
DIAPH1	11522237
DKC1	26857940
DLAT	31212417
DLD	136983876
DLST	116912594
DNM1L	10859058
DNM2	28269784
DNPEP	17537059
DOCK1	1322383
DOCK11	482923
DOCK2	1129499
DOCK4	213624
DOCK6	634162
DOCK9	204194
DPM1	19390850
DPYSL2	234768595
DPYSL3	462779150
DST	2755108
DSTN	597858487
DTX3L	14419241
DTYMK	34222601
DUT	19797006
DYNC1H1	37786811
DYNC1I2	31667034
DYNC1LI1	13633564
DYNC1LI2	47048862
DYNLL1	235422637
DYNLRB1	193615198
DYSF	2354510
ECE1	1462159
ECH1	128112430
ECHDC1	22265697
ECHS1	178252587
ECI1	29213769
ECI2	8142764
ECM1	14081374
EDC4	9685430
EEA1	21153355
EEF1B2	115660585
EEF1D	394766747
EEF1E1	8310280
EEF1G	143546531
EEF2	317262436
EEFSEC	6612209
EFEMP1	133416928
EFEMP2	60200274
EFHD2	77866698
EFR3A	791278
EFTUD2	34560172
EGFR	10221700
EHD1	22745831
EHD2	58605789
EHD3	4555406
EHD4	33278150
EHHADH	1029581
EIF1	125189719
EIF2AK2	24925276
EIF2S1	127855659
EIF2S2	69233772
EIF2S3	113720982
EIF3A	32743103
EIF3B	37640620
EIF3C	17221104
EIF3D	40447833
EIF3E	20006196
EIF3F	13133459
EIF3G	20051030
EIF3H	27764139
EIF3I	83618052
EIF3L	18727487
EIF3M	12818300
EIF4A1	288490876
EIF4A2	32457940
EIF4A3	164318093
EIF5	49270988
EIF5A	460258545
EIF6	188196134
ELAVL1	85811315
ELMO1	3068890
ELMO2	3090724
ELMOD2	15654912
EMC1	8201057
EMC2	35650546
EMD	186740039
EMILIN1	274329493
EMILIN2	3243908
EML4	27933516
ENDOD1	8467978
ENG	5903022
ENPP4	4784196
ENTPD1	67147274
EPB41	10679309
EPB41L1	3687512
EPB41L2	29419625
EPB41L3	4962927
EPCAM	26608494
EPN1	32222944
EPPK1	2953905
EPRS	38774282
EPS15	4425565
EPS15L1	8801246
EPS8L2	2504754
ERAP1	43740708
ERBB2IP	2696578
ERGIC1	238088890
ERGIC2	9546120
ERH	244881887
ERLEC1	7570109
ERLIN1	4357655
ERLIN2	44647976
ERMP1	3810617
ERO1L	141638078
ERP29	129192746
ERP44	101146438
ESD	134025169
ESYT1	75550851
ESYT2	57522646
ETFA	143888759
ETFB	170807510
ETFDH	9044020
ETHE1	68432551
EVL	10569885
EVPL	31174876
EWSR1	56341983
EXOC1	5008657
EXOC2	3012008
EXOC3	3222919
EXOC4	1880473
EXOC7	5327324
EXOC8	4574749
EZR	205911202
F11R	5578490
F13A1	151925013
F2	65373693
F9	4739599
FABP5	157062855
FAF2	32944740
FAHD1	56677457
FAHD2A	31745681
FAM120A	24726162
FAM129A	14919650
FAM129B	54083395
FAM21C	7292873
FAM3C	46196738
FAM49B	52994140
FAM98B	21289279
FARP1	9875288
FARSA	45219207
FARSB	35741712
FASN	16470742
FBL	118134792
FBLN1	312735429
FBLN2	113491843
FBLN5	35602233
FBN1	338923173
FBP1	85203817
FCGRT	6073527
FCHO2	6406460
FDPS	10197006
FDXR	14546882
FECH	17183441
FERMT2	65902488
FERMT3	16987525
FH	84644939
FHL2	301870897
FHOD1	4830897
FKBP15	6388786
FKBP2	98840745
