GeneID	LUAD_09N
A1BG	144165051
A2M	369611833
AARS	18198858
ABCC1	502420
ABCD3	8280063
ABCF1	7690489
ABHD10	7286916
ABHD11	5837600
ABHD14B	99195461
ABHD16A	8908319
ABI1	16219578
ACAA1	31389329
ACAA2	201953414
ACAD8	4531804
ACAD9	8134115
ACADM	16831390
ACADS	36158466
ACADSB	13627265
ACADVL	116311512
ACAT1	386500872
ACAT2	16247120
ACE	67595480
ACIN1	5825372
ACLY	32169947
ACO1	11539314
ACO2	72419482
ACOT1	15495564
ACOT13	59057430
ACOT9	47472436
ACOX1	3179076
ACP1	26106470
ACSF2	24935995
ACSL1	46279989
ACSL3	9070833
ACSL4	11074877
ACSL5	23131698
ACSS1	4315517
ACTG1	136162897
ACTL6A	14386459
ACTN1	322096916
ACTR1A	67830240
ACTR1B	14496248
ACTR2	332098783
ACTR3	255479494
ADAM10	20321836
ADAR	6641991
ADCK3	4382221
ADD1	64268288
ADD3	56778434
ADH5	134837548
ADPGK	4739599
AEBP1	34635416
AFG3L2	13042080
AGFG1	8338282
AGK	6317691
AGL	7190453
AGO2	5856341
AGPS	5076282
AGRN	171488812
AGT	40672515
AHCY	122372923
AIF1	44829362
AIFM1	24746044
AIMP1	40013631
AIMP2	9792485
AIP	14842441
AK1	336512881
AK2	153293184
AK3	43880238
AKAP12	22415957
AKAP2	141487095
AKAP9	535598
AKR1A1	140564989
AKR7A2	70015853
ALCAM	35241137
ALDH16A1	33394926
ALDH18A1	3936257
ALDH1A1	314152392
ALDH1B1	5646957
ALDH2	234850359
ALDH3A2	66210286
ALDH4A1	9855489
ALDH5A1	11803047
ALDH6A1	81964629
ALDH7A1	69080591
ALDH9A1	119958301
ALDOC	23251256
ALG2	24838856
ALG5	5904987
ALOX5	64381166
AMBP	96292033
AMPD3	1557231
ANK1	39337347
ANKFY1	8365319
ANKRD44	7423461
ANO10	5529094
ANO6	17489562
ANP32A	162055190
ANPEP	10667783
ANXA11	276634515
ANXA3	911436297
ANXA4	450276659
ANXA5	1111388634
ANXA6	708463786
ANXA7	163274795
AOC3	1032156225
AP1B1	22668682
AP1G1	18127532
AP1M1	22755460
AP2A1	48855207
AP2A2	35588421
AP2B1	83015218
AP2M1	61443269
AP2S1	89781720
AP3B1	10542122
AP3D1	5349216
AP3M1	4900700
APEH	22195472
APEX1	79244232
API5	28535339
APMAP	108645629
APOA1	1217738269
APOA2	900224158
APOA4	162442927
APOB	33984715
APOC1	786391618
APOC3	167844683
APOD	124997195
APOE	123228064
APOH	218560586
APOOL	19818521
APP	3019183
APPL1	26349289
APRT	67150527
AQR	2152129
ARAP1	6026478
ARCN1	59818229
ARF1	599344934
ARF4	139192373
ARF6	87932476
ARHGAP1	68580025
ARHGAP18	16369278
ARHGDIA	436100650
ARHGDIB	132921492
ARHGEF1	10068972
ARHGEF17	1253698
ARL8A	127067841
ARL8B	33582506
ARMC10	7963111
ARPC1A	19299459
ARPC1B	140226169
ARPC2	211194494
ARPC3	340720628
ARPC4	298278130
ARPC5	68192650
ARPC5L	23721464
ARRB1	96694267
ASAH1	272653573
ASPH	23942520
ASPN	79690048
ATAD3A	2995880
ATIC	19580460
ATL2	5568574
ATL3	65083072
ATP13A1	4599469
ATP1A1	222740663
ATP1B1	142310955
ATP1B3	15967566
ATP2A2	66101854
ATP2A3	9158848
ATP2B1	3163195
ATP2B4	50206549
ATP2C1	2206446
ATP5A1	445710700
ATP5C1	231365429
ATP5D	81355332
ATP5F1	86170773
ATP5H	113133391
ATP5J	193622219
ATP5J2	148154390
ATP5L	181194089
ATP5O	270622494
ATP6V0A1	13457898
ATP6V0D1	43048474
ATP6V1A	65295753
ATP6V1B2	38342203
ATP6V1C1	10856401
ATP6V1E1	44970986
ATP6V1F	28840857
ATP6V1H	11921090
BAG3	8707616
BAG5	2411824
BAG6	7250736
BANF1	262282819
BASP1	106768579
BAX	19884518
BAZ1B	1722831
BCAM	505602334
BCAP31	333595129
BCAT2	39079423
BCKDHA	9043810
BCKDHB	6118081
BCKDK	796756
BCL2L13	10121833
BCLAF1	9368773
BCS1L	5813290
BLVRA	55307748
BLVRB	636361932
BRK1	66683442
BSG	29203352
BST1	12563011
BUB3	56225334
C14orf159	4920269
C14orf166	65194210
C16orf58	2882911
C1QB	60915298
C1QBP	34945707
C1QC	41732585
C1S	5923947
C3	307978692
C4A	5014709
C4B	88500131
C4BPA	52788589
C5	30691596
C7	7227693
C8A	28797916
C9	51570990
CA1	1735742112
CA2	428841615
CACYBP	33209575
CAD	2992935
CALD1	124374452
CALU	116918641
CAMK2D	25093972
CAMK2G	21465394
CAND1	49000984
CANX	173729089
CAP1	232088446
CAPG	373313955
CAPN1	109134212
CAPN2	160032924
CAPNS1	299535613
CAPRIN1	5562771
CAPZA1	71173620
CAPZA2	165041793
CAPZB	219249530
CARKD	12811477
CASK	4885151
CAST	54446436
CAT	452694718
CBR1	244559155
CBX1	55221008
CBX3	81658500
CBX5	26881455
CCAR1	8158503
CCAR2	14626903
CCDC22	11210384
CCDC47	19773032
CCDC6	9887007
CCT2	198982729
CCT3	136818079
CCT4	118839443
CCT5	139528139
CCT6A	102824836
CCT7	90667809
CCT8	122120618
CD14	62443026
CD151	136484958
CD163	17044500
CD2AP	5004123
CD44	68070878
CD47	174608782
CD55	80026835
CD59	721824392
CD74	49633243
CD81	214542269
CD9	424169773
CD97	6969795
CDC37	109621000
CDC42	529931756
CDC42BPA	675833
CDC42BPB	7516795
CDC5L	9865678
CDH1	38283895
CDH13	33534115
CES1	271609100
CFH	94633252
CHCHD2	40480368
CHCHD3	69617540
CHD4	5721104
CHERP	831091
CHID1	13516774
CHMP4B	46651317
CHMP6	5702367
CHP1	35092293
CIB1	3469114
CISD1	54840521
CISD2	16087392
CKAP4	87232467
CKAP5	2691972
CKB	250530781
CLCC1	5929827
CLEC3B	220723535
CLIC1	400240622
CLIC4	116620340
CLINT1	8116163
CLIP1	4246615
CLPB	2461223
CLTB	234147295
CLTC	279617804
CNDP2	157272427
CNN2	55774539
CNN3	45846661
CNOT1	2361869
CNP	20757465
CNPY2	78788437
CNPY3	4055927
COL12A1	47621237
COL14A1	152392848
COL15A1	19163307
COL18A1	64862074
COL3A1	1996412
COL4A1	74078940
COL4A2	133849108
COL6A3	772310765
COLGALT1	16908632
COMT	77140273
COPA	53056922
COPB1	33914558
COPB2	22329477
COPE	24067162
COPG1	35892176
COPS2	17222455
COPS3	11908375
COPS4	21645968
COQ5	6911852
COQ9	15026557
CORO1A	185004391
CORO1B	39248036
CORO1C	62880160
COTL1	289445199
COX4I1	144504173
COX5A	169683672
COX5B	154101637
COX6B1	88861186
COX7A2	149326610
CP	111400348
CPM	13997009
CPNE1	53322942
CPNE2	5160380
CPNE3	65533503
CPOX	1790417
CPSF1	1522560
CPSF3	3104086
CPT1A	11519172
CPT2	24340354
CRAT	2347103
CRELD1	4333526
CRIP2	540444161
CRKL	9907463
CROCC	16179065
CRYAB	165471800
CRYZ	103720880
CS	162844670
CSDE1	5461855
CSE1L	14690680
CSK	17081866
CSNK1A1	6375590
CSNK2A1	30389456
CSNK2A2	22815247
CSNK2B	32306720
CSPG4	17621405
CSRP1	447985714
CSRP2	57644316
CTBP1	39337347
CTNNB1	141964454
CTNND1	89590467
CTSA	12306636
CTSB	64732621
CTSC	24372626
CTSD	342170020
CTSH	85832283
CTSS	4769702
CTSZ	75880774
CTTN	20599213
CUL3	7529773
CUX1	1659440
CYB5B	41542243
CYB5R1	38230737
CYB5R3	305519846
CYBB	25062155
CYC1	22223708
CYFIP1	35641833
CYP20A1	14093067
CYP27A1	10904436
DAD1	52184993
DAG1	20177225
DARS	60410376
DARS2	4536023
DAZAP1	32838261
DBI	624819168
DBN1	26754131
DBNL	18555518
DBT	22556548
DCTN1	48158333
DCTN2	128832686
DCTN4	12198929
DCXR	33771172
DDAH1	58536866
DDAH2	216625861
DDB1	27897577
DDOST	70528478
DDRGK1	21223699
DDX1	41978548
DDX17	55401496
DDX18	4003374
DDX23	7770599
DDX39B	169261503
DDX3X	41856332
DDX5	74796131
DDX6	22100970
DECR1	90465208
DEK	30109477
DERA	18106787
DHRS7	73625752
DHRS7B	9876178
DHX15	36873272
DHX30	2072946
DHX9	107916519
DIABLO	11960792
DIAPH1	9061567
DKC1	14465705
DLAT	28607195
DLD	40735627
DLST	49319471
DNM1L	8782889
DNM2	25936767
DNPEP	71997742
DOCK1	1938588
DOCK11	1913064
DOCK2	4594850
DOCK4	4613533
DOCK6	1289924
DOCK9	5697505
DPM1	12010362
DPYSL2	572677219
DPYSL3	177099252
DST	1761258
DSTN	443412347
