GeneID	LUAD_01N
A1BG	216749578
A2M	396215220
AARS	9897197
ABCC1	3648420
ABCD3	42047657
ABCF1	3548919
ABHD10	54644861
ABHD11	17119146
ABHD14B	53921476
ABHD16A	38976701
ABI1	13825601
ACAA1	38422692
ACAA2	292978284
ACAD8	4674394
ACAD9	32039189
ACADM	64956045
ACADS	140061260
ACADSB	57390674
ACADVL	192533134
ACAT1	384121420
ACAT2	7181237
ACE	97114560
ACIN1	24818838
ACLY	32193858
ACO1	7702834
ACO2	149467568
ACOT1	35320015
ACOT13	12599000
ACOT9	90818543
ACOX1	17998640
ACP1	8373148
ACSF2	99518198
ACSL1	72616349
ACSL3	20739642
ACSL4	14616992
ACSL5	59440132
ACSS1	18292466
ACTG1	189204001
ACTL6A	30538217
ACTN1	711593758
ACTR1A	99145937
ACTR1B	45082327
ACTR2	437661308
ACTR3	283221656
ADAM10	64638625
ADAR	10310327
ADCK3	8240271
ADD1	109875222
ADD3	155902010
ADH5	119076152
ADPGK	67400546
AEBP1	60297008
AFG3L2	25734176
AGFG1	8719887
AGK	38222519
AGL	10002329
AGO2	2810433
AGPS	30899255
AGRN	242728670
AGT	25582598
AHCY	70556715
AIF1	20677204
AIFM1	56721635
AIMP1	2162541
AIMP2	41330825
AIP	6287551
AK1	60840609
AK2	122969068
AK3	58545672
AKAP12	67498564
AKAP2	153737387
AKAP9	2062527
AKR1A1	75966326
AKR7A2	40325408
ALCAM	157278423
ALDH16A1	18884680
ALDH18A1	13115538
ALDH1A1	282232372
ALDH1B1	46462687
ALDH2	655822503
ALDH3A2	201383991
ALDH4A1	34550935
ALDH5A1	11446372
ALDH6A1	101608475
ALDH7A1	125320134
ALDH9A1	103353318
ALDOC	18696921
ALG2	45863036
ALG5	19195096
ALOX5	76831056
AMBP	125070623
AMPD3	1216506
ANK1	23562368
ANKFY1	16110698
ANKRD44	5151555
ANO10	12727320
ANO6	35096292
ANP32A	48328300
ANPEP	41544046
ANXA11	375754655
ANXA3	532728535
ANXA4	1093933073
ANXA5	957683004
ANXA6	1599100005
