GeneID	LUAD_03T
A1BG	64750504
A2M	244582961
AARS	43058964
ABCC1	12987650
ABCD3	120847570
ABCF1	7173330
ABHD10	26012254
ABHD11	15048281
ABHD14B	97503093
ABHD16A	38527366
ABI1	1045724
ACAA1	61785221
ACAA2	124866975
ACAD8	1500047
ACAD9	38437552
ACADM	63479688
ACADS	30022549
ACADSB	35049618
ACADVL	273393281
ACAT1	105723137
ACAT2	6395649
ACE	11114059
ACIN1	21302984
ACLY	27494855
ACO1	24976740
ACO2	164585108
ACOT1	35846461
ACOT13	5834607
ACOT9	56912778
ACOX1	37481427
ACP1	13892387
ACSF2	40741581
ACSL1	216374892
ACSL3	34417811
ACSL4	30990969
ACSL5	70406860
ACSS1	25257716
ACTG1	214615403
ACTL6A	44661653
ACTN1	847572495
ACTR1A	56614461
ACTR1B	11094761
ACTR2	682772753
ACTR3	306640115
ADAM10	43972976
ADAR	7823581
ADCK3	2674395
ADD1	43594037
ADD3	55453435
ADH5	143551762
ADPGK	45737259
AEBP1	38029129
AFG3L2	16875200
AGFG1	4074564
AGK	68761964
AGL	8994832
AGO2	6110710
AGPS	61971607
AGRN	32284063
AGT	12527511
AHCY	141212232
AIF1	152335838
AIFM1	169308358
AIMP1	2186590
AIMP2	53978735
AIP	10562380
AK1	21911418
AK2	93518022
AK3	13613650
AKAP12	55299560
AKAP2	11177468
AKAP9	1522267
AKR1A1	113966754
AKR7A2	21347846
ALCAM	71626357
ALDH16A1	35507384
ALDH18A1	68129833
ALDH1A1	342026904
ALDH1B1	25662008
ALDH2	478690748
ALDH3A2	373678204
ALDH4A1	22279544
ALDH5A1	7016012
ALDH6A1	64952396
ALDH7A1	70821443
ALDH9A1	84284192
ALDOC	53404558
ALG2	28537819
ALG5	55916543
ALOX5	26557380
AMBP	36017989
AMPD3	3548110
ANK1	3151401
ANKFY1	12254278
ANKRD44	3898627
ANO10	11188268
ANO6	12278579
ANP32A	24128291
ANPEP	35928825
ANXA11	213438767
ANXA3	59409429
ANXA4	710283494
ANXA5	1558707787
ANXA6	1067609936
ANXA7	234576346
AOC3	344195233
AP1B1	58144453
AP1G1	44262302
AP1M1	39784702
AP2A1	94222867
AP2A2	60473377
AP2B1	169663594
AP2M1	21887924
AP2S1	175449089
AP3B1	9709272
AP3D1	24774263
AP3M1	17513836
APEH	30183759
APEX1	129632476
API5	65514586
APMAP	491434653
APOA1	1279236596
APOA2	71286475
APOA4	115291973
APOB	24648552
APOC1	386276888
APOC3	65708391
APOD	110346097
APOE	65809935
APOH	224902076
APOOL	66872728
APP	3303251
APPL1	10351639
APRT	34461034
AQR	2871664
ARAP1	4440238
ARCN1	58388212
ARF1	1029493789
ARF4	499069100
ARF6	142924523
ARHGAP1	114197874
ARHGAP18	5025364
ARHGDIA	615682111
ARHGDIB	253754113
ARHGEF1	14918727
ARHGEF17	667843
ARL8A	263779755
ARL8B	45804001
ARMC10	65414370
ARPC1A	3107010
ARPC1B	43759485
ARPC2	192639098
ARPC3	180019302
ARPC4	347880313
ARPC5	90260582
ARPC5L	16098104
ARRB1	6872405
ASAH1	745280949
ASPH	87674109
ASPN	10642067
ATAD3A	32389939
ATIC	29990081
ATL2	32688111
ATL3	271658581
ATP13A1	49540148
ATP1A1	548541675
ATP1B1	280086227
ATP1B3	156784736
ATP2A2	404502033
ATP2A3	32839421
ATP2B1	8622113
ATP2B4	97158516
ATP2C1	11899322
ATP5A1	501607250
ATP5C1	36279698
ATP5D	693003933
ATP5F1	200929686
ATP5H	198021632
ATP5J	56302298
ATP5J2	454950935
ATP5L	175873623
ATP5O	75425632
ATP6V0A1	37251333
ATP6V0D1	109308783
ATP6V1A	60293809
ATP6V1B2	24880367
ATP6V1C1	28475039
ATP6V1E1	10733036
ATP6V1F	10084705
ATP6V1H	21184355
BAG3	12438049
BAG5	4868426
BAG6	11198468
BANF1	126856038
BASP1	823489007
BAX	135192852
BAZ1B	1727245
BCAM	84147706
BCAP31	787575328
BCAT2	337292576
BCKDHA	2277318
BCKDHB	10622219
BCKDK	19080237
BCL2L13	25093392
BCLAF1	15106294
BCS1L	16825186
BLVRA	28663905
BLVRB	85099840
BRK1	21935735
BSG	203893762
BST1	65045261
BUB3	14932909
C14orf159	34968763
C14orf166	56834682
C16orf58	47016383
C1QB	7741032
C1QBP	226752458
C1QC	11412905
C1S	15077142
C3	133533335
C4A	1299676
C4B	64065297
C4BPA	116168486
C5	20838958
C7	5814179
C8A	4352080
C9	14792826
CA1	131756360
CA2	29062248
CACYBP	13667518
CAD	12975975
CALD1	375321139
CALU	652853332
CAMK2D	19849462
CAMK2G	14848918
CAND1	58749962
CANX	533686431
CAP1	209169067
CAPG	101568288
CAPN1	108693868
CAPN2	65229005
CAPNS1	283730891
CAPRIN1	32498227
CAPZA1	174998860
CAPZA2	354340449
CAPZB	210246397
CARKD	10245518
CASK	14877208
CAST	46896096
CAT	281888576
CBR1	144758585
CBX1	80223354
CBX3	55379160
CBX5	12586380
CCAR1	11767432
CCAR2	36973429
CCDC22	10581288
CCDC47	144475638
CCDC6	10841079
CCT2	106341054
CCT3	47349772
CCT4	128078844
CCT5	85779313
CCT6A	151010456
CCT7	65137239
CCT8	81836553
CD14	178730179
CD151	98174395
CD163	106722950
CD2AP	2896629
CD44	89351693
CD47	247361990
CD55	22975454
CD59	1195712830
CD74	168532799
CD81	1377206662
CD9	263000499
CD97	57157892
CDC37	132281489
CDC42	527634539
CDC42BPA	134155
CDC42BPB	9018875
CDC5L	4685523
CDH1	57971445
CDH13	9147955
CES1	300590158
CFH	85633207
CHCHD2	27812424
CHCHD3	81588451
CHD4	11702125
CHERP	7021678
CHID1	80497252
CHMP4B	33697410
CHMP6	54264799
CHP1	53191726
CIB1	50682207
CISD1	409806370
CISD2	210752917
CKAP4	815737959
CKAP5	5195611
CKB	20022115
CLCC1	27576167
CLEC3B	18552293
CLIC1	504441137
CLIC4	134393821
CLINT1	33938310
CLIP1	6164585
CLPB	3082182
CLTB	39930288
CLTC	667628739
CNDP2	99253661
CNN2	79931705
CNN3	28824105
CNOT1	5855296
CNP	55838620
CNPY2	314985110
CNPY3	8705993
COL12A1	10662803
COL14A1	1417080733
COL15A1	50350004
COL18A1	173804390
COL3A1	27843362
COL4A1	53468728
COL4A2	52669087
COL6A3	325147244
COLGALT1	10320837
COMT	209723595
COPA	146313118
COPB1	191662645
COPB2	117859680
COPE	96135165
COPG1	99759755
COPS2	18777933
COPS3	27467419
COPS4	23868116
COQ5	7418662
COQ9	7455076
CORO1A	177943013
CORO1B	17458011
CORO1C	38866377
COTL1	63572437
COX4I1	677541506
COX5A	206544670
COX5B	128822146
COX6B1	58477847
COX7A2	308673771
CP	73350828
CPM	26791493
CPNE1	48564846
CPNE2	5110428
CPNE3	75154333
CPOX	7505562
CPSF1	4645862
CPSF3	2576175
CPT1A	42271700
CPT2	70518724
CRAT	10881735
CRELD1	18660601
CRIP2	67161521
CRKL	4475958
CROCC	2595527
CRYAB	28155265
CRYZ	80084021
CS	396159025
CSDE1	7636821
CSE1L	29679599
CSK	29644454
CSNK1A1	5561073
CSNK2A1	29421452
CSNK2A2	15989693
CSNK2B	32536742
CSPG4	4716985
CSRP1	611438675
CSRP2	106908589
CTBP1	15257519
CTNNB1	98527265
CTNND1	27285587
CTSA	16151055
CTSB	187124169
CTSC	23469002
CTSD	793951592
CTSH	119006847
CTSS	29519249
CTSZ	108078035
CTTN	29745285
CUL3	12721100
CUX1	1950746
CYB5B	864511717
CYB5R1	189033112
CYB5R3	365911257
CYBB	155181952
CYC1	193100002
CYFIP1	41734010
CYP20A1	42326389
CYP27A1	36793815
DAD1	1041357837
DAG1	12912141
DARS	61331212
DARS2	23315958
DAZAP1	13814392
DBI	184083366
DBN1	66965533
DBNL	16967513
DBT	18846561
DCTN1	59007016
DCTN2	66368475
DCTN4	1938035
DCXR	27090102
DDAH1	17547094
DDAH2	78651232
DDB1	55073279
DDOST	345399697
DDRGK1	46358318
DDX1	47536850
DDX17	30054550
DDX18	4362489
DDX23	2535524
DDX39B	387937108
DDX3X	42535204
DDX5	100669920
DDX6	17133703
DECR1	116426874
DEK	21992965
DERA	13750418
DHRS7	383220838
DHRS7B	50159762
DHX15	42100003
DHX30	4241474
DHX9	133024246
DIABLO	36107944
DIAPH1	12076309
DKC1	24908719
DLAT	24672584
DLD	185875817
DLST	104163994
DNM1L	13385488
DNM2	24748528
DNPEP	18216280
DOCK1	2083742
DOCK11	2757043
DOCK2	17271790
DOCK4	947865
DOCK6	658112
DOCK9	2037618
DPM1	71858813
DPYSL2	232272057
DPYSL3	137148552
DST	385941
DSTN	85484074
DTX3L	6191020
DTYMK	3089469
DUT	1473578
DYNC1H1	86205661
DYNC1I2	26587968
DYNC1LI1	12661890
DYNC1LI2	52596137
DYNLL1	476247147
DYNLRB1	10514983
DYSF	23612143
ECE1	7412186
ECH1	129066576
ECHDC1	19215434
ECHS1	174162037
ECI1	219123742
ECI2	6028601
ECM1	1948596
EDC4	10227827
EEA1	48627350
EEF1B2	82841291
EEF1D	194492230
EEF1E1	42757540
EEF1G	260128945
EEF2	381558743
EEFSEC	3191113
EFEMP1	222026131
EFEMP2	60805981
EFHD2	130459529
EFR3A	8358582
EFTUD2	63674432
EGFR	5267946
EHD1	45488866
EHD2	232838406
