GeneID	RNA.seq_LADC30
DDX11L1	2
WASH7P	804
MIR6859-1	33
LOC100996442	118
LOC729737	1051
DDX11L17	3
WASH9P	1082
MIR6859-2	36
LOC112268260	20
LOC100132287	488
LOC105378947	0
MIR12136	564
OR4F16	13
100133331	567
107984841	155
107984847	204
107984849	62
LOC100288069	129
LINC01409	81
FAM87B	15
LINC00115	86
LINC01128	369
FAM41C	4
LOC284600	20
LINC02593	70
LOC107985728	46
SAMD11	387
NOC2L	2347
KLHL17	446
PLEKHN1	593
PERM1	74
HES4	221
ISG15	1299
AGRN	16550
LOC100288175	39
112267874	15
LOC105378948	225
RNF223	37
C1orf159	374
LINC01342	10
MIR200B	3
MIR200A	4
MIR429	19
TTLL10-AS1	6
TTLL10	23
TNFRSF18	224
TNFRSF4	377
SDF4	3930
B3GALT6	432
C1QTNF12	17
UBE2J2	1350
LINC01786	58
SCNN1D	100
ACAP3	1469
SNORD167	15
PUSL1	369
INTS11	2014
MIR6727	11
CPTP	886
TAS1R3	144
DVL1	2796
MIR6808	7
MXRA8	1133
AURKAIP1	1876
CCNL2	9262
MRPL20-AS1	680
MRPL20	1527
107984868	8
ANKRD65	155
LOC105378585	19
TMEM88B	2
LINC01770	76
LOC107985729	60
VWA1	2916
ATAD3C	218
ATAD3B	1432
ATAD3A	927
TMEM240	21
SSU72	1862
FNDC10	51
LOC105378586	5
MIB2	1403
MMP23B	96
CDK11B	1561
SLC35E2B	3177
MMP23A	53
CDK11A	1212
SLC35E2A	1512
LOC112268218	357
NADK	3399
GNB1	7895
LOC105378949	6
CALML6	7
TMEM52	59
CFAP74	86
LOC107984872	4
LOC105378589	25
GABRD	294
LOC105378590	2
LOC105378591	3
PRKCZ	3870
PRKCZ-AS1	196
FAAP20	1630
LOC112268219	138
LOC105378593	13
SKI	2214
MORN1	237
LOC100129534	47
RER1	3372
PEX10	642
PLCH2	89
PANK4	618
HES5	3
TNFRSF14-AS1	203
TNFRSF14	789
LOC100996583	7
PRXL2B	509
MMEL1	131
MMEL1-AS1	0
TTC34	25
LOC105378598	2
LOC107984904	1
PRDM16-DT	10
PRDM16	106
LOC105378606	3
LOC107984909	1
LOC105378604	16
ARHGEF16	1446
MEGF6	1642
LOC105378608	5
105378607	0
TPRG1L	1181
WRAP73	643
TP73	191
TP73-AS3	14
TP73-AS1	845
CCDC27	1
SMIM1	62
LRRC47	1423
CEP104	1015
DFFB	218
107984910	7
C1orf174	465
LINC01134	38
AJAP1	16
LOC107984911	0
NPHP4	564
KCNAB2	663
CHD5	5
RPL22	10656
107985733	101
RNF207-AS1	19
RNF207	789
ICMT	2681
LINC00337	0
GPR153	691
ACOT7	541
HES2	41
ESPN	46
TNFRSF25	196
PLEKHG5	431
NOL9	793
TAS1R1	6
LOC107984912	0
ZBTB48	538
KLHL21	1177
LOC107984913	6
PHF13	350
THAP3	675
DNAJC11	1185
CAMTA1-DT	7
CAMTA1	658
LOC105376689	30
VAMP3	2203
PER3	205
UTS2	15
TNFRSF9	133
PARK7	5179
ERRFI1	1539
LOC107984915	1
LINC01714	3
SLC45A1	27
RERE	3780
RERE-AS1	8
ENO1	35124
MIR6728	11
ENO1-AS1	16
CA6	24
SLC2A5	175
GPR157	499
MIR34AHG	382
MIR34A	3
LNCTAM34A	30
H6PD	6470
SPSB1	1484
LINC02606	28
SLC25A33	265
TMEM201	413
107985734	11
PIK3CD	692
PIK3CD-AS1	4
PIK3CD-AS2	89
CLSTN1	2377
CTNNBIP1	553
LOC105376717	52
LZIC	1096
NMNAT1	263
RBP7	48
UBE4B	1489
KIF1B	1520
105376725	13
PGD	19530
CENPS-CORT	284
CENPS	284
CORT	11
DFFA	1472
PEX14	585
CASZ1	987
LOC105376733	27
C1orf127	42
TARDBP	5287
MASP2	94
SRM	1725
EXOSC10	1764
EXOSC10-AS1	66
MTOR	2138
MTOR-AS1	48
ANGPTL7	2
UBIAD1	639
LOC105376739	4
LOC105376740	0
DISP3	5
112268221	1
FBXO2	183
FBXO44	740
FBXO6	520
MAD2L2	583
DRAXIN	16
AGTRAP	1378
C1orf167	487
MTHFR	1664
CLCN6	630
NPPA-AS1	98
NPPA	15
KIAA2013	1496
PLOD1	2577
MFN2	2598
MIIP	843
MIR6729	3
TNFRSF8	44
MIR7846	1
TNFRSF1B	2503
107984917	0
VPS13D	2370
