Ensembl_gene_id	p53_IR_3
ENSMUSG00000075014	225
ENSMUSG00000075015	37
ENSMUSG00000098078	2429
ENSMUSG00000041801	5819
ENSMUSG00000066315	0
ENSMUSG00000069306	0
ENSMUSG00000061167	0
ENSMUSG00000081406	0
ENSMUSG00000078087	0
ENSMUSG00000096385	10
ENSMUSG00000023067	5109
ENSMUSG00000095186	67
ENSMUSG00000096519	55
ENSMUSG00000095891	56
ENSMUSG00000095547	145
ENSMUSG00000091028	7
ENSMUSG00000026700	2901
ENSMUSG00000069045	46
ENSMUSG00000081604	0
ENSMUSG00000061983	13824
ENSMUSG00000074564	17
ENSMUSG00000101939	0
ENSMUSG00000043483	0
ENSMUSG00000069049	25
ENSMUSG00000009628	3344
ENSMUSG00000095280	20
ENSMUSG00000069919	261
ENSMUSG00000096201	0
ENSMUSG00000021701	10312
ENSMUSG00000052305	816
ENSMUSG00000069917	909
ENSMUSG00000029134	1479
ENSMUSG00000081344	0
ENSMUSG00000046721	0
ENSMUSG00000068744	9643
ENSMUSG00000073940	220
ENSMUSG00000059195	34
ENSMUSG00000037855	3587
ENSMUSG00000025889	0
ENSMUSG00000002083	4140
ENSMUSG00000096736	4
ENSMUSG00000022385	6045
ENSMUSG00000037188	460
ENSMUSG00000026831	532
ENSMUSG00000100944	0
ENSMUSG00000078794	798
ENSMUSG00000047676	43
ENSMUSG00000027171	6745
ENSMUSG00000048458	7115
ENSMUSG00000101878	206
ENSMUSG00000030641	4704
ENSMUSG00000040918	6552
ENSMUSG00000053706	382
ENSMUSG00000094090	2
ENSMUSG00000105796	0
ENSMUSG00000082035	105
ENSMUSG00000025270	175
ENSMUSG00000051811	776
ENSMUSG00000040533	447
ENSMUSG00000096255	42
ENSMUSG00000062456	118
ENSMUSG00000044734	273
ENSMUSG00000034437	158
ENSMUSG00000072825	7264
ENSMUSG00000039450	5953
ENSMUSG00000061311	2
ENSMUSG00000006574	75
ENSMUSG00000042099	5347
ENSMUSG00000093798	102
ENSMUSG00000075122	4464
ENSMUSG00000055632	1601
ENSMUSG00000054589	865
ENSMUSG00000028893	6479
ENSMUSG00000076569	1058
ENSMUSG00000046480	508
ENSMUSG00000000308	183
ENSMUSG00000078889	159
ENSMUSG00000032128	294
ENSMUSG00000040447	60
ENSMUSG00000006445	5495
ENSMUSG00000082016	0
ENSMUSG00000021185	4965
ENSMUSG00000091694	6
ENSMUSG00000094127	255
ENSMUSG00000043099	711
ENSMUSG00000092528	165
ENSMUSG00000041773	3728
ENSMUSG00000089999	3
ENSMUSG00000081087	20
ENSMUSG00000051839	23
ENSMUSG00000094622	131
ENSMUSG00000018428	1407
ENSMUSG00000073400	11
ENSMUSG00000034818	1040
ENSMUSG00000045659	2432
ENSMUSG00000100863	254
ENSMUSG00000026532	27
ENSMUSG00000071141	0
ENSMUSG00000050821	715
ENSMUSG00000026582	14
ENSMUSG00000022416	483
ENSMUSG00000093954	103
ENSMUSG00000078126	0
ENSMUSG00000081603	18
ENSMUSG00000076612	1668
ENSMUSG00000035443	3306
ENSMUSG00000024769	4819
ENSMUSG00000108929	14
ENSMUSG00000027330	148
ENSMUSG00000057886	40
ENSMUSG00000007379	3018
ENSMUSG00000076613	2497
ENSMUSG00000006587	455
ENSMUSG00000080977	0
ENSMUSG00000067719	0
