Ensembl_gene_id	p53_IR_2
ENSMUSG00000075014	1171830
ENSMUSG00000075015	192652
ENSMUSG00000098078	1206
ENSMUSG00000041801	2209
ENSMUSG00000066315	0
ENSMUSG00000069306	7
ENSMUSG00000061167	291
ENSMUSG00000081406	5607
ENSMUSG00000078087	3311
ENSMUSG00000096385	21521
ENSMUSG00000023067	2233
ENSMUSG00000095186	87308
ENSMUSG00000096519	56027
ENSMUSG00000095891	43774
ENSMUSG00000095547	96050
ENSMUSG00000091028	15124
ENSMUSG00000026700	1067
ENSMUSG00000069045	33
ENSMUSG00000081604	197
ENSMUSG00000061983	18737
ENSMUSG00000074564	9229
ENSMUSG00000101939	977
ENSMUSG00000043483	0
ENSMUSG00000069049	24
ENSMUSG00000009628	1144
ENSMUSG00000095280	11494
ENSMUSG00000069919	433
ENSMUSG00000096201	5543
ENSMUSG00000021701	5534
ENSMUSG00000052305	1265
ENSMUSG00000069917	1248
ENSMUSG00000029134	622
ENSMUSG00000081344	0
ENSMUSG00000046721	127
ENSMUSG00000068744	3740
ENSMUSG00000073940	331
ENSMUSG00000059195	1648
ENSMUSG00000037855	1597
ENSMUSG00000025889	0
ENSMUSG00000002083	2567
ENSMUSG00000096736	3316
ENSMUSG00000022385	2684
ENSMUSG00000037188	351
ENSMUSG00000026831	172
ENSMUSG00000100944	0
ENSMUSG00000078794	290
ENSMUSG00000047676	40
ENSMUSG00000027171	3086
ENSMUSG00000048458	3907
ENSMUSG00000101878	0
ENSMUSG00000030641	2326
ENSMUSG00000040918	2816
ENSMUSG00000053706	7
ENSMUSG00000094090	5
ENSMUSG00000105796	0
ENSMUSG00000082035	0
ENSMUSG00000025270	174
ENSMUSG00000051811	279
ENSMUSG00000040533	170
ENSMUSG00000096255	35
ENSMUSG00000062456	51
ENSMUSG00000044734	193
ENSMUSG00000034437	178
ENSMUSG00000072825	3818
ENSMUSG00000039450	2231
ENSMUSG00000061311	6
ENSMUSG00000006574	138
ENSMUSG00000042099	1963
ENSMUSG00000093798	10
ENSMUSG00000075122	2288
ENSMUSG00000055632	719
ENSMUSG00000054589	394
ENSMUSG00000028893	3401
ENSMUSG00000076569	49513
ENSMUSG00000046480	135
ENSMUSG00000000308	77
ENSMUSG00000078889	0
ENSMUSG00000032128	90
ENSMUSG00000040447	45
ENSMUSG00000006445	2670
ENSMUSG00000082016	0
ENSMUSG00000021185	2960
ENSMUSG00000091694	48
ENSMUSG00000094127	1572
ENSMUSG00000043099	319
ENSMUSG00000092528	111
ENSMUSG00000041773	1971
ENSMUSG00000089999	260
ENSMUSG00000081087	10
ENSMUSG00000051839	27
ENSMUSG00000094622	114
ENSMUSG00000018428	683
ENSMUSG00000073400	26
ENSMUSG00000034818	448
ENSMUSG00000045659	1393
ENSMUSG00000100863	232
ENSMUSG00000026532	87
ENSMUSG00000071141	0
ENSMUSG00000050821	251
ENSMUSG00000026582	22
ENSMUSG00000022416	365
ENSMUSG00000093954	70
ENSMUSG00000078126	24
ENSMUSG00000081603	13
ENSMUSG00000076612	9842
