Ensembl_gene_id	p53_mock_3
ENSMUSG00000075014	3222
ENSMUSG00000075015	582
ENSMUSG00000098078	2458
ENSMUSG00000041801	17
ENSMUSG00000066315	61
ENSMUSG00000069306	7
ENSMUSG00000061167	2531
ENSMUSG00000081406	3901
ENSMUSG00000078087	1650
ENSMUSG00000096385	101
ENSMUSG00000023067	23
ENSMUSG00000095186	356
ENSMUSG00000096519	160
ENSMUSG00000095891	200
ENSMUSG00000095547	429
ENSMUSG00000091028	81
ENSMUSG00000026700	9
ENSMUSG00000069045	51
ENSMUSG00000081604	2259
ENSMUSG00000061983	9244
ENSMUSG00000074564	28
ENSMUSG00000101939	2
ENSMUSG00000043483	1080
ENSMUSG00000069049	37
ENSMUSG00000009628	16
ENSMUSG00000095280	76
ENSMUSG00000069919	606
ENSMUSG00000096201	29
ENSMUSG00000021701	147
ENSMUSG00000052305	1502
ENSMUSG00000069917	1234
ENSMUSG00000029134	8
ENSMUSG00000081344	1
ENSMUSG00000046721	3474
ENSMUSG00000068744	118
ENSMUSG00000073940	432
ENSMUSG00000059195	22
ENSMUSG00000037855	54
ENSMUSG00000025889	0
ENSMUSG00000002083	86
ENSMUSG00000096736	23
ENSMUSG00000022385	96
ENSMUSG00000037188	3
ENSMUSG00000026831	0
ENSMUSG00000100944	102
ENSMUSG00000078794	7
ENSMUSG00000047676	502
ENSMUSG00000027171	176
ENSMUSG00000048458	169
ENSMUSG00000101878	136
ENSMUSG00000030641	133
ENSMUSG00000040918	175
ENSMUSG00000053706	0
ENSMUSG00000094090	0
ENSMUSG00000105796	0
ENSMUSG00000082035	186
ENSMUSG00000025270	173
ENSMUSG00000051811	19
ENSMUSG00000040533	7
ENSMUSG00000096255	84
ENSMUSG00000062456	22
ENSMUSG00000044734	4740
ENSMUSG00000034437	42
ENSMUSG00000072825	275
ENSMUSG00000039450	298
ENSMUSG00000061311	114
ENSMUSG00000006574	187
ENSMUSG00000042099	126
ENSMUSG00000093798	92
ENSMUSG00000075122	198
