GeneID	RNA.seq_LADC18
DDX11L1	10
WASH7P	2466
MIR6859-1	76
LOC100996442	171
LOC729737	2710
DDX11L17	6
WASH9P	2395
MIR6859-2	78
LOC112268260	103
LOC100132287	1208
LOC105378947	19
MIR12136	1049
OR4F16	5
100133331	972
107984841	187
107984847	219
107984849	110
LOC100288069	160
LINC01409	45
FAM87B	11
LINC00115	139
LINC01128	411
FAM41C	0
LOC284600	42
LINC02593	71
LOC107985728	34
SAMD11	301
NOC2L	1801
KLHL17	1102
PLEKHN1	298
PERM1	58
HES4	297
ISG15	2006
AGRN	7538
LOC100288175	49
112267874	15
LOC105378948	115
RNF223	12
C1orf159	553
LINC01342	19
MIR200B	1
MIR200A	10
MIR429	25
TTLL10-AS1	14
TTLL10	29
TNFRSF18	238
TNFRSF4	458
SDF4	3103
B3GALT6	377
C1QTNF12	17
UBE2J2	1356
LINC01786	94
SCNN1D	422
ACAP3	3635
SNORD167	37
PUSL1	404
INTS11	2655
MIR6727	27
CPTP	688
TAS1R3	114
DVL1	2127
MIR6808	14
MXRA8	1265
AURKAIP1	1480
CCNL2	11111
MRPL20-AS1	420
MRPL20	1130
107984868	130
ANKRD65	1910
LOC105378585	62
TMEM88B	15
LINC01770	133
LOC107985729	92
VWA1	2006
ATAD3C	232
ATAD3B	1537
ATAD3A	1251
TMEM240	23
SSU72	1266
FNDC10	344
LOC105378586	22
MIB2	2174
MMP23B	235
CDK11B	2185
SLC35E2B	3801
MMP23A	117
CDK11A	1799
SLC35E2A	1945
LOC112268218	314
NADK	2868
GNB1	7528
LOC105378949	8
CALML6	19
TMEM52	22
CFAP74	11
LOC107984872	1
LOC105378589	3
GABRD	12
LOC105378590	0
LOC105378591	0
PRKCZ	636
PRKCZ-AS1	81
FAAP20	1316
LOC112268219	281
LOC105378593	35
SKI	3023
MORN1	237
LOC100129534	142
RER1	3932
PEX10	725
PLCH2	162
PANK4	914
HES5	3
TNFRSF14-AS1	948
TNFRSF14	3635
LOC100996583	25
PRXL2B	1083
MMEL1	295
MMEL1-AS1	6
TTC34	50
LOC105378598	2
LOC107984904	0
PRDM16-DT	230
PRDM16	909
LOC105378606	3
LOC107984909	13
LOC105378604	35
ARHGEF16	2365
MEGF6	3127
LOC105378608	17
105378607	0
TPRG1L	982
WRAP73	827
TP73	403
TP73-AS3	7
TP73-AS1	1074
CCDC27	0
SMIM1	41
LRRC47	1361
CEP104	1065
DFFB	207
107984910	3
C1orf174	587
LINC01134	3
AJAP1	18
LOC107984911	0
NPHP4	917
KCNAB2	2372
CHD5	12
RPL22	7313
107985733	131
RNF207-AS1	16
RNF207	719
ICMT	2546
LINC00337	11
GPR153	186
ACOT7	665
HES2	61
ESPN	863
TNFRSF25	1590
PLEKHG5	2446
NOL9	655
TAS1R1	319
LOC107984912	54
ZBTB48	1317
KLHL21	877
LOC107984913	19
PHF13	671
THAP3	832
DNAJC11	1288
CAMTA1-DT	18
CAMTA1	724
LOC105376689	38
VAMP3	2340
PER3	2054
UTS2	160
TNFRSF9	139
PARK7	3594
ERRFI1	2225
LOC107984915	0
LINC01714	3
SLC45A1	23
RERE	5495
RERE-AS1	15
ENO1	31529
MIR6728	4
ENO1-AS1	7
CA6	1
SLC2A5	706
GPR157	245
MIR34AHG	1217
MIR34A	10
LNCTAM34A	55
H6PD	2809
SPSB1	2919
LINC02606	41
SLC25A33	288
TMEM201	598
107985734	19
PIK3CD	1422
PIK3CD-AS1	1
PIK3CD-AS2	84
CLSTN1	5632
CTNNBIP1	1012
LOC105376717	103
LZIC	1125
NMNAT1	235
RBP7	35
UBE4B	1702
KIF1B	1813
105376725	6
PGD	4640
CENPS-CORT	226
CENPS	215
CORT	45
DFFA	996
PEX14	844
CASZ1	1308
LOC105376733	1
C1orf127	184
TARDBP	6539
MASP2	146
SRM	866
EXOSC10	2562
EXOSC10-AS1	98
MTOR	2096
MTOR-AS1	37
ANGPTL7	2
UBIAD1	565
LOC105376739	3
LOC105376740	0
DISP3	123
112268221	6
FBXO2	98
FBXO44	572
FBXO6	437
MAD2L2	603
DRAXIN	10
AGTRAP	698
C1orf167	131
MTHFR	634
CLCN6	1039
NPPA-AS1	189
NPPA	30
KIAA2013	1515
PLOD1	3581
MFN2	2838
MIIP	894
MIR6729	6
TNFRSF8	52
MIR7846	0
TNFRSF1B	2510
107984917	4
VPS13D	2268
SNORA59A	25
LINC02766	8
DHRS3	2312
MIR6730	11
AADACL4	2
C1orf158	3
LRRC38	2
PDPN	516
PRDM2	1992
KAZN	867
LOC107985467	5
LOC105376759	1
LOC107985469	4
TMEM51-AS1	143
TMEM51	1010
TMEM51-AS2	19
FHAD1	241
FHAD1-AS1	93
LOC101927441	26
EFHD2	2419
CTRC	4
CELA2A	2
CELA2B	13
CASP9	560
DNAJC16	796
AGMAT	106
DDI2	1921
RSC1A1	219
PLEKHM2	2607
SLC25A34	58
SLC25A34-AS1	2
TMEM82	9
FBLIM1	2639
UQCRHL	29
FLJ37453	262
SPEN	3093
ZBTB17	1319
SRARP	5
HSPB7	66
CLCNKA	52
CLCNKB	25
FAM131C	44
EPHA2	880
LOC101927479	25
ARHGEF19	2427
ANO7L1	109
CPLANE2	53
FBXO42	1075
SZRD1	2103
SPATA21	1303
NECAP2	2063
LINC01772	44
CROCCP3	284
RNU1-1	0
LINC01783	7
NBPF1	641
105376794	791
CROCCP2	466
MST1P2	185
LOC107985736	20
RNU1-3	0
ESPNP	128
MST1L	451
LOC112267871	10
LOC105376805	243
CROCC	1552
MFAP2	1189
LOC105376806	450
ATP13A2	1615
SDHB	1558
PADI2	935
LINC02783	1
PADI1	165
PADI3	15
PADI4	11
PADI6	0
RCC2	5578
ARHGEF10L	2471
ACTL8	0
IGSF21	6
KLHDC7A	544
PAX7	143
ALDH4A1	774
IFFO2	756
UBR4	6523
EMC1-AS1	85
EMC1	1643
MRTO4	796
AKR7L	701
AKR7A3	3662
LOC100506730	217
AKR7A2	1574
SLC66A1	891
CAPZB	6413
MICOS10	580
MICOS10-NBL1	1998
RPS14P3	34
NBL1	1770
HTR6	9
TMCO4	1125
RNF186	123
OTUD3	1077
PLA2G2A	280
PLA2G5	51
PLA2G2D	965
PLA2G2F	2
PLA2G2C	8
UBXN10	546
101928017	30
LOC105376825	4
VWA5B1	29
LINC01141	6
CAMK2N1	2400
MUL1	759
FAM43B	16
CDA	38
PINK1	636
MIR6084	20
PINK1-AS	981
DDOST	6685
KIF17	38
SH2D5	9
112268222	1292
HP1BP3	4384
EIF4G3	3088
LOC105376830	10
LOC105376829	5
ECE1	7138
ECE1-AS1	26
NBPF3	322
ALPL	1822
LINC02596	0
RAP1GAP	4469
USP48	2582
LDLRAD2	2430
HSPG2	12770
LINC01635	18
LINC00339	362
CDC42-AS1	16
CDC42	8950
WNT4	55
LOC105376845	4
LOC105376850	25
LOC107985377	3
ZBTB40	1460
EPHA8	0
C1QA	4784
C1QC	7259
C1QB	6671
EPHB2	1591
MIR4253	36
KDM1A	2356
LUZP1	1094
HTR1D	13
LINC01355	479
HNRNPR	4648
ZNF436	821
ZNF436-AS1	151
TCEA3	1360
ASAP3	1231
E2F2	233
LOC101928163	7
LOC105376859	9
ID3	1016
MDS2	1
RPL11	9836
ELOA	1596
ELOA-AS1	213
PITHD1	1013
LOC105376860	363
LYPLA2	2362
GALE	1797
HMGCL	719
LOC105376861	6
FUCA1	2705
CNR2	21
PNRC2	4254
SRSF10	4747
LOC105376863	2
LOC107984931	0
MYOM3	10
IL22RA1	50
IFNLR1	398
LINC02800	0
GRHL3-AS1	74
GRHL3	180
STPG1	245
NIPAL3	733
RCAN3AS	3
RCAN3	946
NCMAP-DT	65
NCMAP	203
SRRM1	4448
CLIC4	6877
RUNX3	992
107984932	2
RUNX3-AS1	201
SYF2	1415
RSRP1	4542
LOC105376882	5
RHD	36
TMEM50A	2110
RHCE	1382
MACO1	1470
LDLRAP1	1266
MAN1C1	570
SELENON	4616
MTFR1L	977
LOC646471	343
AUNIP	298
PAQR7	599
STMN1	8890
MIR3917	803
PAFAH2	367
101928216	2
EXTL1	13
SLC30A2	28
TRIM63	2
PDIK1L	1021
FAM110D	97
ZNF593	442
CNKSR1	1311
CATSPER4	0
ZPLD2P	5
CEP85	748
SH3BGRL3	3527
UBXN11	1835
CD52	524
CRYBG2	43
ZNF683	118
DHDDS	828
DHDDS-AS1	24
HMGN2	11075
RPS6KA1	2524
LOC101928728	16
