GeneID	RNA.seq_LADC90
DDX11L1	3
WASH7P	841
MIR6859-1	46
LOC100996442	59
LOC729737	653
DDX11L17	4
WASH9P	1261
MIR6859-2	23
LOC112268260	17
LOC100132287	425
LOC105378947	4
MIR12136	100
OR4F16	4
100133331	449
107984841	143
107984847	107
107984849	52
LOC100288069	131
LINC01409	43
FAM87B	26
LINC00115	30
LINC01128	488
FAM41C	5
LOC284600	21
LINC02593	228
LOC107985728	231
SAMD11	419
NOC2L	2283
KLHL17	311
PLEKHN1	59
PERM1	9
HES4	183
ISG15	1126
AGRN	13307
LOC100288175	17
112267874	21
LOC105378948	56
RNF223	87
C1orf159	444
LINC01342	14
MIR200B	31
MIR200A	20
MIR429	51
TTLL10-AS1	11
TTLL10	24
TNFRSF18	186
TNFRSF4	181
SDF4	5866
B3GALT6	489
C1QTNF12	7
UBE2J2	1283
LINC01786	57
SCNN1D	118
ACAP3	1570
SNORD167	13
PUSL1	406
INTS11	2286
MIR6727	15
CPTP	974
TAS1R3	94
DVL1	2635
MIR6808	12
MXRA8	3581
AURKAIP1	1961
CCNL2	7678
MRPL20-AS1	429
MRPL20	1606
107984868	177
ANKRD65	1906
LOC105378585	36
TMEM88B	7
LINC01770	56
LOC107985729	34
VWA1	4763
ATAD3C	296
ATAD3B	1066
ATAD3A	731
TMEM240	19
SSU72	1745
FNDC10	277
LOC105378586	42
MIB2	2108
MMP23B	271
CDK11B	1591
SLC35E2B	3205
MMP23A	186
CDK11A	1126
SLC35E2A	2036
LOC112268218	334
NADK	2976
GNB1	8162
LOC105378949	7
CALML6	5
TMEM52	14
CFAP74	3
LOC107984872	0
LOC105378589	9
GABRD	72
LOC105378590	2
LOC105378591	4
PRKCZ	2000
PRKCZ-AS1	162
FAAP20	1450
LOC112268219	151
LOC105378593	12
SKI	4275
MORN1	100
LOC100129534	37
RER1	3450
PEX10	656
PLCH2	153
PANK4	723
HES5	8
TNFRSF14-AS1	710
TNFRSF14	2173
LOC100996583	3
PRXL2B	934
MMEL1	185
MMEL1-AS1	2
TTC34	34
LOC105378598	0
LOC107984904	0
PRDM16-DT	311
PRDM16	1355
LOC105378606	4
LOC107984909	5
LOC105378604	12
ARHGEF16	872
MEGF6	3718
LOC105378608	15
105378607	4
TPRG1L	2007
WRAP73	689
TP73	134
TP73-AS3	3
TP73-AS1	1163
CCDC27	2
SMIM1	242
LRRC47	1369
CEP104	1451
DFFB	326
107984910	6
C1orf174	441
LINC01134	18
AJAP1	35
LOC107984911	0
NPHP4	845
KCNAB2	1585
CHD5	9
RPL22	9278
107985733	59
RNF207-AS1	21
RNF207	410
ICMT	3033
LINC00337	2
GPR153	389
ACOT7	459
HES2	91
ESPN	38
TNFRSF25	266
PLEKHG5	504
NOL9	730
TAS1R1	21
LOC107984912	2
ZBTB48	616
KLHL21	2968
LOC107984913	20
PHF13	482
THAP3	790
DNAJC11	989
CAMTA1-DT	4
CAMTA1	1205
LOC105376689	125
VAMP3	3259
PER3	603
UTS2	94
TNFRSF9	50
PARK7	4711
ERRFI1	2769
LOC107984915	0
LINC01714	1
SLC45A1	31
RERE	4569
RERE-AS1	4
ENO1	20928
MIR6728	1
ENO1-AS1	24
CA6	0
SLC2A5	98
GPR157	561
MIR34AHG	432
MIR34A	5
LNCTAM34A	21
H6PD	2780
SPSB1	839
LINC02606	44
SLC25A33	417
TMEM201	436
107985734	13
PIK3CD	1016
PIK3CD-AS1	7
PIK3CD-AS2	12
CLSTN1	4414
CTNNBIP1	1495
LOC105376717	112
LZIC	1334
NMNAT1	293
RBP7	88
UBE4B	2318
KIF1B	2661
105376725	10
PGD	3943
CENPS-CORT	207
CENPS	202
CORT	15
DFFA	1346
PEX14	606
CASZ1	1482
LOC105376733	2
C1orf127	49
TARDBP	4619
MASP2	251
SRM	808
EXOSC10	1577
EXOSC10-AS1	81
MTOR	1824
MTOR-AS1	39
ANGPTL7	15
UBIAD1	537
LOC105376739	0
LOC105376740	2
DISP3	32
112268221	3
FBXO2	562
FBXO44	1031
FBXO6	736
MAD2L2	507
DRAXIN	14
AGTRAP	1206
C1orf167	478
MTHFR	1547
CLCN6	882
NPPA-AS1	149
NPPA	21
KIAA2013	1861
PLOD1	2685
MFN2	3347
MIIP	558
MIR6729	3
TNFRSF8	22
MIR7846	10
TNFRSF1B	1712
107984917	4
VPS13D	3131
SNORA59A	21
LINC02766	16
DHRS3	2399
MIR6730	3
AADACL4	1
C1orf158	1
LRRC38	0
PDPN	778
PRDM2	2882
KAZN	845
LOC107985467	3
LOC105376759	0
LOC107985469	0
TMEM51-AS1	182
TMEM51	708
TMEM51-AS2	9
FHAD1	62
FHAD1-AS1	22
LOC101927441	7
EFHD2	1865
CTRC	0
CELA2A	0
CELA2B	12
CASP9	545
DNAJC16	796
AGMAT	39
DDI2	2542
RSC1A1	305
PLEKHM2	2172
SLC25A34	56
SLC25A34-AS1	5
TMEM82	3
FBLIM1	1055
UQCRHL	31
FLJ37453	102
SPEN	3292
ZBTB17	835
SRARP	0
HSPB7	178
CLCNKA	9
CLCNKB	12
FAM131C	2
EPHA2	3691
LOC101927479	50
ARHGEF19	808
ANO7L1	64
CPLANE2	122
FBXO42	1174
SZRD1	2387
SPATA21	1316
NECAP2	1935
LINC01772	55
CROCCP3	300
RNU1-1	1
LINC01783	12
NBPF1	2189
105376794	1325
CROCCP2	777
MST1P2	512
LOC107985736	113
RNU1-3	2
ESPNP	30
MST1L	1266
LOC112267871	39
LOC105376805	243
CROCC	1357
MFAP2	401
LOC105376806	155
ATP13A2	3363
SDHB	1727
PADI2	395
LINC02783	0
PADI1	5
PADI3	0
PADI4	10
PADI6	1
RCC2	3667
ARHGEF10L	1496
ACTL8	0
IGSF21	79
KLHDC7A	770
PAX7	1
ALDH4A1	661
IFFO2	746
UBR4	6191
EMC1-AS1	86
EMC1	1479
MRTO4	463
AKR7L	19
AKR7A3	29
LOC100506730	156
AKR7A2	1363
SLC66A1	496
CAPZB	5265
MICOS10	720
MICOS10-NBL1	4178
RPS14P3	29
NBL1	3860
HTR6	0
TMCO4	1160
RNF186	3
OTUD3	874
PLA2G2A	38
PLA2G5	89
PLA2G2D	150
PLA2G2F	0
PLA2G2C	1
UBXN10	161
101928017	2
LOC105376825	9
VWA5B1	4
LINC01141	0
CAMK2N1	717
MUL1	803
FAM43B	7
CDA	47
PINK1	1542
MIR6084	67
PINK1-AS	1563
DDOST	7641
KIF17	68
SH2D5	0
112268222	1413
HP1BP3	5918
EIF4G3	2186
LOC105376830	4
LOC105376829	4
ECE1	2518
ECE1-AS1	5
NBPF3	643
ALPL	6330
LINC02596	5
RAP1GAP	6101
USP48	2855
LDLRAD2	2526
HSPG2	18690
LINC01635	23
LINC00339	308
CDC42-AS1	11
CDC42	8578
WNT4	197
LOC105376845	5
LOC105376850	0
LOC107985377	0
ZBTB40	2003
EPHA8	2
C1QA	6455
C1QC	6227
C1QB	9575
EPHB2	500
MIR4253	16
KDM1A	1770
LUZP1	1483
HTR1D	18
LINC01355	211
HNRNPR	3339
ZNF436	687
ZNF436-AS1	89
TCEA3	3008
ASAP3	1445
E2F2	38
LOC101928163	3
LOC105376859	9
ID3	1103
MDS2	2
RPL11	13776
ELOA	3625
ELOA-AS1	460
PITHD1	1515
LOC105376860	364
LYPLA2	1933
GALE	1748
HMGCL	1118
LOC105376861	3
FUCA1	5621
CNR2	4
PNRC2	4437
SRSF10	5536
LOC105376863	0
LOC107984931	0
MYOM3	8
IL22RA1	5
IFNLR1	573
LINC02800	0
GRHL3-AS1	6
GRHL3	28
STPG1	336
NIPAL3	2526
RCAN3AS	1
RCAN3	768
NCMAP-DT	57
NCMAP	636
SRRM1	3284
CLIC4	9729
RUNX3	664
107984932	4
RUNX3-AS1	26
SYF2	1498
RSRP1	3470
LOC105376882	4
RHD	59
TMEM50A	2352
RHCE	1418
MACO1	2062
LDLRAP1	2742
MAN1C1	702
SELENON	4850
MTFR1L	881
LOC646471	292
AUNIP	211
PAQR7	525
STMN1	1447
MIR3917	152
PAFAH2	917
101928216	2
EXTL1	18
SLC30A2	32
TRIM63	22
PDIK1L	1155
FAM110D	109
ZNF593	441
CNKSR1	769
CATSPER4	2
ZPLD2P	18
CEP85	517
SH3BGRL3	2743
UBXN11	1109
CD52	535
CRYBG2	75
ZNF683	58
DHDDS	796
DHDDS-AS1	15
HMGN2	5908
RPS6KA1	2449
LOC101928728	10
ARID1A	3926
PIGV	398
ZDHHC18	1163
SFN	577
GPN2	975
GPATCH3	364
NUDC	2672
NR0B2	718
KDF1	449
TRNP1	185
TENT5B	515
LOC101928391	9
SLC9A1	1763
WDTC1	3210
TMEM222	1107
ACTG1P20	28
SYTL1	680
MAP3K6	1114
FCN3	1233
CD164L2	12
GPR3	8
WASF2	4153
LOC105376892	3
AHDC1	1196
FGR	727
LINC02574	1
IFI6	8037
FAM76A	434
STX12	2429
PPP1R8	1233
THEMIS2	1093
RPA2	1545
SMPDL3B	1339
XKR8	417
EYA3	840
PTAFR	1204
DNAJC8	2299
ATP5IF1	1429
SESN2	761
MED18	267
PHACTR4	1780
RCC1	1130
SNHG3	365
SNORA73A	13
SNORA73B	26
TRNAU1AP	644
SNHG12	537
SNORD99	11
SNORA61	67
SNORA44	32
SNORA16A	35
RAB42	184
TAF12	652
LINC01715	9
RNU11	0
GMEB1	432
YTHDF2	2944
OPRD1	6
EPB41	2601
TMEM200B	442
SRSF4	2821
MECR	360
PTPRU	4161
LOC105378617	54
MATN1	13
MATN1-AS1	21
LAPTM5	11661
MIR4420	2
LOC105378620	17
LINC01778	0
SDC3	2626
PUM1	3101
SNORD103A	26
SNORD103B	19
LOC107984935	1
NKAIN1	0
SNRNP40	847
ZCCHC17	930
FABP3	248
SERINC2	3533
LOC105378625	0
LOC105379772	0
LDC1P	0
LINC01226	0
LOC105378626	48
TINAGL1	1387
HCRTR1	288
PEF1	2092
PEF1-AS1	113
105378628	11
COL16A1	1998
LOC101929444	10
ADGRB2	36
SPOCD1	31
PTP4A2	5685
KHDRBS1	3299
TMEM39B	572
KPNA6	2409
TXLNA	2560
CCDC28B	98
TMEM234	258
IQCC	111
DCDC2B	68
EIF3I	2970
MTMR9LP	423
FAM167B	127
LCK	356
HDAC1	2769
MARCKSL1	1821
LOC105378629	2
TSSK3	261
FAM229A	99
BSDC1	3320
ZBTB8B	1
ZBTB8A	464
LOC102723870	9
ZBTB8OS	568
RBBP4	3413
SYNC	1094
KIAA1522	5522
YARS1	3136
S100PBP	703
FNDC5	58
HPCA	17
TMEM54	912
LOC105378632	2
RNF19B	1001
AK2	3755
AZIN2	270
112268224	5
TRIM62	435
ZNF362	1354
A3GALT2	2
PHC2	2993
MIR3605	103
PHC2-AS1	1
ZSCAN20	203
CSMD2	16
105378640	0
LOC105378641	0
LOC105378642	0
GJB5	0
GJB4	0
GJB3	30
GJA4	301
SMIM12	584
DLGAP3	10
GPR199P	84
TMEM35B	1074
ZMYM6	963
ZMYM1	507
LOC105378644	2
SFPQ	10871
ZMYM4	2561
ZMYM4-AS1	63
KIAA0319L	5539
NCDN	1231
TFAP2E	403
TFAP2E-AS1	51
PSMB2	3082
C1orf216	282
CLSPN	82
AGO4	1620
AGO1	1696
AGO3	1752
TEKT2	37
ADPRS	911
COL8A2	806
TRAPPC3	1603
MAP7D1	2589
THRAP3	4452
SH3D21	414
EVA1B	579
STK40	2524
LSM10	639
OSCP1	287
MRPS15	1357
CSF3R	1052
GRIK3	1
LINC01137	88
ZC3H12A	798
MIR6732	8
MEAF6	2354
MIR5581	16
LOC105378649	53
SNIP1	521
DNALI1	1069
GNL2	1096
RSPO1	26
C1orf109	515
CDCA8	71
EPHA10	579
MANEAL	1000
YRDC	582
C1orf122	1276
MTF1	862
INPP5B	1264
LOC105378651	39
SF3A3	1838
FHL3	413
UTP11	743
POU3F1	21
MIR3659HG	2
LOC105378657	0
RRAGC	1001
GJA9-MYCBP	451
MYCBP	432
LOC105378663	5
GJA9	16
RHBDL2	174
LOC105378662	34
AKIRIN1	2267
NDUFS5	1505
MACF1	14149
643314	293
105378950	1
BMP8A	188
OXCT2P1	8
PPIEL	326
PABPC4	3590
PABPC4-AS1	735
SNORA55	10
HEYL	631
NT5C1A	4
HPCAL4	44
PPIE	1230
BMP8B	116
OXCT2	20
LOC101929536	7
105378951	7
LINC02811	4
105378665	2
TRIT1	592
MYCL	315
MYCL-AS1	32
MFSD2A	1001
CAP1	6244
PPT1	8869
RLF	808
TMCO2	1
ZMPSTE24	2849
COL9A2	287
107984945	7
SMAP2	1865
ZFP69B	88
ZFP69	96
LOC105378672	9
EXO5	195
ZNF684	118
RIMS3	222
LOC105378675	1
NFYC-AS1	188
NFYC	1752
KCNQ4	40
CITED4	36
CTPS1	1414
SLFNL1-AS1	308
SLFNL1	148
SCMH1	1426
FOXO6	45
FOXO6-AS1	5
LOC105378678	10
EDN2	8
HIVEP3	589
GUCA2B	0
GUCA2A	7
FOXJ3	2096
RIMKLA	558
ZMYND12	134
CCDC30	602
PPCS	1868
PPIH	613
YBX1	10078
CLDN19	0
P3H1	678
C1orf50	287
TMEM269-DT	8
TMEM269	8
LOC107984946	2
SVBP	221
ERMAP	658
ZNF691	371
LOC339539	2
SLC2A1	406
SLC2A1-AS1	2
FAM183A	54
EBNA1BP2	941
CFAP57	24
LOC105378685	2
TMEM125	5573
C1orf210	254
TIE1	1324
MPL	20
LOC105378687	4
CDC20	72
ELOVL1	3045
MIR6734	11
LOC112268225	27
MED8	902
MED8-AS1	144
SZT2	2560
SZT2-AS1	154
