GeneID	RNA-seq_LADC38
DDX11L1	6
WASH7P	1491
MIR6859-1	72
LOC100996442	60
LOC729737	784
DDX11L17	1
WASH9P	1468
MIR6859-2	47
LOC112268260	26
LOC100132287	362
LOC105378947	1
MIR12136	1376
OR4F16	8
100133331	418
107984841	142
107984847	205
107984849	30
LOC100288069	89
LINC01409	39
FAM87B	21
LINC00115	101
LINC01128	532
FAM41C	10
LOC284600	124
LINC02593	107
LOC107985728	72
SAMD11	692
NOC2L	3847
KLHL17	600
PLEKHN1	439
PERM1	117
HES4	97
ISG15	3309
AGRN	15525
LOC100288175	57
112267874	18
LOC105378948	166
RNF223	54
C1orf159	530
LINC01342	2
MIR200B	4
MIR200A	4
MIR429	15
TTLL10-AS1	12
TTLL10	30
TNFRSF18	186
TNFRSF4	283
SDF4	4586
B3GALT6	448
C1QTNF12	143
UBE2J2	1400
LINC01786	64
SCNN1D	177
ACAP3	1687
SNORD167	20
PUSL1	920
INTS11	3042
MIR6727	15
CPTP	1655
TAS1R3	118
DVL1	4057
MIR6808	19
MXRA8	1815
AURKAIP1	2674
CCNL2	9475
MRPL20-AS1	840
MRPL20	1836
107984868	24
ANKRD65	1780
LOC105378585	31
TMEM88B	7
LINC01770	83
LOC107985729	49
VWA1	5355
ATAD3C	199
ATAD3B	1742
ATAD3A	1237
TMEM240	20
SSU72	2940
FNDC10	927
LOC105378586	61
MIB2	2310
MMP23B	300
CDK11B	1984
SLC35E2B	5212
MMP23A	227
CDK11A	1527
SLC35E2A	1615
LOC112268218	423
NADK	3819
GNB1	11038
LOC105378949	9
CALML6	28
TMEM52	105
CFAP74	99
LOC107984872	10
LOC105378589	12
GABRD	78
LOC105378590	1
LOC105378591	0
PRKCZ	2061
PRKCZ-AS1	125
FAAP20	1469
LOC112268219	195
LOC105378593	22
SKI	3814
MORN1	164
LOC100129534	32
RER1	4695
PEX10	946
PLCH2	226
PANK4	1101
HES5	15
TNFRSF14-AS1	312
TNFRSF14	1519
LOC100996583	2
PRXL2B	1095
MMEL1	247
MMEL1-AS1	0
TTC34	26
LOC105378598	1
LOC107984904	1
PRDM16-DT	403
PRDM16	1991
LOC105378606	14
LOC107984909	16
LOC105378604	21
ARHGEF16	1884
MEGF6	4296
LOC105378608	24
105378607	1
TPRG1L	2408
WRAP73	824
TP73	201
TP73-AS3	1
TP73-AS1	1197
CCDC27	18
SMIM1	664
LRRC47	2138
CEP104	1512
DFFB	340
107984910	10
C1orf174	784
LINC01134	9
AJAP1	18
LOC107984911	0
NPHP4	917
KCNAB2	713
CHD5	8
RPL22	12974
107985733	178
RNF207-AS1	12
RNF207	590
ICMT	4293
LINC00337	4
GPR153	473
ACOT7	486
HES2	22
ESPN	794
TNFRSF25	820
PLEKHG5	1182
NOL9	735
TAS1R1	23
LOC107984912	5
ZBTB48	828
KLHL21	1385
LOC107984913	9
PHF13	583
THAP3	994
DNAJC11	1031
CAMTA1-DT	7
CAMTA1	1626
LOC105376689	177
VAMP3	3829
PER3	2170
UTS2	101
TNFRSF9	37
PARK7	5596
ERRFI1	4275
LOC107984915	0
LINC01714	0
SLC45A1	24
RERE	5130
RERE-AS1	7
ENO1	66752
MIR6728	8
ENO1-AS1	5
CA6	0
SLC2A5	35
GPR157	666
MIR34AHG	674
MIR34A	6
LNCTAM34A	71
H6PD	2515
SPSB1	2166
LINC02606	25
SLC25A33	439
TMEM201	536
107985734	29
PIK3CD	1657
PIK3CD-AS1	1
PIK3CD-AS2	117
CLSTN1	8255
CTNNBIP1	3539
LOC105376717	255
LZIC	1427
NMNAT1	338
RBP7	57
UBE4B	2272
KIF1B	2537
105376725	2
PGD	5978
CENPS-CORT	536
CENPS	548
CORT	14
DFFA	1768
PEX14	843
CASZ1	1568
LOC105376733	0
C1orf127	114
TARDBP	5075
MASP2	104
SRM	1093
EXOSC10	2242
EXOSC10-AS1	111
MTOR	2064
MTOR-AS1	35
ANGPTL7	1
UBIAD1	760
LOC105376739	0
LOC105376740	0
DISP3	4
112268221	0
FBXO2	249
FBXO44	1052
FBXO6	1076
MAD2L2	583
DRAXIN	8
AGTRAP	1905
C1orf167	299
MTHFR	1112
CLCN6	817
NPPA-AS1	193
NPPA	69
KIAA2013	2394
PLOD1	3542
MFN2	3401
MIIP	956
MIR6729	4
TNFRSF8	23
MIR7846	0
TNFRSF1B	1313
107984917	1
VPS13D	3597
SNORA59A	27
LINC02766	8
DHRS3	4871
MIR6730	3
AADACL4	4
C1orf158	25
LRRC38	15
PDPN	155
PRDM2	2671
KAZN	529
LOC107985467	7
