GeneID	RNA-seq_normal_lung26
DDX11L1	2
WASH7P	757
MIR6859-1	22
LOC100996442	95
LOC729737	1177
DDX11L17	2
WASH9P	611
MIR6859-2	9
LOC112268260	31
LOC100132287	455
LOC105378947	1
MIR12136	587
OR4F16	5
100133331	346
107984841	74
107984847	124
107984849	68
LOC100288069	95
LINC01409	25
FAM87B	21
LINC00115	32
LINC01128	460
FAM41C	1
LOC284600	4
LINC02593	94
LOC107985728	134
SAMD11	397
NOC2L	1358
KLHL17	262
PLEKHN1	70
PERM1	13
HES4	400
ISG15	845
AGRN	6902
LOC100288175	10
112267874	9
LOC105378948	24
RNF223	29
C1orf159	328
LINC01342	2
MIR200B	1
MIR200A	2
MIR429	2
TTLL10-AS1	10
TTLL10	49
TNFRSF18	137
TNFRSF4	297
SDF4	4012
B3GALT6	543
C1QTNF12	30
UBE2J2	1180
LINC01786	69
SCNN1D	132
ACAP3	1763
SNORD167	32
PUSL1	215
INTS11	1800
MIR6727	10
CPTP	689
TAS1R3	90
DVL1	2033
MIR6808	6
MXRA8	4774
AURKAIP1	1253
CCNL2	6216
MRPL20-AS1	517
MRPL20	1191
107984868	16
ANKRD65	584
LOC105378585	18
TMEM88B	8
LINC01770	66
LOC107985729	46
VWA1	3818
ATAD3C	326
ATAD3B	1032
ATAD3A	551
TMEM240	58
SSU72	1811
FNDC10	142
LOC105378586	25
MIB2	2182
MMP23B	514
CDK11B	1531
SLC35E2B	3102
MMP23A	285
CDK11A	809
SLC35E2A	796
LOC112268218	205
NADK	1991
GNB1	8974
LOC105378949	14
CALML6	5
TMEM52	2
CFAP74	1
LOC107984872	0
LOC105378589	3
GABRD	28
LOC105378590	0
LOC105378591	11
PRKCZ	1746
PRKCZ-AS1	95
FAAP20	1210
LOC112268219	131
LOC105378593	21
SKI	4653
MORN1	156
LOC100129534	66
RER1	2645
PEX10	564
PLCH2	275
PANK4	755
HES5	5
TNFRSF14-AS1	735
TNFRSF14	3020
LOC100996583	22
PRXL2B	823
MMEL1	172
MMEL1-AS1	2
TTC34	41
LOC105378598	0
LOC107984904	0
PRDM16-DT	144
PRDM16	426
LOC105378606	2
LOC107984909	2
LOC105378604	10
ARHGEF16	302
MEGF6	3075
LOC105378608	18
105378607	0
TPRG1L	1737
WRAP73	469
TP73	73
TP73-AS3	1
TP73-AS1	1118
CCDC27	1
SMIM1	61
LRRC47	1390
CEP104	1240
DFFB	299
107984910	2
C1orf174	456
LINC01134	5
AJAP1	32
LOC107984911	0
NPHP4	559
KCNAB2	1770
CHD5	8
RPL22	10057
107985733	53
RNF207-AS1	16
RNF207	358
ICMT	2547
LINC00337	0
GPR153	1220
ACOT7	475
HES2	45
ESPN	129
TNFRSF25	654
PLEKHG5	1106
NOL9	809
TAS1R1	9
LOC107984912	1
ZBTB48	651
KLHL21	1288
LOC107984913	13
PHF13	521
THAP3	563
DNAJC11	822
CAMTA1-DT	3
CAMTA1	912
LOC105376689	65
VAMP3	3420
PER3	343
UTS2	22
TNFRSF9	187
PARK7	3220
ERRFI1	3264
LOC107984915	0
LINC01714	3
SLC45A1	66
RERE	4226
RERE-AS1	13
ENO1	13081
MIR6728	3
ENO1-AS1	4
CA6	3
SLC2A5	108
GPR157	894
MIR34AHG	453
MIR34A	5
LNCTAM34A	29
H6PD	4694
SPSB1	843
LINC02606	38
SLC25A33	235
TMEM201	443
107985734	16
PIK3CD	1838
PIK3CD-AS1	4
PIK3CD-AS2	29
CLSTN1	3689
CTNNBIP1	1134
LOC105376717	90
LZIC	1083
NMNAT1	414
RBP7	203
UBE4B	1517
KIF1B	2078
105376725	8
PGD	1672
CENPS-CORT	94
CENPS	98
CORT	10
DFFA	1614
PEX14	560
CASZ1	1802
LOC105376733	6
C1orf127	22
TARDBP	3838
MASP2	108
SRM	916
EXOSC10	1585
EXOSC10-AS1	59
MTOR	1904
MTOR-AS1	42
ANGPTL7	20
UBIAD1	538
LOC105376739	1
LOC105376740	0
DISP3	15
112268221	4
FBXO2	296
FBXO44	661
FBXO6	349
MAD2L2	451
DRAXIN	54
AGTRAP	1049
C1orf167	573
MTHFR	1983
CLCN6	884
NPPA-AS1	124
NPPA	28
KIAA2013	1711
PLOD1	2196
MFN2	2995
MIIP	512
MIR6729	2
TNFRSF8	93
MIR7846	55
TNFRSF1B	3350
107984917	8
VPS13D	3172
SNORA59A	17
LINC02766	14
DHRS3	1441
MIR6730	2
AADACL4	0
C1orf158	2
LRRC38	0
PDPN	839
PRDM2	2125
KAZN	1183
LOC107985467	2
LOC105376759	12
LOC107985469	1
TMEM51-AS1	217
TMEM51	600
TMEM51-AS2	4
FHAD1	48
FHAD1-AS1	12
LOC101927441	7
EFHD2	2567
CTRC	5
CELA2A	0
CELA2B	15
CASP9	408
DNAJC16	724
AGMAT	47
DDI2	1719
RSC1A1	201
PLEKHM2	2836
SLC25A34	129
SLC25A34-AS1	7
TMEM82	2
FBLIM1	2024
UQCRHL	35
FLJ37453	201
SPEN	3304
ZBTB17	1002
SRARP	2
HSPB7	349
CLCNKA	7
CLCNKB	26
FAM131C	6
EPHA2	1678
LOC101927479	37
ARHGEF19	308
ANO7L1	67
CPLANE2	145
FBXO42	875
SZRD1	2229
SPATA21	1303
NECAP2	2396
LINC01772	85
CROCCP3	333
RNU1-1	6
LINC01783	5
NBPF1	1023
105376794	1045
CROCCP2	623
MST1P2	135
LOC107985736	15
RNU1-3	4
ESPNP	0
MST1L	195
LOC112267871	17
LOC105376805	140
CROCC	1195
MFAP2	415
LOC105376806	130
ATP13A2	1390
SDHB	982
PADI2	223
LINC02783	0
PADI1	1
PADI3	0
PADI4	61
PADI6	1
RCC2	2266
ARHGEF10L	896
ACTL8	0
IGSF21	58
KLHDC7A	238
PAX7	0
ALDH4A1	531
IFFO2	1204
UBR4	5346
EMC1-AS1	66
