GeneID	RNA-seq_LADC42
DDX11L1	1
WASH7P	412
MIR6859-1	13
LOC100996442	43
LOC729737	574
DDX11L17	5
WASH9P	506
MIR6859-2	11
LOC112268260	32
LOC100132287	233
LOC105378947	3
MIR12136	288
OR4F16	4
100133331	213
107984841	75
107984847	144
107984849	23
LOC100288069	88
LINC01409	24
FAM87B	27
LINC00115	72
LINC01128	398
FAM41C	0
LOC284600	179
LINC02593	12
LOC107985728	10
SAMD11	293
NOC2L	2670
KLHL17	247
PLEKHN1	168
PERM1	24
HES4	65
ISG15	3878
AGRN	7852
LOC100288175	25
112267874	10
LOC105378948	25
RNF223	12
C1orf159	342
LINC01342	0
MIR200B	1
MIR200A	0
MIR429	0
TTLL10-AS1	6
TTLL10	28
TNFRSF18	353
TNFRSF4	468
SDF4	3176
B3GALT6	369
C1QTNF12	492
UBE2J2	933
LINC01786	32
SCNN1D	40
ACAP3	846
SNORD167	4
PUSL1	398
INTS11	1469
MIR6727	7
CPTP	1003
TAS1R3	263
DVL1	1625
MIR6808	4
MXRA8	1140
AURKAIP1	1925
CCNL2	2754
MRPL20-AS1	416
MRPL20	1404
107984868	4
ANKRD65	169
LOC105378585	7
TMEM88B	6
LINC01770	33
LOC107985729	21
VWA1	1743
ATAD3C	75
ATAD3B	852
ATAD3A	840
TMEM240	10
SSU72	2317
FNDC10	373
LOC105378586	13
MIB2	674
MMP23B	126
CDK11B	1460
SLC35E2B	1170
MMP23A	94
CDK11A	810
SLC35E2A	538
LOC112268218	177
NADK	2487
GNB1	7461
LOC105378949	9
CALML6	6
TMEM52	31
CFAP74	32
LOC107984872	2
LOC105378589	8
GABRD	32
LOC105378590	0
LOC105378591	0
PRKCZ	446
PRKCZ-AS1	23
FAAP20	899
LOC112268219	66
LOC105378593	2
SKI	1876
MORN1	108
LOC100129534	32
RER1	2983
PEX10	646
PLCH2	74
PANK4	529
HES5	1
TNFRSF14-AS1	321
TNFRSF14	1481
LOC100996583	22
PRXL2B	610
MMEL1	84
MMEL1-AS1	1
TTC34	15
LOC105378598	0
LOC107984904	0
PRDM16-DT	22
PRDM16	41
LOC105378606	0
LOC107984909	1
LOC105378604	8
ARHGEF16	415
MEGF6	672
LOC105378608	6
105378607	0
TPRG1L	897
WRAP73	406
TP73	102
TP73-AS3	4
TP73-AS1	388
CCDC27	24
SMIM1	45
LRRC47	1135
CEP104	871
DFFB	180
107984910	5
C1orf174	376
LINC01134	5
AJAP1	6
LOC107984911	0
NPHP4	259
KCNAB2	1219
CHD5	7
RPL22	10474
107985733	61
RNF207-AS1	13
RNF207	301
ICMT	2841
LINC00337	5
GPR153	498
ACOT7	1350
HES2	97
ESPN	69
TNFRSF25	458
PLEKHG5	388
NOL9	458
TAS1R1	5
LOC107984912	1
ZBTB48	354
KLHL21	781
LOC107984913	5
PHF13	472
THAP3	581
DNAJC11	1012
CAMTA1-DT	7
CAMTA1	536
LOC105376689	6
VAMP3	2620
PER3	216
UTS2	77
TNFRSF9	365
PARK7	4822
ERRFI1	1520
LOC107984915	0
LINC01714	0
SLC45A1	23
RERE	1649
RERE-AS1	15
ENO1	39611
MIR6728	8
ENO1-AS1	9
CA6	0
SLC2A5	290
GPR157	355
MIR34AHG	131
MIR34A	0
LNCTAM34A	22
H6PD	1594
SPSB1	1201
LINC02606	20
SLC25A33	217
TMEM201	433
107985734	23
PIK3CD	1257
PIK3CD-AS1	6
PIK3CD-AS2	25
CLSTN1	4395
CTNNBIP1	524
LOC105376717	67
LZIC	884
NMNAT1	255
RBP7	23
UBE4B	1196
KIF1B	1327
105376725	0
PGD	6640
CENPS-CORT	129
CENPS	128
CORT	6
DFFA	1931
PEX14	485
CASZ1	201
LOC105376733	0
C1orf127	25
TARDBP	5147
MASP2	31
SRM	1657
EXOSC10	1508
EXOSC10-AS1	65
MTOR	1731
MTOR-AS1	31
ANGPTL7	13
UBIAD1	634
LOC105376739	6
LOC105376740	1
DISP3	4
112268221	2
FBXO2	2174
FBXO44	704
FBXO6	840
MAD2L2	1003
DRAXIN	28
AGTRAP	1446
C1orf167	113
MTHFR	414
CLCN6	313
NPPA-AS1	53
NPPA	8
KIAA2013	1767
PLOD1	3705
MFN2	2974
MIIP	627
MIR6729	7
TNFRSF8	108
MIR7846	0
TNFRSF1B	2671
107984917	4
VPS13D	1371
SNORA59A	5
LINC02766	6
DHRS3	1581
MIR6730	0
AADACL4	0
C1orf158	34
LRRC38	0
PDPN	1037
PRDM2	1134
KAZN	519
LOC107985467	0
LOC105376759	0
LOC107985469	0
TMEM51-AS1	42
TMEM51	761
TMEM51-AS2	0
FHAD1	119
FHAD1-AS1	19
LOC101927441	17
EFHD2	6631
CTRC	1
CELA2A	0
CELA2B	6
CASP9	292
DNAJC16	489
AGMAT	116
DDI2	1352
RSC1A1	154
PLEKHM2	1752
SLC25A34	26
SLC25A34-AS1	7
TMEM82	3
FBLIM1	2210
UQCRHL	50
FLJ37453	82
SPEN	1656
ZBTB17	669
SRARP	0
HSPB7	54
CLCNKA	6
CLCNKB	8
FAM131C	38
EPHA2	1101
LOC101927479	8
ARHGEF19	297
ANO7L1	64
CPLANE2	65
FBXO42	595
SZRD1	2457
SPATA21	1340
NECAP2	2416
LINC01772	12
CROCCP3	82
RNU1-1	0
LINC01783	3
NBPF1	417
105376794	284
CROCCP2	183
MST1P2	51
LOC107985736	6
RNU1-3	0
ESPNP	0
MST1L	22
LOC112267871	1
LOC105376805	69
CROCC	445
MFAP2	684
LOC105376806	279
ATP13A2	1766
SDHB	2138
PADI2	543
LINC02783	0
PADI1	8
PADI3	4
PADI4	8
PADI6	0
RCC2	4251
ARHGEF10L	754
ACTL8	4
IGSF21	6
KLHDC7A	25
PAX7	20
ALDH4A1	232
IFFO2	389
UBR4	3914
EMC1-AS1	79
EMC1	1567
MRTO4	1187
AKR7L	8
AKR7A3	11
LOC100506730	39
AKR7A2	774
SLC66A1	412
CAPZB	5871
MICOS10	625
MICOS10-NBL1	2071
RPS14P3	53
NBL1	1752
HTR6	10
TMCO4	555
RNF186	0
OTUD3	157
PLA2G2A	81
PLA2G5	65
PLA2G2D	1726
PLA2G2F	1
PLA2G2C	2
UBXN10	177
101928017	2
LOC105376825	13
VWA5B1	0
LINC01141	0
CAMK2N1	773
MUL1	863
FAM43B	9
CDA	602
PINK1	951
MIR6084	46
PINK1-AS	943
DDOST	6152
KIF17	61
SH2D5	34
112268222	906
HP1BP3	3230
EIF4G3	2361
LOC105376830	10
LOC105376829	1
ECE1	3719
ECE1-AS1	20
NBPF3	237
ALPL	1847
LINC02596	0
RAP1GAP	187
USP48	1502
LDLRAD2	1360
HSPG2	7882
LINC01635	8
LINC00339	252
CDC42-AS1	11
CDC42	8160
WNT4	44
LOC105376845	4
LOC105376850	1
LOC107985377	0
ZBTB40	724
EPHA8	0
C1QA	11670
C1QC	14961
C1QB	14692
EPHB2	774
MIR4253	24
KDM1A	1600
LUZP1	924
HTR1D	45
LINC01355	109
HNRNPR	5192
ZNF436	601
ZNF436-AS1	53
TCEA3	192
ASAP3	447
E2F2	186
LOC101928163	9
LOC105376859	28
ID3	2917
MDS2	3
RPL11	17875
ELOA	1474
ELOA-AS1	128
PITHD1	720
LOC105376860	292
LYPLA2	1788
GALE	1006
HMGCL	727
LOC105376861	1
FUCA1	2673
CNR2	33
PNRC2	3245
SRSF10	3523
LOC105376863	1
LOC107984931	0
MYOM3	4
IL22RA1	84
IFNLR1	121
LINC02800	0
GRHL3-AS1	4
GRHL3	15
STPG1	95
NIPAL3	472
RCAN3AS	6
RCAN3	651
NCMAP-DT	64
NCMAP	30
SRRM1	2050
CLIC4	8640
RUNX3	1079
107984932	2
RUNX3-AS1	58
SYF2	1571
RSRP1	2052
LOC105376882	0
RHD	39
TMEM50A	2510
RHCE	1534
MACO1	676
LDLRAP1	936
MAN1C1	454
SELENON	2247
MTFR1L	528
LOC646471	132
AUNIP	257
PAQR7	382
STMN1	3612
MIR3917	353
PAFAH2	445
101928216	6
EXTL1	11
SLC30A2	3
TRIM63	4
PDIK1L	385
FAM110D	80
ZNF593	524
CNKSR1	411
CATSPER4	0
ZPLD2P	0
CEP85	498
SH3BGRL3	4521
UBXN11	816
CD52	583
CRYBG2	54
ZNF683	136
DHDDS	559
DHDDS-AS1	4
HMGN2	7931
RPS6KA1	1713
LOC101928728	13
ARID1A	1962
PIGV	579
ZDHHC18	1353
SFN	3652
GPN2	598
GPATCH3	254
NUDC	2359
NR0B2	1
KDF1	247
TRNP1	67
TENT5B	18
LOC101928391	1
SLC9A1	851
WDTC1	1212
TMEM222	898
ACTG1P20	29
SYTL1	786
MAP3K6	544
FCN3	893
CD164L2	58
GPR3	78
WASF2	2756
LOC105376892	2
AHDC1	661
FGR	517
LINC02574	4
IFI6	9983
FAM76A	195
STX12	1752
PPP1R8	1265
THEMIS2	1360
RPA2	1394
SMPDL3B	350
XKR8	233
EYA3	624
PTAFR	1407
DNAJC8	2901
ATP5IF1	877
SESN2	436
MED18	210
PHACTR4	922
RCC1	1942
SNHG3	566
SNORA73A	10
SNORA73B	11
TRNAU1AP	404
SNHG12	466
SNORD99	7
SNORA61	37
SNORA44	19
SNORA16A	16
RAB42	585
TAF12	705
LINC01715	5
RNU11	1
GMEB1	380
YTHDF2	1633
OPRD1	6
EPB41	1572
TMEM200B	430
SRSF4	1774
MECR	381
PTPRU	987
LOC105378617	7
MATN1	25
MATN1-AS1	42
LAPTM5	15737
MIR4420	3
LOC105378620	18
LINC01778	1
SDC3	3397
PUM1	2537
SNORD103A	4
SNORD103B	4
LOC107984935	2
NKAIN1	3
SNRNP40	953
ZCCHC17	924
FABP3	96
SERINC2	2824
LOC105378625	0
LOC105379772	0
LDC1P	0
LINC01226	2
LOC105378626	23
TINAGL1	1386
HCRTR1	212
PEF1	1614
PEF1-AS1	93
105378628	0
COL16A1	2181
LOC101929444	29
ADGRB2	205
SPOCD1	60
PTP4A2	6271
KHDRBS1	4095
TMEM39B	422
KPNA6	2185
TXLNA	1825
CCDC28B	193
TMEM234	195
IQCC	60
DCDC2B	32
EIF3I	3132
MTMR9LP	173
FAM167B	217
LCK	1118
HDAC1	3148
MARCKSL1	2637
LOC105378629	3
TSSK3	50
FAM229A	6
BSDC1	1457
ZBTB8B	1
ZBTB8A	197
LOC102723870	1
ZBTB8OS	513
RBBP4	2693
SYNC	783
KIAA1522	2457
YARS1	2675
S100PBP	724
FNDC5	25
HPCA	22
TMEM54	753
LOC105378632	1
RNF19B	1243
AK2	2967
AZIN2	111
112268224	9
TRIM62	272
ZNF362	673
A3GALT2	0
PHC2	2158
MIR3605	74
PHC2-AS1	7
ZSCAN20	76
CSMD2	93
105378640	0
LOC105378641	0
LOC105378642	0
GJB5	85
GJB4	8
GJB3	490
GJA4	637
SMIM12	716
DLGAP3	15
GPR199P	45
TMEM35B	544
ZMYM6	439
ZMYM1	400
LOC105378644	2
SFPQ	6327
ZMYM4	1496
ZMYM4-AS1	31
KIAA0319L	1409
NCDN	700
TFAP2E	79
TFAP2E-AS1	15
PSMB2	3622
C1orf216	402
