GeneID	RNA-seq_normal_lung34
DDX11L1	4
WASH7P	591
MIR6859-1	11
LOC100996442	61
LOC729737	1776
DDX11L17	2
WASH9P	803
MIR6859-2	6
LOC112268260	19
LOC100132287	633
LOC105378947	4
MIR12136	1703
OR4F16	12
100133331	427
107984841	34
107984847	76
107984849	28
LOC100288069	40
LINC01409	20
FAM87B	2
LINC00115	23
LINC01128	596
FAM41C	9
LOC284600	1
LINC02593	32
LOC107985728	23
SAMD11	346
NOC2L	1779
KLHL17	234
PLEKHN1	72
PERM1	15
HES4	1628
ISG15	2490
AGRN	7464
LOC100288175	66
112267874	69
LOC105378948	79
RNF223	94
C1orf159	364
LINC01342	2
MIR200B	7
MIR200A	4
MIR429	25
TTLL10-AS1	12
TTLL10	41
TNFRSF18	239
TNFRSF4	537
SDF4	5423
B3GALT6	624
C1QTNF12	28
UBE2J2	1496
LINC01786	32
SCNN1D	136
ACAP3	1675
SNORD167	6
PUSL1	280
INTS11	2093
MIR6727	8
CPTP	483
TAS1R3	69
DVL1	2647
MIR6808	2
MXRA8	2399
AURKAIP1	2135
CCNL2	5517
MRPL20-AS1	600
MRPL20	1832
107984868	15
ANKRD65	531
LOC105378585	31
TMEM88B	3
LINC01770	67
LOC107985729	27
VWA1	3227
ATAD3C	423
ATAD3B	1405
ATAD3A	724
TMEM240	79
SSU72	2719
FNDC10	137
LOC105378586	24
MIB2	3006
MMP23B	798
CDK11B	2419
SLC35E2B	1256
MMP23A	488
CDK11A	1651
SLC35E2A	435
LOC112268218	178
NADK	1969
GNB1	9214
LOC105378949	17
CALML6	14
TMEM52	22
CFAP74	27
LOC107984872	2
LOC105378589	0
GABRD	63
LOC105378590	7
LOC105378591	10
PRKCZ	3039
PRKCZ-AS1	165
FAAP20	1818
LOC112268219	106
LOC105378593	7
SKI	3696
MORN1	109
LOC100129534	38
RER1	2819
PEX10	622
PLCH2	108
PANK4	777
HES5	18
TNFRSF14-AS1	436
TNFRSF14	2324
LOC100996583	6
PRXL2B	597
MMEL1	173
MMEL1-AS1	1
TTC34	16
LOC105378598	0
LOC107984904	0
PRDM16-DT	252
PRDM16	491
LOC105378606	10
LOC107984909	12
LOC105378604	61
ARHGEF16	499
MEGF6	2710
LOC105378608	7
105378607	1
TPRG1L	1637
WRAP73	307
TP73	46
TP73-AS3	0
TP73-AS1	762
CCDC27	2
SMIM1	135
LRRC47	1173
CEP104	793
DFFB	110
107984910	4
C1orf174	368
LINC01134	2
AJAP1	69
LOC107984911	0
NPHP4	568
KCNAB2	1181
CHD5	15
RPL22	15994
107985733	75
RNF207-AS1	22
RNF207	288
ICMT	1449
LINC00337	1
GPR153	654
ACOT7	720
HES2	27
ESPN	49
TNFRSF25	323
PLEKHG5	542
NOL9	611
TAS1R1	16
LOC107984912	1
ZBTB48	585
KLHL21	3165
LOC107984913	14
PHF13	1715
THAP3	552
DNAJC11	663
CAMTA1-DT	19
CAMTA1	1428
LOC105376689	50
VAMP3	3600
PER3	389
UTS2	121
TNFRSF9	584
PARK7	4204
ERRFI1	19567
LOC107984915	0
LINC01714	4
SLC45A1	21
RERE	2165
RERE-AS1	8
ENO1	23252
MIR6728	20
ENO1-AS1	11
CA6	1
SLC2A5	17
GPR157	706
MIR34AHG	144
MIR34A	1
LNCTAM34A	18
H6PD	3181
SPSB1	9390
LINC02606	13
SLC25A33	916
TMEM201	285
107985734	16
PIK3CD	1295
PIK3CD-AS1	6
PIK3CD-AS2	32
CLSTN1	2714
CTNNBIP1	2090
LOC105376717	108
LZIC	777
NMNAT1	194
RBP7	120
UBE4B	828
KIF1B	2213
105376725	6
PGD	3153
CENPS-CORT	88
CENPS	96
CORT	18
DFFA	1077
PEX14	703
CASZ1	1992
LOC105376733	11
C1orf127	24
TARDBP	4428
MASP2	115
SRM	917
EXOSC10	1476
EXOSC10-AS1	29
MTOR	911
MTOR-AS1	9
ANGPTL7	207
UBIAD1	491
LOC105376739	2
LOC105376740	1
DISP3	11
112268221	0
FBXO2	279
FBXO44	703
FBXO6	443
MAD2L2	867
DRAXIN	10
AGTRAP	1144
C1orf167	377
MTHFR	1555
CLCN6	680
NPPA-AS1	138
NPPA	65
KIAA2013	1728
PLOD1	1632
MFN2	3410
MIIP	595
MIR6729	5
TNFRSF8	85
MIR7846	41
TNFRSF1B	4520
107984917	8
VPS13D	1797
SNORA59A	7
LINC02766	10
DHRS3	1677
MIR6730	4
AADACL4	3
C1orf158	9
LRRC38	2
PDPN	1866
PRDM2	1349
KAZN	1341
LOC107985467	4
LOC105376759	8
LOC107985469	0
TMEM51-AS1	229
TMEM51	1032
TMEM51-AS2	16
FHAD1	60
FHAD1-AS1	7
LOC101927441	49
EFHD2	6089
CTRC	36
CELA2A	18
CELA2B	66
CASP9	528
DNAJC16	278
AGMAT	26
DDI2	652
RSC1A1	66
PLEKHM2	3962
SLC25A34	222
SLC25A34-AS1	15
TMEM82	3
FBLIM1	1340
UQCRHL	94
FLJ37453	181
SPEN	2587
ZBTB17	1903
SRARP	1
HSPB7	451
CLCNKA	6
CLCNKB	15
FAM131C	1
EPHA2	7733
LOC101927479	201
ARHGEF19	279
ANO7L1	63
CPLANE2	96
FBXO42	689
SZRD1	2626
SPATA21	1690
NECAP2	2141
LINC01772	36
CROCCP3	138
RNU1-1	3
LINC01783	0
NBPF1	345
105376794	182
CROCCP2	152
MST1P2	190
LOC107985736	13
RNU1-3	1
ESPNP	1
MST1L	191
LOC112267871	8
LOC105376805	224
CROCC	1479
MFAP2	203
LOC105376806	52
ATP13A2	1004
SDHB	1352
PADI2	172
LINC02783	0
PADI1	0
PADI3	0
PADI4	108
PADI6	2
RCC2	2084
ARHGEF10L	878
ACTL8	0
IGSF21	28
KLHDC7A	51
PAX7	0
ALDH4A1	415
IFFO2	1157
UBR4	3215
EMC1-AS1	54
EMC1	1149
MRTO4	1210
AKR7L	6
AKR7A3	18
LOC100506730	40
AKR7A2	1051
SLC66A1	477
CAPZB	5575
MICOS10	1675
MICOS10-NBL1	6933
RPS14P3	123
NBL1	6543
HTR6	5
TMCO4	625
RNF186	0
OTUD3	1119
PLA2G2A	483
PLA2G5	154
PLA2G2D	8
PLA2G2F	0
PLA2G2C	3
UBXN10	145
101928017	21
LOC105376825	6
VWA5B1	11
LINC01141	1
CAMK2N1	2093
MUL1	823
FAM43B	80
CDA	65
PINK1	1761
MIR6084	154
PINK1-AS	1691
DDOST	3651
KIF17	239
SH2D5	22
112268222	1466
HP1BP3	3051
EIF4G3	1336
LOC105376830	9
LOC105376829	6
ECE1	5779
ECE1-AS1	26
NBPF3	53
ALPL	6405
LINC02596	18
RAP1GAP	1600
USP48	1225
LDLRAD2	2341
HSPG2	6262
LINC01635	1
LINC00339	200
CDC42-AS1	30
CDC42	10497
WNT4	113
LOC105376845	15
LOC105376850	0
LOC107985377	6
ZBTB40	833
EPHA8	3
C1QA	11817
C1QC	5947
C1QB	8019
EPHB2	163
MIR4253	4
KDM1A	1334
LUZP1	1930
HTR1D	3
LINC01355	128
HNRNPR	3199
ZNF436	406
ZNF436-AS1	51
TCEA3	1258
ASAP3	997
E2F2	35
LOC101928163	1
LOC105376859	6
ID3	2734
MDS2	11
RPL11	34321
ELOA	1351
ELOA-AS1	145
PITHD1	1381
LOC105376860	123
LYPLA2	1247
GALE	946
HMGCL	847
LOC105376861	2
FUCA1	823
CNR2	5
PNRC2	5303
SRSF10	2873
LOC105376863	9
LOC107984931	3
MYOM3	5
IL22RA1	28
IFNLR1	762
LINC02800	8
GRHL3-AS1	0
GRHL3	3
STPG1	176
NIPAL3	898
RCAN3AS	1
RCAN3	488
NCMAP-DT	39
NCMAP	407
SRRM1	2505
CLIC4	8116
RUNX3	1306
107984932	9
RUNX3-AS1	32
SYF2	1644
RSRP1	2555
LOC105376882	2
RHD	64
TMEM50A	1984
RHCE	1070
MACO1	968
LDLRAP1	869
MAN1C1	637
SELENON	3059
MTFR1L	749
LOC646471	90
AUNIP	126
PAQR7	323
STMN1	1520
MIR3917	66
PAFAH2	423
101928216	2
EXTL1	10
SLC30A2	1
TRIM63	26
PDIK1L	128
FAM110D	612
ZNF593	667
CNKSR1	715
CATSPER4	4
ZPLD2P	10
CEP85	167
SH3BGRL3	5252
UBXN11	1813
CD52	2103
CRYBG2	93
ZNF683	88
DHDDS	488
DHDDS-AS1	10
HMGN2	6575
RPS6KA1	3110
LOC101928728	8
ARID1A	1669
PIGV	307
ZDHHC18	1234
SFN	6764
GPN2	1088
GPATCH3	276
NUDC	2868
NR0B2	325
KDF1	197
TRNP1	846
TENT5B	1651
LOC101928391	12
SLC9A1	1734
WDTC1	1996
TMEM222	979
ACTG1P20	37
SYTL1	1056
MAP3K6	2282
FCN3	6952
CD164L2	26
GPR3	153
WASF2	3518
LOC105376892	3
AHDC1	910
FGR	2004
LINC02574	3
IFI6	4965
FAM76A	348
STX12	3515
PPP1R8	815
THEMIS2	1299
RPA2	900
SMPDL3B	380
XKR8	180
EYA3	639
PTAFR	913
DNAJC8	2950
ATP5IF1	1915
SESN2	775
MED18	265
PHACTR4	1475
RCC1	731
SNHG3	621
SNORA73A	5
SNORA73B	22
TRNAU1AP	542
SNHG12	756
SNORD99	21
SNORA61	79
SNORA44	72
SNORA16A	35
RAB42	46
TAF12	487
LINC01715	10
RNU11	3
GMEB1	537
YTHDF2	2577
OPRD1	12
EPB41	1468
TMEM200B	536
SRSF4	4685
MECR	320
PTPRU	1331
LOC105378617	26
MATN1	24
MATN1-AS1	38
LAPTM5	11118
MIR4420	3
LOC105378620	45
LINC01778	4
SDC3	2149
PUM1	1779
SNORD103A	3
SNORD103B	2
LOC107984935	5
NKAIN1	2
SNRNP40	538
ZCCHC17	799
FABP3	277
SERINC2	933
LOC105378625	0
LOC105379772	0
LDC1P	1
LINC01226	3
LOC105378626	24
TINAGL1	3027
HCRTR1	190
PEF1	2173
PEF1-AS1	80
105378628	9
COL16A1	2349
LOC101929444	18
ADGRB2	27
SPOCD1	215
PTP4A2	6912
KHDRBS1	3971
TMEM39B	503
KPNA6	1812
TXLNA	2878
CCDC28B	228
TMEM234	298
IQCC	88
DCDC2B	76
EIF3I	5551
MTMR9LP	562
FAM167B	647
LCK	473
HDAC1	2043
MARCKSL1	2494
LOC105378629	1
TSSK3	203
FAM229A	157
BSDC1	2128
ZBTB8B	4
ZBTB8A	370
LOC102723870	7
ZBTB8OS	515
RBBP4	1737
SYNC	837
KIAA1522	1823
YARS1	1718
S100PBP	444
FNDC5	30
HPCA	80
TMEM54	1057
LOC105378632	7
RNF19B	4210
AK2	2874
AZIN2	146
112268224	2
TRIM62	130
ZNF362	614
A3GALT2	9
PHC2	4625
MIR3605	120
PHC2-AS1	5
ZSCAN20	50
CSMD2	75
105378640	0
LOC105378641	0
LOC105378642	5
GJB5	1
GJB4	4
GJB3	66
GJA4	1123
SMIM12	1247
DLGAP3	25
GPR199P	88
TMEM35B	1202
ZMYM6	439
ZMYM1	190
LOC105378644	0
SFPQ	14940
ZMYM4	872
ZMYM4-AS1	4
KIAA0319L	2538
NCDN	659
TFAP2E	98
TFAP2E-AS1	23
PSMB2	2468
C1orf216	657
CLSPN	40
AGO4	822
AGO1	491
AGO3	1134
TEKT2	68
ADPRS	1031
COL8A2	175
TRAPPC3	1378
MAP7D1	14802
THRAP3	3521
SH3D21	307
EVA1B	1543
STK40	4806
LSM10	568
OSCP1	248
MRPS15	1143
CSF3R	4379
GRIK3	4
LINC01137	174
ZC3H12A	10803
MIR6732	42
MEAF6	1780
MIR5581	0
LOC105378649	26
SNIP1	621
DNALI1	747
GNL2	2179
RSPO1	265
C1orf109	313
CDCA8	12
EPHA10	4
MANEAL	77
YRDC	721
C1orf122	1022
MTF1	511
INPP5B	1008
LOC105378651	15
SF3A3	1696
FHL3	517
UTP11	1090
POU3F1	25
MIR3659HG	0
LOC105378657	2
RRAGC	1849
GJA9-MYCBP	343
MYCBP	318
LOC105378663	8
GJA9	23
RHBDL2	69
LOC105378662	13
AKIRIN1	3359
NDUFS5	2854
MACF1	15759
643314	82
105378950	2
BMP8A	188
OXCT2P1	17
PPIEL	248
PABPC4	3232
PABPC4-AS1	338
SNORA55	4
HEYL	454
NT5C1A	0
HPCAL4	20
PPIE	927
BMP8B	125
OXCT2	21
LOC101929536	0
105378951	5
LINC02811	1
105378665	0
TRIT1	360
MYCL	130
MYCL-AS1	4
MFSD2A	4966
CAP1	4496
PPT1	6474
RLF	1593
TMCO2	6
ZMPSTE24	990
COL9A2	152
107984945	6
SMAP2	1114
ZFP69B	41
ZFP69	55
LOC105378672	10
EXO5	100
ZNF684	46
RIMS3	101
LOC105378675	1
NFYC-AS1	70
NFYC	1130
KCNQ4	32
CITED4	2606
CTPS1	628
SLFNL1-AS1	193
SLFNL1	136
SCMH1	984
FOXO6	141
FOXO6-AS1	15
LOC105378678	2
EDN2	264
HIVEP3	1664
GUCA2B	10
GUCA2A	22
FOXJ3	1319
RIMKLA	407
ZMYND12	35
CCDC30	241
PPCS	891
PPIH	525
YBX1	16915
CLDN19	3
P3H1	607
C1orf50	200
TMEM269-DT	3
TMEM269	1
LOC107984946	3
SVBP	308
ERMAP	363
ZNF691	92
LOC339539	2
SLC2A1	687
SLC2A1-AS1	3
FAM183A	35
EBNA1BP2	1291
CFAP57	18
LOC105378685	3
TMEM125	4704
C1orf210	385
TIE1	2566
MPL	29
LOC105378687	29
CDC20	17
ELOVL1	2510
MIR6734	8
LOC112268225	9
MED8	765
MED8-AS1	142
SZT2	1979
SZT2-AS1	50
HYI	1209
PTPRF	5384
KDM4A	797
KDM4A-AS1	109
ST3GAL3	498
ARTN	36
LOC105378688	6
LOC101929609	25
IPO13	491
DPH2	397
ATP6V0B	3129
B4GALT2	814
CCDC24	148
SLC6A9	341
LOC107984948	7
KLF17	58
DMAP1	865
ERI3	1008
ERI3-IT1	10
RNF220	978
LOC107984950	250
TMEM53	205
ARMH1	118
LOC105378690	7
RNU5F-1	2
RNU5D-1	10
KIF2C	115
RPS8	28738
SNORD55	126
SNORD46	17
SNORD38A	51
SNORD38B	48
BEST4	33
PLK3	5891
DYNLT4	767
BTBD19	1480
LOC107984952	538
PTCH2	165
EIF2B3	590
HECTD3	785
UROD	1661
ZSWIM5	141
LOC105378691	3
LINC01144	3
HPDL	15
MUTYH	335
TOE1	311
TESK2	191
CCDC163	13
MMACHC	1908
PRDX1	5854
AKR1A1	2048
NASP	3929
CCDC17	141
GPBP1L1	2191
RPS15AP10	7
TMEM69	217
IPP	250
MAST2	1030
P3R3URF-PIK3R3	358
PIK3R3	390
LOC101929626	4
TSPAN1	457
POMGNT1	1828
LURAP1	20
RAD54L	133
LRRC41	1641
UQCRH	2492
NSUN4	648
FAAH	1081
FAAHP1	28
LINC01398	3
DMBX1	0
MKNK1-AS1	153
MKNK1	1512
MOB3C	2254
ATPAF1	733
EFCAB14-AS1	28
EFCAB14	2870
LOC105378698	1
LOC105378699	6
CYP4B1	14499
CYP4Z2P	104
CYP4A11	10
CYP4X1	258
CYP4Z1	51
CYP4A22	12
LOC105378701	4
LINC00853	19
PDZK1IP1	1710
TAL1	406
STIL	27
CMPK1	4282
LINC01389	7
FOXE3	4
FOXD2-AS1	43
FOXD2	29
LINC01738	2
TRABD2B	94
LINC02794	1
SKINT1L	10
SLC5A9	972
SPATA6	353
AGBL4	3
BEND5	79
ELAVL4	3
DMRTA2	1
LOC105378714	0
FAF1	1014
FAF1-AS1	3
CDKN2C	196
LINC01562	4
RNF11	3458
TTC39A	555
TTC39A-AS1	21
EPS15	1890
EPS15-AS1	3
CALR4P	1
OSBPL9	2742
NRDC	2562
105378721	237
MIR761	12
RAB3B	0
TXNDC12	1808
KTI12	122
BTF3L4	1060
ZFYVE9	1556
CC2D1B	1878
ORC1	28
PRPF38A	1271
TUT4	645
GPX7	73
SHISAL2A	23
COA7	291
ZYG11B	683
ZYG11A	8
ECHDC2	1807
SCP2	3599
PODN	2521
SLC1A7	128
CPT2	380
CZIB	1193
MAGOH	1151
LOC100507564	9
LRP8	59
LOC105378728	2
LOC105378726	3
LOC105378731	0
105378730	0
LINC02812	3
GLIS1	9
NDC1	259
YIPF1	542
DIO1	7
HSPB11	376
LRRC42	858
LDLRAD1	78
TMEM59	9405
TCEANC2	168
CDCP2	4
CYB5RL	135
MRPL37	959
SSBP3	1753
SSBP3-AS1	23
ACOT11	72
FAM151A	21
MROH7-TTC4	301
MROH7	45
TTC4	262
PARS2	17
TTC22	291
LEXM	23
DHCR24	20038
DHCR24-DT	31
TMEM61	76
BSND	4
PCSK9	837
USP24	1580
LOC100507634	25
LINC01767	45
PLPP3	8634
PRKAA2	128
FYB2	133
C8A	66
C8B	249
105378745	0
LOC112267900	5
DAB1	35
LOC107984960	0
OMA1	408
TACSTD2	19032
MYSM1	775
LOC112268263	13
LOC105378751	18
JUN	78854
LINC01135	8
LOC101926907	173
LINC02777	32
LINC01358	21
FGGY-DT	11
FGGY	388
LOC101926944	25
LOC105378758	0
HOOK1	430
CYP2J2	86
C1orf87	42
LINC01748	2
LOC101926964	2
LOC105378764	1
NFIA-AS2	26
NFIA	1287
NFIA-AS1	2
LOC107984964	0
MGC34796	0
TM2D1	788
PATJ	2389
LOC107984965	1
L1TD1	92
KANK4	206
USP1	803
DOCK7	534
ANGPTL3	1
ATG4C	248
LINC00466	1
FOXD3-AS1	1
FOXD3	1
ALG6	219
ITGB3BP	322
LOC102724319	0
EFCAB7	150
DLEU2L	6
