GeneID	RNA-seq_normal_lung25
DDX11L1	4
WASH7P	1107
MIR6859-1	26
LOC100996442	84
LOC729737	2175
DDX11L17	1
WASH9P	1202
MIR6859-2	15
LOC112268260	30
LOC100132287	756
LOC105378947	9
MIR12136	635
OR4F16	11
100133331	548
107984841	156
107984847	245
107984849	97
LOC100288069	105
LINC01409	41
FAM87B	18
LINC00115	55
LINC01128	837
FAM41C	5
LOC284600	155
LINC02593	36
LOC107985728	38
SAMD11	301
NOC2L	1719
KLHL17	294
PLEKHN1	97
PERM1	16
HES4	851
ISG15	1442
AGRN	11596
LOC100288175	32
112267874	42
LOC105378948	80
RNF223	53
C1orf159	462
LINC01342	10
MIR200B	5
MIR200A	11
MIR429	11
TTLL10-AS1	142
TTLL10	299
TNFRSF18	68
TNFRSF4	186
SDF4	4918
B3GALT6	575
C1QTNF12	43
UBE2J2	1252
LINC01786	71
SCNN1D	161
ACAP3	1930
SNORD167	19
PUSL1	358
INTS11	2610
MIR6727	15
CPTP	772
TAS1R3	84
DVL1	3299
MIR6808	5
MXRA8	1850
AURKAIP1	1828
CCNL2	6179
MRPL20-AS1	614
MRPL20	1520
107984868	19
ANKRD65	711
LOC105378585	45
TMEM88B	5
LINC01770	88
LOC107985729	38
VWA1	2895
ATAD3C	509
ATAD3B	1307
ATAD3A	711
TMEM240	63
SSU72	2159
FNDC10	135
LOC105378586	13
MIB2	2815
MMP23B	393
CDK11B	1985
SLC35E2B	2245
MMP23A	204
CDK11A	1123
SLC35E2A	1300
LOC112268218	185
NADK	2361
GNB1	10810
LOC105378949	20
CALML6	10
TMEM52	16
CFAP74	348
LOC107984872	15
LOC105378589	0
GABRD	12
LOC105378590	5
LOC105378591	8
PRKCZ	4003
PRKCZ-AS1	243
FAAP20	1739
LOC112268219	136
LOC105378593	24
SKI	5871
MORN1	292
LOC100129534	83
RER1	3056
PEX10	741
PLCH2	234
PANK4	826
HES5	12
TNFRSF14-AS1	623
TNFRSF14	2612
LOC100996583	16
PRXL2B	764
MMEL1	197
MMEL1-AS1	5
TTC34	89
LOC105378598	15
LOC107984904	5
PRDM16-DT	663
PRDM16	1262
LOC105378606	9
LOC107984909	3
LOC105378604	50
ARHGEF16	636
MEGF6	3473
LOC105378608	5
105378607	10
TPRG1L	2407
WRAP73	509
TP73	208
TP73-AS3	5
TP73-AS1	1245
CCDC27	3
SMIM1	113
LRRC47	1668
CEP104	1575
DFFB	233
107984910	11
C1orf174	559
LINC01134	4
AJAP1	75
LOC107984911	0
NPHP4	854
KCNAB2	1331
CHD5	24
RPL22	11045
107985733	115
RNF207-AS1	13
RNF207	497
ICMT	2506
LINC00337	0
GPR153	615
ACOT7	754
HES2	110
ESPN	242
TNFRSF25	326
PLEKHG5	717
NOL9	749
TAS1R1	8
LOC107984912	1
ZBTB48	754
KLHL21	1382
LOC107984913	21
PHF13	692
THAP3	669
DNAJC11	977
CAMTA1-DT	9
CAMTA1	851
LOC105376689	49
VAMP3	4305
PER3	1616
UTS2	55
TNFRSF9	92
PARK7	3797
ERRFI1	6315
LOC107984915	0
LINC01714	4
SLC45A1	26
RERE	4413
RERE-AS1	8
ENO1	20501
MIR6728	3
ENO1-AS1	6
CA6	2
SLC2A5	42
GPR157	977
MIR34AHG	241
MIR34A	1
LNCTAM34A	15
H6PD	4279
SPSB1	1154
LINC02606	31
SLC25A33	592
TMEM201	397
107985734	11
PIK3CD	1230
PIK3CD-AS1	4
PIK3CD-AS2	31
CLSTN1	4316
CTNNBIP1	2400
LOC105376717	166
LZIC	1034
