GeneID	RNA-seq_LADC50
DDX11L1	1
WASH7P	806
MIR6859-1	30
LOC100996442	29
LOC729737	2653
DDX11L17	1
WASH9P	939
MIR6859-2	15
LOC112268260	60
LOC100132287	915
LOC105378947	10
MIR12136	1877
OR4F16	6
100133331	639
107984841	21
107984847	29
107984849	21
LOC100288069	13
LINC01409	19
FAM87B	10
LINC00115	64
LINC01128	297
FAM41C	2
LOC284600	13
LINC02593	25
LOC107985728	4
SAMD11	479
NOC2L	3548
KLHL17	511
PLEKHN1	515
PERM1	126
HES4	422
ISG15	8647
AGRN	22860
LOC100288175	76
112267874	28
LOC105378948	136
RNF223	32
C1orf159	708
LINC01342	2
MIR200B	1
MIR200A	4
MIR429	13
TTLL10-AS1	2
TTLL10	25
TNFRSF18	803
TNFRSF4	346
SDF4	7047
B3GALT6	973
C1QTNF12	16
UBE2J2	2166
LINC01786	29
SCNN1D	206
ACAP3	2538
SNORD167	5
PUSL1	786
INTS11	3039
MIR6727	15
CPTP	1618
TAS1R3	85
DVL1	2498
MIR6808	6
MXRA8	2557
AURKAIP1	4790
CCNL2	5551
MRPL20-AS1	1151
MRPL20	3933
107984868	8
ANKRD65	527
LOC105378585	56
TMEM88B	0
LINC01770	181
LOC107985729	70
VWA1	7816
ATAD3C	120
ATAD3B	1491
ATAD3A	2008
TMEM240	36
SSU72	4523
FNDC10	857
LOC105378586	44
MIB2	1437
MMP23B	248
CDK11B	2528
SLC35E2B	1364
MMP23A	118
CDK11A	1256
SLC35E2A	682
LOC112268218	452
NADK	3073
GNB1	14912
LOC105378949	21
CALML6	12
TMEM52	56
CFAP74	14
LOC107984872	0
LOC105378589	5
GABRD	77
LOC105378590	0
LOC105378591	0
PRKCZ	1086
PRKCZ-AS1	38
FAAP20	2360
LOC112268219	216
LOC105378593	4
SKI	3605
MORN1	199
LOC100129534	62
RER1	6995
PEX10	1059
PLCH2	13
PANK4	878
HES5	0
TNFRSF14-AS1	276
TNFRSF14	1890
LOC100996583	8
PRXL2B	1671
MMEL1	753
MMEL1-AS1	0
TTC34	20
LOC105378598	0
LOC107984904	0
PRDM16-DT	10
PRDM16	55
LOC105378606	2
LOC107984909	0
LOC105378604	63
ARHGEF16	1765
MEGF6	1862
LOC105378608	8
105378607	0
TPRG1L	1528
WRAP73	1006
TP73	246
TP73-AS3	3
TP73-AS1	687
CCDC27	1
SMIM1	65
LRRC47	1872
CEP104	1105
DFFB	115
107984910	7
C1orf174	891
LINC01134	6
AJAP1	4
LOC107984911	0
NPHP4	710
KCNAB2	842
CHD5	0
RPL22	12903
107985733	124
RNF207-AS1	9
RNF207	318
ICMT	7073
LINC00337	10
GPR153	692
ACOT7	1388
HES2	32
ESPN	2320
TNFRSF25	767
PLEKHG5	286
NOL9	839
TAS1R1	7
LOC107984912	1
ZBTB48	1198
KLHL21	852
LOC107984913	7
PHF13	1067
THAP3	1259
DNAJC11	1699
CAMTA1-DT	18
CAMTA1	1639
LOC105376689	74
VAMP3	3505
PER3	1049
UTS2	324
TNFRSF9	92
PARK7	9368
ERRFI1	2489
LOC107984915	2
LINC01714	2
SLC45A1	22
RERE	3342
