GeneID	RNA-seq_normal_lung48
DDX11L1	5
WASH7P	1346
MIR6859-1	27
LOC100996442	44
LOC729737	1355
DDX11L17	1
WASH9P	1476
MIR6859-2	10
LOC112268260	20
LOC100132287	719
LOC105378947	2
MIR12136	1224
OR4F16	6
100133331	554
107984841	43
107984847	62
107984849	26
LOC100288069	46
LINC01409	32
FAM87B	34
LINC00115	22
LINC01128	491
FAM41C	8
LOC284600	3
LINC02593	73
LOC107985728	44
SAMD11	533
NOC2L	2089
KLHL17	211
PLEKHN1	57
PERM1	13
HES4	1623
ISG15	1170
AGRN	10850
LOC100288175	30
112267874	60
LOC105378948	75
RNF223	50
C1orf159	500
LINC01342	1
MIR200B	11
MIR200A	10
MIR429	16
TTLL10-AS1	95
TTLL10	336
TNFRSF18	79
TNFRSF4	537
SDF4	6040
B3GALT6	781
C1QTNF12	79
UBE2J2	1534
LINC01786	56
SCNN1D	231
ACAP3	2424
SNORD167	13
PUSL1	304
INTS11	2605
MIR6727	18
CPTP	787
TAS1R3	64
DVL1	3133
MIR6808	8
MXRA8	3324
AURKAIP1	2391
CCNL2	5856
MRPL20-AS1	797
MRPL20	2337
107984868	23
ANKRD65	926
LOC105378585	95
TMEM88B	6
LINC01770	101
LOC107985729	62
VWA1	5064
ATAD3C	624
ATAD3B	1527
ATAD3A	807
TMEM240	99
SSU72	3503
FNDC10	267
LOC105378586	32
MIB2	3797
MMP23B	1034
CDK11B	2687
SLC35E2B	1904
MMP23A	622
CDK11A	2409
SLC35E2A	843
LOC112268218	277
NADK	1874
GNB1	8532
LOC105378949	5
CALML6	25
TMEM52	48
CFAP74	232
LOC107984872	8
LOC105378589	9
GABRD	90
LOC105378590	5
LOC105378591	2
PRKCZ	3277
PRKCZ-AS1	158
FAAP20	2568
LOC112268219	276
LOC105378593	33
SKI	4254
MORN1	297
LOC100129534	82
RER1	3373
PEX10	848
PLCH2	197
PANK4	640
HES5	15
TNFRSF14-AS1	512
TNFRSF14	3080
LOC100996583	14
PRXL2B	745
MMEL1	226
MMEL1-AS1	8
TTC34	92
LOC105378598	31
LOC107984904	3
PRDM16-DT	418
PRDM16	802
LOC105378606	5
LOC107984909	1
LOC105378604	45
ARHGEF16	545
MEGF6	5021
LOC105378608	13
105378607	8
TPRG1L	2254
WRAP73	510
TP73	216
TP73-AS3	3
TP73-AS1	1306
CCDC27	3
SMIM1	129
LRRC47	1691
CEP104	861
DFFB	238
107984910	13
C1orf174	594
LINC01134	7
AJAP1	41
LOC107984911	0
NPHP4	630
KCNAB2	1598
CHD5	20
RPL22	17837
107985733	115
RNF207-AS1	18
RNF207	437
ICMT	2214
LINC00337	5
GPR153	1066
ACOT7	822
HES2	49
ESPN	285
TNFRSF25	505
PLEKHG5	869
NOL9	883
TAS1R1	20
LOC107984912	2
ZBTB48	906
KLHL21	1291
LOC107984913	7
PHF13	545
THAP3	749
DNAJC11	933
CAMTA1-DT	7
CAMTA1	878
LOC105376689	91
VAMP3	4089
PER3	1257
UTS2	38
TNFRSF9	117
PARK7	5272
ERRFI1	3278
LOC107984915	0
LINC01714	2
SLC45A1	37
RERE	3066
RERE-AS1	8
ENO1	19353
MIR6728	1
ENO1-AS1	12
CA6	0
SLC2A5	48
GPR157	873
MIR34AHG	304
MIR34A	1
LNCTAM34A	34
H6PD	3196
SPSB1	2085
LINC02606	35
SLC25A33	574
TMEM201	403
107985734	19
PIK3CD	798
PIK3CD-AS1	3
PIK3CD-AS2	25
CLSTN1	4056
CTNNBIP1	2378
LOC105376717	114
LZIC	1025
NMNAT1	370
RBP7	501
UBE4B	1031
KIF1B	1078
105376725	8
PGD	2786
CENPS-CORT	162
CENPS	180
CORT	16
DFFA	1296
PEX14	916
CASZ1	1189
LOC105376733	1
C1orf127	44
TARDBP	3360
MASP2	161
SRM	968
EXOSC10	1849
EXOSC10-AS1	22
MTOR	1124
MTOR-AS1	13
ANGPTL7	203
UBIAD1	573
LOC105376739	22
LOC105376740	6
DISP3	1
112268221	0
FBXO2	502
FBXO44	968
FBXO6	407
MAD2L2	512
DRAXIN	13
AGTRAP	1347
C1orf167	533
MTHFR	2257
CLCN6	641
NPPA-AS1	102
NPPA	52
KIAA2013	2227
PLOD1	2100
MFN2	3388
MIIP	872
MIR6729	6
TNFRSF8	65
MIR7846	20
TNFRSF1B	2845
107984917	8
VPS13D	2123
SNORA59A	9
LINC02766	19
DHRS3	3336
MIR6730	5
AADACL4	4
C1orf158	116
LRRC38	0
PDPN	2418
PRDM2	1205
KAZN	1020
LOC107985467	1
LOC105376759	0
LOC107985469	1
TMEM51-AS1	281
TMEM51	621
TMEM51-AS2	4
FHAD1	275
FHAD1-AS1	11
LOC101927441	24
EFHD2	4025
CTRC	23
CELA2A	23
CELA2B	113
CASP9	718
DNAJC16	406
AGMAT	18
DDI2	900
RSC1A1	35
PLEKHM2	2875
SLC25A34	239
SLC25A34-AS1	15
TMEM82	0
FBLIM1	996
UQCRHL	105
FLJ37453	208
SPEN	1715
ZBTB17	1168
SRARP	0
HSPB7	362
CLCNKA	15
CLCNKB	40
FAM131C	3
EPHA2	1845
LOC101927479	63
ARHGEF19	570
ANO7L1	84
CPLANE2	93
FBXO42	766
SZRD1	2385
SPATA21	1667
NECAP2	2524
LINC01772	59
CROCCP3	230
RNU1-1	0
LINC01783	11
NBPF1	700
105376794	353
CROCCP2	328
MST1P2	136
LOC107985736	13
RNU1-3	0
ESPNP	2
MST1L	278
LOC112267871	14
LOC105376805	332
CROCC	2486
MFAP2	331
LOC105376806	82
ATP13A2	1268
SDHB	1496
PADI2	140
LINC02783	0
PADI1	7
PADI3	0
PADI4	56
PADI6	1
RCC2	1962
ARHGEF10L	1432
ACTL8	0
IGSF21	67
KLHDC7A	172
PAX7	0
ALDH4A1	449
IFFO2	704
UBR4	2968
EMC1-AS1	42
EMC1	1117
MRTO4	1056
AKR7L	23
AKR7A3	52
LOC100506730	107
AKR7A2	1398
SLC66A1	660
CAPZB	6371
MICOS10	1954
MICOS10-NBL1	10727
RPS14P3	47
NBL1	10313
HTR6	6
TMCO4	754
RNF186	0
OTUD3	580
PLA2G2A	292
PLA2G5	130
PLA2G2D	7
PLA2G2F	0
PLA2G2C	5
UBXN10	643
101928017	21
LOC105376825	75
VWA5B1	15
LINC01141	1
CAMK2N1	3928
MUL1	1184
FAM43B	32
CDA	73
PINK1	1922
MIR6084	182
PINK1-AS	2002
DDOST	4774
KIF17	188
SH2D5	6
112268222	1322
HP1BP3	2416
EIF4G3	1118
LOC105376830	1
LOC105376829	6
ECE1	2974
ECE1-AS1	10
NBPF3	249
ALPL	5328
LINC02596	5
RAP1GAP	2120
USP48	1482
LDLRAD2	3360
HSPG2	9383
LINC01635	8
LINC00339	349
CDC42-AS1	19
CDC42	8740
WNT4	199
LOC105376845	28
LOC105376850	1
LOC107985377	19
ZBTB40	1136
EPHA8	0
C1QA	15938
C1QC	10473
C1QB	12831
EPHB2	360
MIR4253	3
KDM1A	1482
LUZP1	733
HTR1D	1
LINC01355	40
HNRNPR	3274
ZNF436	541
ZNF436-AS1	80
TCEA3	1586
ASAP3	1361
E2F2	13
LOC101928163	0
LOC105376859	1
ID3	3897
MDS2	10
RPL11	38430
ELOA	1611
ELOA-AS1	172
PITHD1	1376
LOC105376860	154
LYPLA2	1515
GALE	1226
HMGCL	1145
LOC105376861	0
FUCA1	1602
CNR2	10
PNRC2	3092
SRSF10	3007
LOC105376863	15
LOC107984931	0
MYOM3	2
IL22RA1	46
IFNLR1	250
LINC02800	1
GRHL3-AS1	1
GRHL3	6
STPG1	287
NIPAL3	1140
RCAN3AS	1
RCAN3	532
NCMAP-DT	41
NCMAP	342
SRRM1	2329
CLIC4	5452
RUNX3	514
107984932	6
RUNX3-AS1	19
SYF2	1834
RSRP1	1215
LOC105376882	5
RHD	29
TMEM50A	1950
RHCE	1113
MACO1	1008
LDLRAP1	1191
MAN1C1	843
SELENON	3982
MTFR1L	1073
LOC646471	177
AUNIP	169
PAQR7	722
STMN1	1918
MIR3917	107
PAFAH2	512
101928216	1
EXTL1	17
SLC30A2	3
TRIM63	22
PDIK1L	317
FAM110D	714
ZNF593	682
CNKSR1	775
CATSPER4	8
ZPLD2P	22
CEP85	212
SH3BGRL3	4223
UBXN11	2809
CD52	2413
CRYBG2	83
ZNF683	40
DHDDS	644
DHDDS-AS1	12
HMGN2	9275
RPS6KA1	3040
LOC101928728	22
ARID1A	1653
PIGV	346
ZDHHC18	1008
SFN	1043
GPN2	951
GPATCH3	471
NUDC	3674
NR0B2	85
KDF1	351
TRNP1	667
TENT5B	1066
LOC101928391	11
SLC9A1	1773
WDTC1	2431
TMEM222	1288
ACTG1P20	20
SYTL1	1099
MAP3K6	1275
FCN3	214
CD164L2	227
GPR3	106
WASF2	3646
LOC105376892	11
AHDC1	730
FGR	1224
LINC02574	0
IFI6	4590
FAM76A	600
STX12	2336
PPP1R8	1041
THEMIS2	1952
RPA2	1279
SMPDL3B	363
XKR8	290
EYA3	492
PTAFR	1189
DNAJC8	3213
ATP5IF1	2621
SESN2	444
MED18	367
PHACTR4	1283
RCC1	450
SNHG3	495
SNORA73A	3
SNORA73B	7
TRNAU1AP	623
SNHG12	390
SNORD99	11
SNORA61	39
SNORA44	31
SNORA16A	23
RAB42	52
TAF12	545
LINC01715	7
RNU11	0
GMEB1	418
YTHDF2	2531
OPRD1	5
EPB41	1297
TMEM200B	606
SRSF4	3224
MECR	485
PTPRU	1862
LOC105378617	32
MATN1	20
MATN1-AS1	31
