GeneID	RNA-seq_LADC46
DDX11L1	0
WASH7P	719
MIR6859-1	39
LOC100996442	113
LOC729737	1256
DDX11L17	0
WASH9P	709
MIR6859-2	14
LOC112268260	11
LOC100132287	523
LOC105378947	2
MIR12136	317
OR4F16	15
100133331	446
107984841	93
107984847	137
107984849	46
LOC100288069	127
LINC01409	40
FAM87B	29
LINC00115	60
LINC01128	386
FAM41C	2
LOC284600	12
LINC02593	4
LOC107985728	2
SAMD11	141
NOC2L	2103
KLHL17	146
PLEKHN1	156
PERM1	44
HES4	19
ISG15	1202
AGRN	7889
LOC100288175	44
112267874	13
LOC105378948	155
RNF223	6
C1orf159	263
LINC01342	0
MIR200B	3
MIR200A	7
MIR429	25
TTLL10-AS1	5
TTLL10	16
TNFRSF18	40
TNFRSF4	94
SDF4	3472
B3GALT6	314
C1QTNF12	3
UBE2J2	930
LINC01786	67
SCNN1D	118
ACAP3	547
SNORD167	2
PUSL1	263
INTS11	1558
MIR6727	8
CPTP	729
TAS1R3	19
DVL1	1571
MIR6808	1
MXRA8	394
AURKAIP1	1108
CCNL2	4283
MRPL20-AS1	617
MRPL20	1527
107984868	130
ANKRD65	2076
LOC105378585	42
TMEM88B	14
LINC01770	138
LOC107985729	108
VWA1	4490
ATAD3C	784
ATAD3B	636
ATAD3A	761
TMEM240	11
SSU72	2966
FNDC10	74
LOC105378586	1
MIB2	1085
MMP23B	31
CDK11B	1308
SLC35E2B	2800
MMP23A	13
CDK11A	1118
SLC35E2A	2636
LOC112268218	158
NADK	1871
GNB1	7733
LOC105378949	8
CALML6	25
TMEM52	10
CFAP74	6
LOC107984872	0
LOC105378589	0
GABRD	6
LOC105378590	1
LOC105378591	1
PRKCZ	1002
PRKCZ-AS1	50
FAAP20	817
LOC112268219	213
LOC105378593	14
SKI	4481
MORN1	210
LOC100129534	49
RER1	4224
PEX10	1054
PLCH2	60
PANK4	448
HES5	0
TNFRSF14-AS1	555
TNFRSF14	1251
LOC100996583	7
PRXL2B	971
MMEL1	202
MMEL1-AS1	2
TTC34	49
LOC105378598	0
LOC107984904	0
PRDM16-DT	241
PRDM16	1600
LOC105378606	2
LOC107984909	5
LOC105378604	8
ARHGEF16	699
MEGF6	1262
LOC105378608	4
105378607	0
TPRG1L	2694
WRAP73	394
TP73	162
TP73-AS3	1
TP73-AS1	1061
CCDC27	12
SMIM1	97
LRRC47	1496
CEP104	1792
DFFB	240
107984910	13
C1orf174	545
LINC01134	23
AJAP1	4
LOC107984911	0
NPHP4	679
KCNAB2	787
CHD5	2
RPL22	12189
107985733	139
RNF207-AS1	31
RNF207	330
ICMT	2528
LINC00337	2
GPR153	148
ACOT7	266
HES2	0
ESPN	33
TNFRSF25	76
PLEKHG5	90
NOL9	862
TAS1R1	20
LOC107984912	4
ZBTB48	565
KLHL21	1332
LOC107984913	5
PHF13	472
THAP3	574
DNAJC11	924
CAMTA1-DT	7
CAMTA1	701
LOC105376689	83
VAMP3	4648
PER3	1087
UTS2	264
TNFRSF9	94
PARK7	4125
ERRFI1	4634
LOC107984915	0
LINC01714	5
SLC45A1	22
RERE	5835
RERE-AS1	19
ENO1	61002
MIR6728	11
ENO1-AS1	9
CA6	3
SLC2A5	174
GPR157	584
MIR34AHG	295
MIR34A	3
LNCTAM34A	15
H6PD	4234
SPSB1	491
LINC02606	39
SLC25A33	349
TMEM201	339
107985734	13
PIK3CD	1013
PIK3CD-AS1	1
PIK3CD-AS2	189
CLSTN1	6365
CTNNBIP1	1578
LOC105376717	131
LZIC	2019
NMNAT1	454
RBP7	5
UBE4B	1726
KIF1B	2601
105376725	17
PGD	3554
CENPS-CORT	306
CENPS	308
CORT	3
DFFA	2174
PEX14	512
CASZ1	1072
LOC105376733	2
C1orf127	16
TARDBP	5327
MASP2	134
SRM	634
EXOSC10	2055
EXOSC10-AS1	81
MTOR	2119
MTOR-AS1	53
ANGPTL7	9
UBIAD1	617
LOC105376739	2
LOC105376740	0
DISP3	16
112268221	1
FBXO2	701
FBXO44	1020
FBXO6	568
MAD2L2	503
DRAXIN	7
AGTRAP	1229
C1orf167	228
MTHFR	805
CLCN6	573
NPPA-AS1	112
NPPA	23
KIAA2013	1803
PLOD1	2746
MFN2	2929
MIIP	404
MIR6729	5
TNFRSF8	17
MIR7846	0
TNFRSF1B	1222
107984917	3
VPS13D	4065
SNORA59A	8
LINC02766	16
DHRS3	2057
MIR6730	0
AADACL4	0
C1orf158	3
LRRC38	0
PDPN	2017
PRDM2	3166
KAZN	948
LOC107985467	1
LOC105376759	0
LOC107985469	5
TMEM51-AS1	116
TMEM51	623
TMEM51-AS2	3
FHAD1	88
FHAD1-AS1	18
LOC101927441	6
EFHD2	2152
CTRC	1
CELA2A	1
CELA2B	14
CASP9	569
DNAJC16	1106
AGMAT	20
DDI2	2442
RSC1A1	356
PLEKHM2	1575
SLC25A34	19
SLC25A34-AS1	4
TMEM82	2
FBLIM1	1727
UQCRHL	32
FLJ37453	205
SPEN	3629
