GeneID	RNA-seq_normal_lung45
DDX11L1	9
WASH7P	1783
MIR6859-1	20
LOC100996442	51
LOC729737	1793
DDX11L17	3
WASH9P	2207
MIR6859-2	16
LOC112268260	22
LOC100132287	693
LOC105378947	3
MIR12136	588
OR4F16	8
100133331	580
107984841	93
107984847	174
107984849	42
LOC100288069	83
LINC01409	42
FAM87B	13
LINC00115	60
LINC01128	859
FAM41C	19
LOC284600	255
LINC02593	82
LOC107985728	19
SAMD11	667
NOC2L	2082
KLHL17	420
PLEKHN1	47
PERM1	22
HES4	1460
ISG15	4316
AGRN	11146
LOC100288175	28
112267874	40
LOC105378948	56
RNF223	71
C1orf159	582
LINC01342	3
MIR200B	4
MIR200A	8
MIR429	31
TTLL10-AS1	63
TTLL10	327
TNFRSF18	58
TNFRSF4	256
SDF4	5392
B3GALT6	1191
C1QTNF12	42
UBE2J2	2189
LINC01786	82
SCNN1D	365
ACAP3	2674
SNORD167	18
PUSL1	453
INTS11	3526
MIR6727	20
CPTP	1293
TAS1R3	95
DVL1	3056
MIR6808	4
MXRA8	4039
AURKAIP1	3675
CCNL2	7284
MRPL20-AS1	1278
MRPL20	2348
107984868	53
ANKRD65	1266
LOC105378585	70
TMEM88B	6
LINC01770	116
LOC107985729	37
VWA1	3635
ATAD3C	754
ATAD3B	1545
ATAD3A	794
TMEM240	105
SSU72	3044
FNDC10	291
LOC105378586	25
MIB2	4314
MMP23B	721
CDK11B	2286
SLC35E2B	2854
MMP23A	484
CDK11A	2014
SLC35E2A	1542
LOC112268218	536
NADK	2390
GNB1	11198
LOC105378949	14
CALML6	14
TMEM52	27
CFAP74	227
LOC107984872	6
LOC105378589	1
GABRD	67
LOC105378590	0
LOC105378591	0
PRKCZ	3683
PRKCZ-AS1	177
FAAP20	3624
LOC112268219	207
LOC105378593	29
SKI	4463
MORN1	365
LOC100129534	131
RER1	3065
PEX10	1113
PLCH2	165
PANK4	628
HES5	10
TNFRSF14-AS1	823
TNFRSF14	4867
LOC100996583	13
PRXL2B	698
MMEL1	304
MMEL1-AS1	10
TTC34	68
LOC105378598	38
LOC107984904	0
PRDM16-DT	506
PRDM16	720
LOC105378606	3
LOC107984909	3
LOC105378604	16
ARHGEF16	520
MEGF6	4374
LOC105378608	2
105378607	9
TPRG1L	3037
WRAP73	634
TP73	260
TP73-AS3	1
TP73-AS1	1190
CCDC27	9
SMIM1	233
LRRC47	2149
CEP104	931
DFFB	231
107984910	16
C1orf174	623
LINC01134	5
AJAP1	70
LOC107984911	0
NPHP4	396
KCNAB2	2540
CHD5	16
RPL22	17328
107985733	98
RNF207-AS1	64
RNF207	425
ICMT	1866
LINC00337	3
GPR153	1442
ACOT7	983
HES2	113
ESPN	246
TNFRSF25	487
PLEKHG5	675
NOL9	1034
TAS1R1	22
LOC107984912	4
ZBTB48	806
KLHL21	887
LOC107984913	13
PHF13	736
THAP3	1055
DNAJC11	849
CAMTA1-DT	11
CAMTA1	1287
LOC105376689	105
VAMP3	3850
PER3	689
UTS2	40
TNFRSF9	22
PARK7	4768
ERRFI1	2897
