GeneID	RNA-seq_LADC47
DDX11L1	3
WASH7P	488
MIR6859-1	18
LOC100996442	81
LOC729737	1201
DDX11L17	2
WASH9P	467
MIR6859-2	12
LOC112268260	12
LOC100132287	462
LOC105378947	5
MIR12136	763
OR4F16	6
100133331	393
107984841	94
107984847	115
107984849	44
LOC100288069	119
LINC01409	65
FAM87B	16
LINC00115	57
LINC01128	439
FAM41C	2
LOC284600	14
LINC02593	45
LOC107985728	32
SAMD11	218
NOC2L	2013
KLHL17	416
PLEKHN1	324
PERM1	63
HES4	103
ISG15	2436
AGRN	10402
LOC100288175	20
112267874	5
LOC105378948	55
RNF223	14
C1orf159	365
LINC01342	2
MIR200B	7
MIR200A	2
MIR429	8
TTLL10-AS1	5
TTLL10	11
TNFRSF18	161
TNFRSF4	331
SDF4	4023
B3GALT6	398
C1QTNF12	37
UBE2J2	1331
LINC01786	44
SCNN1D	54
ACAP3	1805
SNORD167	18
PUSL1	405
INTS11	2014
MIR6727	13
CPTP	724
TAS1R3	199
DVL1	2136
MIR6808	11
MXRA8	4609
AURKAIP1	1716
CCNL2	5589
MRPL20-AS1	488
MRPL20	1538
107984868	21
ANKRD65	728
LOC105378585	20
TMEM88B	3
LINC01770	38
LOC107985729	20
VWA1	1854
ATAD3C	70
ATAD3B	994
ATAD3A	1051
TMEM240	35
SSU72	1783
FNDC10	174
LOC105378586	15
MIB2	936
MMP23B	195
CDK11B	1724
SLC35E2B	2241
MMP23A	131
CDK11A	1310
SLC35E2A	1006
LOC112268218	227
NADK	2376
GNB1	10463
LOC105378949	6
CALML6	7
TMEM52	11
CFAP74	6
LOC107984872	1
LOC105378589	11
GABRD	59
LOC105378590	0
LOC105378591	0
PRKCZ	540
PRKCZ-AS1	36
FAAP20	842
LOC112268219	123
LOC105378593	8
SKI	3228
MORN1	104
LOC100129534	6
RER1	3088
PEX10	452
PLCH2	135
PANK4	696
HES5	0
TNFRSF14-AS1	333
TNFRSF14	1288
LOC100996583	6
PRXL2B	574
MMEL1	103
MMEL1-AS1	1
TTC34	8
LOC105378598	0
LOC107984904	0
PRDM16-DT	23
PRDM16	77
LOC105378606	2
LOC107984909	1
LOC105378604	15
ARHGEF16	849
MEGF6	1775
LOC105378608	23
105378607	0
TPRG1L	1406
WRAP73	668
TP73	119
TP73-AS3	5
TP73-AS1	911
CCDC27	0
SMIM1	22
LRRC47	1224
CEP104	962
DFFB	227
107984910	14
C1orf174	645
LINC01134	19
AJAP1	29
LOC107984911	0
NPHP4	421
KCNAB2	1568
CHD5	7
RPL22	10931
107985733	73
RNF207-AS1	8
RNF207	296
ICMT	4407
LINC00337	10
GPR153	446
ACOT7	643
HES2	120
ESPN	213
TNFRSF25	403
PLEKHG5	744
NOL9	717
TAS1R1	6
LOC107984912	1
ZBTB48	546
KLHL21	1067
LOC107984913	10
PHF13	623
THAP3	645
DNAJC11	1269
CAMTA1-DT	6
CAMTA1	875
LOC105376689	64
VAMP3	2925
PER3	585
UTS2	58
TNFRSF9	173
PARK7	4099
ERRFI1	5939
LOC107984915	0
LINC01714	7
SLC45A1	59
RERE	3908
RERE-AS1	9
ENO1	40021
MIR6728	41
ENO1-AS1	12
CA6	2
SLC2A5	1218
GPR157	551
MIR34AHG	392
MIR34A	0
LNCTAM34A	33
H6PD	3414
SPSB1	1648
LINC02606	43
SLC25A33	265
TMEM201	728
107985734	26
PIK3CD	1365
PIK3CD-AS1	1
PIK3CD-AS2	44
CLSTN1	6217
CTNNBIP1	1153
LOC105376717	150
LZIC	1020
NMNAT1	293
RBP7	138
UBE4B	1871
KIF1B	2309
105376725	4
PGD	7158
