GeneID	RNA-seq_normal_lung49
DDX11L1	4
WASH7P	1090
MIR6859-1	8
LOC100996442	42
LOC729737	596
DDX11L17	4
WASH9P	1083
MIR6859-2	4
LOC112268260	8
LOC100132287	366
LOC105378947	0
MIR12136	1220
OR4F16	1
100133331	308
107984841	27
107984847	49
107984849	16
LOC100288069	27
LINC01409	17
FAM87B	66
LINC00115	26
LINC01128	1147
FAM41C	8
LOC284600	8
LINC02593	143
LOC107985728	73
SAMD11	1001
NOC2L	2333
KLHL17	341
PLEKHN1	71
PERM1	14
HES4	2436
ISG15	1830
AGRN	14497
LOC100288175	20
112267874	31
LOC105378948	34
RNF223	45
C1orf159	417
LINC01342	3
MIR200B	7
MIR200A	3
MIR429	3
TTLL10-AS1	4
TTLL10	37
TNFRSF18	114
TNFRSF4	1745
SDF4	7266
B3GALT6	1409
C1QTNF12	37
UBE2J2	1874
LINC01786	52
SCNN1D	140
ACAP3	1401
SNORD167	3
PUSL1	365
INTS11	2810
MIR6727	5
CPTP	998
TAS1R3	58
DVL1	2635
MIR6808	7
MXRA8	6182
AURKAIP1	3110
CCNL2	5795
MRPL20-AS1	1029
MRPL20	2848
107984868	39
ANKRD65	1764
LOC105378585	102
TMEM88B	6
LINC01770	181
LOC107985729	62
VWA1	12408
ATAD3C	586
ATAD3B	1142
ATAD3A	960
TMEM240	113
SSU72	4257
FNDC10	362
LOC105378586	43
MIB2	2948
MMP23B	1138
CDK11B	2774
SLC35E2B	2596
MMP23A	731
CDK11A	1929
SLC35E2A	836
LOC112268218	282
NADK	2012
GNB1	13031
LOC105378949	22
CALML6	14
TMEM52	30
CFAP74	34
LOC107984872	1
LOC105378589	50
GABRD	210
LOC105378590	0
LOC105378591	0
PRKCZ	2727
PRKCZ-AS1	113
FAAP20	2509
LOC112268219	210
LOC105378593	11
SKI	5360
MORN1	139
LOC100129534	46
RER1	4135
PEX10	1030
PLCH2	117
PANK4	686
HES5	0
TNFRSF14-AS1	589
TNFRSF14	3452
LOC100996583	6
PRXL2B	1102
MMEL1	257
MMEL1-AS1	7
TTC34	38
LOC105378598	0
LOC107984904	0
PRDM16-DT	374
PRDM16	788
LOC105378606	8
LOC107984909	3
LOC105378604	16
ARHGEF16	611
MEGF6	7409
LOC105378608	26
105378607	2
TPRG1L	2698
WRAP73	541
TP73	70
TP73-AS3	0
TP73-AS1	1236
CCDC27	5
SMIM1	175
LRRC47	2122
CEP104	1154
DFFB	255
107984910	11
C1orf174	696
LINC01134	5
AJAP1	11
LOC107984911	0
NPHP4	548
KCNAB2	2044
CHD5	7
RPL22	25642
107985733	99
RNF207-AS1	25
RNF207	448
ICMT	3048
LINC00337	2
GPR153	1144
ACOT7	814
HES2	103
ESPN	147
TNFRSF25	859
PLEKHG5	2042
NOL9	965
