GeneID	RNA-seq_LADC34
DDX11L1	2
WASH7P	377
MIR6859-1	22
LOC100996442	72
LOC729737	1335
DDX11L17	0
WASH9P	557
MIR6859-2	14
LOC112268260	23
LOC100132287	474
LOC105378947	4
MIR12136	1196
OR4F16	11
100133331	425
107984841	76
107984847	96
107984849	56
LOC100288069	65
LINC01409	45
FAM87B	6
LINC00115	102
LINC01128	333
FAM41C	1
LOC284600	2
LINC02593	21
LOC107985728	17
SAMD11	247
NOC2L	1578
KLHL17	242
PLEKHN1	275
PERM1	43
HES4	100
ISG15	8870
AGRN	12865
LOC100288175	58
112267874	19
LOC105378948	115
RNF223	15
C1orf159	250
LINC01342	2
MIR200B	1
MIR200A	1
MIR429	5
TTLL10-AS1	21
TTLL10	42
TNFRSF18	216
TNFRSF4	295
SDF4	4080
B3GALT6	358
C1QTNF12	11
UBE2J2	926
LINC01786	52
SCNN1D	86
ACAP3	752
SNORD167	3
PUSL1	219
INTS11	1485
MIR6727	6
CPTP	809
TAS1R3	82
DVL1	1660
MIR6808	2
MXRA8	3722
AURKAIP1	1456
CCNL2	7672
MRPL20-AS1	477
MRPL20	1076
107984868	13
ANKRD65	614
LOC105378585	30
TMEM88B	4
LINC01770	96
LOC107985729	49
VWA1	3273
ATAD3C	363
ATAD3B	890
ATAD3A	679
TMEM240	25
SSU72	2100
FNDC10	195
LOC105378586	10
MIB2	1114
MMP23B	216
CDK11B	1466
SLC35E2B	2429
MMP23A	139
CDK11A	1022
SLC35E2A	833
LOC112268218	172
NADK	2204
GNB1	7971
LOC105378949	4
CALML6	8
TMEM52	7
CFAP74	85
LOC107984872	4
LOC105378589	7
GABRD	94
LOC105378590	0
LOC105378591	0
PRKCZ	594
PRKCZ-AS1	25
FAAP20	855
LOC112268219	101
LOC105378593	10
SKI	2924
MORN1	187
LOC100129534	32
RER1	3135
PEX10	548
PLCH2	92
PANK4	508
HES5	2
TNFRSF14-AS1	309
TNFRSF14	1531
LOC100996583	5
PRXL2B	730
MMEL1	184
MMEL1-AS1	1
TTC34	39
LOC105378598	5
LOC107984904	0
PRDM16-DT	49
PRDM16	236
LOC105378606	2
LOC107984909	1
LOC105378604	63
ARHGEF16	623
MEGF6	2327
LOC105378608	32
105378607	0
TPRG1L	1394
WRAP73	492
TP73	126
TP73-AS3	4
TP73-AS1	809
CCDC27	3
SMIM1	65
LRRC47	938
CEP104	952
DFFB	188
107984910	2
C1orf174	378
LINC01134	6
AJAP1	81
LOC107984911	3
NPHP4	417
KCNAB2	1211
CHD5	7
RPL22	7174
107985733	41
RNF207-AS1	7
RNF207	430
ICMT	3112
LINC00337	1
GPR153	302
ACOT7	473
HES2	31
ESPN	209
TNFRSF25	312
PLEKHG5	469
NOL9	491
TAS1R1	15
LOC107984912	2
ZBTB48	533
KLHL21	837
LOC107984913	4
PHF13	489
THAP3	582
DNAJC11	883
CAMTA1-DT	13
CAMTA1	799
LOC105376689	110
VAMP3	2880
PER3	1159
UTS2	232
TNFRSF9	142
PARK7	3432
ERRFI1	4470
LOC107984915	4
LINC01714	5
SLC45A1	43
RERE	3581
RERE-AS1	17
ENO1	25982
MIR6728	3
ENO1-AS1	5
CA6	1
SLC2A5	260
GPR157	300
MIR34AHG	946
MIR34A	11
LNCTAM34A	32
H6PD	2677
SPSB1	2298
LINC02606	41
SLC25A33	238
TMEM201	307
107985734	14
PIK3CD	989
PIK3CD-AS1	1
PIK3CD-AS2	103
CLSTN1	5576
CTNNBIP1	841
LOC105376717	100
LZIC	1209
NMNAT1	216
RBP7	44
UBE4B	1540
KIF1B	2207
105376725	8
PGD	4054
CENPS-CORT	138
CENPS	140
CORT	9
DFFA	1221
PEX14	631
CASZ1	537
LOC105376733	4
C1orf127	68
TARDBP	4942
MASP2	83
SRM	802
EXOSC10	1648
EXOSC10-AS1	48
MTOR	1941
MTOR-AS1	34
ANGPTL7	6
UBIAD1	400
LOC105376739	5
LOC105376740	0
DISP3	5
112268221	2
FBXO2	530
FBXO44	646
FBXO6	527
MAD2L2	460
DRAXIN	40
AGTRAP	1371
C1orf167	141
MTHFR	665
CLCN6	861
NPPA-AS1	126
NPPA	20
KIAA2013	1705
PLOD1	2907
MFN2	2869
MIIP	731
MIR6729	5
TNFRSF8	23
MIR7846	0
TNFRSF1B	1802
107984917	0
VPS13D	2369
SNORA59A	21
LINC02766	8
DHRS3	1931
MIR6730	6
AADACL4	0
C1orf158	44
LRRC38	4
PDPN	979
PRDM2	2026
KAZN	329
LOC107985467	1
LOC105376759	0
LOC107985469	2
TMEM51-AS1	147
TMEM51	783
TMEM51-AS2	7
FHAD1	327
FHAD1-AS1	41
LOC101927441	25
EFHD2	2185
CTRC	0
CELA2A	2
CELA2B	14
CASP9	358
DNAJC16	704
AGMAT	34
DDI2	1852
RSC1A1	238
PLEKHM2	2139
SLC25A34	39
SLC25A34-AS1	4
TMEM82	4
FBLIM1	1979
UQCRHL	34
FLJ37453	129
SPEN	2128
ZBTB17	824
SRARP	0
HSPB7	247
CLCNKA	10
CLCNKB	55
FAM131C	7
EPHA2	1305
LOC101927479	79
ARHGEF19	824
ANO7L1	111
CPLANE2	143
FBXO42	896
SZRD1	2216
SPATA21	1329
NECAP2	1977
LINC01772	68
CROCCP3	306
RNU1-1	0
LINC01783	21
NBPF1	943
105376794	440
CROCCP2	259
MST1P2	291
LOC107985736	49
RNU1-3	1
ESPNP	26
MST1L	838
LOC112267871	29
LOC105376805	106
CROCC	1002
MFAP2	881
LOC105376806	333
ATP13A2	1677
SDHB	1267
PADI2	604
LINC02783	6
PADI1	227
PADI3	38
PADI4	3
PADI6	1
RCC2	4032
ARHGEF10L	1686
ACTL8	0
IGSF21	149
KLHDC7A	385
PAX7	21
ALDH4A1	460
IFFO2	759
UBR4	5215
EMC1-AS1	76
EMC1	1467
MRTO4	603
AKR7L	35
AKR7A3	227
LOC100506730	51
AKR7A2	989
SLC66A1	512
CAPZB	6070
MICOS10	561
MICOS10-NBL1	4053
RPS14P3	44
NBL1	3868
HTR6	2
TMCO4	685
RNF186	3
OTUD3	728
PLA2G2A	18
PLA2G5	64
PLA2G2D	55
PLA2G2F	6
PLA2G2C	6
UBXN10	741
101928017	31
LOC105376825	27
VWA5B1	27
LINC01141	5
CAMK2N1	781
MUL1	702
FAM43B	14
CDA	67
PINK1	1022
MIR6084	37
PINK1-AS	1201
DDOST	5659
KIF17	81
SH2D5	11
112268222	1207
HP1BP3	4575
EIF4G3	3162
LOC105376830	15
LOC105376829	8
ECE1	5435
ECE1-AS1	17
NBPF3	291
ALPL	1791
LINC02596	0
RAP1GAP	3748
USP48	2669
LDLRAD2	2180
HSPG2	13616
LINC01635	7
LINC00339	268
CDC42-AS1	12
CDC42	7406
WNT4	35
LOC105376845	8
LOC105376850	1
LOC107985377	0
ZBTB40	841
EPHA8	0
C1QA	8505
C1QC	12037
C1QB	15734
EPHB2	699
MIR4253	27
KDM1A	1707
LUZP1	1448
HTR1D	20
LINC01355	504
HNRNPR	3909
ZNF436	842
ZNF436-AS1	176
TCEA3	1305
ASAP3	1184
E2F2	52
LOC101928163	0
LOC105376859	11
ID3	1252
MDS2	3
RPL11	8415
ELOA	1363
ELOA-AS1	192
PITHD1	855
LOC105376860	262
LYPLA2	1680
GALE	1501
HMGCL	845
LOC105376861	4
FUCA1	4046
CNR2	9
PNRC2	3553
SRSF10	3470
LOC105376863	1
LOC107984931	1
MYOM3	16
IL22RA1	79
IFNLR1	428
LINC02800	1
GRHL3-AS1	73
GRHL3	66
STPG1	253
NIPAL3	1130
RCAN3AS	7
RCAN3	1227
NCMAP-DT	85
NCMAP	792
SRRM1	3400
CLIC4	13161
RUNX3	385
107984932	0
RUNX3-AS1	31
SYF2	1413
RSRP1	3583
LOC105376882	1
RHD	25
TMEM50A	2211
RHCE	1453
MACO1	967
LDLRAP1	1001
MAN1C1	650
SELENON	4727
MTFR1L	863
LOC646471	214
AUNIP	228
PAQR7	376
STMN1	2875
MIR3917	240
PAFAH2	958
101928216	13
EXTL1	32
SLC30A2	118
TRIM63	9
PDIK1L	819
FAM110D	25
ZNF593	401
CNKSR1	798
CATSPER4	2
ZPLD2P	24
CEP85	566
SH3BGRL3	4084
UBXN11	925
CD52	445
CRYBG2	90
ZNF683	172
DHDDS	892
DHDDS-AS1	11
HMGN2	5638
RPS6KA1	1867
LOC101928728	10
ARID1A	2298
PIGV	379
ZDHHC18	1016
SFN	1715
GPN2	785
GPATCH3	280
NUDC	2331
NR0B2	61
KDF1	245
TRNP1	788
TENT5B	48
LOC101928391	11
SLC9A1	1536
WDTC1	2561
TMEM222	622
ACTG1P20	38
SYTL1	1015
MAP3K6	1176
FCN3	64
CD164L2	54
GPR3	43
WASF2	3533
LOC105376892	4
AHDC1	1518
FGR	731
LINC02574	0
IFI6	20996
FAM76A	507
STX12	2297
PPP1R8	1057
THEMIS2	1477
RPA2	1057
SMPDL3B	919
XKR8	221
EYA3	579
PTAFR	1225
DNAJC8	2242
ATP5IF1	1322
SESN2	922
MED18	250
PHACTR4	1711
RCC1	1361
SNHG3	538
SNORA73A	13
SNORA73B	26
TRNAU1AP	398
SNHG12	509
SNORD99	29
SNORA61	85
SNORA44	23
SNORA16A	33
RAB42	200
TAF12	701
LINC01715	2
RNU11	0
GMEB1	355
YTHDF2	1995
OPRD1	43
EPB41	2452
TMEM200B	486
SRSF4	2417
MECR	367
PTPRU	1206
LOC105378617	2
MATN1	22
MATN1-AS1	63
LAPTM5	16849
MIR4420	5
LOC105378620	22
LINC01778	5
SDC3	4197
PUM1	3697
SNORD103A	14
SNORD103B	16
LOC107984935	0
NKAIN1	14
SNRNP40	724
ZCCHC17	730
FABP3	678
SERINC2	4585
LOC105378625	80
LOC105379772	98
LDC1P	20
LINC01226	55
LOC105378626	191
TINAGL1	1462
HCRTR1	151
PEF1	1339
PEF1-AS1	108
105378628	5
COL16A1	2153
LOC101929444	51
ADGRB2	157
SPOCD1	205
PTP4A2	5642
KHDRBS1	3123
TMEM39B	485
KPNA6	2272
TXLNA	2414
CCDC28B	115
TMEM234	377
IQCC	108
DCDC2B	132
EIF3I	3163
MTMR9LP	295
FAM167B	121
LCK	422
HDAC1	2980
MARCKSL1	2834
LOC105378629	4
TSSK3	85
FAM229A	29
BSDC1	1962
ZBTB8B	6
ZBTB8A	377
LOC102723870	1
ZBTB8OS	616
RBBP4	4050
SYNC	1304
KIAA1522	3286
YARS1	3134
S100PBP	847
FNDC5	172
HPCA	58
TMEM54	724
LOC105378632	1
RNF19B	1044
AK2	3316
AZIN2	247
112268224	8
TRIM62	229
ZNF362	1039
A3GALT2	7
PHC2	3385
MIR3605	113
PHC2-AS1	9
ZSCAN20	161
CSMD2	138
105378640	0
LOC105378641	0
LOC105378642	5
GJB5	2
GJB4	8
GJB3	10
GJA4	417
SMIM12	609
DLGAP3	22
GPR199P	75
TMEM35B	741
ZMYM6	1051
ZMYM1	537
LOC105378644	10
SFPQ	6387
ZMYM4	2208
ZMYM4-AS1	40
KIAA0319L	2894
NCDN	883
TFAP2E	88
TFAP2E-AS1	9
PSMB2	2400
C1orf216	492
CLSPN	154
AGO4	1396
AGO1	1277
AGO3	1301
TEKT2	146
ADPRS	731
COL8A2	2391
TRAPPC3	1197
MAP7D1	2704
THRAP3	3859
SH3D21	297
EVA1B	460
STK40	1673
LSM10	555
OSCP1	215
MRPS15	905
CSF3R	1052
GRIK3	8
LINC01137	192
ZC3H12A	676
MIR6732	24
MEAF6	2617
MIR5581	11
LOC105378649	38
SNIP1	468
DNALI1	920
GNL2	1349
RSPO1	12
C1orf109	386
CDCA8	156
EPHA10	205
MANEAL	138
YRDC	289
C1orf122	409
MTF1	628
INPP5B	659
LOC105378651	19
SF3A3	1646
FHL3	555
UTP11	696
POU3F1	12
MIR3659HG	1
LOC105378657	0
RRAGC	1171
GJA9-MYCBP	404
MYCBP	391
LOC105378663	6
GJA9	15
RHBDL2	193
LOC105378662	38
AKIRIN1	1276
NDUFS5	1822
MACF1	11352
643314	302
105378950	2
BMP8A	761
OXCT2P1	28
PPIEL	253
PABPC4	2828
PABPC4-AS1	477
SNORA55	14
HEYL	815
NT5C1A	1
HPCAL4	10
PPIE	1023
BMP8B	136
OXCT2	29
LOC101929536	1
105378951	35
LINC02811	8
105378665	5
TRIT1	611
MYCL	84
MYCL-AS1	7
MFSD2A	336
CAP1	7978
PPT1	11798
RLF	892
TMCO2	0
ZMPSTE24	2781
COL9A2	599
107984945	17
SMAP2	1846
ZFP69B	125
ZFP69	163
LOC105378672	5
EXO5	248
ZNF684	130
RIMS3	463
LOC105378675	13
NFYC-AS1	240
NFYC	1470
KCNQ4	80
CITED4	47
CTPS1	750
SLFNL1-AS1	182
SLFNL1	55
SCMH1	1103
FOXO6	95
FOXO6-AS1	9
LOC105378678	14
EDN2	81
HIVEP3	499
GUCA2B	2
GUCA2A	4
FOXJ3	2063
RIMKLA	58
ZMYND12	76
CCDC30	510
PPCS	1649
PPIH	533
YBX1	10296
CLDN19	0
P3H1	1098
C1orf50	229
TMEM269-DT	10
TMEM269	6
LOC107984946	1
SVBP	184
ERMAP	546
ZNF691	313
LOC339539	2
SLC2A1	1730
SLC2A1-AS1	15
FAM183A	108
EBNA1BP2	982
CFAP57	140
LOC105378685	10
TMEM125	1423
C1orf210	391
TIE1	726
MPL	20
LOC105378687	14
CDC20	139
ELOVL1	2182
MIR6734	6
LOC112268225	18
MED8	870
MED8-AS1	171
SZT2	1495
SZT2-AS1	67
HYI	398
PTPRF	8072
KDM4A	1326
KDM4A-AS1	169
ST3GAL3	331
ARTN	18
LOC105378688	31
LOC101929609	104
IPO13	911
DPH2	459
ATP6V0B	2409
B4GALT2	1055
CCDC24	359
SLC6A9	734
LOC107984948	6
KLF17	6
DMAP1	719
ERI3	858
ERI3-IT1	42
RNF220	917
LOC107984950	314
TMEM53	287
ARMH1	62
LOC105378690	10
RNU5F-1	1
RNU5D-1	0
KIF2C	170
RPS8	11933
SNORD55	53
SNORD46	14
SNORD38A	33
SNORD38B	27
BEST4	56
PLK3	528
DYNLT4	82
BTBD19	156
LOC107984952	17
PTCH2	84
EIF2B3	496
HECTD3	1183
UROD	1351
ZSWIM5	370
LOC105378691	10
LINC01144	10
HPDL	12
MUTYH	335
TOE1	200
TESK2	139
CCDC163	56
MMACHC	1691
PRDX1	6543
AKR1A1	2903
NASP	2281
CCDC17	252
GPBP1L1	3504
RPS15AP10	22
TMEM69	475
IPP	292
MAST2	2357
P3R3URF-PIK3R3	606
PIK3R3	665
LOC101929626	7
TSPAN1	850
POMGNT1	1456
LURAP1	52
RAD54L	125
LRRC41	2365
UQCRH	1395
NSUN4	601
