GeneID	RNA-seq_normal_lung42
DDX11L1	3
WASH7P	826
MIR6859-1	17
LOC100996442	54
LOC729737	708
DDX11L17	4
WASH9P	1039
MIR6859-2	9
LOC112268260	25
LOC100132287	543
LOC105378947	3
MIR12136	2588
OR4F16	3
100133331	406
107984841	95
107984847	133
107984849	22
LOC100288069	70
LINC01409	28
FAM87B	29
LINC00115	68
LINC01128	835
FAM41C	6
LOC284600	194
LINC02593	29
LOC107985728	17
SAMD11	404
NOC2L	1494
KLHL17	289
PLEKHN1	50
PERM1	15
HES4	1432
ISG15	2468
AGRN	7587
LOC100288175	9
112267874	17
LOC105378948	17
RNF223	33
C1orf159	419
LINC01342	1
MIR200B	0
MIR200A	4
MIR429	6
TTLL10-AS1	46
TTLL10	94
TNFRSF18	46
TNFRSF4	414
SDF4	4560
B3GALT6	582
C1QTNF12	42
UBE2J2	1292
LINC01786	39
SCNN1D	158
ACAP3	1886
SNORD167	13
PUSL1	285
INTS11	2104
MIR6727	12
CPTP	688
TAS1R3	64
DVL1	2653
MIR6808	2
MXRA8	2731
AURKAIP1	1982
CCNL2	6139
MRPL20-AS1	682
MRPL20	1666
107984868	7
ANKRD65	252
LOC105378585	25
TMEM88B	2
LINC01770	63
LOC107985729	19
VWA1	1850
ATAD3C	315
ATAD3B	1037
ATAD3A	582
TMEM240	95
SSU72	2620
FNDC10	116
LOC105378586	13
MIB2	2554
MMP23B	637
CDK11B	2226
SLC35E2B	1407
MMP23A	381
CDK11A	1849
SLC35E2A	1122
LOC112268218	196
NADK	1427
GNB1	10047
LOC105378949	10
CALML6	5
TMEM52	9
CFAP74	29
LOC107984872	1
LOC105378589	1
GABRD	41
LOC105378590	9
LOC105378591	2
PRKCZ	2741
PRKCZ-AS1	159
FAAP20	1895
LOC112268219	144
LOC105378593	15
SKI	4338
MORN1	141
LOC100129534	57
RER1	2621
PEX10	832
PLCH2	125
PANK4	640
HES5	6
TNFRSF14-AS1	572
TNFRSF14	3299
LOC100996583	29
PRXL2B	725
MMEL1	261
MMEL1-AS1	3
TTC34	23
LOC105378598	3
LOC107984904	0
PRDM16-DT	280
PRDM16	349
LOC105378606	2
LOC107984909	0
LOC105378604	8
ARHGEF16	237
MEGF6	1972
LOC105378608	0
105378607	0
TPRG1L	2180
WRAP73	466
TP73	58
TP73-AS3	1
TP73-AS1	1090
CCDC27	6
SMIM1	97
LRRC47	1408
CEP104	833
DFFB	206
107984910	7
C1orf174	526
LINC01134	3
AJAP1	36
LOC107984911	0
NPHP4	438
KCNAB2	1045
CHD5	15
RPL22	13950
107985733	88
RNF207-AS1	15
RNF207	247
ICMT	1813
LINC00337	1
GPR153	1217
ACOT7	527
HES2	28
ESPN	79
TNFRSF25	402
PLEKHG5	794
NOL9	752
TAS1R1	21
LOC107984912	4
ZBTB48	749
KLHL21	1148
LOC107984913	15
PHF13	525
THAP3	736
DNAJC11	788
CAMTA1-DT	9
CAMTA1	1434
LOC105376689	102
VAMP3	4749
PER3	386
UTS2	32
TNFRSF9	39
PARK7	3965
ERRFI1	2645
LOC107984915	1
LINC01714	4
SLC45A1	60
RERE	2985
RERE-AS1	10
ENO1	10001
MIR6728	2
ENO1-AS1	9
CA6	0
SLC2A5	31
GPR157	787
MIR34AHG	231
MIR34A	1
LNCTAM34A	15
H6PD	2710
SPSB1	879
LINC02606	27
SLC25A33	349
TMEM201	337
107985734	24
PIK3CD	1035
PIK3CD-AS1	1
PIK3CD-AS2	16
CLSTN1	3449
CTNNBIP1	2050
LOC105376717	139
LZIC	1190
NMNAT1	298
