GeneID	RNA-seq_normal_lung29
DDX11L1	1
WASH7P	913
MIR6859-1	21
LOC100996442	57
LOC729737	922
DDX11L17	7
WASH9P	897
MIR6859-2	14
LOC112268260	25
LOC100132287	611
LOC105378947	5
MIR12136	948
OR4F16	4
100133331	444
107984841	93
107984847	94
107984849	51
LOC100288069	44
LINC01409	25
FAM87B	16
LINC00115	18
LINC01128	671
FAM41C	0
LOC284600	10
LINC02593	48
LOC107985728	56
SAMD11	314
NOC2L	1636
KLHL17	215
PLEKHN1	42
PERM1	13
HES4	761
ISG15	1357
AGRN	8887
LOC100288175	9
112267874	7
LOC105378948	27
RNF223	17
C1orf159	417
LINC01342	3
MIR200B	4
MIR200A	0
MIR429	10
TTLL10-AS1	10
TTLL10	52
TNFRSF18	58
TNFRSF4	302
SDF4	5302
B3GALT6	826
C1QTNF12	39
UBE2J2	1502
LINC01786	57
SCNN1D	113
ACAP3	1974
SNORD167	8
PUSL1	231
INTS11	2075
MIR6727	7
CPTP	610
TAS1R3	56
DVL1	2683
MIR6808	8
MXRA8	2460
AURKAIP1	1758
CCNL2	6391
MRPL20-AS1	608
MRPL20	1884
107984868	12
ANKRD65	312
LOC105378585	15
TMEM88B	8
LINC01770	53
LOC107985729	29
VWA1	2553
ATAD3C	335
ATAD3B	1079
ATAD3A	629
TMEM240	75
SSU72	3056
FNDC10	111
LOC105378586	15
MIB2	3060
MMP23B	551
CDK11B	2368
SLC35E2B	2300
MMP23A	313
CDK11A	1794
SLC35E2A	826
LOC112268218	266
NADK	2787
GNB1	12890
LOC105378949	17
CALML6	15
TMEM52	17
CFAP74	9
LOC107984872	2
LOC105378589	1
GABRD	34
LOC105378590	0
LOC105378591	2
PRKCZ	2420
PRKCZ-AS1	145
FAAP20	1476
LOC112268219	170
LOC105378593	24
SKI	7171
MORN1	136
LOC100129534	41
RER1	3134
PEX10	746
PLCH2	105
PANK4	795
HES5	4
TNFRSF14-AS1	613
TNFRSF14	2853
LOC100996583	8
PRXL2B	732
MMEL1	187
MMEL1-AS1	0
TTC34	22
LOC105378598	0
LOC107984904	0
PRDM16-DT	253
PRDM16	667
LOC105378606	11
LOC107984909	3
LOC105378604	28
ARHGEF16	394
MEGF6	3439
LOC105378608	1
105378607	1
TPRG1L	2085
WRAP73	509
TP73	27
TP73-AS3	0
TP73-AS1	1035
CCDC27	13
SMIM1	132
LRRC47	1543
CEP104	1297
DFFB	158
107984910	9
C1orf174	562
LINC01134	6
AJAP1	278
LOC107984911	0
NPHP4	706
KCNAB2	1782
CHD5	51
RPL22	11220
107985733	84
RNF207-AS1	13
RNF207	324
ICMT	2374
LINC00337	0
GPR153	1025
ACOT7	563
HES2	30
ESPN	38
TNFRSF25	278
PLEKHG5	691
NOL9	862
TAS1R1	5
LOC107984912	1
ZBTB48	714
KLHL21	1246
LOC107984913	8
PHF13	728
THAP3	586
DNAJC11	936
CAMTA1-DT	4
CAMTA1	1404
LOC105376689	57
VAMP3	5422
PER3	1463
UTS2	6
TNFRSF9	336
PARK7	3898
ERRFI1	8704
LOC107984915	0
LINC01714	4
SLC45A1	56
RERE	4113
RERE-AS1	19
ENO1	19502
MIR6728	14
ENO1-AS1	16
CA6	3
SLC2A5	28
GPR157	683
MIR34AHG	192
MIR34A	2
LNCTAM34A	19
H6PD	5718
SPSB1	2435
LINC02606	32
SLC25A33	823
TMEM201	412
107985734	13
PIK3CD	1419
PIK3CD-AS1	10
PIK3CD-AS2	12
CLSTN1	3860
CTNNBIP1	1925
LOC105376717	122
LZIC	1141
NMNAT1	325
RBP7	105
UBE4B	1233
KIF1B	2932
105376725	18
PGD	3198
CENPS-CORT	95
CENPS	107
CORT	11
DFFA	1523
PEX14	676
CASZ1	2278
LOC105376733	9
C1orf127	13
TARDBP	5543
MASP2	138
SRM	841
EXOSC10	1879
EXOSC10-AS1	61
MTOR	1620
MTOR-AS1	33
ANGPTL7	133
UBIAD1	580
LOC105376739	0
LOC105376740	0
DISP3	4
112268221	1
FBXO2	229
FBXO44	597
FBXO6	442
MAD2L2	690
DRAXIN	5
AGTRAP	1558
C1orf167	666
MTHFR	2630
CLCN6	882
NPPA-AS1	129
NPPA	41
KIAA2013	2260
PLOD1	2107
MFN2	4532
MIIP	660
MIR6729	6
TNFRSF8	88
MIR7846	47
TNFRSF1B	4093
107984917	16
VPS13D	3108
SNORA59A	19
LINC02766	14
DHRS3	2079
MIR6730	4
AADACL4	2
C1orf158	2
LRRC38	2
PDPN	1875
PRDM2	1888
KAZN	1474
LOC107985467	3
LOC105376759	1
LOC107985469	1
TMEM51-AS1	301
TMEM51	721
TMEM51-AS2	6
FHAD1	92
FHAD1-AS1	11
LOC101927441	33
EFHD2	5091
CTRC	29
CELA2A	31
CELA2B	80
CASP9	523
DNAJC16	658
AGMAT	35
DDI2	1497
RSC1A1	144
PLEKHM2	4048
SLC25A34	167
SLC25A34-AS1	15
TMEM82	2
FBLIM1	1112
UQCRHL	52
FLJ37453	247
SPEN	3504
ZBTB17	1596
SRARP	0
HSPB7	816
CLCNKA	4
CLCNKB	44
FAM131C	0
EPHA2	3540
LOC101927479	87
ARHGEF19	227
ANO7L1	61
CPLANE2	95
FBXO42	857
SZRD1	2789
SPATA21	1669
NECAP2	2774
LINC01772	70
CROCCP3	200
RNU1-1	1
LINC01783	4
NBPF1	900
105376794	441
CROCCP2	302
MST1P2	167
LOC107985736	14
RNU1-3	1
ESPNP	3
MST1L	186
LOC112267871	18
LOC105376805	134
CROCC	1461
MFAP2	210
LOC105376806	62
ATP13A2	1291
SDHB	1528
PADI2	292
LINC02783	0
PADI1	0
PADI3	0
PADI4	174
PADI6	2
RCC2	2077
ARHGEF10L	1170
ACTL8	0
IGSF21	61
KLHDC7A	56
PAX7	0
ALDH4A1	450
IFFO2	930
UBR4	4527
EMC1-AS1	64
EMC1	1483
MRTO4	908
AKR7L	16
AKR7A3	27
LOC100506730	109
AKR7A2	1193
SLC66A1	513
CAPZB	6291
MICOS10	1486
MICOS10-NBL1	5805
RPS14P3	42
NBL1	5401
HTR6	0
TMCO4	665
RNF186	0
OTUD3	856
PLA2G2A	145
PLA2G5	186
PLA2G2D	15
PLA2G2F	0
PLA2G2C	1
UBXN10	480
101928017	16
LOC105376825	26
VWA5B1	27
LINC01141	0
CAMK2N1	3549
MUL1	1153
FAM43B	46
CDA	129
PINK1	1967
MIR6084	203
PINK1-AS	1776
DDOST	4466
KIF17	419
SH2D5	10
112268222	1717
HP1BP3	4854
EIF4G3	2157
LOC105376830	8
LOC105376829	7
ECE1	9141
ECE1-AS1	24
NBPF3	272
ALPL	8400
LINC02596	22
RAP1GAP	1467
USP48	1868
LDLRAD2	1493
HSPG2	8195
LINC01635	3
LINC00339	231
CDC42-AS1	23
CDC42	11307
WNT4	94
LOC105376845	9
LOC105376850	0
LOC107985377	4
ZBTB40	1445
