GeneID	RNA-seq_LADC29
DDX11L1	32
WASH7P	1039
MIR6859-1	33
LOC100996442	49
LOC729737	2183
DDX11L17	41
WASH9P	1324
MIR6859-2	38
LOC112268260	19
LOC100132287	923
LOC105378947	6
MIR12136	1365
OR4F16	7
100133331	880
107984841	112
107984847	178
107984849	60
LOC100288069	55
LINC01409	29
FAM87B	20
LINC00115	40
LINC01128	716
FAM41C	5
LOC284600	19
LINC02593	86
LOC107985728	61
SAMD11	388
NOC2L	3431
KLHL17	371
PLEKHN1	613
PERM1	112
HES4	710
ISG15	3876
AGRN	21422
LOC100288175	105
112267874	88
LOC105378948	392
RNF223	639
C1orf159	578
LINC01342	0
MIR200B	28
MIR200A	25
MIR429	94
TTLL10-AS1	9
TTLL10	32
TNFRSF18	232
TNFRSF4	271
SDF4	8522
B3GALT6	752
C1QTNF12	23
UBE2J2	2081
LINC01786	150
SCNN1D	358
ACAP3	3159
SNORD167	14
PUSL1	621
INTS11	3574
MIR6727	17
CPTP	1363
TAS1R3	53
DVL1	3655
MIR6808	18
MXRA8	5224
AURKAIP1	2921
CCNL2	8885
MRPL20-AS1	780
MRPL20	1859
107984868	288
ANKRD65	1079
LOC105378585	45
TMEM88B	3
LINC01770	207
LOC107985729	115
VWA1	8136
ATAD3C	1080
ATAD3B	1583
ATAD3A	1534
TMEM240	125
SSU72	4294
FNDC10	145
LOC105378586	12
MIB2	4475
MMP23B	400
CDK11B	2364
SLC35E2B	4957
MMP23A	251
CDK11A	1601
SLC35E2A	1425
LOC112268218	491
NADK	4803
GNB1	11292
LOC105378949	15
CALML6	36
TMEM52	220
CFAP74	2
LOC107984872	2
LOC105378589	0
GABRD	43
LOC105378590	1
LOC105378591	9
PRKCZ	3396
PRKCZ-AS1	303
FAAP20	2231
LOC112268219	229
LOC105378593	16
SKI	6125
MORN1	300
LOC100129534	301
RER1	5237
PEX10	1084
PLCH2	112
PANK4	1015
HES5	18
TNFRSF14-AS1	1183
TNFRSF14	2727
LOC100996583	5
PRXL2B	1003
MMEL1	194
MMEL1-AS1	4
TTC34	100
LOC105378598	0
LOC107984904	0
PRDM16-DT	371
PRDM16	1501
LOC105378606	14
LOC107984909	11
LOC105378604	44
ARHGEF16	2180
MEGF6	7281
LOC105378608	21
105378607	2
TPRG1L	3126
WRAP73	702
TP73	99
TP73-AS3	0
TP73-AS1	1537
CCDC27	4
SMIM1	327
LRRC47	1987
CEP104	1475
DFFB	230
107984910	24
C1orf174	717
LINC01134	14
AJAP1	62
LOC107984911	0
NPHP4	826
KCNAB2	954
CHD5	7
RPL22	8418
107985733	90
RNF207-AS1	22
RNF207	242
ICMT	2314
LINC00337	0
GPR153	990
ACOT7	397
HES2	28
ESPN	673
TNFRSF25	725
PLEKHG5	856
NOL9	604
TAS1R1	20
LOC107984912	3
ZBTB48	859
KLHL21	1764
LOC107984913	20
PHF13	1233
THAP3	802
DNAJC11	1059
CAMTA1-DT	4
CAMTA1	1643
LOC105376689	98
VAMP3	3909
PER3	1372
UTS2	6
TNFRSF9	131
PARK7	3799
ERRFI1	7131
LOC107984915	0
LINC01714	14
SLC45A1	38
RERE	4248
RERE-AS1	15
ENO1	30118
MIR6728	6
ENO1-AS1	17
CA6	0
SLC2A5	18
GPR157	643
MIR34AHG	517
MIR34A	8
LNCTAM34A	15
H6PD	2988
SPSB1	2214
LINC02606	36
SLC25A33	783
TMEM201	407
107985734	13
PIK3CD	906
PIK3CD-AS1	6
PIK3CD-AS2	221
CLSTN1	4122
CTNNBIP1	3161
LOC105376717	292
LZIC	1003
NMNAT1	229
RBP7	45
UBE4B	1690
KIF1B	2119
105376725	4
PGD	3730
CENPS-CORT	321
CENPS	320
CORT	17
DFFA	1429
PEX14	991
CASZ1	6053
LOC105376733	4
C1orf127	76
TARDBP	5446
MASP2	242
SRM	1169
EXOSC10	2123
EXOSC10-AS1	68
MTOR	2167
MTOR-AS1	46
ANGPTL7	32
UBIAD1	738
LOC105376739	0
LOC105376740	0
DISP3	9
112268221	0
FBXO2	963
FBXO44	1432
FBXO6	924
MAD2L2	851
DRAXIN	5
AGTRAP	2160
C1orf167	685
MTHFR	2453
CLCN6	1244
NPPA-AS1	273
NPPA	91
KIAA2013	3692
PLOD1	4577
MFN2	5290
MIIP	783
MIR6729	3
TNFRSF8	40
MIR7846	50
TNFRSF1B	3045
107984917	6
VPS13D	3694
SNORA59A	28
LINC02766	12
DHRS3	3562
MIR6730	1
AADACL4	2
C1orf158	0
LRRC38	2
PDPN	1562
PRDM2	3087
KAZN	774
LOC107985467	1
LOC105376759	1
LOC107985469	0
TMEM51-AS1	157
TMEM51	943
TMEM51-AS2	1
FHAD1	47
FHAD1-AS1	13
LOC101927441	18
EFHD2	2610
CTRC	10
CELA2A	4
CELA2B	44
CASP9	984
DNAJC16	546
AGMAT	13
DDI2	2118
RSC1A1	291
PLEKHM2	3495
SLC25A34	123
SLC25A34-AS1	8
TMEM82	1
FBLIM1	853
