GeneID	RNA-seq_normal_lung38
DDX11L1	7
WASH7P	1431
MIR6859-1	37
LOC100996442	55
LOC729737	978
DDX11L17	0
WASH9P	1649
MIR6859-2	19
LOC112268260	22
LOC100132287	605
LOC105378947	4
MIR12136	892
OR4F16	4
100133331	519
107984841	164
107984847	300
107984849	62
LOC100288069	98
LINC01409	36
FAM87B	13
LINC00115	49
LINC01128	671
FAM41C	12
LOC284600	203
LINC02593	55
LOC107985728	42
SAMD11	423
NOC2L	1887
KLHL17	326
PLEKHN1	36
PERM1	24
HES4	959
ISG15	1253
AGRN	12335
LOC100288175	14
112267874	22
LOC105378948	65
RNF223	42
C1orf159	522
LINC01342	14
MIR200B	12
MIR200A	11
MIR429	21
TTLL10-AS1	140
TTLL10	404
TNFRSF18	29
TNFRSF4	210
SDF4	5569
B3GALT6	790
C1QTNF12	36
UBE2J2	1628
LINC01786	56
SCNN1D	167
ACAP3	2210
SNORD167	23
PUSL1	360
INTS11	2768
MIR6727	16
CPTP	975
TAS1R3	71
DVL1	3081
MIR6808	7
MXRA8	2803
AURKAIP1	2155
CCNL2	6288
MRPL20-AS1	960
MRPL20	1885
107984868	39
ANKRD65	1070
LOC105378585	91
TMEM88B	6
LINC01770	64
LOC107985729	23
VWA1	3141
ATAD3C	552
ATAD3B	1215
ATAD3A	698
TMEM240	95
SSU72	3254
FNDC10	192
LOC105378586	22
MIB2	3399
MMP23B	844
CDK11B	2140
SLC35E2B	3750
MMP23A	511
CDK11A	1609
SLC35E2A	1451
LOC112268218	288
NADK	2325
GNB1	11604
LOC105378949	18
CALML6	15
TMEM52	25
CFAP74	369
LOC107984872	7
LOC105378589	5
GABRD	40
LOC105378590	4
LOC105378591	3
PRKCZ	3709
PRKCZ-AS1	222
FAAP20	2090
LOC112268219	225
LOC105378593	38
SKI	5072
MORN1	330
LOC100129534	97
RER1	3700
PEX10	892
PLCH2	297
PANK4	766
HES5	15
TNFRSF14-AS1	685
TNFRSF14	2875
LOC100996583	30
PRXL2B	996
MMEL1	258
MMEL1-AS1	4
TTC34	99
LOC105378598	22
LOC107984904	2
PRDM16-DT	516
PRDM16	938
LOC105378606	10
LOC107984909	4
LOC105378604	37
ARHGEF16	553
MEGF6	4351
LOC105378608	29
105378607	8
TPRG1L	2804
WRAP73	576
TP73	325
TP73-AS3	0
TP73-AS1	1457
CCDC27	7
SMIM1	133
LRRC47	2006
CEP104	1409
DFFB	230
107984910	18
C1orf174	621
LINC01134	7
AJAP1	79
LOC107984911	5
NPHP4	631
KCNAB2	1824
CHD5	40
RPL22	17317
107985733	133
RNF207-AS1	13
RNF207	321
ICMT	2906
LINC00337	0
GPR153	1110
ACOT7	754
HES2	100
ESPN	289
TNFRSF25	327
PLEKHG5	688
NOL9	961
TAS1R1	11
LOC107984912	1
ZBTB48	773
KLHL21	1777
LOC107984913	22
PHF13	466
THAP3	874
DNAJC11	1094
CAMTA1-DT	10
CAMTA1	971
LOC105376689	60
VAMP3	5131
PER3	837
UTS2	42
TNFRSF9	32
PARK7	4435
ERRFI1	3005
LOC107984915	0
LINC01714	2
SLC45A1	58
RERE	4232
RERE-AS1	10
ENO1	16060
MIR6728	1
ENO1-AS1	17
CA6	0
SLC2A5	18
GPR157	890
MIR34AHG	263
MIR34A	4
LNCTAM34A	24
H6PD	3823
SPSB1	737
LINC02606	41
SLC25A33	302
TMEM201	482
107985734	16
PIK3CD	1351
PIK3CD-AS1	3
PIK3CD-AS2	33
CLSTN1	5058
CTNNBIP1	3104
LOC105376717	179
LZIC	1240
NMNAT1	419
RBP7	102
UBE4B	1768
KIF1B	2036
105376725	15
PGD	2785
CENPS-CORT	205
CENPS	232
CORT	12
DFFA	1842
PEX14	899
CASZ1	2303
LOC105376733	8
C1orf127	58
TARDBP	4761
MASP2	251
SRM	803
EXOSC10	2108
EXOSC10-AS1	55
MTOR	1674
MTOR-AS1	28
ANGPTL7	180
UBIAD1	582
LOC105376739	26
LOC105376740	22
DISP3	9
112268221	0
FBXO2	436
FBXO44	894
