GeneID	RNA-seq_LADC48
DDX11L1	2
WASH7P	1405
MIR6859-1	70
LOC100996442	54
LOC729737	1241
DDX11L17	1
WASH9P	1589
MIR6859-2	50
LOC112268260	22
LOC100132287	655
LOC105378947	4
MIR12136	1895
OR4F16	10
100133331	570
107984841	40
107984847	61
107984849	19
LOC100288069	55
LINC01409	75
FAM87B	16
LINC00115	201
LINC01128	396
FAM41C	116
LOC284600	26
LINC02593	85
LOC107985728	40
SAMD11	555
NOC2L	3419
KLHL17	354
PLEKHN1	397
PERM1	121
HES4	92
ISG15	2442
AGRN	22679
LOC100288175	94
112267874	41
LOC105378948	327
RNF223	24
C1orf159	716
LINC01342	1
MIR200B	5
MIR200A	3
MIR429	17
TTLL10-AS1	16
TTLL10	71
TNFRSF18	199
TNFRSF4	466
SDF4	7449
B3GALT6	509
C1QTNF12	13
UBE2J2	1546
LINC01786	82
SCNN1D	321
ACAP3	1926
SNORD167	10
PUSL1	413
INTS11	3393
MIR6727	26
CPTP	1342
TAS1R3	30
DVL1	3378
MIR6808	15
MXRA8	3036
AURKAIP1	3009
CCNL2	11787
MRPL20-AS1	1124
MRPL20	2426
107984868	15
ANKRD65	745
LOC105378585	37
TMEM88B	1
LINC01770	241
LOC107985729	114
VWA1	7729
ATAD3C	285
ATAD3B	1548
ATAD3A	1265
TMEM240	75
SSU72	4215
FNDC10	1636
LOC105378586	108
MIB2	2927
MMP23B	273
CDK11B	3276
SLC35E2B	3686
MMP23A	165
CDK11A	2454
SLC35E2A	1491
LOC112268218	384
NADK	3597
GNB1	11164
LOC105378949	2
CALML6	56
TMEM52	49
CFAP74	69
LOC107984872	15
LOC105378589	4
GABRD	75
LOC105378590	0
LOC105378591	0
PRKCZ	1529
PRKCZ-AS1	91
FAAP20	2165
LOC112268219	330
LOC105378593	15
SKI	3935
MORN1	183
LOC100129534	94
RER1	5135
PEX10	1109
PLCH2	150
PANK4	987
HES5	3
TNFRSF14-AS1	840
TNFRSF14	2895
LOC100996583	12
PRXL2B	1210
MMEL1	391
MMEL1-AS1	3
TTC34	71
LOC105378598	8
LOC107984904	0
PRDM16-DT	264
PRDM16	831
LOC105378606	4
LOC107984909	4
LOC105378604	19
ARHGEF16	2079
MEGF6	6799
LOC105378608	18
105378607	8
TPRG1L	2549
WRAP73	1105
TP73	169
TP73-AS3	1
TP73-AS1	1392
CCDC27	15
SMIM1	171
LRRC47	2131
CEP104	1383
DFFB	279
107984910	16
C1orf174	831
LINC01134	9
AJAP1	14
LOC107984911	1
NPHP4	619
KCNAB2	1156
CHD5	9
RPL22	13369
107985733	96
RNF207-AS1	22
RNF207	522
ICMT	3362
LINC00337	5
GPR153	603
ACOT7	556
HES2	38
ESPN	302
TNFRSF25	740
PLEKHG5	792
NOL9	700
TAS1R1	12
LOC107984912	1
ZBTB48	1241
KLHL21	825
LOC107984913	4
PHF13	708
THAP3	1110
DNAJC11	1421
CAMTA1-DT	27
CAMTA1	1542
LOC105376689	311
VAMP3	4240
PER3	2653
UTS2	173
TNFRSF9	115
PARK7	6907
ERRFI1	4584
LOC107984915	0
LINC01714	4
SLC45A1	36
RERE	4786
RERE-AS1	9
ENO1	63240
MIR6728	9
ENO1-AS1	10
CA6	0
SLC2A5	108
GPR157	469
MIR34AHG	611
MIR34A	5
LNCTAM34A	54
H6PD	2869
SPSB1	1669
LINC02606	48
SLC25A33	339
TMEM201	498
107985734	25
PIK3CD	1142
PIK3CD-AS1	3
PIK3CD-AS2	106
CLSTN1	8114
CTNNBIP1	2117
LOC105376717	197
LZIC	1634
NMNAT1	341
RBP7	67
