GeneID	RNA-seq_LADC23
DDX11L1	88
WASH7P	1567
MIR6859-1	94
LOC100996442	136
LOC729737	2344
DDX11L17	296
WASH9P	1746
MIR6859-2	63
LOC112268260	154
LOC100132287	1041
LOC105378947	99
MIR12136	479
OR4F16	28
100133331	1057
107984841	481
107984847	563
107984849	163
LOC100288069	261
LINC01409	76
FAM87B	12
LINC00115	101
LINC01128	411
FAM41C	23
LOC284600	275
LINC02593	74
LOC107985728	66
SAMD11	288
NOC2L	2280
KLHL17	533
PLEKHN1	177
PERM1	64
HES4	50
ISG15	897
AGRN	8748
LOC100288175	63
112267874	27
LOC105378948	197
RNF223	17
C1orf159	618
LINC01342	21
MIR200B	15
MIR200A	20
MIR429	57
TTLL10-AS1	74
TTLL10	193
TNFRSF18	159
TNFRSF4	144
SDF4	3529
B3GALT6	488
C1QTNF12	21
UBE2J2	1206
LINC01786	291
SCNN1D	759
ACAP3	2292
SNORD167	43
PUSL1	300
INTS11	2594
MIR6727	15
CPTP	650
TAS1R3	98
DVL1	2171
MIR6808	7
MXRA8	1794
AURKAIP1	1333
CCNL2	7727
MRPL20-AS1	676
MRPL20	1472
107984868	29
ANKRD65	1463
LOC105378585	64
TMEM88B	16
LINC01770	288
LOC107985729	229
VWA1	3520
ATAD3C	404
ATAD3B	1757
ATAD3A	695
TMEM240	22
SSU72	1813
FNDC10	425
LOC105378586	70
MIB2	2219
MMP23B	216
CDK11B	2181
SLC35E2B	4681
MMP23A	132
CDK11A	1746
SLC35E2A	1875
LOC112268218	180
NADK	3072
GNB1	6174
LOC105378949	19
CALML6	50
TMEM52	51
CFAP74	284
LOC107984872	19
LOC105378589	2
GABRD	58
LOC105378590	1
LOC105378591	1
PRKCZ	1335
PRKCZ-AS1	122
FAAP20	1060
LOC112268219	264
LOC105378593	41
SKI	2842
MORN1	422
LOC100129534	208
RER1	3519
PEX10	722
PLCH2	153
PANK4	1070
HES5	8
TNFRSF14-AS1	694
TNFRSF14	3267
LOC100996583	15
PRXL2B	1140
MMEL1	354
MMEL1-AS1	5
TTC34	111
LOC105378598	31
LOC107984904	2
PRDM16-DT	1268
PRDM16	1835
LOC105378606	54
LOC107984909	15
LOC105378604	20
ARHGEF16	1307
MEGF6	3448
LOC105378608	31
105378607	9
TPRG1L	1538
WRAP73	675
TP73	249
TP73-AS3	0
TP73-AS1	1744
CCDC27	3
SMIM1	102
LRRC47	1592
CEP104	1345
DFFB	313
107984910	4
C1orf174	556
LINC01134	13
AJAP1	29
LOC107984911	0
NPHP4	858
KCNAB2	1083
CHD5	4
RPL22	6587
107985733	94
RNF207-AS1	18
RNF207	998
ICMT	2083
LINC00337	2
GPR153	388
ACOT7	278
HES2	20
ESPN	786
TNFRSF25	1086
PLEKHG5	1577
NOL9	883
TAS1R1	34
LOC107984912	4
ZBTB48	771
KLHL21	1056
LOC107984913	16
PHF13	625
THAP3	743
DNAJC11	1214
CAMTA1-DT	1
CAMTA1	931
LOC105376689	175
VAMP3	2350
PER3	401
UTS2	81
TNFRSF9	59
PARK7	3971
ERRFI1	3720
LOC107984915	1
LINC01714	0
SLC45A1	18
RERE	6114
RERE-AS1	13
ENO1	19518
MIR6728	3
ENO1-AS1	5
CA6	1
SLC2A5	114
GPR157	445
MIR34AHG	1087
MIR34A	3
LNCTAM34A	61
H6PD	4415
SPSB1	1082
LINC02606	36
SLC25A33	318
TMEM201	594
107985734	7
PIK3CD	954
PIK3CD-AS1	1
PIK3CD-AS2	108
CLSTN1	3966
CTNNBIP1	1236
LOC105376717	104
LZIC	912
NMNAT1	322
RBP7	109
UBE4B	1729
KIF1B	2409
105376725	20
PGD	3399
CENPS-CORT	277
CENPS	270
CORT	19
DFFA	1367
PEX14	688
CASZ1	2326
LOC105376733	26
C1orf127	79
TARDBP	5406
MASP2	130
SRM	667
EXOSC10	2085
EXOSC10-AS1	68
MTOR	2129
MTOR-AS1	43
ANGPTL7	13
UBIAD1	577
LOC105376739	1
LOC105376740	0
DISP3	28
112268221	4
FBXO2	192
FBXO44	1120
FBXO6	575
MAD2L2	361
DRAXIN	17
AGTRAP	1079
C1orf167	391
MTHFR	1456
CLCN6	1431
NPPA-AS1	229
NPPA	30
KIAA2013	1411
PLOD1	2476
MFN2	2632
MIIP	818
MIR6729	5
TNFRSF8	39
MIR7846	0
TNFRSF1B	1688
107984917	3
VPS13D	3500
SNORA59A	22
LINC02766	22
DHRS3	2341
MIR6730	5
AADACL4	2
C1orf158	41
LRRC38	0
PDPN	372
PRDM2	2507
KAZN	645
LOC107985467	13
LOC105376759	3
LOC107985469	2
TMEM51-AS1	173
TMEM51	613
TMEM51-AS2	3
FHAD1	260
FHAD1-AS1	59
LOC101927441	12
EFHD2	1625
CTRC	0
CELA2A	2
CELA2B	12
CASP9	537
DNAJC16	1042
AGMAT	27
DDI2	2963
RSC1A1	374
PLEKHM2	2131
SLC25A34	93
SLC25A34-AS1	6
TMEM82	12
FBLIM1	1325
UQCRHL	27
FLJ37453	171
SPEN	3484
ZBTB17	1190
SRARP	0
HSPB7	226
CLCNKA	111
CLCNKB	219
FAM131C	5
EPHA2	1480
LOC101927479	58
ARHGEF19	1954
ANO7L1	451
CPLANE2	235
FBXO42	1065
SZRD1	2052
SPATA21	1166
NECAP2	1611
LINC01772	85
CROCCP3	582
RNU1-1	0
LINC01783	28
NBPF1	1061
105376794	707
CROCCP2	394
MST1P2	815
LOC107985736	134
RNU1-3	1
ESPNP	94
MST1L	3275
LOC112267871	52
LOC105376805	162
CROCC	1719
MFAP2	367
LOC105376806	157
ATP13A2	1497
SDHB	1166
PADI2	209
LINC02783	0
PADI1	5
PADI3	2
PADI4	1
PADI6	1
RCC2	4905
ARHGEF10L	1525
ACTL8	0
IGSF21	43
KLHDC7A	937
PAX7	9
ALDH4A1	877
IFFO2	1289
UBR4	6681
EMC1-AS1	94
EMC1	1649
MRTO4	640
AKR7L	25
AKR7A3	36
LOC100506730	98
AKR7A2	1053
SLC66A1	537
CAPZB	4707
MICOS10	589
MICOS10-NBL1	2997
RPS14P3	18
NBL1	2797
HTR6	3
TMCO4	944
RNF186	4
OTUD3	567
PLA2G2A	42
PLA2G5	87
PLA2G2D	79
PLA2G2F	3
PLA2G2C	2
UBXN10	742
101928017	21
LOC105376825	13
VWA5B1	9
LINC01141	3
CAMK2N1	546
MUL1	847
FAM43B	17
CDA	53
PINK1	1114
MIR6084	43
PINK1-AS	1119
DDOST	5730
KIF17	98
SH2D5	2
112268222	1282
HP1BP3	6131
