GeneID	RNA-seq_normal_lung37
DDX11L1	5
WASH7P	1064
MIR6859-1	17
LOC100996442	43
LOC729737	493
DDX11L17	7
WASH9P	998
MIR6859-2	10
LOC112268260	13
LOC100132287	313
LOC105378947	0
MIR12136	1493
OR4F16	5
100133331	296
107984841	106
107984847	140
107984849	29
LOC100288069	81
LINC01409	26
FAM87B	13
LINC00115	29
LINC01128	537
FAM41C	6
LOC284600	5
LINC02593	28
LOC107985728	50
SAMD11	361
NOC2L	2056
KLHL17	258
PLEKHN1	51
PERM1	12
HES4	547
ISG15	1882
AGRN	12411
LOC100288175	21
112267874	12
LOC105378948	21
RNF223	54
C1orf159	386
LINC01342	0
MIR200B	0
MIR200A	4
MIR429	3
TTLL10-AS1	30
TTLL10	77
TNFRSF18	119
TNFRSF4	313
SDF4	6576
B3GALT6	1023
C1QTNF12	44
UBE2J2	1473
LINC01786	50
SCNN1D	90
ACAP3	1654
SNORD167	12
PUSL1	328
INTS11	2267
MIR6727	12
CPTP	845
TAS1R3	62
DVL1	3005
MIR6808	3
MXRA8	3507
AURKAIP1	1728
CCNL2	5028
MRPL20-AS1	663
MRPL20	1477
107984868	6
ANKRD65	517
LOC105378585	48
TMEM88B	8
LINC01770	49
LOC107985729	31
VWA1	3452
ATAD3C	367
ATAD3B	832
ATAD3A	731
TMEM240	60
SSU72	2597
FNDC10	196
LOC105378586	27
MIB2	2386
MMP23B	519
CDK11B	2311
SLC35E2B	3239
MMP23A	314
CDK11A	1620
SLC35E2A	1102
LOC112268218	280
NADK	2836
GNB1	15549
LOC105378949	45
CALML6	9
TMEM52	11
CFAP74	14
LOC107984872	2
LOC105378589	0
GABRD	22
LOC105378590	17
LOC105378591	1
PRKCZ	3759
PRKCZ-AS1	155
FAAP20	1677
LOC112268219	173
LOC105378593	7
SKI	5893
MORN1	147
LOC100129534	51
RER1	3315
PEX10	802
PLCH2	178
PANK4	907
HES5	6
TNFRSF14-AS1	742
TNFRSF14	3783
LOC100996583	13
PRXL2B	1196
MMEL1	276
MMEL1-AS1	2
TTC34	38
LOC105378598	0
LOC107984904	0
PRDM16-DT	265
PRDM16	1035
LOC105378606	3
LOC107984909	3
LOC105378604	19
ARHGEF16	480
MEGF6	4534
LOC105378608	8
105378607	2
TPRG1L	2440
WRAP73	477
TP73	51
TP73-AS3	2
TP73-AS1	1462
CCDC27	2
SMIM1	84
LRRC47	1866
CEP104	1753
DFFB	256
107984910	6
C1orf174	499
LINC01134	10
AJAP1	100
LOC107984911	0
NPHP4	913
KCNAB2	3120
CHD5	26
RPL22	12550
107985733	62
RNF207-AS1	20
RNF207	294
ICMT	2812
LINC00337	0
GPR153	848
ACOT7	908
HES2	46
ESPN	70
TNFRSF25	330
PLEKHG5	1061
NOL9	967
TAS1R1	8
LOC107984912	1
ZBTB48	686
KLHL21	1633
LOC107984913	16
PHF13	690
THAP3	663
DNAJC11	1088
CAMTA1-DT	6
CAMTA1	1303
LOC105376689	80
VAMP3	5716
PER3	667
UTS2	88
TNFRSF9	120
PARK7	4188
ERRFI1	15933
LOC107984915	0
LINC01714	1
SLC45A1	92
RERE	7896
RERE-AS1	13
ENO1	21145
MIR6728	7
ENO1-AS1	7
CA6	2
SLC2A5	34
GPR157	767
MIR34AHG	224
MIR34A	5
LNCTAM34A	27
H6PD	7484
SPSB1	1788
LINC02606	75
SLC25A33	501
TMEM201	510
107985734	9
PIK3CD	1511
PIK3CD-AS1	2
PIK3CD-AS2	32
CLSTN1	5439
CTNNBIP1	2387
LOC105376717	162
LZIC	1217
NMNAT1	386
RBP7	79
UBE4B	2217
KIF1B	3948
105376725	6
PGD	5352
CENPS-CORT	141
CENPS	151
CORT	6
DFFA	1916
PEX14	1110
CASZ1	2770
LOC105376733	9
C1orf127	25
TARDBP	5026
MASP2	111
SRM	961
EXOSC10	2106
EXOSC10-AS1	64
MTOR	2467
MTOR-AS1	53
ANGPTL7	26
UBIAD1	758
LOC105376739	3
LOC105376740	0
DISP3	11
112268221	0
FBXO2	201
FBXO44	698
FBXO6	682
MAD2L2	567
DRAXIN	25
AGTRAP	1603
C1orf167	714
MTHFR	2654
CLCN6	1264
NPPA-AS1	164
NPPA	54
KIAA2013	2781
PLOD1	3597
MFN2	5169
MIIP	835
MIR6729	3
TNFRSF8	74
MIR7846	69
TNFRSF1B	4590
107984917	12
VPS13D	5155
SNORA59A	3
LINC02766	18
DHRS3	3605
MIR6730	5
AADACL4	2
C1orf158	2
LRRC38	2
PDPN	1943
PRDM2	2444
KAZN	1430
LOC107985467	5
LOC105376759	6
LOC107985469	0
TMEM51-AS1	251
TMEM51	830
TMEM51-AS2	13
FHAD1	192
FHAD1-AS1	27
LOC101927441	26
EFHD2	4970
CTRC	8
CELA2A	2
CELA2B	19
CASP9	538
DNAJC16	761
AGMAT	30
DDI2	1785
RSC1A1	232
PLEKHM2	4077
SLC25A34	91
SLC25A34-AS1	11
TMEM82	1
FBLIM1	1872
UQCRHL	65
FLJ37453	299
SPEN	4333
ZBTB17	1463
SRARP	5
HSPB7	425
CLCNKA	9
CLCNKB	24
FAM131C	1
EPHA2	1701
LOC101927479	56
ARHGEF19	359
ANO7L1	68
CPLANE2	159
FBXO42	1148
SZRD1	3527
SPATA21	1976
NECAP2	3777
LINC01772	41
CROCCP3	258
RNU1-1	0
LINC01783	5
NBPF1	1954
105376794	1082
CROCCP2	689
MST1P2	277
LOC107985736	30
RNU1-3	0
ESPNP	4
MST1L	473
LOC112267871	8
LOC105376805	187
CROCC	1584
MFAP2	432
LOC105376806	105
ATP13A2	2068
SDHB	1362
PADI2	211
LINC02783	0
PADI1	1
PADI3	0
PADI4	56
PADI6	0
RCC2	2967
ARHGEF10L	1843
ACTL8	0
IGSF21	69
KLHDC7A	85
PAX7	0
ALDH4A1	587
IFFO2	975
UBR4	7117
EMC1-AS1	84
EMC1	1643
MRTO4	728
AKR7L	20
AKR7A3	12
LOC100506730	84
AKR7A2	1300
SLC66A1	618
CAPZB	7555
MICOS10	1415
MICOS10-NBL1	7482
RPS14P3	41
NBL1	7130
HTR6	1
TMCO4	982
RNF186	0
OTUD3	683
PLA2G2A	100
PLA2G5	232
PLA2G2D	124
PLA2G2F	0
PLA2G2C	3
UBXN10	204
101928017	15
LOC105376825	7
VWA5B1	20
LINC01141	1
CAMK2N1	3299
MUL1	1377
FAM43B	6
CDA	80
PINK1	2362
MIR6084	225
PINK1-AS	2179
DDOST	6575
KIF17	502
SH2D5	3
112268222	1705
HP1BP3	6093
EIF4G3	2679
LOC105376830	12
LOC105376829	6
ECE1	11107
ECE1-AS1	30
NBPF3	164
ALPL	6729
LINC02596	14
RAP1GAP	1764
USP48	2150
LDLRAD2	2658
HSPG2	19196
LINC01635	8
LINC00339	236
CDC42-AS1	23
CDC42	10418
WNT4	124
LOC105376845	10
LOC105376850	0
LOC107985377	10
ZBTB40	2061
EPHA8	0
C1QA	18966
C1QC	17355
C1QB	20061
EPHB2	222
MIR4253	7
KDM1A	1698
LUZP1	2175
HTR1D	8
LINC01355	64
HNRNPR	4992
ZNF436	671
ZNF436-AS1	56
TCEA3	972
ASAP3	1467
E2F2	40
LOC101928163	3
LOC105376859	8
ID3	2918
MDS2	5
RPL11	22203
ELOA	2464
ELOA-AS1	248
PITHD1	1379
LOC105376860	173
LYPLA2	1361
GALE	1018
HMGCL	1268
LOC105376861	0
FUCA1	2518
CNR2	26
PNRC2	5031
SRSF10	3642
LOC105376863	34
LOC107984931	12
MYOM3	21
IL22RA1	58
IFNLR1	343
LINC02800	7
GRHL3-AS1	2
GRHL3	9
STPG1	389
NIPAL3	2580
RCAN3AS	5
RCAN3	1027
NCMAP-DT	61
NCMAP	200
SRRM1	3628
CLIC4	12916
