GeneID	RNA-seq_LADC22
DDX11L1	3
WASH7P	1055
MIR6859-1	42
LOC100996442	92
LOC729737	2061
DDX11L17	1
WASH9P	1150
MIR6859-2	38
LOC112268260	44
LOC100132287	648
LOC105378947	1
MIR12136	1314
OR4F16	19
100133331	580
107984841	115
107984847	157
107984849	44
LOC100288069	67
LINC01409	65
FAM87B	13
LINC00115	74
LINC01128	249
FAM41C	1
LOC284600	17
LINC02593	37
LOC107985728	4
SAMD11	317
NOC2L	2958
KLHL17	364
PLEKHN1	260
PERM1	53
HES4	130
ISG15	2499
AGRN	11544
LOC100288175	53
112267874	26
LOC105378948	187
RNF223	21
C1orf159	466
LINC01342	37
MIR200B	22
MIR200A	16
MIR429	68
TTLL10-AS1	5
TTLL10	24
TNFRSF18	273
TNFRSF4	247
SDF4	3198
B3GALT6	625
C1QTNF12	13
UBE2J2	1167
LINC01786	80
SCNN1D	400
ACAP3	2267
SNORD167	16
PUSL1	352
INTS11	3205
MIR6727	16
CPTP	941
TAS1R3	324
DVL1	2308
MIR6808	8
MXRA8	2667
AURKAIP1	1809
CCNL2	10289
MRPL20-AS1	904
MRPL20	2046
107984868	290
ANKRD65	3420
LOC105378585	88
TMEM88B	9
LINC01770	199
LOC107985729	93
VWA1	4033
ATAD3C	1085
ATAD3B	1641
ATAD3A	1319
TMEM240	32
SSU72	2591
FNDC10	587
LOC105378586	43
MIB2	1838
MMP23B	142
CDK11B	2143
SLC35E2B	3297
MMP23A	74
CDK11A	1332
SLC35E2A	1082
LOC112268218	344
NADK	2918
GNB1	6186
LOC105378949	7
CALML6	47
TMEM52	37
CFAP74	8
LOC107984872	1
LOC105378589	11
GABRD	77
LOC105378590	0
LOC105378591	0
PRKCZ	848
PRKCZ-AS1	61
FAAP20	1175
LOC112268219	177
LOC105378593	8
SKI	2736
MORN1	195
LOC100129534	90
RER1	4070
PEX10	926
PLCH2	39
PANK4	735
HES5	0
TNFRSF14-AS1	411
TNFRSF14	2131
LOC100996583	11
PRXL2B	1161
MMEL1	259
MMEL1-AS1	6
TTC34	58
LOC105378598	3
LOC107984904	0
PRDM16-DT	225
PRDM16	1241
LOC105378606	9
LOC107984909	3
LOC105378604	34
ARHGEF16	1323
MEGF6	3144
LOC105378608	10
105378607	0
TPRG1L	1095
WRAP73	749
TP73	359
