GeneID	RNA-seq_LADC41
DDX11L1	0
WASH7P	1032
MIR6859-1	48
LOC100996442	73
LOC729737	816
DDX11L17	4
WASH9P	1217
MIR6859-2	49
LOC112268260	17
LOC100132287	499
LOC105378947	2
MIR12136	844
OR4F16	8
100133331	493
107984841	122
107984847	171
107984849	53
LOC100288069	157
LINC01409	57
FAM87B	20
LINC00115	46
LINC01128	395
FAM41C	1
LOC284600	13
LINC02593	63
LOC107985728	52
SAMD11	230
NOC2L	1747
KLHL17	395
PLEKHN1	364
PERM1	39
HES4	41
ISG15	982
AGRN	10174
LOC100288175	33
112267874	16
LOC105378948	129
RNF223	39
C1orf159	560
LINC01342	5
MIR200B	11
MIR200A	5
MIR429	29
TTLL10-AS1	28
TTLL10	77
TNFRSF18	312
TNFRSF4	392
SDF4	3575
B3GALT6	418
C1QTNF12	20
UBE2J2	1116
LINC01786	195
SCNN1D	446
ACAP3	1496
SNORD167	19
PUSL1	221
INTS11	2485
MIR6727	21
CPTP	768
TAS1R3	234
DVL1	3098
MIR6808	16
MXRA8	2279
AURKAIP1	1587
CCNL2	8222
MRPL20-AS1	485
MRPL20	1227
107984868	20
ANKRD65	448
LOC105378585	31
TMEM88B	1
LINC01770	112
LOC107985729	121
VWA1	2818
ATAD3C	186
ATAD3B	1296
ATAD3A	592
TMEM240	26
SSU72	1918
FNDC10	285
LOC105378586	27
MIB2	1986
MMP23B	213
CDK11B	2092
SLC35E2B	4067
MMP23A	132
CDK11A	1531
SLC35E2A	1819
LOC112268218	253
NADK	2882
GNB1	7442
LOC105378949	1
CALML6	42
TMEM52	22
CFAP74	111
LOC107984872	2
LOC105378589	4
GABRD	46
LOC105378590	0
LOC105378591	0
PRKCZ	891
PRKCZ-AS1	88
FAAP20	1150
LOC112268219	161
LOC105378593	30
SKI	4155
MORN1	214
LOC100129534	59
RER1	3082
PEX10	578
PLCH2	1696
PANK4	868
HES5	5
TNFRSF14-AS1	1062
TNFRSF14	4245
LOC100996583	31
PRXL2B	824
MMEL1	133
MMEL1-AS1	7
TTC34	69
LOC105378598	4
LOC107984904	2
PRDM16-DT	229
PRDM16	997
LOC105378606	1
LOC107984909	3
LOC105378604	5
ARHGEF16	985
MEGF6	5182
LOC105378608	103
105378607	2
TPRG1L	1384
WRAP73	734
TP73	406
TP73-AS3	2
TP73-AS1	1461
CCDC27	17
SMIM1	113
LRRC47	1498
CEP104	1293
DFFB	365
107984910	7
C1orf174	682
LINC01134	20
AJAP1	53
LOC107984911	0
NPHP4	774
KCNAB2	2002
CHD5	15
RPL22	8712
107985733	191
RNF207-AS1	17
RNF207	1139
ICMT	2207
LINC00337	1
GPR153	897
ACOT7	556
HES2	85
ESPN	290
TNFRSF25	645
PLEKHG5	659
NOL9	607
TAS1R1	8
LOC107984912	2
ZBTB48	697
KLHL21	1330
LOC107984913	10
PHF13	551
THAP3	730
DNAJC11	992
CAMTA1-DT	12
CAMTA1	795
LOC105376689	91
VAMP3	2407
PER3	637
UTS2	66
TNFRSF9	124
PARK7	3195
ERRFI1	6456
LOC107984915	0
LINC01714	0
SLC45A1	31
RERE	6055
