GeneID	RNA-seq_LADC44
DDX11L1	4
WASH7P	1047
MIR6859-1	44
LOC100996442	70
LOC729737	859
DDX11L17	0
WASH9P	1393
MIR6859-2	32
LOC112268260	25
LOC100132287	413
LOC105378947	10
MIR12136	375
OR4F16	16
100133331	374
107984841	69
107984847	105
107984849	50
LOC100288069	67
LINC01409	67
FAM87B	18
LINC00115	69
LINC01128	453
FAM41C	4
LOC284600	5
LINC02593	24
LOC107985728	14
SAMD11	181
NOC2L	1830
KLHL17	364
PLEKHN1	226
PERM1	33
HES4	75
ISG15	2703
AGRN	10370
LOC100288175	16
112267874	11
LOC105378948	103
RNF223	16
C1orf159	417
LINC01342	8
MIR200B	3
MIR200A	5
MIR429	5
TTLL10-AS1	6
TTLL10	4
TNFRSF18	254
TNFRSF4	541
SDF4	3855
B3GALT6	427
C1QTNF12	7
UBE2J2	1320
LINC01786	57
SCNN1D	122
ACAP3	1222
SNORD167	15
PUSL1	411
INTS11	2053
MIR6727	13
CPTP	982
TAS1R3	95
DVL1	1648
MIR6808	7
MXRA8	2115
AURKAIP1	1551
CCNL2	5902
MRPL20-AS1	640
MRPL20	1804
107984868	5
ANKRD65	320
LOC105378585	18
TMEM88B	2
LINC01770	84
LOC107985729	55
VWA1	2176
ATAD3C	138
ATAD3B	919
ATAD3A	745
TMEM240	17
SSU72	1817
FNDC10	448
LOC105378586	36
MIB2	1634
MMP23B	143
CDK11B	1653
SLC35E2B	2586
MMP23A	91
CDK11A	1327
SLC35E2A	1153
LOC112268218	193
NADK	3161
GNB1	7603
LOC105378949	7
CALML6	23
TMEM52	32
CFAP74	6
LOC107984872	12
LOC105378589	4
GABRD	44
LOC105378590	0
LOC105378591	0
PRKCZ	745
PRKCZ-AS1	76
FAAP20	977
LOC112268219	125
LOC105378593	7
SKI	3013
MORN1	198
LOC100129534	74
RER1	4027
PEX10	649
PLCH2	126
PANK4	766
HES5	1
TNFRSF14-AS1	578
TNFRSF14	2504
LOC100996583	18
PRXL2B	640
MMEL1	114
MMEL1-AS1	1
TTC34	25
LOC105378598	6
LOC107984904	0
PRDM16-DT	65
PRDM16	787
LOC105378606	5
LOC107984909	1
LOC105378604	36
ARHGEF16	970
MEGF6	1935
LOC105378608	13
105378607	1
TPRG1L	1254
WRAP73	766
TP73	180
TP73-AS3	14
TP73-AS1	882
CCDC27	3
SMIM1	109
LRRC47	1327
CEP104	1152
DFFB	370
107984910	9
C1orf174	504
LINC01134	13
AJAP1	23
LOC107984911	0
NPHP4	485
KCNAB2	1406
CHD5	10
RPL22	8572
107985733	169
RNF207-AS1	17
RNF207	827
ICMT	3341
LINC00337	3
GPR153	230
ACOT7	418
HES2	13
ESPN	99
TNFRSF25	538
PLEKHG5	420
NOL9	688
TAS1R1	15
LOC107984912	1
ZBTB48	628
KLHL21	1146
LOC107984913	21
PHF13	495
THAP3	637
DNAJC11	919
CAMTA1-DT	4
CAMTA1	851
LOC105376689	77
VAMP3	2595
PER3	536
UTS2	126
TNFRSF9	383
PARK7	5387
ERRFI1	1941
LOC107984915	0
LINC01714	0
SLC45A1	31
RERE	3784
RERE-AS1	16
ENO1	33282
MIR6728	6
ENO1-AS1	10
CA6	1
SLC2A5	443
GPR157	492
MIR34AHG	356
MIR34A	3
LNCTAM34A	40
H6PD	3081
SPSB1	1477
LINC02606	24
SLC25A33	275
TMEM201	486
107985734	21
PIK3CD	1136
PIK3CD-AS1	1
PIK3CD-AS2	53
CLSTN1	4492
CTNNBIP1	1368
LOC105376717	146
LZIC	1179
NMNAT1	396
RBP7	29
UBE4B	1397
KIF1B	2142
105376725	6
PGD	3109
CENPS-CORT	278
CENPS	272
CORT	39
DFFA	1157
PEX14	529
CASZ1	1813
LOC105376733	7
C1orf127	70
TARDBP	4795
MASP2	126
SRM	1117
EXOSC10	1657
