GeneID	RNA-seq_normal_lung44
DDX11L1	3
WASH7P	953
MIR6859-1	22
LOC100996442	46
LOC729737	965
DDX11L17	4
WASH9P	1192
MIR6859-2	10
LOC112268260	18
LOC100132287	386
LOC105378947	2
MIR12136	595
OR4F16	9
100133331	321
107984841	49
107984847	107
107984849	31
LOC100288069	61
LINC01409	45
FAM87B	19
LINC00115	23
LINC01128	600
FAM41C	7
LOC284600	2
LINC02593	48
LOC107985728	32
SAMD11	289
NOC2L	1774
KLHL17	323
PLEKHN1	55
PERM1	21
HES4	850
ISG15	1043
AGRN	13955
LOC100288175	15
112267874	14
LOC105378948	28
RNF223	16
C1orf159	324
LINC01342	1
MIR200B	4
MIR200A	9
MIR429	11
TTLL10-AS1	19
TTLL10	55
TNFRSF18	42
TNFRSF4	636
SDF4	5843
B3GALT6	866
C1QTNF12	24
UBE2J2	1456
LINC01786	55
SCNN1D	128
ACAP3	1408
SNORD167	13
PUSL1	263
INTS11	2138
MIR6727	15
CPTP	799
TAS1R3	38
DVL1	2535
MIR6808	4
MXRA8	2942
AURKAIP1	1821
CCNL2	5795
MRPL20-AS1	622
MRPL20	1469
107984868	16
ANKRD65	636
LOC105378585	43
TMEM88B	5
LINC01770	61
LOC107985729	41
VWA1	4587
ATAD3C	282
ATAD3B	1029
ATAD3A	685
TMEM240	66
SSU72	2755
FNDC10	264
LOC105378586	40
MIB2	2479
MMP23B	411
CDK11B	2004
SLC35E2B	3074
MMP23A	258
CDK11A	1624
SLC35E2A	1147
LOC112268218	193
NADK	2302
GNB1	11997
LOC105378949	16
CALML6	11
TMEM52	16
CFAP74	68
LOC107984872	3
LOC105378589	3
GABRD	62
LOC105378590	3
LOC105378591	1
PRKCZ	2660
PRKCZ-AS1	114
FAAP20	1562
LOC112268219	132
LOC105378593	14
SKI	5949
MORN1	169
LOC100129534	68
RER1	3406
PEX10	712
PLCH2	124
PANK4	758
HES5	4
TNFRSF14-AS1	546
TNFRSF14	2496
LOC100996583	2
PRXL2B	813
MMEL1	190
MMEL1-AS1	2
TTC34	30
LOC105378598	11
LOC107984904	1
PRDM16-DT	348
PRDM16	900
LOC105378606	4
