GeneID	RNA-seq_LADC37
DDX11L1	1
WASH7P	533
MIR6859-1	17
LOC100996442	55
LOC729737	179
DDX11L17	4
WASH9P	551
MIR6859-2	11
LOC112268260	15
LOC100132287	222
LOC105378947	8
MIR12136	1667
OR4F16	25
100133331	287
107984841	89
107984847	96
107984849	16
LOC100288069	98
LINC01409	44
FAM87B	21
LINC00115	60
LINC01128	216
FAM41C	0
LOC284600	2
LINC02593	18
LOC107985728	23
SAMD11	149
NOC2L	1478
KLHL17	237
PLEKHN1	186
PERM1	22
HES4	25
ISG15	639
AGRN	13727
LOC100288175	28
112267874	16
LOC105378948	71
RNF223	98
C1orf159	354
LINC01342	0
MIR200B	0
MIR200A	0
MIR429	1
TTLL10-AS1	1
TTLL10	11
TNFRSF18	79
TNFRSF4	146
SDF4	3125
B3GALT6	369
C1QTNF12	6
UBE2J2	634
LINC01786	28
SCNN1D	101
ACAP3	908
SNORD167	6
PUSL1	228
INTS11	1433
MIR6727	5
CPTP	401
TAS1R3	55
DVL1	1185
MIR6808	4
MXRA8	3388
AURKAIP1	888
CCNL2	4509
MRPL20-AS1	372
MRPL20	854
107984868	13
ANKRD65	338
LOC105378585	44
TMEM88B	1
LINC01770	68
LOC107985729	36
VWA1	1173
ATAD3C	121
ATAD3B	699
ATAD3A	606
TMEM240	28
SSU72	1639
FNDC10	100
LOC105378586	3
MIB2	731
MMP23B	140
CDK11B	1106
SLC35E2B	2005
MMP23A	100
CDK11A	797
SLC35E2A	717
LOC112268218	182
NADK	1958
GNB1	8537
LOC105378949	15
CALML6	16
TMEM52	1
CFAP74	59
LOC107984872	9
LOC105378589	18
GABRD	60
LOC105378590	0
LOC105378591	0
PRKCZ	522
PRKCZ-AS1	37
FAAP20	592
LOC112268219	93
LOC105378593	5
SKI	2414
MORN1	77
LOC100129534	41
RER1	2581
PEX10	529
PLCH2	185
PANK4	483
HES5	0
TNFRSF14-AS1	329
TNFRSF14	1571
LOC100996583	8
PRXL2B	734
MMEL1	130
MMEL1-AS1	7
TTC34	26
LOC105378598	1
LOC107984904	1
PRDM16-DT	12
PRDM16	72
